timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.24,-1.01,-0.06,-12.98,5.92,-3.92
0.02,0.23,-1.01,-0.05,-13.04,4.73,-4.24
0.05,0.23,-1.01,-0.04,-12.72,3.21,-3.76
0.07,0.24,-1.0,-0.06,-12.6,4.61,-3.63
0.1,0.23,-1.0,-0.05,-11.8,3.13,-3.3
0.12,0.26,-1.0,-0.08,-11.56,5.86,-3.39
0.15,0.24,-1.0,-0.06,-13.4,4.52,-4.76
0.17,0.24,-1.0,-0.05,-13.36,3.08,-3.37
0.2,0.26,-1.01,-0.06,-10.35,4.53,-3.13
0.22,0.25,-1.0,-0.08,-11.15,5.39,-4.81
0.25,0.25,-1.0,-0.08,-10.27,5.4,-3.8
0.27,0.26,-1.0,-0.11,-10.21,7.74,-4.09
0.3,0.26,-0.99,-0.13,-12.79,7.92,-6.14
0.32,0.23,-1.0,-0.1,-14.87,6.78,-4.35
0.35,0.25,-1.01,-0.11,-13.95,7.97,-3.97
0.37,0.26,-1.0,-0.14,-15.21,9.22,-4.64
0.4,0.24,-1.0,-0.13,-16.64,9.48,-5.07
0.42,0.21,-0.99,-0.08,-17.3,4.43,-2.92
0.45,0.26,-1.02,-0.08,-13.54,6.23,-1.08
0.47,0.25,-1.02,-0.08,-9.45,5.71,-0.99
0.5,0.24,-1.02,-0.07,-9.01,4.05,-0.79
0.52,0.22,-1.02,-0.04,-5.83,0.75,0.92
0.55,0.21,-1.03,-0.0,-1.3,-1.68,2.75
0.57,0.23,-1.04,0.01,9.01,-5.54,5.62
0.59,0.27,-1.05,-0.02,15.53,-6.24,3.95
0.62,0.25,-1.05,-0.02,16.78,-6.31,2.99
0.64,0.19,-1.04,0.01,16.15,-9.1,14.41
0.67,0.29,-1.06,-0.01,20.17,1.39,12.84
0.69,0.17,-1.09,0.06,24.2,-3.63,16.29
0.72,0.08,-1.11,0.19,29.76,-8.9,28.75
0.74,0.04,-1.15,0.41,49.76,-21.13,46.73
0.77,0.12,-1.18,0.43,78.96,-32.24,53.04
0.79,0.16,-1.21,0.39,121.22,-49.91,35.39
0.82,0.14,-1.22,0.35,139.86,-67.8,18.72
0.84,0.08,-1.23,0.36,162.09,-80.81,16.23
0.87,0.14,-1.24,0.32,178.27,-73.85,17.79
0.89,0.13,-1.23,0.33,187.4,-70.37,9.95
