timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.04,0.06,0.92,7.22,-1.98,0.87
0.02,0.01,0.08,0.94,1.94,-2.09,11.69
0.04,0.05,0.07,0.95,-0.18,-5.97,18.69
0.07,0.11,0.06,0.94,2.17,-10.66,16.21
0.09,0.09,0.05,0.96,2.87,-13.6,14.2
0.11,0.13,0.03,0.95,3.02,-7.25,18.52
0.14,0.15,0.01,0.96,4.21,-0.73,16.06
0.16,0.14,0.02,0.95,6.12,-4.84,14.49
0.18,0.15,0.02,0.93,4.47,-1.74,15.63
0.21,0.16,-0.01,0.96,1.69,3.24,19.73
0.23,0.17,-0.01,0.97,3.88,-1.33,20.12
0.25,0.19,-0.0,0.97,6.05,-4.29,20.4
0.28,0.18,0.01,0.94,5.33,-5.54,24.17
0.3,0.19,0.01,0.94,4.06,-4.66,26.98
0.32,0.19,0.03,0.93,3.11,-1.07,31.94
0.35,0.25,0.03,0.94,2.73,1.95,35.02
0.37,0.27,0.03,0.96,1.77,-5.11,33.68
0.39,0.34,0.01,0.95,1.01,-10.4,30.9
0.42,0.46,-0.03,0.94,-0.96,-11.57,20.76
0.44,0.54,-0.04,0.93,-1.16,-5.65,11.42
0.47,0.65,-0.06,0.88,-2.49,7.85,-11.77
0.49,0.65,-0.06,0.86,-5.31,10.37,-33.24
0.52,0.59,-0.06,0.86,-11.82,5.37,-55.27
0.54,0.59,-0.07,0.85,-15.05,8.47,-67.69
0.57,0.63,-0.09,0.8,-20.38,22.26,-89.08
0.59,0.53,-0.09,0.83,-25.73,32.12,-109.86
0.62,0.27,-0.06,0.91,-32.56,12.5,-121.85
0.64,0.29,-0.07,0.92,-28.03,11.73,-114.75
0.67,0.36,-0.11,0.87,-21.47,39.16,-113.85
0.69,0.24,-0.09,0.88,-28.72,31.05,-128.23
0.72,0.06,-0.1,1.01,-31.5,1.73,-128.52
0.74,0.14,-0.12,1.0,-23.36,7.88,-109.28
0.77,0.32,-0.17,0.93,-16.17,30.63,-108.79
0.79,0.31,-0.17,0.92,-20.18,30.29,-121.66
0.82,0.28,-0.19,0.91,-20.02,28.55,-129.47
0.84,0.3,-0.22,0.88,-20.11,31.47,-138.9
0.87,0.04,-0.21,0.98,-29.11,17.13,-156.08
0.89,-0.05,-0.2,1.03,-26.6,7.89,-142.85
0.92,0.1,-0.21,0.95,-17.53,23.71,-123.82
0.94,0.06,-0.22,0.94,-20.73,28.75,-129.3
0.97,-0.09,-0.24,1.02,-23.76,6.63,-128.44
0.99,-0.07,-0.23,1.03,-16.02,1.45,-113.33
1.02,0.01,-0.22,0.94,-9.92,12.09,-101.73
1.04,-0.09,-0.21,0.96,-14.52,7.95,-100.09
1.07,-0.15,-0.21,1.0,-14.66,-6.87,-84.15
1.09,-0.11,-0.2,0.99,-11.18,-5.22,-66.21
1.12,-0.02,-0.2,0.96,-7.98,9.01,-50.09
1.14,-0.01,-0.21,0.95,-8.03,11.83,-43.31
1.17,-0.03,-0.21,0.99,-7.24,4.4,-34.03
1.19,0.01,-0.21,0.97,-4.41,7.31,-26.2
1.22,0.04,-0.21,0.94,-2.31,17.83,-17.4
1.24,0.05,-0.21,0.96,-0.9,19.86,-15.51
1.27,0.03,-0.2,0.96,-0.08,10.61,-13.02
1.29,0.06,-0.21,0.97,-0.06,5.27,-10.7
1.32,0.1,-0.2,0.95,-0.64,7.45,-8.6
1.34,0.13,-0.19,0.95,-0.11,12.98,-7.95
1.37,0.12,-0.2,0.95,-0.69,14.4,-10.78
1.39,0.1,-0.19,0.96,-1.69,6.82,-12.24
1.42,0.07,-0.17,0.96,0.96,-5.97,-10.37
1.44,0.09,-0.16,0.95,1.08,-5.79,-8.4
1.47,0.07,-0.15,0.95,-0.67,-8.11,-4.11
1.49,0.06,-0.14,0.95,1.97,-14.63,0.41
1.52,0.12,-0.14,0.92,3.07,-9.66,4.56
1.54,0.13,-0.15,0.93,3.59,-3.54,5.45
1.56,0.13,-0.15,0.94,3.3,-3.88,6.6
1.59,0.15,-0.15,0.96,5.11,-6.93,6.49
2.01,0.17,-0.11,0.95,-2.2,-0.89,-0.82
2.03,0.17,-0.11,0.96,-3.24,-1.3,-0.24
2.05,0.16,-0.11,0.96,-2.93,0.08,0.43
2.08,0.14,-0.12,0.96,-1.45,0.78,1.21
2.1,0.15,-0.12,0.96,-0.06,-0.11,3.4
2.12,0.13,-0.11,0.97,-0.34,-1.71,4.03
2.15,0.12,-0.11,0.97,-0.81,-3.94,4.76
2.17,0.13,-0.1,0.97,-0.5,-4.84,8.18
2.19,0.13,-0.11,0.95,1.08,-1.86,10.53
2.22,0.15,-0.11,0.96,1.19,-1.11,12.75
2.24,0.15,-0.12,0.96,-0.12,-0.11,14.02
2.27,0.16,-0.11,0.95,-0.21,0.49,15.53
2.29,0.17,-0.12,0.95,1.07,-0.03,17.22
2.31,0.17,-0.12,0.96,0.85,1.04,17.63
2.34,0.17,-0.11,0.95,0.87,-0.27,17.22
2.36,0.18,-0.1,0.93,1.68,-3.54,17.07
2.38,0.17,-0.11,0.93,1.37,-2.47,17.76
2.41,0.17,-0.11,0.96,0.63,-0.84,18.58
2.43,0.16,-0.11,0.97,0.17,0.03,19.92
2.45,0.17,-0.11,0.96,0.11,-0.43,21.01
2.48,0.18,-0.11,0.96,-0.11,0.37,22.4
2.5,0.16,-0.11,0.98,-0.23,0.72,23.13
2.52,0.16,-0.11,0.97,0.14,1.05,23.86
2.55,0.18,-0.1,0.96,0.85,0.63,24.85
2.57,0.16,-0.1,0.96,2.89,0.75,24.56
2.59,0.16,-0.09,0.96,2.98,-0.56,23.45
2.62,0.17,-0.1,0.96,2.46,-1.74,24.06
2.64,0.18,-0.09,0.95,3.04,-3.31,25.22
2.66,0.18,-0.09,0.96,3.57,-3.97,25.54
2.69,0.17,-0.08,0.95,4.08,-3.11,25.13
2.71,0.15,-0.09,0.96,3.88,-3.6,24.38
2.73,0.13,-0.08,0.99,2.99,-5.88,24.27
2.76,0.15,-0.08,0.97,4.11,-8.43,27.69
2.78,0.16,-0.08,0.95,8.92,-7.68,32.15
2.8,0.18,-0.09,0.95,8.46,-6.92,33.77
2.83,0.21,-0.08,0.95,8.38,-6.81,35.37
2.85,0.24,-0.07,0.93,8.55,-2.92,35.94
2.87,0.24,-0.07,0.94,7.44,-0.93,35.51
2.9,0.22,-0.06,0.93,6.58,-2.06,32.63
2.92,0.2,-0.05,0.96,3.11,-5.01,27.97
2.94,0.2,-0.05,0.95,3.33,-5.92,27.47
2.97,0.22,-0.05,0.94,4.4,-3.86,29.19
2.99,0.23,-0.05,0.94,5.15,0.69,29.98
3.01,0.22,-0.05,0.95,4.18,0.43,28.44
3.04,0.24,-0.04,0.95,3.05,-1.66,27.3
3.06,0.24,-0.03,0.94,3.62,-3.16,26.27
3.08,0.23,-0.03,0.94,3.19,-2.15,24.93
3.11,0.24,-0.04,0.94,1.74,-3.02,23.37
3.13,0.23,-0.03,0.95,1.51,0.73,22.31
3.15,0.24,-0.02,0.95,0.58,3.05,21.76
3.18,0.22,-0.03,0.95,0.0,2.18,21.28
3.2,0.23,-0.04,0.95,-0.4,0.92,19.95
3.22,0.23,-0.04,0.95,-0.21,0.76,19.34
3.25,0.22,-0.03,0.95,-0.5,1.42,18.43
3.27,0.21,-0.03,0.96,-1.27,0.72,17.19
3.29,0.22,-0.03,0.95,-1.31,0.0,17.24
3.32,0.21,-0.03,0.95,-0.92,1.28,17.44
3.34,0.22,-0.02,0.94,-1.98,0.29,17.07
3.36,0.22,-0.03,0.94,-2.17,0.03,17.25
3.39,0.22,-0.03,0.95,-2.21,-0.4,16.93
3.41,0.22,-0.03,0.96,-2.64,-0.75,17.15
3.44,0.21,-0.04,0.96,-2.24,0.96,17.19
3.46,0.21,-0.04,0.96,-1.73,-0.58,16.17
3.49,0.2,-0.03,0.96,-1.56,-2.37,16.46
3.51,0.21,-0.03,0.95,-1.48,-2.14,17.65
3.54,0.21,-0.03,0.96,-2.47,-0.29,18.0
3.56,0.21,-0.04,0.96,-2.99,0.2,17.62
3.59,0.2,-0.02,0.97,-2.15,-0.09,18.08
3.61,0.21,-0.03,0.96,-1.44,1.08,19.5
3.63,0.2,-0.04,0.95,-1.36,1.24,19.86
3.66,0.22,-0.04,0.97,-1.5,2.35,20.55
3.68,0.2,-0.03,0.96,-1.24,4.11,20.06
3.7,0.2,-0.04,0.96,-0.89,4.11,20.31
3.73,0.21,-0.03,0.95,-1.18,2.31,20.2
3.75,0.2,-0.03,0.96,-0.85,3.11,21.15
3.77,0.2,-0.04,0.96,-1.48,5.08,21.66
3.8,0.21,-0.04,0.94,-1.21,4.96,22.58
3.82,0.21,-0.03,0.96,-1.95,6.27,22.66
3.84,0.21,-0.03,0.95,-3.08,3.27,21.79
3.87,0.2,-0.04,0.95,-2.05,2.67,21.3
3.89,0.2,-0.03,0.94,-2.26,2.93,20.79
3.91,0.2,-0.03,0.93,-3.18,3.21,21.57
3.94,0.21,-0.04,0.93,-4.26,3.48,22.23
3.96,0.22,-0.05,0.94,-5.47,2.37,21.79
3.98,0.19,-0.05,0.95,-6.38,3.53,21.3
4.01,0.19,-0.05,0.96,-5.83,3.85,21.16
4.03,0.2,-0.05,0.96,-4.61,1.71,23.24
4.05,0.21,-0.05,0.95,-4.41,1.37,24.2
4.08,0.18,-0.04,0.95,-4.47,1.07,23.91
4.1,0.2,-0.06,0.95,-4.7,2.61,24.93
4.12,0.22,-0.05,0.94,-3.73,5.44,26.43
4.15,0.2,-0.05,0.96,-3.89,7.27,25.47
4.17,0.21,-0.06,0.95,-4.2,0.41,23.5
4.2,0.22,-0.06,0.96,-4.05,-0.29,22.7
4.22,0.22,-0.06,0.96,-3.3,3.91,21.73
4.24,0.21,-0.05,0.96,-2.67,3.33,20.37
4.27,0.2,-0.05,0.96,-3.01,-1.28,18.44
4.29,0.2,-0.05,0.95,-2.84,-2.52,17.74
4.32,0.19,-0.05,0.95,-2.69,-0.64,18.32
4.34,0.21,-0.05,0.94,-2.66,-0.27,18.41
4.37,0.19,-0.05,0.95,-3.16,0.64,18.26
4.39,0.2,-0.06,0.95,-4.87,-0.66,17.98
4.42,0.2,-0.07,0.98,-4.81,-1.22,18.08
4.44,0.19,-0.06,0.97,-3.1,1.19,17.8
