timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,-0.15,-0.09,0.93,4.98,-3.39,-10.98
0.02,-0.17,-0.09,0.9,6.11,-5.91,-12.32
0.05,-0.17,-0.09,0.87,4.46,-5.1,-11.88
0.07,-0.19,-0.09,0.88,-0.85,-1.94,-9.37
0.1,-0.18,-0.1,0.89,0.79,-0.43,-7.05
0.12,-0.18,-0.08,0.85,-3.18,-3.13,-5.44
0.15,-0.15,-0.08,0.87,-5.91,-0.7,-4.47
0.17,-0.13,-0.07,0.92,-4.0,-4.79,-3.51
0.2,-0.12,-0.08,0.94,-2.06,-5.66,-4.32
0.22,-0.17,-0.08,0.91,-0.47,-5.86,-3.59
0.25,-0.17,-0.08,0.93,-0.18,-3.69,-1.66
0.27,-0.16,-0.08,0.91,-0.66,0.41,-1.51
0.3,-0.2,-0.09,0.9,-0.05,2.78,-0.34
0.32,-0.2,-0.09,0.88,0.03,5.65,2.58
0.34,-0.19,-0.08,0.88,-1.92,4.73,3.57
0.37,-0.17,-0.09,0.9,-2.67,4.82,3.83
0.39,-0.2,-0.08,0.89,-1.8,4.78,4.76
0.41,-0.25,-0.08,0.86,-4.4,7.54,6.58
0.44,-0.31,-0.09,0.87,-7.4,8.96,11.76
0.46,-0.35,-0.09,0.88,-7.19,15.5,21.45
0.49,-0.41,-0.1,0.86,-8.96,20.85,30.64
0.51,-0.47,-0.11,0.85,-9.69,10.98,46.15
0.54,-0.42,-0.11,0.83,-13.48,6.09,58.23
0.56,-0.4,-0.11,0.9,-12.05,1.42,70.4
0.59,-0.42,-0.1,0.87,-8.46,-14.72,80.31
0.61,-0.43,-0.09,0.82,-13.24,-68.58,100.96
0.64,-0.24,-0.1,0.74,-20.85,-84.43,111.68
0.66,-0.1,-0.15,0.78,-29.85,-37.13,109.59
0.69,-0.18,-0.15,0.86,-27.82,-23.37,110.11
0.71,-0.27,-0.15,0.85,-21.53,-45.51,125.6
0.74,-0.22,-0.16,0.88,-20.81,-48.6,136.44
0.76,-0.11,-0.18,0.93,-4.4,-27.08,144.23
0.79,-0.1,-0.15,0.9,-4.29,-13.79,139.59
0.81,-0.15,-0.11,0.87,-16.26,-30.0,140.95
0.84,-0.07,-0.1,0.83,-24.81,-30.52,145.98
0.86,0.02,-0.15,0.9,-25.21,-10.24,141.33
0.89,0.01,-0.13,0.92,-19.11,1.5,136.69
0.91,-0.01,-0.11,0.9,-22.34,-21.85,136.27
0.94,0.09,-0.1,0.87,-27.65,-29.45,128.78
0.96,0.17,-0.11,0.87,-33.37,3.42,119.6
0.99,0.14,-0.12,0.92,-34.58,13.05,110.46
1.01,0.11,-0.11,0.97,-34.29,1.3,100.21
1.04,0.17,-0.12,0.97,-30.15,-4.46,94.61
1.06,0.21,-0.09,0.91,-34.56,4.79,79.07
1.09,0.13,-0.09,0.92,-43.79,9.15,77.98
1.11,0.12,-0.13,1.0,-48.23,-1.6,78.08
1.14,0.14,-0.14,1.0,-41.3,-4.53,72.08
1.16,0.13,-0.14,0.98,-36.12,2.69,62.82
1.19,0.09,-0.14,1.01,-31.36,0.95,62.61
1.21,0.13,-0.15,1.0,-30.2,-13.1,60.6
1.24,0.16,-0.15,0.99,-28.26,-6.87,56.11
1.26,0.15,-0.16,1.04,-20.0,-4.46,45.63
1.29,0.16,-0.16,1.04,-14.56,-5.69,40.31
1.31,0.14,-0.15,0.99,-12.17,-1.34,35.44
1.34,0.15,-0.14,1.0,-11.73,-4.37,30.29
1.36,0.12,-0.13,1.0,-10.66,-6.27,24.63
1.39,0.12,-0.14,0.99,-9.56,-4.66,21.16
1.41,0.11,-0.12,0.97,-7.62,3.05,16.95
1.43,0.08,-0.12,0.98,-7.37,1.98,14.34
1.46,0.08,-0.12,0.98,-7.92,2.06,12.63
1.48,0.06,-0.12,0.98,-6.08,4.99,10.55
1.5,0.03,-0.12,0.96,-4.53,3.18,11.71
1.53,0.04,-0.11,0.96,-2.95,3.18,11.94
1.55,0.04,-0.11,0.95,-2.2,2.17,7.74
1.57,0.02,-0.11,0.94,-2.08,0.84,7.08
1.6,0.03,-0.1,0.93,-1.63,2.24,7.66
1.76,0.02,-0.11,0.93,-5.47,-2.78,4.11
1.78,0.02,-0.11,0.95,-5.39,-2.58,3.79
1.81,0.01,-0.12,0.96,-5.62,-5.5,3.59
1.83,0.03,-0.13,0.95,-4.92,-2.09,3.66
1.85,0.03,-0.12,0.97,-3.54,0.15,3.86
1.88,0.03,-0.13,0.97,-2.18,-0.52,2.46
1.9,0.04,-0.14,0.97,-1.63,-2.47,1.85
1.92,0.04,-0.13,0.96,-1.91,-3.13,2.08
1.95,0.05,-0.12,0.96,-0.44,-0.52,0.82
1.97,0.04,-0.12,0.96,-0.44,-0.2,0.17
1.99,0.04,-0.12,0.94,-0.18,-0.24,-0.43
2.02,0.04,-0.11,0.94,-1.34,0.43,-1.73
2.04,0.05,-0.11,0.94,-1.6,1.92,-2.27
2.06,0.04,-0.11,0.95,-1.98,1.68,-3.07
2.09,0.04,-0.11,0.96,-0.6,1.08,-3.8
2.11,0.06,-0.12,0.96,0.61,0.2,-4.21
2.13,0.06,-0.1,0.94,-0.03,0.67,-5.36
2.16,0.07,-0.11,0.94,-0.14,2.34,-6.29
2.18,0.06,-0.11,0.95,0.55,2.46,-6.84
2.2,0.06,-0.1,0.95,-0.27,2.41,-8.37
2.23,0.06,-0.11,0.94,-0.26,2.56,-9.34
2.25,0.06,-0.12,0.95,-0.56,3.42,-10.55
2.28,0.06,-0.12,0.95,-0.4,3.3,-12.32
2.3,0.06,-0.11,0.95,-0.72,2.38,-13.82
2.33,0.06,-0.1,0.95,0.2,2.66,-14.63
2.35,0.05,-0.1,0.96,0.18,2.23,-15.19
2.37,0.04,-0.1,0.96,-0.03,2.56,-15.68
2.4,0.04,-0.09,0.94,0.72,3.07,-16.5
2.42,0.05,-0.09,0.94,0.89,2.93,-16.73
2.44,0.05,-0.09,0.95,0.53,2.08,-16.67
2.47,0.04,-0.1,0.95,0.76,0.75,-16.76
