timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.3,0.97,0.07,12.0,1.27,2.0
0.02,0.31,0.97,0.05,14.69,2.73,1.19
0.04,0.29,0.98,0.03,14.61,0.66,-0.12
0.07,0.3,0.98,0.01,15.22,-0.93,-0.72
0.09,0.34,0.93,-0.02,11.73,4.98,-2.15
0.11,0.3,0.96,0.02,10.61,2.37,-4.63
0.14,0.3,1.0,-0.02,7.73,5.53,-3.47
0.16,0.27,1.0,-0.0,4.47,4.82,-2.35
0.18,0.26,1.0,0.02,2.5,1.88,-2.44
0.21,0.26,0.99,0.02,2.64,2.92,-1.13
0.23,0.26,0.98,0.04,6.27,3.24,0.64
0.25,0.26,0.99,0.02,7.65,1.82,1.66
0.28,0.28,0.97,-0.01,8.73,0.41,2.61
0.3,0.29,0.98,-0.06,7.5,1.53,2.53
0.32,0.29,0.98,-0.07,3.82,0.09,2.17
0.35,0.31,0.99,-0.11,-1.97,-2.0,0.6
0.37,0.32,0.97,-0.13,-5.24,0.15,0.34
0.39,0.33,0.98,-0.15,-9.27,-2.49,-1.44
0.42,0.32,0.97,-0.16,-17.91,-3.13,-2.79
0.44,0.41,1.04,-0.24,-24.58,2.89,-1.97
0.47,0.29,0.97,-0.12,-29.71,-5.25,-3.82
0.49,0.29,0.97,-0.13,-33.39,-8.37,-3.34
0.52,0.31,0.95,-0.13,-37.08,-9.13,-3.57
0.54,0.31,0.96,-0.15,-42.55,-9.16,-4.82
0.57,0.31,0.94,-0.2,-54.17,-14.44,-5.42
0.59,0.44,0.88,-0.21,-63.54,4.37,0.41
0.62,0.36,0.92,-0.22,-85.4,-8.27,-13.08
0.64,0.34,0.9,-0.17,-104.43,-5.53,-13.34
0.67,0.36,0.84,-0.17,-123.24,-12.09,-17.92
0.69,0.37,0.82,-0.18,-144.56,-1.66,-24.15
0.72,0.26,0.74,-0.04,-187.51,10.55,-30.17
0.74,0.22,0.68,0.06,-207.15,7.02,-24.96
0.77,0.27,0.56,0.23,-203.74,-2.53,-15.22
0.79,0.29,0.49,0.41,-215.57,12.92,-23.89
0.82,0.26,0.37,0.7,-213.1,15.44,-37.77
0.84,0.25,0.33,0.75,-181.62,3.07,-40.17
0.87,0.22,0.34,0.87,-168.41,26.99,-48.99
0.89,0.21,0.31,0.87,-172.06,50.87,-50.89
0.92,0.24,0.24,0.85,-141.6,8.23,-45.36
0.94,0.24,0.26,0.85,-151.27,14.9,-52.46
0.97,0.07,0.17,1.09,-160.12,3.8,-56.72
0.99,-0.02,0.14,1.16,-146.89,-23.3,-55.39
1.02,0.06,0.15,1.07,-117.16,-14.73,-45.42
1.04,-0.01,0.12,1.06,-113.56,-4.35,-39.92
1.07,-0.02,0.05,1.06,-102.21,3.42,-21.07
1.09,0.05,0.03,0.99,-98.23,7.25,-24.6
1.12,-0.1,-0.0,1.12,-100.23,18.14,-14.31
1.14,-0.13,-0.04,1.17,-91.47,3.82,-7.97
1.17,-0.06,-0.1,1.13,-76.82,15.6,2.67
1.19,-0.07,-0.12,1.09,-76.08,22.64,3.85
1.22,-0.0,-0.19,1.13,-70.99,26.81,9.51
1.24,-0.04,-0.2,1.16,-66.56,16.78,8.87
1.27,-0.07,-0.2,1.15,-51.33,-5.91,12.02
1.29,-0.0,-0.21,1.06,-39.21,-12.17,15.27
1.32,0.06,-0.24,1.04,-33.15,5.91,15.97
1.34,0.01,-0.35,1.62,-56.66,33.65,41.45
1.37,0.06,-0.22,0.89,-32.27,6.85,31.16
1.39,0.12,-0.3,1.03,-25.48,17.3,30.78
1.42,0.08,-0.31,1.04,-12.98,6.95,16.38
1.44,0.07,-0.24,1.02,-19.59,19.47,10.08
1.47,0.1,-0.25,0.78,3.53,0.58,6.98
1.49,0.05,-0.24,0.93,-7.1,-5.37,-0.44
1.51,0.02,-0.28,1.02,-5.4,-8.37,-0.82
1.54,0.02,-0.22,0.97,9.47,-11.1,4.15
1.56,0.03,-0.24,0.97,8.15,-20.2,1.82
1.58,0.05,-0.19,0.82,8.76,-0.17,-1.3
2.13,0.07,-0.16,0.97,-4.21,1.01,-2.31
2.15,0.06,-0.15,0.96,-3.37,-0.72,-2.61
2.18,0.07,-0.16,0.96,-2.12,-0.46,-1.86
2.2,0.05,-0.16,0.99,-1.57,-0.84,-2.34
2.23,0.05,-0.19,0.9,1.77,-3.37,-2.75
2.25,0.12,-0.12,0.96,-2.43,1.73,1.47
2.27,0.11,-0.15,0.98,-0.27,0.92,-0.81
2.3,0.05,-0.2,0.91,5.27,-1.33,-2.44
2.32,0.11,-0.12,1.04,-0.92,1.27,-3.02
2.34,0.09,-0.14,0.95,0.82,-0.35,-3.69
2.37,0.1,-0.15,0.94,2.37,2.15,-3.69
2.39,0.06,-0.16,0.94,5.24,3.3,-3.33
2.41,0.13,-0.13,0.95,4.43,3.42,-3.8
2.44,0.02,-0.18,0.9,8.73,-4.81,-5.04
2.46,0.12,-0.14,0.9,7.48,3.31,-1.6
2.48,0.07,-0.13,1.0,11.51,1.21,-4.47
2.51,0.1,-0.17,0.93,12.84,2.79,-0.93
2.53,0.09,-0.1,0.97,14.26,-0.17,-3.27
2.56,0.09,-0.13,0.96,7.98,-4.02,-2.23
2.58,0.12,-0.15,0.91,14.06,-7.77,1.86
