timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.07,-1.03,-0.02,-25.04,18.92,10.15
0.002,0.05,-1.02,-0.05,-20.0,18.15,7.62
0.003,0.04,-1.01,-0.06,-20.6,11.59,3.8
0.004,0.04,-1.03,-0.06,-19.8,4.93,2.18
0.005,0.06,-1.04,-0.06,-16.7,7.42,3.56
0.006,0.06,-1.05,-0.07,-12.66,13.66,4.73
0.007,0.04,-1.04,-0.09,-10.52,15.36,5.08
0.008,0.04,-1.02,-0.11,-11.34,9.89,1.97
0.008,0.04,-1.03,-0.1,-11.89,3.59,0.49
0.009,0.05,-1.04,-0.1,-10.41,2.7,1.59
0.01,0.07,-1.04,-0.08,-7.31,4.95,3.02
0.011,0.08,-1.03,-0.1,-4.32,6.56,2.78
0.012,0.08,-1.02,-0.11,-3.21,8.6,1.74
0.013,0.07,-1.01,-0.11,-1.73,10.82,2.9
0.014,0.08,-1.0,-0.12,-1.24,13.1,2.64
0.014,0.07,-1.01,-0.11,1.36,10.79,-0.02
0.015,0.07,-1.0,-0.14,2.73,9.63,0.41
0.016,0.06,-1.0,-0.14,2.29,11.53,0.63
0.017,0.06,-1.0,-0.15,3.34,10.95,0.67
0.018,0.06,-0.99,-0.16,3.86,11.63,0.75
0.019,0.06,-0.99,-0.16,3.24,12.84,0.09
0.02,0.05,-0.99,-0.15,3.69,7.56,-1.04
0.02,0.05,-0.99,-0.15,3.33,4.12,-2.02
0.021,0.06,-0.99,-0.15,3.73,4.02,-1.88
0.022,0.06,-1.0,-0.13,6.38,2.9,-1.79
0.023,0.05,-1.0,-0.16,11.57,0.6,-2.93
0.023,0.05,-0.97,-0.17,9.94,4.44,-1.97
0.024,0.03,-0.95,-0.17,4.09,7.08,-0.46
0.025,0.05,-0.96,-0.17,-1.37,5.66,0.46
0.026,0.06,-0.99,-0.14,-3.62,3.48,-1.11
0.027,0.05,-0.99,-0.14,-1.16,2.56,-0.95
0.027,0.05,-0.98,-0.14,-1.04,2.89,-0.76
0.028,0.06,-0.99,-0.15,-2.31,2.43,-0.18
0.029,0.07,-0.98,-0.15,-1.36,1.97,-0.05
0.03,0.02,-0.97,-0.12,-0.31,-4.41,4.92
0.031,0.07,-0.97,-0.15,-3.28,8.58,1.05
0.032,0.07,-0.97,-0.18,-2.12,7.53,-0.02
0.032,0.07,-0.98,-0.16,-0.18,3.59,1.69
0.033,0.07,-1.0,-0.13,-0.73,5.33,1.19
0.034,0.06,-1.01,-0.12,2.78,7.24,2.78
0.035,0.06,-1.01,-0.12,5.34,9.56,3.56
0.035,0.04,-1.01,-0.12,6.52,11.33,4.46
0.036,0.01,-1.03,-0.09,8.69,6.29,5.22
0.037,0.04,-1.06,-0.08,13.1,4.78,7.94
0.038,0.07,-1.08,-0.05,18.26,10.85,9.45
0.038,0.07,-1.08,-0.02,25.91,14.27,10.85
0.039,0.07,-1.1,0.01,33.66,21.16,12.95
0.04,0.07,-1.12,0.06,45.89,30.34,13.65
0.041,-0.01,-1.15,0.07,62.69,34.18,14.47
