timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.06,-0.18,0.98,3.24,0.95,-2.84
0.002,0.05,-0.19,0.98,1.65,1.76,-2.34
0.003,0.06,-0.19,1.0,2.31,0.98,-0.64
0.005,0.07,-0.18,0.98,2.4,1.8,-0.23
0.006,0.06,-0.18,0.98,2.31,0.89,-0.26
0.007,0.07,-0.19,0.99,1.8,0.73,0.84
0.009,0.07,-0.19,1.0,1.76,1.73,0.18
0.01,0.07,-0.17,0.99,2.76,2.56,0.67
0.011,0.06,-0.17,0.99,0.81,1.66,-0.46
0.012,0.05,-0.18,0.99,1.92,-1.48,0.32
0.013,0.05,-0.18,0.99,2.14,0.99,2.29
0.014,0.05,-0.19,0.99,1.37,0.89,1.77
0.015,0.07,-0.18,0.99,3.53,0.55,3.4
0.017,0.06,-0.18,1.0,2.4,2.89,2.49
0.018,0.06,-0.18,1.0,3.97,0.63,2.6
0.019,0.06,-0.19,1.0,3.77,-0.27,2.4
0.02,0.06,-0.19,1.0,3.39,0.78,2.21
0.021,0.06,-0.18,0.99,3.71,0.18,2.61
0.022,0.07,-0.18,1.0,2.75,0.17,2.49
0.023,0.07,-0.18,0.99,1.51,-0.66,2.14
0.024,0.07,-0.19,0.99,2.53,-2.63,1.21
0.025,0.09,-0.18,0.99,3.25,-2.61,1.37
0.026,0.08,-0.19,0.98,2.26,0.56,0.78
0.027,0.08,-0.19,0.98,1.04,-0.35,0.09
0.028,0.08,-0.19,0.99,1.92,-1.04,-0.73
0.029,0.09,-0.16,0.96,1.37,-0.98,-1.18
0.03,0.08,-0.16,0.97,0.12,0.17,-1.88
0.031,0.07,-0.17,0.97,-1.5,0.02,-2.09
0.032,0.07,-0.18,0.97,-1.66,0.61,-1.57
0.033,0.07,-0.19,0.98,-0.6,1.97,-0.81
0.034,0.06,-0.18,0.98,-1.54,2.26,-0.44
0.035,0.06,-0.2,0.99,-0.98,0.58,-1.74
0.036,0.09,-0.19,0.98,0.05,0.95,-0.9
0.037,0.1,-0.18,1.0,-1.36,3.91,-2.93
0.037,0.09,-0.2,1.0,-0.14,2.52,-4.23
0.038,0.1,-0.22,1.01,0.38,3.11,-6.11
0.039,0.11,-0.24,1.02,2.03,5.36,-6.95
0.04,0.14,-0.25,1.02,3.65,7.54,-9.48
0.041,0.16,-0.28,1.02,7.37,6.9,-13.4
0.042,0.2,-0.28,1.0,9.98,9.86,-19.83
0.043,0.22,-0.28,1.0,12.31,12.18,-26.03
0.044,0.25,-0.28,0.98,13.68,14.12,-33.65
0.045,0.26,-0.3,0.97,13.97,13.22,-43.95
0.045,0.28,-0.3,0.95,14.76,11.04,-52.66
0.046,0.3,-0.31,0.93,13.33,15.25,-62.53
0.047,0.31,-0.31,0.94,11.79,16.44,-71.37
0.048,0.35,-0.33,0.97,9.21,16.76,-81.85
0.049,0.36,-0.35,1.0,8.18,16.31,-95.24
0.05,0.33,-0.38,1.03,10.26,12.87,-106.76
0.05,0.3,-0.39,1.01,9.05,15.37,-117.04
0.051,0.25,-0.43,1.04,8.87,19.74,-125.73
0.052,0.17,-0.45,1.06,11.1,19.69,-132.89
0.053,0.12,-0.46,1.05,13.83,22.02,-137.01
0.054,0.06,-0.44,1.04,15.24,26.24,-139.97
0.055,0.02,-0.41,1.02,17.5,25.86,-142.5
0.055,-0.01,-0.38,1.0,17.51,23.82,-145.56
