timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,-0.26,-0.06,0.97,0.17,-2.76,4.72
0.003,-0.27,-0.06,0.96,-0.12,-3.42,2.6
0.004,-0.26,-0.07,0.95,2.14,-5.57,2.6
0.006,-0.24,-0.08,0.98,0.76,-3.6,2.31
0.007,-0.24,-0.06,0.97,1.24,-2.03,2.05
0.008,-0.27,-0.07,0.96,2.58,0.24,1.54
0.01,-0.27,-0.05,0.94,2.26,0.6,0.53
0.011,-0.26,-0.06,0.96,3.24,0.24,2.0
0.012,-0.26,-0.06,0.94,0.7,2.12,-0.4
0.013,-0.28,-0.06,0.93,3.77,1.19,0.02
0.014,-0.27,-0.06,0.93,2.12,3.31,-0.08
0.015,-0.29,-0.05,0.92,-0.46,5.07,0.09
0.017,-0.3,-0.06,0.93,-0.66,3.44,-0.05
0.018,-0.29,-0.07,0.94,-2.34,0.64,-0.35
0.019,-0.27,-0.08,0.95,-3.82,0.9,1.13
0.02,-0.29,-0.08,0.94,-1.98,2.85,1.85
0.021,-0.29,-0.08,0.95,-0.37,2.44,2.0
0.022,-0.29,-0.08,0.94,0.06,1.15,1.85
0.023,-0.28,-0.07,0.94,-0.81,2.58,2.12
0.024,-0.3,-0.08,0.95,-0.89,3.51,1.42
0.025,-0.32,-0.07,0.93,-0.14,2.47,1.94
0.026,-0.32,-0.06,0.94,-0.76,1.51,2.84
0.027,-0.3,-0.08,0.96,-2.58,1.08,3.74
0.028,-0.29,-0.09,0.96,-1.76,-1.33,5.02
0.029,-0.31,-0.11,0.97,-0.05,0.55,5.45
0.03,-0.32,-0.1,0.93,1.66,0.78,5.42
0.031,-0.31,-0.08,0.95,3.66,-0.55,7.69
0.032,-0.29,-0.08,0.95,3.31,0.56,8.24
0.033,-0.3,-0.05,0.95,3.62,1.11,8.82
0.034,-0.29,-0.05,0.94,2.95,0.92,8.96
0.034,-0.32,-0.07,0.95,2.99,0.35,8.84
0.035,-0.35,-0.06,0.93,3.57,-0.26,10.58
0.036,-0.37,-0.06,0.94,4.41,-1.45,12.81
0.037,-0.36,-0.08,0.95,2.34,-3.51,14.85
0.038,-0.35,-0.07,0.95,2.24,-5.95,18.02
0.039,-0.39,-0.08,0.95,2.81,-3.66,21.65
0.04,-0.45,-0.07,0.95,3.6,-2.03,24.31
0.041,-0.5,-0.07,0.94,3.82,-7.94,30.37
0.041,-0.51,-0.05,0.93,5.21,-16.05,41.37
0.042,-0.46,-0.04,0.93,2.56,-22.64,53.97
0.043,-0.38,-0.05,0.93,-2.61,-28.31,64.34
0.044,-0.35,-0.05,0.95,-3.42,-34.72,67.6
0.045,-0.32,-0.06,0.94,-3.24,-37.83,72.9
0.046,-0.28,-0.05,0.96,-3.83,-34.11,75.8
0.047,-0.24,-0.03,0.96,-1.15,-31.01,77.3
0.047,-0.25,-0.02,0.94,-0.5,-24.0,73.56
0.048,-0.28,-0.02,0.92,0.93,-22.27,70.46
0.049,-0.35,0.01,0.91,0.99,-17.27,74.98
0.05,-0.36,0.01,0.88,-1.13,-13.47,81.45
0.051,-0.35,0.01,0.82,-4.52,-17.85,89.91
0.052,-0.31,0.0,0.74,-10.98,-20.11,95.04
0.052,-0.32,-0.02,0.75,-18.37,-13.28,93.34
0.053,-0.35,-0.02,0.76,-24.44,-9.68,76.14
0.054,-0.45,-0.02,0.7,-26.09,-22.49,63.13
0.055,-0.52,-0.04,0.66,-28.15,-32.32,72.6
0.056,-0.55,-0.06,0.72,-43.74,-24.02,91.36
0.056,-0.27,-0.15,0.85,-60.49,-40.92,116.52
0.057,-0.11,-0.23,0.94,-69.51,-61.85,122.69
0.058,-0.13,-0.24,0.96,-60.31,-67.01,124.55
0.059,-0.22,-0.23,1.01,-53.5,-41.48,128.12
0.06,-0.25,-0.27,1.08,-50.64,-25.3,133.95
0.06,-0.16,-0.29,1.07,-46.08,-40.23,138.4
0.061,-0.07,-0.3,1.1,-36.84,-56.99,144.29
0.062,-0.04,-0.28,1.1,-31.05,-52.66,157.68
0.063,0.05,-0.34,1.09,-28.64,-40.52,166.55
0.064,0.12,-0.41,1.12,-24.63,-44.72,165.97
0.064,0.22,-0.35,1.1,-8.21,-47.42,151.15
0.065,0.27,-0.33,1.06,7.07,-40.76,146.84
0.066,0.32,-0.29,1.06,8.47,-35.04,145.33
0.067,0.32,-0.28,1.03,7.69,-30.7,136.02
0.067,0.24,-0.26,1.02,11.24,-24.6,133.42
0.068,0.23,-0.21,0.99,8.73,-21.65,131.85
0.069,0.27,-0.18,0.96,3.36,-28.47,127.05
0.07,0.29,-0.16,0.93,-2.69,-40.7,125.92
0.07,0.37,-0.16,0.95,-13.42,-36.15,122.11
0.071,0.4,-0.16,0.95,-22.41,-22.06,109.1
0.072,0.28,-0.17,0.93,-23.54,-6.52,84.99
0.073,0.26,-0.19,1.02,-20.17,-0.85,70.73
0.073,0.4,-0.24,0.98,-14.72,-0.66,72.52
0.074,0.23,-0.28,1.08,-26.35,34.9,46.26
0.075,0.09,-0.28,1.09,-19.21,32.93,17.5
0.075,0.28,-0.25,1.1,-0.24,-0.34,17.92
0.076,0.31,-0.27,1.13,-0.32,5.21,13.4
0.077,0.05,-0.16,0.99,3.89,14.56,-1.89
0.078,0.08,-0.15,0.98,-3.05,-9.62,1.19
0.078,0.11,-0.15,0.98,-3.44,-8.2,0.09
0.091,0.1,-0.16,0.97,-4.66,-4.38,-2.09
0.109,0.09,-0.17,0.98,-4.67,1.89,-1.44
0.127,0.02,-0.21,1.0,-6.82,10.67,-3.15
0.151,0.03,-0.2,1.01,-5.3,9.71,-4.56
0.168,0.07,-0.19,1.0,1.54,3.76,0.84
0.192,0.04,-0.18,1.0,1.89,10.34,1.62
0.21,0.03,-0.18,0.99,4.31,8.06,-2.49
0.228,0.06,-0.17,0.98,8.05,1.8,0.27
0.252,0.04,-0.17,1.0,5.51,10.38,1.44
0.27,0.03,-0.17,1.0,6.72,13.48,2.24
0.288,0.0,-0.16,1.0,9.65,9.74,1.63
0.308,0.01,-0.16,1.0,9.05,7.15,0.37
0.328,0.01,-0.17,0.99,7.66,7.98,2.29
0.352,-0.0,-0.16,0.98,6.32,12.96,1.85
0.37,-0.01,-0.17,0.98,7.1,11.47,2.72
0.389,-0.01,-0.16,0.98,6.87,9.86,3.77
0.407,-0.03,-0.15,0.99,6.24,9.34,3.47
0.431,-0.01,-0.16,0.99,4.76,6.23,4.66
0.449,-0.02,-0.15,0.98,3.37,4.73,4.69
0.468,-0.01,-0.16,0.99,2.02,3.6,5.24
0.492,-0.01,-0.15,0.99,1.68,0.64,4.89
0.51,-0.01,-0.16,1.01,0.72,0.81,5.79
0.529,-0.01,-0.16,1.01,-1.1,2.85,5.39
0.552,-0.03,-0.15,0.98,-0.56,4.24,6.2
0.57,-0.04,-0.16,0.99,-1.24,4.2,6.08
0.589,-0.03,-0.17,1.0,-3.57,1.63,7.28
0.607,-0.02,-0.15,0.99,-2.32,-0.6,9.18
0.631,-0.0,-0.13,0.98,0.0,0.46,12.56
0.649,-0.0,-0.15,1.0,-2.34,0.66,11.77
0.667,0.03,-0.16,0.99,-2.76,-5.88,9.68
0.691,0.02,-0.19,1.01,-3.08,-5.13,8.21
0.709,0.01,-0.18,1.01,-2.7,-1.65,6.63
0.728,-0.0,-0.19,1.03,-0.35,-0.14,6.2
0.751,0.01,-0.19,1.03,-1.36,0.72,5.3
0.769,0.04,-0.17,1.01,2.29,-2.05,4.75
0.788,0.01,-0.15,1.02,2.32,2.2,4.21
0.808,0.01,-0.16,0.99,1.91,1.86,1.76
0.832,-0.02,-0.17,1.0,2.6,-1.4,1.05
0.85,-0.01,-0.18,1.01,0.31,-0.21,1.16
0.869,-0.0,-0.16,0.99,2.09,-1.76,1.08
0.887,-0.01,-0.16,1.0,2.21,-1.4,1.39
0.911,0.0,-0.17,1.0,0.06,-3.86,1.3
0.929,0.0,-0.18,1.0,1.39,-3.04,1.6
0.948,0.01,-0.17,0.99,1.79,-2.63,0.7
0.971,0.02,-0.16,0.99,2.64,-1.92,1.27
0.99,-0.0,-0.17,0.99,2.38,0.02,-0.18
1.008,0.01,-0.17,0.99,0.98,-0.98,-0.99
1.032,0.03,-0.17,0.98,2.49,-1.6,-0.4
1.05,0.02,-0.15,0.98,1.8,2.5,-0.89
1.068,0.01,-0.17,1.0,1.4,2.96,-2.05
1.087,0.01,-0.16,0.99,1.95,0.47,-3.83
1.111,0.01,-0.17,1.01,2.17,1.13,-4.55
1.129,-0.03,-0.16,0.99,1.98,3.36,-4.63
1.147,-0.02,-0.16,0.99,2.82,1.63,-4.98
1.171,-0.03,-0.16,0.98,2.76,1.11,-4.18
1.189,-0.03,-0.16,0.98,0.95,2.27,-5.24
1.208,-0.02,-0.15,0.98,0.92,0.49,-3.65
1.231,-0.02,-0.16,0.99,0.44,1.8,-3.31
1.25,-0.01,-0.15,0.98,-0.12,1.13,-3.73
1.268,-0.01,-0.16,0.99,-0.11,0.35,-2.96
1.291,-0.01,-0.16,0.99,-0.69,1.01,-3.8
1.31,-0.0,-0.17,1.01,-0.61,-0.49,-3.27
1.328,0.01,-0.15,0.99,-0.23,0.66,-3.37
1.352,0.0,-0.16,1.0,0.02,1.02,-3.21
1.37,0.0,-0.16,0.99,0.41,-0.18,-3.33
1.388,0.0,-0.15,0.99,1.3,0.63,-3.51
1.412,-0.0,-0.17,1.0,0.53,1.57,-4.27
1.43,-0.0,-0.17,1.0,0.72,-0.27,-4.92
1.449,-0.02,-0.17,1.0,0.55,-0.49,-4.46
1.467,-0.01,-0.17,1.0,1.02,0.69,-4.6
1.491,0.01,-0.16,1.0,2.38,-0.05,-3.91
1.509,0.02,-0.17,1.0,1.62,-0.7,-5.04
1.527,0.01,-0.17,1.0,1.83,-0.41,-5.53
1.551,0.01,-0.17,1.0,1.89,0.37,-6.44
1.569,0.01,-0.18,1.01,2.56,-0.63,-7.45
1.588,0.02,-0.17,0.99,3.62,-0.81,-7.42
1.611,0.01,-0.16,0.99,4.26,0.32,-7.74
1.63,0.01,-0.16,0.99,2.43,1.54,-8.29
1.649,0.01,-0.17,0.99,1.8,0.32,-8.49
1.672,0.02,-0.18,0.99,1.65,0.03,-8.87
1.69,0.04,-0.17,0.98,1.37,1.24,-10.05
1.709,0.04,-0.17,0.99,0.99,0.5,-11.91
1.732,0.05,-0.19,1.0,-0.99,-1.73,-13.63
1.75,0.05,-0.19,0.99,0.26,-2.61,-14.24
