timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.28,0.84,0.49,-3.39,-5.89,0.32
0.002,0.29,0.85,0.49,-3.07,-4.34,0.76
0.004,0.29,0.86,0.48,-3.98,-0.24,0.29
0.005,0.28,0.86,0.49,-3.91,-1.19,-0.55
0.007,0.29,0.86,0.48,-4.72,-1.92,-0.43
0.008,0.29,0.84,0.49,-5.42,-0.73,-1.6
0.009,0.28,0.85,0.5,-4.0,-1.04,-1.21
0.01,0.28,0.86,0.5,-3.88,0.56,-1.11
0.012,0.28,0.86,0.49,-3.48,-0.69,-2.09
0.013,0.27,0.85,0.5,-4.12,-0.75,-2.15
0.014,0.27,0.84,0.49,-4.09,0.89,-2.2
0.015,0.27,0.85,0.49,-3.6,2.87,-0.85
0.016,0.25,0.85,0.47,-4.85,4.49,-0.26
0.017,0.26,0.85,0.49,-5.74,1.77,-1.42
0.019,0.26,0.86,0.49,-5.4,1.76,-0.84
0.02,0.26,0.86,0.48,-7.62,4.66,-0.96
0.021,0.26,0.86,0.47,-7.92,2.89,-0.32
0.022,0.27,0.88,0.48,-10.56,3.31,-0.95
0.023,0.26,0.86,0.49,-12.29,0.17,-2.87
0.024,0.26,0.85,0.49,-12.47,-1.28,-2.92
0.025,0.27,0.82,0.5,-13.02,0.32,-3.28
0.026,0.26,0.81,0.48,-11.13,2.85,-1.79
0.027,0.25,0.83,0.47,-13.34,7.11,-1.08
0.028,0.24,0.83,0.51,-17.02,-1.33,-4.78
0.029,0.25,0.8,0.52,-13.89,-7.97,-5.51
0.03,0.28,0.81,0.52,-11.65,-0.78,-3.37
0.031,0.27,0.84,0.5,-13.74,3.57,-4.79
0.032,0.26,0.84,0.49,-16.52,0.09,-4.55
0.033,0.25,0.82,0.47,-19.89,6.58,-2.52
0.035,0.22,0.85,0.43,-24.21,16.55,2.21
0.035,0.18,0.86,0.38,-30.89,19.19,4.81
0.036,0.15,0.84,0.37,-40.08,12.06,4.18
0.037,0.16,0.8,0.38,-47.76,3.39,3.25
0.038,0.18,0.77,0.35,-54.14,5.01,5.68
0.039,0.18,0.74,0.31,-63.83,12.79,9.47
0.04,0.21,0.68,0.35,-74.46,8.87,6.44
0.041,0.23,0.66,0.35,-78.98,3.42,6.24
0.042,0.28,0.65,0.3,-88.23,17.88,8.58
0.043,0.3,0.62,0.26,-102.12,41.3,13.15
0.044,0.23,0.58,0.3,-116.14,44.11,12.12
0.044,0.21,0.46,0.41,-128.7,24.79,2.24
0.045,0.21,0.37,0.53,-126.18,10.52,-0.06
0.046,0.21,0.36,0.5,-119.33,25.74,-0.24
0.047,0.14,0.38,0.52,-123.34,42.34,-1.33
0.048,0.1,0.35,0.56,-129.69,33.69,-5.33
0.049,0.09,0.25,0.68,-138.56,1.36,-20.12
0.05,0.14,0.15,0.84,-134.34,-28.5,-31.15
0.05,0.16,0.19,0.89,-117.27,-22.17,-23.8
0.051,0.19,0.2,0.85,-118.27,14.95,-8.17
0.052,0.13,0.15,0.87,-124.89,48.43,6.89
0.053,0.09,0.1,0.94,-132.89,58.4,11.34
0.054,0.07,0.05,1.01,-135.56,57.47,14.43
0.055,0.04,-0.02,1.07,-134.31,65.22,16.11
0.056,-0.03,-0.13,1.21,-125.6,52.76,14.53
0.056,-0.01,-0.25,1.38,-109.47,27.34,4.2
0.057,0.08,-0.27,1.41,-86.69,12.93,-5.66
0.058,0.09,-0.23,1.33,-71.63,36.55,-4.79
0.059,-0.08,-0.18,1.25,-65.48,68.52,9.74
0.06,-0.15,-0.18,1.24,-71.66,73.44,16.5
0.061,-0.14,-0.26,1.33,-64.79,45.01,10.64
0.061,-0.08,-0.27,1.32,-52.9,27.83,1.82
0.062,-0.12,-0.24,1.27,-45.44,29.16,0.95
0.063,-0.15,-0.25,1.25,-43.88,24.46,5.44
0.064,-0.12,-0.27,1.26,-39.34,11.27,6.03
0.065,-0.1,-0.3,1.26,-33.24,-1.6,3.56
0.065,-0.08,-0.33,1.33,-19.54,-23.24,8.32
0.066,-0.05,-0.3,1.18,-19.94,-6.37,4.34
0.067,-0.06,-0.25,1.09,-20.38,1.79,9.47
0.068,-0.09,-0.24,1.06,-25.71,8.99,11.34
0.068,-0.08,-0.22,1.03,-31.71,-0.02,6.93
0.069,-0.04,-0.29,1.07,-31.16,-13.45,3.11
0.07,0.02,-0.3,1.1,-26.75,-14.12,2.29
0.071,0.03,-0.28,1.14,-19.98,-11.97,5.88
0.071,0.04,-0.28,1.09,-19.13,5.05,5.45
0.072,0.01,-0.26,1.04,-19.68,8.29,2.43
0.073,-0.04,-0.29,1.04,-16.95,1.08,1.47
0.074,-0.03,-0.32,1.07,-15.51,-2.72,0.03
0.074,-0.02,-0.33,1.08,-9.68,-1.85,2.35
0.075,-0.02,-0.31,1.05,-3.95,5.36,3.89
0.076,-0.04,-0.28,1.01,-4.64,12.26,2.73
0.077,-0.08,-0.29,1.01,-4.06,8.24,2.61
0.077,-0.07,-0.29,1.02,-1.1,2.15,2.02
0.078,-0.06,-0.3,1.0,1.39,1.34,1.48
0.079,-0.07,-0.3,1.0,1.16,4.0,2.63
0.08,-0.02,-0.28,0.96,4.55,2.95,0.58
0.08,-0.03,-0.28,0.96,5.94,2.53,-0.69
0.081,-0.05,-0.3,0.96,4.34,4.87,-1.15
0.099,-0.05,-0.3,0.96,3.59,4.43,-0.43
0.123,-0.05,-0.28,0.96,4.44,4.05,0.5
0.141,-0.05,-0.29,0.96,2.87,2.15,-0.96
0.159,-0.07,-0.27,0.96,4.05,-1.05,-1.77
0.183,-0.07,-0.28,0.96,2.21,-1.91,-0.69
0.201,-0.06,-0.27,0.96,2.06,-2.76,-0.87
0.22,-0.05,-0.28,0.97,0.69,-5.83,-1.31
0.243,-0.06,-0.28,0.96,0.12,-8.55,-2.34
0.261,-0.07,-0.27,0.98,1.05,-6.92,-2.34
0.28,-0.08,-0.28,0.96,0.82,-3.02,-1.4
0.303,-0.11,-0.27,0.95,2.21,-4.89,-1.89
0.321,-0.1,-0.26,0.96,3.45,-6.26,-0.06
0.34,-0.09,-0.27,0.96,2.72,-3.94,2.75
0.363,-0.08,-0.26,0.97,5.1,-4.5,3.39
0.382,-0.06,-0.27,0.97,6.27,-7.57,1.71
0.4,-0.05,-0.26,0.96,7.42,-6.81,3.01
0.418,-0.06,-0.26,0.96,6.09,-1.08,4.52
0.442,-0.04,-0.26,0.96,3.11,0.12,5.85
0.461,-0.05,-0.25,0.95,3.37,-2.49,6.38
0.479,-0.04,-0.25,0.93,2.35,-4.66,7.04
0.503,-0.04,-0.26,0.94,-2.56,0.72,6.4
0.521,-0.03,-0.25,0.96,-4.02,0.85,6.17
0.539,-0.03,-0.25,0.97,-4.0,-1.13,6.43
0.563,-0.01,-0.26,0.96,-4.81,-2.06,6.46
0.581,-0.0,-0.27,1.0,-6.18,-2.55,4.85
0.599,-0.02,-0.27,1.01,-4.95,-4.18,2.18
0.623,-0.02,-0.29,1.03,-3.91,-5.88,-0.2
0.641,-0.01,-0.31,1.03,-2.92,-8.38,-0.96
0.659,-0.02,-0.3,1.01,0.53,-6.12,-0.81
0.683,-0.03,-0.3,1.0,2.55,-2.46,-0.02
0.701,-0.03,-0.29,0.99,4.99,-1.11,0.46
0.719,-0.03,-0.27,0.98,6.96,-2.53,1.3
0.743,-0.02,-0.27,0.98,6.85,-2.98,-0.52
0.761,-0.02,-0.27,0.97,7.4,-5.71,-1.11
0.78,-0.01,-0.26,0.96,8.09,-4.95,-0.89
0.803,0.0,-0.26,0.96,6.75,-1.3,-0.37
0.821,-0.01,-0.24,0.95,6.56,-1.18,0.05
0.84,-0.02,-0.24,0.94,5.47,-2.05,0.31
0.863,-0.01,-0.25,0.96,2.35,-1.94,0.43
0.882,0.01,-0.26,0.98,-0.29,-2.09,0.37
0.9,0.01,-0.26,0.96,0.7,-2.08,-0.24
0.919,0.0,-0.26,0.98,0.92,-0.43,-0.43
0.942,-0.01,-0.26,0.98,0.9,0.41,-0.66
0.96,-0.03,-0.27,1.0,2.06,3.39,-1.91
0.979,-0.02,-0.27,1.0,0.26,0.02,-1.59
1.002,-0.02,-0.26,0.98,1.98,0.72,-1.04
1.021,-0.03,-0.27,0.98,2.15,1.21,-0.9
1.039,-0.02,-0.26,0.97,2.56,0.44,-1.73
1.063,-0.02,-0.25,0.96,3.53,-1.94,-1.15
1.081,-0.02,-0.25,0.98,1.39,-1.19,-1.34
