timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.002,-0.06,-0.0,0.99,-16.0,16.46,-11.65
0.004,-0.04,-0.02,0.98,-18.95,29.6,-6.37
0.005,-0.06,-0.07,1.03,-20.78,13.62,-16.5
0.006,-0.09,-0.1,1.07,-16.41,-8.18,-24.03
0.008,-0.12,-0.08,1.06,-8.26,-1.48,-17.02
0.009,-0.11,-0.05,1.04,-4.92,22.5,-8.29
0.011,-0.12,-0.05,1.04,-6.95,22.9,-4.98
0.012,-0.14,-0.07,1.08,-7.76,-0.03,-10.43
0.013,-0.12,-0.07,1.08,-3.73,-10.06,-11.21
0.014,-0.11,-0.07,1.09,-0.18,-2.96,-6.08
0.016,-0.11,-0.05,1.06,4.55,4.61,0.37
0.017,-0.08,-0.05,1.04,1.44,4.95,4.12
0.018,-0.06,-0.05,1.04,0.63,0.02,5.37
0.019,-0.06,-0.04,1.03,0.53,0.58,7.48
0.02,-0.03,-0.07,1.08,0.5,-3.73,5.63
0.022,-0.01,-0.05,1.07,8.66,-7.1,3.45
0.023,-0.0,-0.03,1.01,8.0,-0.63,4.79
0.024,0.02,-0.04,1.01,2.47,2.4,4.63
0.025,0.01,-0.04,1.02,3.07,1.42,4.47
0.026,0.0,-0.05,1.03,3.45,6.89,3.57
0.027,-0.02,-0.05,1.03,5.57,2.15,1.04
0.028,-0.02,-0.03,0.98,6.63,-0.89,2.31
0.029,-0.01,-0.02,0.96,2.67,6.47,3.8
0.03,-0.04,-0.01,0.96,-0.27,6.4,5.02
0.031,-0.03,0.0,0.96,-3.68,4.6,6.5
0.032,-0.03,-0.0,0.96,-8.08,3.6,6.93
0.033,-0.01,-0.01,0.99,-8.58,-0.32,5.02
0.034,-0.02,-0.06,1.03,-7.48,-0.23,1.63
0.035,-0.05,-0.06,1.04,-4.2,-0.66,1.25
0.036,-0.04,-0.07,1.05,-4.32,-0.99,2.15
0.037,-0.0,-0.11,1.05,-0.37,-4.61,3.4
0.038,-0.02,-0.08,1.07,-1.08,-1.56,2.78
0.039,-0.02,-0.07,1.08,1.57,-3.22,1.04
0.04,-0.02,-0.06,1.04,4.5,-4.78,-0.9
0.041,-0.02,-0.04,1.02,3.28,-4.34,0.06
0.042,-0.04,-0.04,1.0,2.37,0.27,1.37
0.043,-0.04,-0.04,1.0,0.11,0.18,3.25
0.044,-0.02,-0.05,1.02,1.59,-5.42,5.47
0.044,-0.0,-0.04,1.0,1.25,-4.27,4.75
0.045,-0.0,-0.04,1.01,-0.27,-7.18,4.27
