timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.002,0.02,-0.04,1.02,-0.15,5.15,1.51
0.004,0.02,-0.03,1.01,0.95,4.2,1.33
0.005,0.03,-0.02,0.98,0.75,3.25,2.2
0.007,0.03,-0.03,1.01,-4.17,3.34,2.7
0.008,0.02,-0.05,1.03,-3.79,3.94,2.84
0.009,0.03,-0.06,1.04,-4.23,5.86,2.96
0.011,0.03,-0.06,1.04,-2.35,5.42,5.01
0.012,0.05,-0.08,1.06,-1.39,4.2,3.27
0.013,0.04,-0.07,1.05,1.94,-1.51,1.39
0.014,0.04,-0.07,1.04,0.27,2.0,1.42
0.016,0.03,-0.06,1.05,-0.52,2.21,1.83
0.017,0.05,-0.07,1.08,1.48,1.05,1.66
0.018,0.03,-0.08,1.06,4.11,1.04,1.16
0.019,0.04,-0.08,1.06,5.88,-0.64,0.03
0.021,0.02,-0.07,1.06,9.05,-0.96,-0.2
0.022,0.02,-0.05,1.03,10.38,1.19,1.02
0.023,0.01,-0.04,1.03,8.78,2.14,1.73
0.024,0.03,-0.05,1.0,6.55,-0.24,2.03
0.025,0.03,-0.03,1.01,5.85,0.18,2.29
0.026,0.04,-0.04,1.01,6.67,0.99,1.77
0.027,0.05,-0.03,1.01,6.56,1.66,1.63
0.028,0.05,-0.02,1.0,4.96,4.53,0.98
0.029,0.06,-0.02,1.0,4.37,4.87,0.49
0.03,0.05,-0.04,1.01,4.38,0.84,-1.89
0.031,0.03,-0.03,0.99,3.31,3.31,-1.28
0.032,0.04,-0.04,1.0,1.77,6.6,-0.56
0.033,0.04,-0.04,1.0,1.15,4.06,-1.1
0.034,0.04,-0.05,1.02,0.67,3.44,-2.05
0.035,0.03,-0.04,1.02,-0.73,4.85,-0.29
0.036,0.03,-0.05,1.05,-0.26,5.91,0.03
0.037,0.04,-0.06,1.06,1.18,2.46,-1.53
0.038,0.05,-0.05,1.06,2.81,-1.3,-2.81
0.039,0.04,-0.06,1.05,3.65,0.52,-3.19
0.04,0.05,-0.06,1.05,5.47,3.88,-4.81
0.04,0.04,-0.06,1.03,7.86,5.44,-6.63
0.041,0.01,-0.06,1.02,8.73,4.53,-5.36
0.042,0.0,-0.04,1.05,11.01,5.85,-2.53
0.043,0.0,-0.02,1.02,14.75,8.52,-2.03
0.044,-0.02,-0.0,1.0,13.77,4.44,-3.25
0.045,-0.04,0.01,1.0,13.27,0.75,-1.76
0.046,-0.02,0.03,1.01,13.01,3.5,2.52
0.047,-0.01,0.02,1.0,14.67,1.83,4.08
0.048,-0.0,0.03,1.0,16.11,-6.32,5.95
0.048,0.01,0.04,0.97,14.24,-7.11,9.28
0.049,0.05,0.03,0.97,12.73,-6.24,7.8
0.05,0.06,0.03,0.97,12.05,-7.94,3.85
0.051,0.06,0.04,0.99,11.02,-3.27,-1.08
0.052,0.05,0.04,0.99,12.55,-2.26,-3.86
0.053,0.04,0.05,0.99,10.52,-2.73,-6.63
0.054,0.05,0.06,0.98,3.92,-4.87,-8.56
0.054,0.03,0.05,0.99,-2.78,-5.13,-12.15
0.055,0.03,0.03,1.04,-4.95,-5.1,-13.8
0.056,0.01,0.01,1.08,-1.27,-6.55,-11.1
0.057,0.02,0.02,1.07,1.08,-3.34,-9.22
0.058,0.01,0.02,1.06,1.68,-3.77,-6.43
0.058,-0.01,0.03,1.05,0.55,-5.77,-2.95
0.059,0.01,0.03,1.05,1.21,-4.43,-0.84
0.06,0.03,0.02,1.04,0.79,-4.72,-0.61
0.061,0.05,0.03,1.04,3.3,-7.22,-3.4
0.062,0.03,0.05,1.02,1.51,-4.73,-4.58
0.062,0.03,0.04,1.02,-2.12,-2.41,-4.84
0.063,0.01,0.04,1.01,-4.96,-3.92,-4.6
0.064,0.02,0.03,1.02,-7.34,-4.34,-3.59
0.065,0.01,0.01,1.02,-6.11,-3.22,-4.41
0.065,0.0,0.0,1.02,-5.65,-2.6,-2.53
0.066,-0.01,0.0,1.02,-4.69,-1.39,-0.76
0.067,-0.0,0.0,1.02,-6.98,-0.08,0.34
0.068,0.01,-0.02,1.03,-8.27,-1.47,0.61
0.069,0.01,-0.03,1.05,-6.61,-6.03,0.89
0.069,0.01,-0.03,1.05,-5.05,-1.57,2.49
0.07,0.02,-0.04,1.03,-3.65,-0.15,1.25
0.071,0.02,-0.02,1.03,-2.69,1.42,0.23
0.071,0.02,-0.01,1.02,-3.92,3.89,0.29
0.072,0.01,-0.01,1.02,-4.29,2.81,-0.96
0.073,-0.0,-0.01,1.05,-5.21,0.52,0.31
0.074,-0.01,-0.03,1.03,-4.02,2.27,1.97
0.074,0.0,-0.04,1.04,-2.85,4.21,2.67
0.075,-0.01,-0.04,1.04,-0.73,-1.54,1.85
0.076,0.01,-0.04,1.03,0.08,0.14,2.0
0.077,0.01,-0.04,1.01,-1.86,2.87,2.79
0.077,0.0,-0.06,1.04,-3.02,0.31,2.0
0.078,0.0,-0.05,1.04,-0.92,-1.69,0.75
0.079,-0.0,-0.04,1.03,-0.06,1.21,1.15
0.087,-0.02,-0.03,1.06,-1.89,2.6,1.59
0.105,-0.03,-0.04,1.07,-1.85,-2.53,2.79
0.128,-0.03,-0.03,1.1,-1.19,-3.62,2.69
0.147,-0.01,-0.03,1.1,0.11,-2.96,2.63
0.165,-0.01,-0.02,1.09,-0.34,-1.05,3.34
0.188,-0.0,-0.03,1.09,-0.56,1.04,3.51
0.206,-0.02,-0.03,1.09,-0.73,-1.45,1.94
0.229,-0.03,-0.03,1.09,-0.06,-5.83,4.64
0.247,-0.02,-0.05,1.08,0.76,-3.56,5.36
0.265,-0.04,-0.05,1.07,3.15,-7.42,7.76
0.288,0.03,-0.04,1.07,5.71,-9.05,10.34
0.306,-0.01,-0.05,1.06,9.48,-4.47,7.91
0.324,-0.04,-0.02,1.04,11.5,-9.27,6.17
0.348,-0.04,0.0,1.03,13.5,-12.41,10.56
0.365,-0.03,0.0,1.01,13.92,-5.74,12.64
0.389,-0.07,0.0,1.0,12.95,-7.44,16.23
0.407,-0.08,0.0,1.0,13.92,-8.61,21.65
0.424,-0.02,-0.01,0.99,14.69,-1.04,22.12
0.448,-0.04,0.0,0.99,18.89,-6.41,24.15
0.465,-0.01,0.04,0.95,18.03,-4.21,26.63
0.489,0.0,0.04,0.93,14.64,-0.43,27.48
0.507,0.0,0.02,0.93,11.68,-1.28,27.28
0.525,-0.01,0.02,0.96,8.87,-3.6,28.67
0.548,0.04,0.01,0.97,9.07,1.8,29.8
0.567,0.04,0.02,0.97,11.18,2.72,29.07
0.585,0.03,0.04,0.96,10.11,2.79,27.5
0.608,0.04,0.04,0.96,7.05,3.25,27.42
0.626,0.05,0.02,0.94,5.01,7.77,27.94
0.645,0.04,0.03,0.96,3.59,8.92,28.41
0.668,0.07,0.04,0.94,3.89,8.85,25.66
0.686,0.05,0.05,0.94,3.11,5.16,24.81
0.704,0.08,0.05,0.91,2.29,8.14,26.82
0.728,0.11,0.05,0.91,3.44,13.82,24.11
0.746,0.1,0.05,0.91,6.55,12.37,21.21
0.769,0.08,0.07,0.9,5.88,10.55,20.56
0.787,0.11,0.07,0.85,1.04,12.63,19.8
0.806,0.1,0.04,0.9,-5.94,8.15,20.11
0.829,0.1,0.03,0.9,-5.74,10.69,19.88
0.847,0.09,0.01,0.88,-7.95,12.14,15.71
0.865,0.02,-0.02,0.88,1.02,0.0,16.95
0.888,0.04,0.04,0.92,-0.37,-1.16,20.84
0.906,0.07,0.06,0.88,-6.92,5.31,25.21
0.924,0.12,0.04,0.85,-18.24,4.7,19.95
0.948,0.1,0.03,0.92,-32.09,2.06,17.71
0.965,0.06,-0.01,0.97,-32.09,1.91,18.15
0.989,0.09,-0.05,1.02,-23.54,1.88,16.63
1.007,0.1,-0.06,1.01,-16.96,-2.4,15.13
1.025,0.14,-0.03,0.94,-18.78,-0.82,14.46
1.048,0.16,-0.04,0.92,-29.51,-0.64,7.97
1.066,0.12,-0.07,0.97,-36.38,-7.07,4.38
1.089,0.13,-0.1,1.02,-33.91,-0.85,3.31
1.107,0.11,-0.13,1.04,-20.75,-7.51,-2.47
1.124,0.15,-0.09,0.96,-17.68,-8.27,-0.58
1.148,0.16,-0.09,0.93,-24.35,2.7,-3.91
1.166,0.11,-0.12,0.93,-26.67,-6.02,-8.35
1.189,0.12,-0.15,0.93,-31.02,-6.5,-11.54
1.206,0.08,-0.2,0.94,-30.73,-7.62,-15.86
1.224,0.05,-0.25,1.0,-27.91,-18.03,-18.02
1.247,-0.01,-0.27,1.02,-23.19,-24.93,-16.23
1.265,0.05,-0.24,1.04,-22.31,-17.6,-9.57
1.288,0.14,-0.2,0.99,-25.59,-12.95,-9.82
1.305,0.14,-0.15,0.92,-38.66,-14.14,-11.24
1.328,0.19,-0.18,0.94,-53.16,-11.18,-12.27
1.346,0.14,-0.26,1.1,-56.76,-12.15,-15.76
1.369,0.15,-0.3,1.15,-40.5,-14.98,-13.98
1.387,0.19,-0.27,1.03,-30.24,-0.6,-11.69
1.405,0.2,-0.22,0.88,-34.87,0.26,-15.25
1.428,0.16,-0.27,0.91,-50.66,-11.6,-15.08
1.445,0.16,-0.35,1.02,-50.81,-16.49,-13.08
1.468,0.2,-0.36,0.97,-41.54,-13.13,-9.21
1.486,0.18,-0.38,0.96,-41.97,-17.92,-12.5
1.509,0.19,-0.44,1.01,-39.74,-36.32,-10.81
1.527,0.29,-0.47,1.07,-30.26,-41.07,-11.77
1.544,0.27,-0.48,1.08,-18.27,-39.5,-17.36
1.567,0.29,-0.42,1.0,-18.31,-21.83,-20.41
1.585,0.27,-0.42,1.05,-30.78,-8.31,-20.85
1.608,0.28,-0.46,1.07,-33.42,-2.41,-19.16
1.626,0.33,-0.43,1.12,-25.33,-1.54,-19.92
1.649,0.39,-0.43,1.06,-25.27,5.57,-28.63
1.667,0.37,-0.42,1.06,-25.66,14.67,-38.96
1.685,0.32,-0.44,1.04,-22.5,18.52,-46.7
1.708,0.31,-0.46,1.1,-25.01,25.27,-46.14
1.725,0.3,-0.46,1.07,-18.15,21.83,-50.93
1.749,0.29,-0.43,1.06,-16.37,22.46,-53.53
1.766,0.26,-0.46,1.05,-14.7,25.04,-54.69
1.784,0.27,-0.47,1.05,-14.46,29.97,-58.37
1.807,0.18,-0.46,1.04,-12.85,26.08,-57.01
1.825,0.19,-0.46,1.08,-11.3,24.05,-53.31
1.848,0.28,-0.47,1.09,-6.92,29.62,-54.41
1.866,0.28,-0.46,1.08,-4.11,35.77,-59.57
1.889,0.22,-0.47,1.07,-1.27,25.71,-67.18
1.907,0.17,-0.42,1.02,-1.27,25.89,-64.76
1.925,0.18,-0.42,1.05,-4.92,24.11,-63.04
1.948,0.2,-0.42,1.08,1.82,17.95,-60.05
1.966,0.22,-0.42,1.08,5.79,19.94,-60.85
1.989,0.18,-0.43,1.08,9.86,18.18,-61.85
2.007,0.14,-0.42,1.05,12.31,12.03,-58.95
2.025,0.13,-0.4,1.02,8.9,11.05,-54.87
2.048,0.15,-0.43,1.08,11.57,3.59,-52.09
2.066,0.21,-0.43,1.07,19.48,5.28,-51.62
2.089,0.2,-0.4,1.05,20.4,10.21,-55.74
2.107,0.14,-0.4,1.05,21.74,4.21,-55.36
2.125,0.15,-0.4,1.0,27.89,-6.23,-48.41
2.148,0.11,-0.38,1.03,25.57,-1.08,-40.85
2.166,0.16,-0.38,1.07,20.53,-0.05,-43.1
2.189,0.21,-0.4,1.1,22.44,3.76,-43.47
2.207,0.21,-0.37,1.1,27.74,18.05,-47.6
2.225,0.11,-0.33,1.06,28.79,27.05,-46.72
2.248,0.06,-0.29,1.03,24.12,26.35,-39.68
2.266,0.1,-0.32,1.05,17.42,20.64,-37.22
2.289,0.09,-0.34,1.13,26.9,6.31,-36.26
2.307,0.12,-0.3,1.08,32.06,12.37,-32.73
2.325,0.11,-0.27,1.03,23.6,28.87,-30.15
2.348,0.06,-0.27,1.06,5.56,41.45,-23.39
2.366,0.03,-0.35,1.21,13.07,11.92,-27.05
2.389,0.03,-0.37,1.19,40.08,-9.34,-24.89
2.407,0.05,-0.28,1.09,40.31,0.9,-19.47
2.425,0.05,-0.26,1.1,37.36,1.25,-14.44
2.448,0.06,-0.24,1.05,36.02,-10.38,-12.79
2.466,0.07,-0.22,1.02,35.82,2.29,-9.33
2.489,0.08,-0.23,1.07,40.41,29.24,-5.19
2.507,0.03,-0.24,1.09,48.61,25.59,-0.81
2.525,0.03,-0.23,1.08,51.66,15.73,2.0
2.549,0.03,-0.19,1.01,55.88,13.86,8.15
2.566,0.04,-0.13,0.91,51.39,23.68,13.22
2.584,0.03,-0.12,0.95,44.61,20.21,18.95
2.608,0.05,-0.12,1.01,45.76,11.89,19.86
2.626,0.09,-0.1,0.97,43.69,7.33,20.11
2.649,0.1,-0.06,0.93,35.86,22.47,21.39
2.667,0.08,-0.04,0.89,27.19,29.27,20.26
2.685,0.06,-0.03,0.92,20.7,19.31,19.24
2.708,0.06,-0.03,0.95,22.47,7.91,20.81
2.726,0.06,-0.02,0.97,24.47,8.0,25.27
2.749,0.09,-0.01,0.97,25.16,23.68,27.42
2.767,0.1,0.02,0.92,18.05,38.82,27.21
2.785,0.06,0.0,0.91,9.6,32.73,29.31
2.808,0.04,-0.01,0.93,3.88,17.3,32.76
2.827,0.05,-0.0,0.95,8.26,7.56,36.44
2.845,0.06,-0.0,0.95,12.09,3.8,36.63
2.868,0.05,-0.0,0.95,16.21,-2.81,35.69
2.886,0.03,0.02,0.89,18.76,1.01,37.59
2.904,0.03,0.06,0.86,14.15,18.93,39.5
2.927,0.03,0.05,0.89,10.06,24.31,38.29
2.945,-0.01,0.03,0.91,15.25,6.37,40.2
2.969,0.04,0.04,0.89,14.14,8.23,45.28
2.987,0.05,0.03,0.91,9.53,12.06,44.34
3.005,0.04,0.03,0.93,9.97,4.72,43.13
3.028,0.06,0.03,0.91,9.76,8.14,40.89
3.047,0.04,0.05,0.91,8.49,13.76,43.66
3.065,0.05,0.05,0.9,8.5,13.34,49.69
3.088,0.06,0.06,0.9,7.98,13.31,53.48
3.107,0.09,0.07,0.9,4.98,14.0,55.71
3.125,0.09,0.05,0.91,0.89,5.47,51.18
3.148,0.07,0.06,0.92,-0.03,-3.83,52.67
3.166,0.12,0.07,0.96,0.63,5.31,56.15
3.184,0.17,0.03,0.99,2.29,15.51,54.82
3.207,0.15,0.02,1.0,5.68,10.93,49.79
3.226,0.11,0.03,0.99,9.07,3.94,42.64
3.249,0.11,0.04,0.96,11.3,6.96,40.09
3.267,0.09,0.06,0.96,4.41,15.74,41.44
3.285,0.1,0.06,0.98,2.82,16.72,43.63
3.309,0.11,0.05,0.99,3.57,18.47,39.22
3.327,0.08,0.07,1.0,4.09,13.57,36.12
3.345,0.11,0.08,0.98,1.57,13.88,35.04
3.368,0.1,0.07,0.97,-2.29,13.57,33.73
3.386,0.09,0.06,0.99,-6.11,16.64,30.92
3.404,0.04,0.07,1.0,-6.02,13.82,27.59
3.427,0.03,0.07,0.99,-4.6,12.0,27.74
