timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,-0.03,0.04,0.94,-11.54,19.44,-6.79
0.003,-0.0,0.03,0.95,-16.2,21.56,-6.15
0.004,-0.02,-0.0,0.99,-14.4,5.89,-15.73
0.006,-0.05,-0.01,0.99,-10.2,-9.8,-19.65
0.007,-0.04,-0.01,0.98,-14.69,-4.99,-13.65
0.008,-0.02,-0.01,1.01,-18.63,9.37,-7.65
0.01,-0.02,-0.04,1.07,-15.11,7.65,-8.5
0.011,-0.02,-0.05,1.09,-9.39,-7.31,-11.59
0.013,0.01,-0.04,1.06,-8.11,-10.92,-11.42
0.014,-0.01,-0.05,1.09,-9.21,-4.09,-7.24
0.015,-0.01,-0.06,1.1,-6.46,2.12,-2.72
0.016,0.0,-0.06,1.1,-3.18,5.97,0.08
0.018,0.02,-0.07,1.14,-0.18,0.18,-1.98
0.019,0.02,-0.08,1.13,5.56,-5.39,-2.56
0.02,0.03,-0.06,1.1,8.72,-3.6,-1.4
0.021,0.04,-0.02,1.05,10.46,2.18,0.21
0.022,0.03,-0.02,1.04,6.72,4.44,0.15
0.023,0.03,-0.02,1.03,6.14,3.8,0.24
0.024,0.03,-0.04,1.06,6.21,-1.59,-5.65
0.025,0.02,-0.03,1.05,13.71,-7.71,-3.13
0.027,0.03,0.0,0.99,10.75,3.53,-1.97
0.028,0.01,-0.0,0.99,6.66,4.23,-0.35
0.029,0.03,0.01,0.97,5.53,-0.73,3.07
0.03,0.04,-0.01,0.98,0.24,3.36,1.39
0.031,0.0,-0.0,1.01,1.25,2.85,2.41
0.032,0.04,-0.01,1.0,1.01,1.36,0.95
0.033,0.02,-0.01,1.02,1.07,-0.76,-0.24
0.034,0.04,0.03,0.98,0.14,1.71,2.06
0.035,0.04,0.01,0.99,-2.84,5.62,3.65
0.036,0.03,0.02,0.99,-3.15,7.59,4.41
0.037,0.05,-0.01,1.01,-7.39,5.68,2.26
0.038,0.04,-0.05,1.07,-2.6,-3.71,-0.95
0.038,0.02,-0.03,1.04,3.01,-2.35,-0.79
0.039,0.04,-0.03,1.03,1.53,2.93,0.4
0.04,0.03,-0.02,1.03,3.56,2.35,0.15
0.041,0.04,-0.0,1.0,0.6,5.18,-0.14
0.042,0.03,-0.01,1.03,0.14,-0.41,0.34
0.043,0.02,0.0,1.0,0.79,1.04,0.99
0.044,0.02,0.0,1.02,-4.82,3.34,0.26
0.045,-0.0,-0.02,0.98,-0.05,-8.96,0.64
0.046,-0.03,-0.01,1.0,-0.23,-7.05,0.03
0.047,-0.08,-0.03,1.01,-2.31,-3.71,5.08
0.047,-0.11,-0.04,1.01,-2.37,-4.5,7.39
0.048,-0.13,-0.07,1.04,0.46,-12.37,3.18
0.049,-0.18,-0.08,1.05,7.66,-25.3,0.17
0.05,-0.21,-0.06,1.0,11.5,-25.18,2.93
0.051,-0.29,-0.03,0.94,10.21,-15.27,11.27
0.052,-0.32,-0.03,0.89,4.75,-11.28,19.92
0.053,-0.31,-0.03,0.93,2.46,-19.95,27.28
0.053,-0.18,-0.0,0.94,1.28,-24.79,41.63
0.054,0.01,0.01,1.0,-1.45,-10.72,47.79
0.055,0.11,0.02,1.08,1.88,-9.45,43.39
0.056,0.13,0.04,1.07,9.33,-19.51,37.73
0.057,0.2,0.09,1.02,5.88,-12.96,41.28
0.058,0.27,0.1,1.08,0.89,-1.11,41.47
0.059,0.3,0.09,1.13,3.24,0.7,36.46
