timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,-0.11,-0.22,0.96,1.11,1.62,-0.84
0.002,-0.1,-0.23,0.96,1.01,0.4,-1.21
0.004,-0.1,-0.21,0.95,0.5,-0.2,-1.44
0.005,-0.1,-0.21,0.95,0.17,-0.21,-0.99
0.006,-0.11,-0.22,0.95,-0.26,0.06,-0.03
0.007,-0.08,-0.24,0.97,-1.37,-2.09,-0.6
0.009,-0.08,-0.23,0.97,0.75,-1.33,-0.84
0.01,-0.09,-0.21,0.95,0.6,1.13,-1.51
0.011,-0.11,-0.23,0.96,-1.1,2.56,-1.94
0.012,-0.1,-0.24,0.97,-1.04,-0.05,-1.24
0.014,-0.08,-0.23,0.97,-0.35,0.35,-1.54
0.015,-0.07,-0.21,0.99,0.78,-0.08,-1.1
0.016,-0.11,-0.24,0.97,-0.23,0.35,-0.73
0.017,-0.1,-0.23,0.97,1.94,1.45,-1.33
0.018,-0.1,-0.22,0.97,1.68,0.72,-1.97
0.019,-0.1,-0.21,0.95,1.82,-0.41,-1.39
0.02,-0.09,-0.22,0.96,1.47,-0.26,-1.8
0.021,-0.09,-0.24,0.98,-0.31,-0.14,-1.24
0.022,-0.1,-0.22,0.95,1.85,1.19,-1.16
0.023,-0.09,-0.22,0.95,1.79,1.25,-2.08
0.024,-0.12,-0.22,0.96,1.79,-0.78,-2.67
0.025,-0.1,-0.22,0.97,0.92,-2.55,-1.57
0.026,-0.1,-0.23,0.96,0.49,-1.65,-0.73
0.027,-0.1,-0.23,0.95,0.79,-0.7,-0.43
0.028,-0.09,-0.23,0.95,0.76,0.81,0.08
0.029,-0.09,-0.23,0.94,0.41,-1.36,-0.14
0.03,-0.09,-0.21,1.01,0.4,-0.67,-0.38
0.031,-0.11,-0.25,0.98,-1.53,-0.47,-0.67
0.032,-0.1,-0.23,0.96,1.28,-0.21,-0.46
0.033,-0.1,-0.24,0.96,1.56,-0.55,-0.08
0.034,-0.09,-0.23,0.95,1.27,-1.13,-0.53
0.035,-0.08,-0.24,0.96,0.49,-2.66,-0.72
0.036,-0.08,-0.22,0.94,1.73,-1.44,-0.12
0.037,-0.09,-0.23,0.95,0.29,0.44,-0.37
0.038,-0.1,-0.23,0.93,1.11,-0.49,-0.93
0.039,-0.1,-0.23,0.95,0.6,-0.18,-1.16
0.04,-0.09,-0.23,0.95,0.03,-1.56,-0.95
0.04,-0.09,-0.25,0.97,-1.97,-2.64,-0.95
0.041,-0.08,-0.24,0.96,0.52,-0.09,-0.2
0.042,-0.09,-0.24,0.97,1.31,2.98,-1.54
0.043,-0.11,-0.24,0.97,1.18,4.11,-1.5
0.044,-0.11,-0.25,0.98,1.47,2.72,-1.69
0.045,-0.14,-0.25,1.0,1.15,-0.05,-1.86
