timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,-0.07,-0.2,1.0,2.34,-2.12,-0.12
0.002,-0.06,-0.18,0.98,2.02,-0.43,0.18
0.003,-0.08,-0.18,0.98,1.47,-0.82,0.02
0.005,-0.08,-0.18,0.99,1.24,-2.56,1.04
0.006,-0.05,-0.17,0.97,1.05,-1.57,2.08
0.007,-0.04,-0.21,0.99,1.89,-3.02,1.5
0.008,-0.05,-0.17,0.98,2.73,-2.26,0.08
0.009,-0.05,-0.18,0.96,2.58,-1.62,0.11
0.01,-0.07,-0.19,0.97,2.56,-0.9,1.15
0.012,-0.06,-0.17,0.95,1.04,-1.47,0.89
0.013,-0.07,-0.19,0.97,0.38,-3.39,1.19
0.014,-0.04,-0.19,0.96,-0.05,-2.63,0.79
0.015,-0.02,-0.2,0.97,1.92,-0.12,-0.17
0.016,-0.04,-0.2,0.96,2.64,3.57,-1.02
0.017,-0.09,-0.18,0.96,1.28,-0.35,-0.98
0.018,-0.06,-0.19,0.96,0.21,-4.03,0.18
0.019,-0.03,-0.18,0.96,0.26,0.17,-0.05
0.02,-0.06,-0.18,0.96,1.27,3.47,0.23
0.021,-0.07,-0.18,0.97,0.64,2.72,-1.05
0.022,-0.06,-0.18,0.97,-0.6,-0.79,-0.58
0.024,-0.05,-0.2,0.99,0.2,-1.18,-0.43
0.025,-0.03,-0.19,0.99,1.42,2.34,-0.99
0.026,-0.06,-0.17,0.98,0.84,2.7,-0.99
0.027,-0.07,-0.19,0.98,0.32,2.63,-0.49
0.027,-0.07,-0.17,0.96,-1.63,1.48,-0.24
0.028,-0.08,-0.2,0.98,0.43,0.21,1.45
0.029,-0.07,-0.17,0.98,-0.31,-1.62,2.47
0.03,-0.05,-0.18,0.98,-0.29,-1.66,1.68
0.031,-0.07,-0.19,0.97,-0.73,-0.72,0.98
0.032,-0.08,-0.2,0.97,0.15,-0.78,1.62
0.033,-0.07,-0.19,0.98,-0.15,-0.61,2.46
0.034,-0.07,-0.18,0.96,-0.92,-1.25,2.47
0.035,-0.07,-0.2,0.98,-1.11,-1.73,2.17
0.036,-0.05,-0.19,0.98,-0.31,0.49,1.83
0.037,-0.05,-0.2,0.97,-0.84,1.63,2.55
0.038,-0.07,-0.21,1.0,-0.03,0.05,2.32
0.039,-0.07,-0.22,1.01,0.46,-1.76,1.28
0.04,-0.08,-0.21,1.03,2.09,-2.96,1.91
0.04,-0.08,-0.22,1.03,3.66,-1.69,3.31
0.041,-0.07,-0.21,1.03,4.09,-1.39,4.05
0.042,-0.05,-0.2,1.03,3.04,-0.99,3.94
0.043,-0.03,-0.19,1.01,0.9,1.04,3.56
