timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,-0.02,-0.06,0.98,1.8,1.6,0.98
0.003,-0.04,-0.08,1.0,1.6,0.4,-0.03
0.004,-0.01,-0.07,1.0,3.74,2.34,1.11
0.005,-0.03,-0.05,0.98,1.1,3.77,0.31
0.006,-0.06,-0.07,0.99,1.37,3.79,0.49
0.008,-0.05,-0.07,1.0,1.27,3.21,2.18
0.009,-0.05,-0.05,0.99,1.63,1.89,3.1
0.01,-0.02,-0.04,0.99,0.09,1.57,2.9
0.011,-0.04,-0.07,1.01,0.32,-2.03,2.11
0.012,-0.05,-0.09,0.98,3.31,-11.13,1.18
0.014,-0.03,-0.07,0.99,8.11,-11.56,0.66
0.015,-0.04,-0.05,1.01,0.15,-1.16,-0.7
0.016,-0.04,-0.08,1.01,1.15,0.12,-1.22
0.017,-0.02,-0.08,1.02,4.2,2.66,1.24
0.018,-0.02,-0.06,1.01,3.89,4.72,0.69
0.019,-0.04,-0.06,1.01,3.3,2.98,-1.01
0.02,-0.05,-0.06,1.0,1.59,3.28,0.44
0.021,-0.05,-0.06,1.0,0.9,0.92,-0.05
0.022,-0.01,-0.05,0.99,1.37,3.6,1.19
0.023,-0.01,-0.05,0.99,0.78,1.73,-1.48
0.024,-0.03,-0.05,0.98,0.35,3.13,-1.3
0.025,-0.07,-0.14,0.75,7.24,1.56,-2.82
0.026,-0.02,-0.1,1.01,4.56,3.8,0.23
0.027,-0.04,-0.08,0.99,5.73,0.14,-1.08
0.028,-0.03,-0.05,0.96,2.6,3.54,-0.87
0.029,-0.06,-0.06,0.97,1.11,2.49,-0.76
0.03,-0.05,-0.07,0.97,0.99,2.2,1.15
0.031,-0.05,-0.06,0.97,2.26,-0.95,1.05
0.032,-0.01,-0.06,0.97,2.31,0.92,1.15
0.033,-0.02,-0.03,0.97,-0.29,2.06,-0.49
0.034,-0.03,-0.06,0.98,-2.0,1.16,-1.83
0.035,-0.03,-0.07,0.98,-1.69,1.57,-0.79
0.036,-0.05,-0.07,0.99,-0.58,-0.2,-1.33
0.037,-0.05,-0.07,1.0,-0.24,-0.81,-1.25
0.038,-0.05,-0.08,1.0,-0.17,-1.92,-0.31
0.039,-0.03,-0.08,1.02,-0.38,-2.11,1.37
0.04,-0.04,-0.09,1.03,0.17,-2.44,1.65
0.041,-0.03,-0.1,1.05,2.9,-4.63,4.2
0.042,-0.01,-0.09,1.05,3.28,-3.36,6.9
0.042,0.0,-0.1,1.05,4.21,-3.53,6.92
0.043,0.01,-0.1,1.05,4.81,-1.04,8.21
0.044,0.01,-0.12,1.06,7.54,-2.11,8.56
0.045,0.04,-0.11,1.05,9.77,-0.64,10.44
0.046,0.06,-0.1,1.05,11.01,-3.13,10.43
0.047,0.11,-0.07,1.05,13.05,-4.44,7.65
0.048,0.16,-0.03,1.02,11.85,-0.76,7.74
0.048,0.18,-0.01,1.01,11.82,-0.75,3.53
0.049,0.22,-0.0,1.01,8.31,2.35,-1.02
0.05,0.2,-0.02,1.01,7.02,2.12,-6.46
0.051,0.18,-0.06,0.99,7.71,-3.63,-11.53
0.052,0.18,-0.06,0.96,7.22,-2.46,-14.21
0.052,0.15,-0.06,0.96,6.52,-4.67,-11.47
0.053,0.16,-0.04,1.0,2.18,-9.05,-12.03
0.054,0.13,-0.04,0.97,-0.46,-3.98,-15.31
0.055,0.1,-0.07,1.07,-1.69,-17.24,-9.69
0.056,0.17,-0.09,1.0,1.82,-11.16,-11.3
0.057,0.22,-0.11,1.05,3.25,-7.07,-16.61
0.058,0.2,-0.07,1.01,2.96,1.62,-22.12
0.058,0.14,-0.09,1.03,2.18,-3.73,-29.83
0.059,0.12,-0.07,1.05,-2.06,-1.36,-24.37
0.06,0.09,-0.11,1.02,-6.37,-4.89,-18.47
0.061,0.03,-0.13,1.18,-3.42,-11.54,-9.68
0.062,0.08,-0.12,1.02,1.19,-19.59,-2.21
0.062,0.17,-0.11,1.01,2.66,-14.7,-3.04
0.063,0.21,-0.12,1.0,-0.67,-9.48,-14.89
0.064,0.22,-0.1,1.0,0.29,4.61,-19.15
0.065,0.15,-0.08,0.96,-2.03,18.02,-16.73
0.066,0.13,-0.12,0.87,-7.88,16.81,-17.76
