timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.13,-0.04,1.02,1.69,-0.46,2.9
0.002,0.14,-0.03,1.02,2.64,-1.25,3.13
0.004,0.15,-0.04,1.01,2.34,0.98,2.87
0.005,0.13,-0.03,1.02,1.62,2.43,1.8
0.006,0.11,-0.05,1.01,1.53,2.03,1.4
0.008,0.12,-0.06,1.0,2.44,-0.61,-0.27
0.009,0.11,-0.04,0.99,3.86,-1.83,-1.8
0.01,0.12,-0.02,0.99,3.89,-1.33,-0.82
0.011,0.12,-0.03,0.99,2.61,-1.48,0.02
0.012,0.11,-0.04,1.0,1.85,0.06,-1.13
0.014,0.11,-0.04,1.0,1.47,-2.6,-1.56
0.015,0.12,-0.04,0.99,1.36,-4.24,-3.42
0.016,0.12,-0.04,1.0,1.74,-4.06,-1.94
0.017,0.14,-0.04,1.0,1.15,-1.76,0.53
0.018,0.13,-0.05,0.98,1.63,0.02,0.7
0.019,0.11,-0.04,0.97,1.21,1.6,-0.32
0.02,0.12,-0.04,0.98,0.95,3.24,0.24
0.021,0.12,-0.03,0.97,1.16,-0.09,-0.53
0.022,0.12,-0.02,0.96,0.81,0.35,-0.96
0.023,0.11,-0.03,0.97,-0.32,2.43,1.05
0.024,0.12,-0.03,0.99,-2.03,0.95,0.14
0.025,0.13,-0.04,1.0,-2.17,1.01,0.52
0.026,0.13,-0.05,1.0,-1.83,0.03,-0.44
0.027,0.12,-0.05,1.01,-1.54,2.12,-0.17
0.028,0.12,-0.04,1.01,-0.95,2.89,0.21
0.029,0.1,-0.05,1.0,-0.35,1.83,-1.33
0.03,0.1,-0.05,0.99,2.63,4.21,0.66
0.031,0.06,-0.06,0.99,-0.58,4.02,1.36
0.032,0.08,-0.03,0.98,2.35,0.34,4.93
0.033,0.12,-0.03,0.98,2.72,-4.37,5.6
0.033,0.14,-0.04,0.99,-0.37,-4.05,3.44
0.034,0.12,-0.03,0.98,-1.34,1.08,2.9
0.035,0.08,-0.06,0.99,-2.63,4.29,4.09
0.036,0.05,-0.08,0.99,-2.78,4.64,4.95
0.037,0.03,-0.05,0.97,0.47,3.76,7.28
0.038,0.02,-0.06,0.98,0.37,0.29,8.03
0.039,-0.03,-0.1,0.99,-1.4,-0.15,8.41
0.04,-0.09,-0.14,1.04,-5.22,-2.38,7.86
0.041,-0.09,-0.16,1.03,-3.13,-9.56,10.55
0.042,-0.09,-0.18,1.07,-0.96,-9.8,17.86
0.043,-0.17,-0.18,1.04,0.89,-4.17,24.82
0.043,-0.19,-0.18,1.01,0.0,-6.34,26.78
0.044,-0.12,-0.14,1.04,3.54,-15.08,27.13
0.045,-0.09,-0.17,1.08,2.58,-14.17,35.65
0.046,0.0,-0.19,1.1,5.44,-14.4,44.63
0.047,0.05,-0.15,1.06,11.77,-14.06,42.93
