timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.13,0.21,1.0,1.3,2.11,-0.21
0.001,0.12,0.2,0.98,0.78,0.21,-0.47
0.002,0.12,0.19,0.99,0.49,-0.27,-0.32
0.003,0.12,0.19,0.98,2.53,-0.61,-0.55
0.004,0.12,0.2,0.96,2.35,0.61,1.02
0.005,0.11,0.22,0.96,2.2,-0.32,0.66
0.006,0.11,0.2,0.98,2.03,-2.12,1.08
0.007,0.12,0.21,0.97,1.37,-1.51,1.44
0.007,0.12,0.2,0.97,0.08,-0.99,0.41
0.008,0.13,0.2,0.98,0.85,-2.31,0.34
0.009,0.12,0.2,0.97,0.89,-3.33,1.08
0.01,0.14,0.19,0.97,2.24,-2.53,1.73
0.011,0.14,0.21,0.95,2.78,-1.34,0.79
0.012,0.14,0.22,0.97,2.12,-1.79,-0.67
0.012,0.13,0.22,0.98,2.21,-1.04,-0.34
0.013,0.15,0.2,0.97,0.26,0.61,-0.03
0.014,0.14,0.2,0.98,1.33,0.96,0.37
0.015,0.14,0.2,0.97,0.89,-0.79,-0.85
0.016,0.14,0.18,0.99,1.79,0.23,-0.24
0.016,0.13,0.2,0.98,3.68,1.48,0.23
0.017,0.13,0.21,0.97,2.85,1.76,-0.24
0.018,0.12,0.21,0.96,1.08,1.73,0.53
0.019,0.13,0.2,0.96,1.76,2.2,0.02
0.02,0.12,0.2,0.98,1.69,1.85,-0.29
0.021,0.12,0.2,0.97,1.51,0.98,-0.05
0.022,0.12,0.21,0.96,1.56,-1.59,0.4
0.022,0.12,0.2,0.97,1.36,0.12,0.2
0.023,0.12,0.21,0.97,1.11,1.16,0.61
0.024,0.12,0.22,0.96,-0.34,-0.87,0.92
0.025,0.13,0.2,0.98,0.02,1.05,0.79
0.026,0.12,0.2,0.98,0.52,-0.12,0.2
0.026,0.14,0.19,0.98,1.07,0.5,-0.26
0.027,0.12,0.19,0.99,3.34,0.06,0.58
0.028,0.13,0.2,0.99,2.75,-0.53,0.5
0.029,0.12,0.21,0.98,2.27,1.08,0.76
0.029,0.11,0.21,0.95,1.05,-0.03,1.02
0.03,0.13,0.2,0.97,0.72,-0.58,1.01
0.031,0.12,0.21,0.96,0.43,-0.08,0.84
0.032,0.13,0.2,0.98,0.26,-1.39,0.26
0.033,0.13,0.19,0.97,0.72,-0.5,0.56
0.033,0.11,0.19,0.97,0.23,-1.83,0.18
0.034,0.12,0.19,0.98,0.41,-1.76,0.78
0.035,0.13,0.19,0.96,0.95,0.37,0.98
0.035,0.13,0.2,0.97,1.54,-0.89,0.73
0.036,0.13,0.2,0.96,0.78,-0.72,0.81
0.037,0.14,0.2,0.96,0.89,-1.47,1.07
0.038,0.14,0.19,0.96,1.95,-1.24,-0.11
0.038,0.13,0.2,0.96,1.89,-2.17,0.26
0.039,0.14,0.19,0.96,1.47,-2.21,0.05
0.04,0.15,0.21,0.93,0.09,-0.75,0.58
0.041,0.16,0.21,0.93,-0.5,0.31,1.22
0.041,0.21,0.19,0.88,-1.39,-4.67,3.16
0.042,0.07,0.16,0.92,-1.18,-3.02,3.27
0.043,0.08,0.19,0.9,-3.44,-10.85,2.26
0.043,0.11,0.18,0.86,-0.31,-10.06,4.32
0.044,0.07,0.14,0.82,-1.97,-3.8,7.42
0.045,0.08,0.15,0.83,-4.0,-3.47,9.56
0.045,0.06,0.13,0.84,-4.43,0.06,12.73
0.046,0.08,0.12,0.84,-5.42,-3.88,14.34
0.047,0.08,0.11,0.82,-4.63,-3.45,18.55
0.048,0.08,0.1,0.78,-2.89,0.35,23.08
0.048,0.07,0.15,0.76,-4.64,-0.17,25.91
0.049,0.1,0.15,0.72,-9.1,0.44,28.38
0.05,0.12,0.14,0.73,-17.1,-1.48,30.43
0.05,0.11,0.19,0.78,-22.66,0.63,31.28
0.051,0.13,0.19,0.77,-28.79,-7.45,28.34
0.052,0.17,0.13,0.8,-34.46,-9.05,26.55
0.053,0.17,0.1,0.84,-33.92,-6.53,31.95
0.053,0.19,0.14,0.86,-32.11,3.19,40.17
0.054,0.26,0.14,0.8,-30.46,14.47,44.96
0.055,0.16,0.11,0.88,-30.66,1.5,41.82
0.055,0.14,0.04,0.87,-27.05,9.33,32.46
0.056,0.12,-0.0,0.88,-26.84,-2.89,24.11
0.057,0.06,0.0,0.98,-20.67,-10.84,18.12
0.058,0.05,-0.05,0.94,-13.69,-20.26,16.46
0.058,0.01,-0.08,0.99,-14.24,-26.0,10.95
0.059,0.2,-0.0,0.94,-16.44,-29.22,7.94
0.06,0.22,0.03,0.96,-19.66,-35.57,3.53
0.061,0.26,-0.01,1.0,-19.73,-43.19,7.86
0.061,0.38,0.06,1.02,-27.42,-12.61,15.11
0.062,0.33,0.03,1.07,-27.95,11.5,25.16
0.063,0.33,-0.02,0.98,-36.73,35.21,24.17
0.064,0.34,-0.04,1.15,-32.63,42.44,17.11
0.064,0.26,-0.04,1.15,-34.15,52.93,10.72
0.065,-0.07,-0.1,0.99,-2.44,-1.04,1.62
0.066,0.0,-0.08,0.98,-1.54,-4.17,0.64
0.067,-0.01,-0.08,0.99,-2.52,-3.11,1.21
0.084,0.02,-0.11,1.01,-1.91,-2.0,1.82
0.102,0.02,-0.09,1.02,0.34,0.93,0.46
0.121,0.0,-0.08,1.01,-0.82,0.14,0.26
0.144,0.01,-0.11,1.02,3.98,0.69,0.21
0.161,0.0,-0.07,0.99,2.17,1.45,-0.96
0.184,-0.0,-0.07,0.99,0.55,-0.12,0.7
0.203,0.01,-0.09,1.0,0.41,0.12,1.01
0.221,0.01,-0.08,0.99,0.44,-0.23,-0.67
0.244,-0.03,-0.11,1.03,1.57,-3.71,-0.27
0.262,0.02,-0.09,0.98,3.6,-4.02,-0.18
0.281,0.0,-0.07,0.97,1.89,-3.33,-0.23
0.299,0.01,-0.09,0.96,1.91,-3.68,0.11
0.323,0.01,-0.09,0.98,2.64,-2.66,1.15
0.341,0.0,-0.07,0.96,1.19,-1.8,1.22
0.36,0.02,-0.08,0.97,-0.18,-0.82,1.3
0.383,0.01,-0.09,0.97,0.2,0.99,1.24
0.401,-0.02,-0.07,0.97,-0.27,-0.67,1.15
0.424,-0.01,-0.08,0.99,0.15,-1.65,2.14
0.442,0.01,-0.07,0.98,-1.11,2.15,1.3
0.461,0.01,-0.09,1.0,0.31,5.47,1.82
0.481,0.03,-0.08,1.0,-0.49,3.89,1.42
0.504,0.03,-0.1,0.99,-1.44,3.21,-0.64
0.523,0.01,-0.1,1.02,-0.98,3.07,-0.34
0.541,0.02,-0.11,1.01,0.2,3.3,-1.8
0.559,-0.01,-0.11,1.01,2.18,1.33,-1.86
0.583,0.02,-0.09,1.0,2.81,1.57,-0.23
0.601,0.01,-0.09,0.99,2.75,1.25,-0.66
0.62,-0.0,-0.08,0.98,2.46,0.76,-0.98
0.644,-0.02,-0.1,0.8,0.56,-5.63,-5.98
0.662,0.04,-0.08,1.03,0.4,-0.98,-3.66
0.68,0.04,-0.13,0.99,5.37,6.64,-3.54
0.704,-0.01,-0.12,0.97,7.5,-1.07,-4.5
0.722,-0.0,-0.08,0.95,4.43,-3.66,-3.77
0.74,0.03,-0.07,0.98,1.15,2.11,-4.58
0.764,-0.01,-0.1,1.0,0.98,4.23,-5.04
0.782,-0.01,-0.11,1.0,3.65,3.98,-4.2
0.801,-0.01,-0.09,0.95,1.73,0.18,-3.5
0.819,-0.0,-0.09,0.99,1.21,2.73,-2.95
0.843,-0.0,-0.08,0.99,0.84,3.25,-1.39
0.861,-0.02,-0.09,1.0,2.58,3.22,-0.56
0.88,0.0,-0.07,0.98,0.03,-0.58,-0.75
0.903,0.02,-0.07,0.98,-3.98,-1.83,-0.82
0.921,-0.01,-0.09,1.02,-4.46,-1.85,-0.24
0.94,0.02,-0.11,1.05,-1.01,-2.66,-1.07
0.963,0.03,-0.1,1.04,2.66,-0.67,-2.32
0.981,-0.0,-0.07,1.01,1.18,-3.05,-3.36
1.0,-0.01,-0.08,1.02,-0.14,-3.42,-3.21
1.023,-0.01,-0.13,1.05,3.79,-2.53,-1.37
1.042,0.01,-0.11,1.03,7.83,-1.47,-1.62
1.06,0.0,-0.08,1.02,7.3,0.26,-3.18
