timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.14,-0.99,-0.12,3.45,1.04,1.48
0.002,0.13,-0.98,-0.12,3.42,0.2,2.29
0.003,0.13,-0.97,-0.11,4.63,1.53,2.64
0.005,0.15,-0.96,-0.14,3.6,0.37,2.0
0.006,0.13,-0.97,-0.13,2.58,-3.27,0.87
0.007,0.12,-0.98,-0.11,1.88,-2.29,1.53
0.008,0.13,-0.97,-0.13,1.88,-1.76,3.74
0.009,0.14,-0.96,-0.14,-1.98,0.58,3.02
0.011,0.14,-1.0,-0.12,-1.97,-2.14,1.6
0.012,0.14,-1.0,-0.09,0.03,-1.39,3.53
0.013,0.15,-0.98,-0.12,-0.26,4.02,2.46
0.014,0.15,-0.98,-0.14,-1.5,1.63,0.02
0.015,0.14,-1.0,-0.11,0.55,-0.17,-0.49
0.016,0.13,-1.02,-0.09,3.01,0.5,1.51
0.017,0.14,-1.01,-0.12,5.36,1.22,1.88
0.018,0.13,-1.02,-0.1,8.05,-1.74,2.64
0.019,0.14,-1.03,-0.09,11.04,-1.01,3.27
0.02,0.13,-1.04,-0.07,17.07,-2.27,4.52
0.021,0.14,-1.02,-0.1,20.81,0.96,6.15
0.022,0.16,-1.0,-0.14,19.51,6.53,4.82
0.023,0.13,-0.96,-0.16,14.17,6.4,4.64
0.024,0.12,-0.95,-0.13,7.74,4.96,4.82
0.025,0.12,-0.96,-0.09,3.33,4.67,4.95
0.026,0.11,-0.97,-0.06,4.84,5.62,6.0
0.027,0.12,-0.96,-0.07,4.05,3.07,6.98
0.028,0.13,-0.97,-0.07,5.39,-0.49,6.58
0.029,0.14,-0.98,-0.1,4.95,-0.32,4.85
0.03,0.14,-0.99,-0.11,1.44,0.96,1.51
0.031,0.13,-1.01,-0.08,2.26,0.89,-0.75
0.032,0.09,-1.04,-0.05,8.17,0.6,0.98
0.033,0.08,-1.04,-0.04,14.5,-0.47,5.97
0.034,0.08,-1.07,-0.03,23.47,-3.13,10.21
0.035,-0.01,-1.19,0.14,45.19,-22.18,10.78
0.036,-0.05,-1.29,0.23,88.21,-40.34,22.72
0.037,-0.0,-1.22,0.15,117.24,-4.29,40.23
0.038,-0.02,-1.21,0.14,135.82,11.48,47.47
0.039,-0.06,-1.25,0.25,167.79,-26.98,59.02
