timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.12,-0.16,1.03,1.76,0.93,1.27
0.003,0.15,-0.16,1.01,0.95,5.68,3.05
0.004,0.12,-0.17,1.01,3.98,2.72,2.79
0.006,0.14,-0.17,1.0,3.28,-3.6,2.55
0.007,0.13,-0.16,1.02,3.02,-1.94,2.49
0.008,0.14,-0.15,1.0,3.25,5.05,0.67
0.01,0.14,-0.15,0.99,2.85,1.83,1.08
0.011,0.13,-0.16,0.99,1.13,0.49,-1.95
0.012,0.16,-0.16,1.0,0.24,-2.14,-0.79
0.013,0.13,-0.16,0.99,-0.29,3.77,-0.03
0.014,0.12,-0.15,1.01,0.6,1.07,-0.4
0.015,0.15,-0.17,1.0,2.05,-1.02,0.17
0.017,0.14,-0.16,0.99,1.77,2.4,-0.67
0.018,0.13,-0.15,0.99,1.3,0.95,-2.35
0.019,0.15,-0.16,1.01,0.49,-1.34,-2.53
0.02,0.12,-0.15,1.0,1.19,0.11,-1.08
0.021,0.15,-0.16,1.0,2.37,2.26,0.99
0.022,0.12,-0.16,1.01,2.78,2.55,0.4
0.023,0.13,-0.16,0.99,2.27,-1.59,0.66
0.024,0.13,-0.15,0.99,2.98,3.97,-0.14
0.025,0.15,-0.17,1.02,2.0,1.54,-1.25
0.026,0.13,-0.17,1.02,3.98,5.74,-4.96
0.027,0.12,-0.16,1.01,8.12,7.47,-6.95
0.028,0.11,-0.14,1.01,6.11,7.66,-4.11
0.029,0.13,-0.16,1.01,4.55,4.53,-2.38
0.031,0.14,-0.15,1.01,7.85,3.89,-2.69
0.032,0.16,-0.16,1.03,7.57,1.45,-1.79
0.033,0.21,-0.18,1.06,7.95,-0.18,-4.98
0.034,0.19,-0.18,1.17,10.55,-1.63,-13.18
0.035,0.23,-0.23,1.15,6.12,0.11,-31.18
0.036,0.29,-0.19,1.11,14.41,-6.67,-46.63
0.036,0.2,-0.17,0.97,-24.5,-2.85,-52.58
0.037,0.24,-0.13,0.84,6.12,26.66,-55.16
0.038,0.3,-0.11,0.83,-7.27,44.56,-51.88
0.039,0.19,-0.1,0.81,-19.3,68.08,-68.02
0.04,0.16,-0.11,0.75,-26.61,70.55,-77.1
0.041,0.2,-0.09,0.74,-23.69,82.9,-77.5
0.042,0.21,-0.11,0.78,-43.54,120.02,-83.18
0.043,0.05,-0.24,0.86,-68.11,141.11,-90.38
0.044,-0.12,-0.3,0.88,-61.45,139.13,-108.18
0.045,-0.1,-0.28,0.93,-44.69,99.69,-110.58
0.046,-0.12,-0.34,0.96,-38.44,81.04,-101.76
0.047,-0.19,-0.38,1.03,-47.02,107.91,-92.46
0.047,-0.32,-0.37,0.93,-40.02,104.47,-75.95
0.048,-0.32,-0.43,0.9,-24.41,103.82,-72.09
0.049,-0.33,-0.46,0.96,-25.89,84.29,-83.24
0.05,-0.38,-0.49,1.03,-14.09,49.95,-87.28
0.051,-0.29,-0.46,0.97,-3.02,17.44,-85.59
0.052,-0.34,-0.42,0.93,1.88,19.92,-81.36
0.053,-0.27,-0.35,0.84,-6.55,28.38,-69.91
0.053,-0.39,-0.41,0.9,-31.95,28.82,-47.11
0.054,-0.33,-0.42,0.92,-12.56,28.69,-46.79
0.055,-0.18,-0.4,0.88,3.8,0.24,-40.69
0.056,-0.2,-0.39,0.84,1.86,0.58,-43.27
0.057,-0.25,-0.39,0.87,2.73,2.0,-43.85
0.058,-0.25,-0.4,0.87,5.07,-0.85,-43.57
0.058,-0.24,-0.44,0.9,1.51,-4.18,-38.58
0.059,-0.23,-0.43,0.88,4.52,-0.95,-33.4
0.06,-0.3,-0.43,0.9,0.5,5.51,-27.98
0.061,-0.29,-0.46,0.86,-5.85,-5.94,-22.12
0.062,-0.24,-0.44,0.87,-9.33,-22.46,-12.32
0.062,-0.27,-0.48,0.92,-21.07,-12.69,-3.27
0.063,-0.22,-0.51,0.93,-17.76,-10.34,-0.41
0.064,-0.2,-0.5,0.93,-6.95,-20.34,1.65
0.065,-0.11,-0.51,0.9,-2.15,-18.5,-0.08
0.066,-0.1,-0.49,0.88,0.85,-15.27,-2.47
0.066,-0.11,-0.53,0.84,1.3,-12.53,-5.73
0.067,-0.12,-0.44,0.86,15.54,9.98,-14.17
0.068,-0.17,-0.49,0.89,-4.55,-0.14,-6.53
0.068,0.04,-0.44,0.76,6.41,-5.25,0.93
0.069,-0.14,-0.43,0.89,-33.16,8.79,6.96
0.07,-0.06,-0.43,0.87,24.84,-10.79,-6.93
0.071,-0.07,-0.44,0.91,9.01,0.99,-6.72
0.072,-0.09,-0.43,0.85,10.05,-4.64,-1.83
0.072,-0.09,-0.39,0.84,16.38,-2.79,-3.94
0.073,-0.08,-0.42,0.88,3.36,-0.49,-1.74
0.074,-0.06,-0.43,0.89,-3.85,8.99,-4.78
0.075,-0.11,-0.48,0.95,4.99,17.91,-8.49
0.075,-0.12,-0.47,0.89,9.19,10.21,-11.1
0.076,-0.15,-0.44,0.9,15.25,19.11,-16.67
0.077,-0.15,-0.41,0.9,3.59,26.53,-9.79
0.078,-0.18,-0.43,0.89,1.31,26.79,-6.09
0.078,0.06,-0.0,1.04,-3.51,6.03,1.1
0.079,0.05,-0.01,1.05,-2.5,5.18,3.15
0.08,0.07,-0.01,1.05,-4.32,4.37,3.74
0.102,0.08,-0.01,1.04,-3.11,2.49,4.08
0.12,0.09,0.0,1.02,1.31,1.76,5.11
0.139,0.1,0.01,1.03,1.69,3.44,6.34
0.162,0.07,0.04,1.0,2.53,6.95,4.06
0.18,0.07,0.06,0.98,3.27,4.49,2.96
0.199,0.07,0.05,0.98,-0.81,1.45,3.97
0.222,0.05,0.03,1.01,-3.86,3.51,4.06
0.24,0.05,0.02,1.02,-5.16,2.84,5.4
0.258,0.04,-0.0,1.04,-4.53,1.94,3.91
0.282,0.01,-0.01,1.04,-1.37,-3.65,1.59
0.3,0.03,0.01,1.02,0.76,-7.33,2.4
0.318,0.05,-0.01,1.01,-1.07,-8.5,5.33
0.342,0.07,-0.0,1.04,-3.13,-4.84,7.85
0.359,0.08,-0.02,1.06,-4.63,-3.28,7.62
0.377,0.09,-0.03,1.06,-0.56,-2.84,5.79
0.401,0.1,-0.02,1.06,1.73,-3.98,4.26
0.419,0.11,-0.01,1.02,6.46,-4.08,5.21
0.442,0.12,0.0,1.02,9.5,1.24,6.64
0.461,0.12,0.01,1.0,8.02,5.28,4.82
0.479,0.09,0.04,0.99,6.12,3.89,1.63
0.502,0.09,0.04,0.99,2.67,2.81,0.96
0.521,0.11,0.02,1.01,0.52,0.72,-0.44
0.539,0.09,0.03,1.0,0.53,-0.27,-2.27
0.562,0.08,0.02,1.0,0.76,-1.92,-3.65
0.58,0.06,0.01,1.0,-0.72,-1.4,-4.61
0.598,0.08,0.01,1.01,-2.06,-1.27,-1.04
0.622,0.07,0.02,1.01,-3.66,0.66,0.18
0.64,0.07,-0.01,1.04,-5.39,1.15,-0.85
0.658,0.08,-0.01,1.04,-3.18,-3.42,-0.52
0.681,0.07,-0.01,1.03,-2.55,-2.41,-2.32
0.699,0.06,-0.01,1.03,-3.6,-0.24,-2.0
0.722,0.07,-0.02,1.03,-2.96,0.93,0.23
0.74,0.09,-0.01,1.04,-1.83,-1.56,0.23
0.758,0.09,-0.01,1.03,-1.69,-1.86,-1.59
0.781,0.08,-0.0,1.01,0.78,-1.19,-2.53
0.799,0.09,0.0,1.0,-0.14,0.55,-0.61
0.818,0.08,0.02,0.99,-1.71,3.45,0.52
0.841,0.08,0.01,1.0,-1.25,2.08,0.09
0.859,0.08,0.02,0.99,-2.27,0.05,-0.89
0.883,0.09,-0.01,1.01,-3.65,0.82,-0.55
0.901,0.08,-0.02,1.01,-3.36,0.08,0.5
0.919,0.07,-0.01,1.02,-1.15,0.47,0.87
0.942,0.07,-0.01,1.01,-0.79,2.26,0.47
0.96,0.08,-0.01,1.01,0.41,-0.72,-1.53
0.978,0.08,-0.02,1.01,-1.37,-2.73,-0.27
1.001,0.07,-0.02,1.01,-3.86,1.95,0.05
1.02,0.09,-0.02,1.03,-4.03,0.4,1.47
1.038,0.07,-0.03,1.05,-5.59,1.83,1.02
1.061,0.09,-0.04,1.05,-2.32,-1.01,-0.26
1.079,0.08,-0.05,1.07,-0.95,-2.35,-0.96
1.102,0.09,-0.05,1.04,0.73,-0.64,-1.83
1.12,0.09,-0.03,1.03,4.55,-3.13,-0.21
1.138,0.06,-0.03,1.02,2.85,1.3,-0.52
1.162,0.06,-0.02,1.01,2.93,0.92,0.15
1.18,0.06,-0.01,1.0,2.93,-1.69,0.17
1.198,0.07,-0.01,1.02,1.79,-1.27,1.54
1.221,0.07,-0.03,1.03,0.08,0.5,3.54
1.24,0.07,-0.02,1.04,1.18,0.26,3.79
1.258,0.07,-0.02,1.03,1.65,-4.24,3.33
1.281,0.08,-0.03,1.02,0.38,-5.1,3.16
1.299,0.07,-0.03,1.04,1.85,-3.28,5.27
1.323,0.09,-0.03,1.02,2.18,-2.12,8.21
1.341,0.08,-0.02,1.02,3.34,-1.66,9.57
1.359,0.07,-0.03,1.02,2.81,-3.08,10.05
1.382,0.06,-0.01,1.02,2.98,-3.85,11.68
1.4,0.08,-0.03,1.01,1.82,-1.45,16.98
1.418,0.09,-0.02,1.02,2.85,3.05,23.1
1.441,0.07,-0.02,1.02,2.98,5.28,25.53
1.46,0.07,-0.02,1.0,2.44,4.78,26.11
1.478,0.07,-0.02,1.01,1.27,4.47,26.89
1.501,0.04,-0.02,1.03,0.15,4.27,28.63
1.519,0.03,-0.02,1.02,0.41,-0.41,30.81
1.542,0.04,-0.03,1.01,2.06,-7.69,33.73
1.56,0.09,-0.03,1.02,2.14,-7.94,38.21
1.578,0.1,-0.03,1.01,2.64,-5.8,38.64
1.602,0.07,-0.03,1.02,2.78,-7.16,35.34
1.62,0.06,-0.01,1.0,0.99,-13.05,32.7
1.638,0.05,-0.01,0.99,0.95,-16.31,35.37
1.661,0.05,-0.02,0.98,-0.81,-15.95,41.39
1.679,0.07,-0.03,0.99,-4.27,-17.34,47.4
1.702,0.08,-0.04,0.98,-3.68,-20.78,51.08
1.72,0.12,-0.03,0.99,-3.69,-27.83,54.35
1.737,0.14,-0.05,1.0,-3.54,-28.35,53.44
1.76,0.16,-0.06,1.01,-4.23,-25.86,51.04
1.778,0.18,-0.05,1.0,-2.49,-26.02,48.69
1.802,0.16,-0.06,1.02,-1.77,-21.11,46.23
1.82,0.16,-0.06,1.02,-2.69,-17.86,45.05
1.843,0.19,-0.06,1.03,-1.59,-17.02,43.76
1.861,0.21,-0.07,1.03,-1.68,-13.19,42.52
1.878,0.2,-0.07,1.05,-1.47,-13.45,36.99
1.901,0.2,-0.07,1.04,1.95,-15.77,32.0
1.919,0.19,-0.08,1.04,3.57,-16.93,29.44
1.937,0.21,-0.08,1.05,4.64,-12.61,30.46
1.961,0.21,-0.09,1.05,5.94,-7.28,31.73
1.979,0.19,-0.08,1.04,7.85,-3.36,30.69
