timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.02,-0.15,1.0,-0.09,-0.85,7.11
0.002,0.02,-0.15,1.01,1.45,-1.1,6.41
0.004,0.02,-0.15,1.01,1.18,0.73,6.4
0.005,0.05,-0.15,1.02,1.19,1.73,5.3
0.006,0.04,-0.16,1.01,3.76,0.43,3.57
0.008,0.04,-0.16,1.02,2.78,-0.26,4.03
0.009,0.06,-0.17,1.03,2.53,1.15,2.72
0.01,0.05,-0.16,1.03,6.12,-0.99,0.73
0.011,0.04,-0.14,1.01,5.01,-1.34,0.53
0.013,0.04,-0.14,1.01,4.47,-0.69,-1.05
0.014,0.02,-0.14,1.0,5.01,-2.79,-2.11
0.015,0.04,-0.14,1.0,4.55,-1.21,-1.65
0.016,0.02,-0.15,0.99,4.32,-1.18,-3.16
0.017,0.02,-0.14,1.0,5.69,-2.41,-3.56
0.019,0.01,-0.13,0.98,3.45,0.09,-4.46
0.02,0.01,-0.14,1.0,2.9,-0.7,-3.6
0.021,0.0,-0.15,1.0,1.63,-0.53,-3.51
0.022,0.01,-0.14,0.98,2.14,-0.87,-2.52
0.023,0.01,-0.13,0.99,0.67,1.45,-1.44
0.024,0.01,-0.14,0.99,-0.27,2.96,-1.97
0.025,-0.0,-0.14,1.01,2.81,0.99,-2.14
0.027,-0.0,-0.13,1.0,0.96,0.2,-1.39
0.028,0.0,-0.14,1.01,1.44,0.09,0.24
0.029,0.01,-0.14,1.0,-0.5,0.76,0.14
0.03,0.0,-0.14,1.0,0.82,1.56,0.44
0.031,-0.01,-0.15,1.0,-1.48,-1.21,1.33
0.032,-0.01,-0.15,1.01,-0.78,-1.51,2.44
0.033,0.0,-0.17,1.05,1.19,-1.05,2.37
0.034,0.0,-0.15,1.0,3.57,-2.32,4.11
0.035,0.03,-0.15,1.01,0.14,2.0,5.1
0.036,0.01,-0.16,1.01,1.86,-0.5,5.28
0.037,0.03,-0.15,1.0,0.4,2.85,6.41
0.038,0.01,-0.13,1.0,-1.5,5.27,6.9
0.038,0.03,-0.13,0.98,-1.28,4.82,6.49
0.039,0.02,-0.13,1.0,-3.39,5.07,5.07
0.04,0.02,-0.15,0.99,-0.63,-2.76,4.26
0.041,0.03,-0.15,1.01,-2.08,-2.79,3.5
0.042,0.03,-0.15,0.99,-1.22,-0.89,3.57
0.043,0.02,-0.16,1.02,-2.55,-1.07,3.04
0.044,0.02,-0.17,1.03,-0.47,-1.68,2.05
0.045,0.02,-0.17,1.04,1.33,-2.7,2.44
0.046,0.02,-0.17,1.03,2.56,-0.87,2.98
0.046,0.02,-0.17,1.02,2.46,1.27,2.92
0.047,0.03,-0.16,1.02,2.18,-0.05,2.58
0.048,0.01,-0.16,1.01,1.77,-1.07,2.35
0.049,0.01,-0.15,0.99,0.67,-0.95,3.98
0.05,0.03,-0.15,1.01,-1.33,0.52,3.48
0.051,0.03,-0.17,1.0,1.24,-1.25,3.13
0.052,0.04,-0.16,1.0,1.88,-0.58,2.38
0.053,0.03,-0.15,1.01,0.72,0.41,1.56
0.053,0.03,-0.17,1.01,1.98,-0.52,0.61
0.054,0.04,-0.16,1.0,1.91,-1.31,0.63
0.055,0.02,-0.16,1.0,-2.79,1.89,1.54
0.056,0.03,-0.17,1.03,-1.3,0.93,1.82
0.057,0.03,-0.18,1.04,3.73,-0.87,-0.17
0.057,0.03,-0.17,1.03,4.87,-2.92,0.05
0.058,0.04,-0.16,1.02,6.14,-1.39,0.75
0.059,0.04,-0.16,1.02,3.71,1.69,-0.5
0.06,0.03,-0.16,1.0,7.37,-1.15,-1.05
0.061,-0.0,-0.14,0.98,5.47,0.38,-0.49
0.061,-0.0,-0.13,0.99,4.11,1.77,1.21
0.062,0.01,-0.13,0.99,3.42,4.2,2.5
0.063,0.01,-0.15,1.0,4.18,4.23,1.65
0.064,-0.01,-0.12,1.0,4.99,0.52,1.08
0.064,-0.03,-0.13,0.98,3.34,0.67,4.09
0.065,-0.03,-0.13,0.98,0.18,3.36,8.2
0.066,-0.02,-0.16,0.97,-0.7,3.48,8.47
0.067,0.0,-0.16,1.0,2.12,1.94,6.79
0.068,-0.02,-0.14,1.0,2.24,-0.41,6.37
0.068,0.01,-0.14,1.01,2.32,1.92,6.02
0.069,0.01,-0.14,1.01,4.47,0.7,4.67
0.07,0.0,-0.13,1.01,3.02,0.17,5.44
0.07,0.01,-0.13,1.01,2.72,1.62,5.94
0.071,0.01,-0.13,1.0,3.68,0.81,5.63
0.072,0.0,-0.12,1.0,3.59,-1.15,6.2
0.073,-0.01,-0.12,0.97,3.04,0.26,7.65
0.073,0.02,-0.11,0.96,-0.76,0.73,7.3
0.074,0.01,-0.14,1.0,-2.11,-1.31,4.92
0.075,0.02,-0.16,1.02,0.15,-3.92,3.85
0.076,0.03,-0.16,0.99,1.18,0.52,4.38
0.076,0.03,-0.15,1.02,-0.64,1.66,5.1
0.077,0.04,-0.14,1.0,-0.09,-0.79,4.7
0.078,0.03,-0.14,1.0,0.89,-1.21,3.13
0.079,0.13,-0.19,1.0,6.43,2.87,9.94
0.079,0.11,-0.17,0.99,5.53,0.93,12.23
0.08,0.13,-0.15,1.0,5.34,4.21,14.87
0.085,0.17,-0.17,1.01,5.92,8.14,8.93
0.108,0.15,-0.17,0.99,5.47,2.23,2.18
0.127,0.12,-0.16,1.0,1.83,0.15,-0.69
0.145,0.13,-0.16,0.99,-1.13,4.18,1.3
0.168,0.11,-0.17,1.01,0.41,5.18,-0.69
0.186,0.12,-0.15,1.01,-0.34,2.7,-0.23
0.204,0.06,-0.16,1.01,-2.55,4.38,-0.23
0.227,0.07,-0.17,1.04,-0.44,2.08,-0.49
0.245,0.07,-0.18,1.03,0.14,-1.15,0.29
0.269,0.06,-0.18,1.03,0.21,-2.09,0.82
0.287,0.04,-0.17,1.01,2.11,-1.98,2.11
0.305,0.06,-0.17,1.02,1.4,-2.47,4.15
0.328,0.09,-0.17,1.0,3.08,-3.76,5.88
0.347,0.08,-0.17,0.99,0.79,-2.93,5.3
0.365,0.11,-0.17,0.99,-0.4,-3.59,5.18
0.388,0.11,-0.17,1.0,-0.6,-2.37,4.17
0.406,0.12,-0.18,1.0,-0.5,-2.18,3.3
0.424,0.12,-0.18,0.98,-1.5,-3.6,1.54
0.447,0.11,-0.18,0.99,-5.68,-4.02,-0.7
0.465,0.09,-0.19,1.01,-5.08,-4.49,-0.37
0.488,0.12,-0.19,1.01,-4.72,-2.15,1.95
0.507,0.09,-0.2,1.0,-2.52,-0.52,3.82
0.525,0.12,-0.2,1.0,-3.07,0.82,5.68
0.548,0.11,-0.19,1.0,-3.25,0.18,3.18
0.566,0.11,-0.18,1.0,-2.84,-3.69,0.66
0.584,0.12,-0.2,1.01,-4.82,-7.08,0.79
0.608,0.14,-0.22,1.03,-2.73,-4.81,-0.15
0.625,0.1,-0.2,1.0,-0.75,-6.21,2.78
0.649,0.12,-0.19,0.99,-1.8,-2.5,3.27
0.667,0.12,-0.21,1.0,-0.61,-4.06,2.63
0.685,0.14,-0.2,0.99,0.11,-3.77,1.13
0.708,0.13,-0.2,0.99,-1.88,-2.85,0.18
0.726,0.14,-0.21,1.01,-1.11,-4.02,-3.25
0.744,0.17,-0.21,0.99,1.48,-6.93,-7.94
0.767,0.15,-0.2,1.0,1.48,-7.16,-9.97
0.785,0.13,-0.2,0.98,1.91,-4.38,-9.24
0.809,0.14,-0.19,0.99,3.48,-2.66,-7.85
0.827,0.14,-0.2,1.0,5.3,-1.56,-9.44
0.845,0.15,-0.19,0.97,2.78,-5.74,-10.02
0.868,0.15,-0.17,0.96,0.79,-4.98,-12.67
0.886,0.16,-0.18,0.96,-1.51,-5.45,-14.92
0.909,0.12,-0.19,0.97,-4.96,-6.85,-13.21
0.927,0.13,-0.19,0.98,-5.36,-4.24,-9.01
0.945,0.16,-0.2,0.99,-2.55,-0.43,-6.38
0.968,0.19,-0.2,1.02,-0.89,-0.87,-12.78
0.986,0.2,-0.22,0.98,-0.53,-9.63,-20.35
1.009,0.18,-0.23,1.03,-1.19,-13.83,-24.56
