timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.002,0.25,1.0,0.1,-2.26,-2.38,-0.99
0.003,0.24,0.99,0.09,-4.08,-2.64,-1.68
0.005,0.22,0.97,0.12,-2.95,0.58,-0.32
0.006,0.23,0.99,0.11,-3.36,2.43,-0.37
0.007,0.22,0.99,0.12,-4.49,-2.99,0.7
0.008,0.22,0.98,0.14,-2.02,-2.99,0.46
0.01,0.22,0.99,0.14,0.24,0.15,0.75
0.011,0.21,1.0,0.13,0.35,0.61,1.28
0.012,0.21,0.99,0.14,1.83,-4.47,2.29
0.013,0.24,1.0,0.12,2.41,-3.42,2.56
0.015,0.24,1.0,0.13,2.89,0.43,1.57
0.016,0.23,0.99,0.14,3.47,-1.98,2.41
0.017,0.25,0.99,0.13,4.92,-2.44,1.76
0.018,0.24,0.99,0.1,2.9,0.44,0.89
0.019,0.24,0.99,0.09,2.66,-1.39,0.12
0.02,0.22,0.99,0.1,0.52,0.2,1.08
0.021,0.23,0.98,0.12,1.37,-1.79,2.64
0.023,0.25,1.01,0.1,-1.8,-2.27,1.98
0.024,0.24,0.99,0.11,-5.62,-5.37,1.97
0.025,0.25,1.0,0.13,3.82,-1.65,0.52
0.026,0.25,0.98,0.12,1.01,0.79,0.52
0.027,0.23,0.99,0.13,0.82,0.75,-0.27
0.028,0.23,1.0,0.13,1.86,-3.6,1.4
0.029,0.24,0.99,0.12,2.17,-0.37,0.78
0.03,0.24,0.98,0.12,1.45,-1.62,1.19
0.031,0.25,1.0,0.11,0.6,-1.21,0.58
0.032,0.25,0.99,0.11,-0.26,-0.98,0.26
0.032,0.24,0.99,0.1,-0.52,-0.31,-0.12
0.033,0.24,1.01,0.08,-4.5,1.36,-0.61
0.034,0.24,0.99,0.09,-7.22,0.67,-0.69
0.035,0.24,1.0,0.08,-11.16,2.15,-0.09
0.036,0.23,1.03,0.05,-19.08,2.32,-0.18
0.037,0.23,1.01,0.07,-25.82,-6.24,0.08
0.038,0.25,1.03,0.03,-33.01,-10.31,-1.39
0.039,0.24,1.03,0.01,-51.1,-9.33,-3.62
0.04,0.22,1.02,0.04,-68.4,-7.83,-3.4
0.041,0.25,1.06,-0.01,-88.67,2.09,-3.27
0.042,0.27,1.07,-0.05,-131.59,28.34,-3.33
0.042,0.2,1.07,0.04,-172.02,42.31,-1.74
0.043,0.17,0.85,0.34,-154.32,5.05,-3.65
0.044,0.21,0.81,0.38,-138.66,-47.4,-6.84
0.045,0.28,0.9,0.23,-142.76,-22.64,-2.93
0.046,0.28,0.93,0.12,-185.6,26.95,1.51
0.047,0.23,0.83,0.26,-220.23,56.53,0.17
0.048,0.29,0.6,0.55,-214.69,43.48,-17.8
0.049,0.28,0.54,0.69,-191.5,17.83,-30.7
0.049,0.24,0.54,0.66,-172.18,19.62,-32.52
0.05,0.17,0.55,0.56,-171.4,35.63,-30.78
0.051,0.12,0.53,0.6,-175.22,47.79,-32.49
0.052,0.01,0.43,0.59,-176.27,53.02,-28.95
0.053,-0.01,0.38,0.68,-176.89,49.37,-25.33
0.054,0.03,0.33,0.75,-171.91,29.16,-30.18
0.054,0.04,0.25,0.86,-160.38,3.79,-34.63
0.055,0.06,0.16,0.94,-136.84,-17.65,-26.14
0.056,0.1,0.18,0.88,-129.3,-6.55,-17.98
0.057,0.07,0.2,0.83,-134.84,13.56,-9.94
0.058,0.06,0.17,0.82,-143.56,16.61,-4.53
0.058,-0.02,0.03,1.02,-141.62,3.59,2.63
0.059,0.05,-0.11,1.28,-95.21,-18.87,11.62
0.06,0.17,-0.08,1.24,-71.94,-15.77,13.8
0.061,0.17,-0.01,1.11,-56.61,6.09,5.68
0.062,0.13,0.04,1.01,-63.19,10.35,2.61
0.062,0.13,0.01,1.06,-75.36,7.65,-4.43
0.063,0.12,-0.08,1.15,-76.11,-1.63,-9.74
0.064,0.11,-0.12,1.16,-66.56,0.38,-11.11
0.065,0.1,-0.13,1.15,-61.45,18.38,-13.31
0.066,0.04,-0.13,1.11,-61.37,25.71,-13.76
0.067,-0.0,-0.15,1.13,-59.82,23.27,-14.44
0.067,-0.02,-0.2,1.2,-53.05,13.57,-14.79
0.068,-0.01,-0.2,1.2,-44.99,6.06,-11.28
0.069,0.03,-0.24,1.14,-31.39,10.76,-8.46
0.07,0.0,-0.23,1.14,-25.51,13.92,-4.99
0.07,-0.01,-0.21,1.1,-23.24,11.95,-1.24
0.071,0.0,-0.22,1.11,-19.5,9.73,0.2
0.072,0.0,-0.23,1.09,-11.98,6.53,2.18
0.073,0.03,-0.21,1.07,-10.72,4.11,2.05
0.073,0.05,-0.2,1.06,-12.66,5.08,-0.78
0.074,0.03,-0.21,1.06,-12.52,4.63,0.34
0.075,0.01,-0.22,1.07,-9.07,6.82,2.0
0.076,0.01,-0.22,1.05,-5.36,6.79,4.15
0.076,0.04,-0.24,1.06,-1.68,5.68,3.79
0.077,0.03,-0.24,1.06,3.25,5.95,1.56
0.078,0.03,-0.22,1.03,3.44,7.02,0.09
