timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.002,0.06,-0.96,-0.2,-22.4,2.26,4.43
0.004,0.08,-0.97,-0.25,-20.0,-0.06,3.77
0.006,0.07,-0.99,-0.23,-17.54,-2.96,0.5
0.007,0.05,-0.99,-0.22,-13.05,-3.51,2.14
0.009,0.05,-0.99,-0.24,-10.21,-1.48,2.66
0.014,0.07,-0.99,-0.26,-8.72,-5.47,0.4
0.017,0.07,-0.98,-0.28,-7.71,-6.85,0.81
0.022,0.06,-0.98,-0.29,-7.68,-8.02,2.58
0.024,0.07,-0.98,-0.31,-8.7,-2.47,3.59
0.026,0.07,-0.97,-0.33,-11.53,-2.17,1.69
0.029,0.06,-0.97,-0.32,-14.29,-4.14,2.9
0.033,0.06,-0.98,-0.31,-14.08,2.26,3.31
0.035,0.06,-0.97,-0.3,-14.5,2.82,2.03
0.036,0.04,-0.97,-0.3,-12.95,-1.02,1.44
0.037,0.04,-0.97,-0.28,-13.05,-4.61,0.84
0.037,0.03,-0.98,-0.27,-11.34,-6.56,2.67
0.039,0.04,-0.98,-0.26,-8.85,-3.79,3.65
0.04,0.05,-1.01,-0.21,-1.44,-0.89,1.85
0.04,0.03,-1.02,-0.17,3.56,-2.53,0.84
0.041,0.04,-1.05,-0.15,7.62,-4.06,-0.95
0.042,0.07,-1.1,-0.07,17.45,-8.93,-0.52
0.043,0.1,-1.15,-0.03,29.54,-4.9,-3.24
0.044,0.1,-1.2,0.07,39.25,-9.74,-4.35
0.044,0.13,-1.25,0.18,63.62,-12.32,-6.5
0.045,0.15,-1.32,0.23,83.86,-13.1,-13.01
0.046,0.12,-1.38,0.28,106.27,-18.75,-15.65
0.047,0.23,-1.45,0.25,136.66,-2.76,-19.48
0.048,0.14,-1.49,0.37,158.56,-18.12,-30.38
0.048,0.13,-1.5,0.31,184.87,-23.11,-42.14
0.049,0.13,-1.48,0.22,208.98,4.78,-50.72
0.05,0.14,-1.44,0.18,226.26,5.4,-55.07
0.051,0.18,-1.39,0.19,233.53,9.79,-58.79
0.052,0.17,-1.3,0.27,252.58,7.97,-73.44
0.052,0.21,-1.21,0.18,250.87,19.01,-69.18
0.053,0.21,-1.09,0.19,248.46,40.24,-65.94
0.054,0.2,-0.96,0.34,260.21,12.84,-61.85
0.055,0.21,-0.83,0.23,252.49,16.69,-51.86
0.056,0.28,-0.73,0.21,223.53,33.22,-62.47
0.056,0.24,-0.66,0.42,189.94,36.96,-70.2
0.057,0.15,-0.57,0.47,173.57,35.83,-61.63
0.058,0.16,-0.47,0.41,142.38,22.38,-60.05
0.059,0.13,-0.38,0.51,83.1,21.66,-51.98
