timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.02,-0.95,-0.38,-4.5,1.1,0.85
0.003,0.02,-0.95,-0.37,-3.1,-0.46,2.79
0.005,0.04,-0.94,-0.39,-4.44,4.47,1.47
0.006,0.04,-0.95,-0.37,-5.02,3.13,0.5
0.008,0.03,-0.95,-0.36,-5.16,3.02,0.66
0.009,0.04,-0.95,-0.36,-0.14,4.61,-1.02
0.011,0.03,-0.95,-0.38,-0.49,6.72,-1.57
0.012,0.03,-0.95,-0.37,0.61,1.45,-1.1
0.013,0.04,-0.95,-0.38,-1.13,2.55,-3.94
0.015,0.03,-0.94,-0.4,-0.92,4.43,-3.82
0.016,0.03,-0.94,-0.4,-0.09,3.8,-2.84
0.017,0.02,-0.94,-0.39,-2.23,4.73,-2.67
0.018,0.02,-0.95,-0.37,-5.59,0.64,-1.34
0.019,0.02,-0.95,-0.35,-2.85,1.44,0.32
0.02,0.03,-0.96,-0.34,0.98,-0.63,-0.69
0.022,0.04,-0.99,-0.32,2.79,1.4,-1.73
0.023,0.03,-1.0,-0.26,5.33,2.72,-2.95
0.024,-0.01,-1.03,-0.14,11.83,-2.0,-2.61
0.025,0.03,-1.08,-0.11,23.98,-5.88,-0.2
0.026,0.09,-1.12,-0.0,35.89,-5.8,-1.88
0.027,0.11,-1.2,0.15,62.12,-15.79,-9.45
0.028,0.12,-1.23,0.18,87.5,-23.79,-10.7
0.029,0.17,-1.28,0.21,106.55,-21.92,-18.56
0.031,0.16,-1.33,0.23,142.96,-37.86,-38.05
0.032,0.19,-1.39,0.15,165.73,-39.71,-48.46
0.033,0.19,-1.41,0.14,178.31,-37.07,-60.58
0.033,0.19,-1.49,0.26,205.57,-23.04,-59.42
0.034,0.22,-1.5,0.22,231.13,7.04,-56.5
0.035,0.34,-1.51,0.16,244.05,37.56,-66.09
0.036,0.27,-1.42,0.28,248.93,54.47,-87.6
0.037,0.2,-1.35,0.3,254.72,42.35,-78.78
0.038,0.17,-1.27,0.27,261.28,16.6,-60.81
0.039,0.28,-1.12,0.31,231.89,18.81,-75.94
0.04,0.17,-0.99,0.4,218.82,21.13,-74.63
0.041,0.1,-0.87,0.41,214.15,15.05,-54.73
0.041,0.23,-0.74,0.43,218.37,17.76,-42.11
0.042,0.24,-0.63,0.45,197.07,45.95,-54.17
0.043,0.11,-0.49,0.42,150.64,42.79,-57.95
0.044,0.14,-0.39,0.48,108.49,11.76,-43.53
0.045,0.23,-0.36,0.52,96.64,22.26,-41.66
0.045,0.27,-0.34,0.56,75.33,39.8,-45.45
0.046,0.25,-0.28,0.66,47.24,57.65,-49.42
0.047,0.22,-0.28,0.7,37.51,66.81,-47.65
0.048,0.13,-0.26,0.8,37.15,47.51,-39.59
0.049,0.22,-0.25,0.77,42.31,53.33,-33.36
0.05,0.16,-0.25,0.81,54.85,46.4,-33.71
0.05,0.05,-0.21,0.75,56.41,25.73,-21.45
0.051,0.07,-0.16,0.69,44.67,15.3,-8.26
0.052,0.07,-0.14,0.69,27.47,2.17,-2.17
0.053,0.09,-0.15,0.77,14.63,-6.63,2.15
0.054,0.17,-0.19,0.87,22.11,12.29,4.93
0.055,0.18,-0.18,0.91,27.63,8.64,-1.02
0.055,0.18,-0.15,0.87,22.56,6.2,-3.53
0.056,0.19,-0.15,0.92,34.58,6.98,1.65
0.057,0.22,-0.13,0.92,45.65,18.56,-2.63
0.058,0.2,-0.09,0.85,34.84,16.76,-7.98
0.059,0.18,-0.06,0.86,11.74,-6.41,-12.24
0.059,0.14,-0.04,0.84,5.51,0.81,-8.55
0.06,0.12,-0.03,0.88,0.63,1.76,-3.71
0.061,0.11,-0.05,0.9,-5.18,-0.55,-0.61
0.062,0.11,-0.04,0.91,-8.02,1.5,-0.4
0.063,0.1,-0.05,0.93,-9.25,0.09,2.21
0.063,0.12,-0.06,0.92,-11.1,-0.41,7.48
0.064,0.14,-0.07,0.92,-15.4,-1.54,7.59
0.065,0.15,-0.08,0.95,-15.15,-3.53,6.06
0.066,0.18,-0.09,0.95,-11.82,-1.13,2.95
0.067,0.19,-0.09,0.96,-10.34,2.53,-0.29
0.068,0.15,-0.07,0.96,-10.43,-2.63,0.76
0.068,0.14,-0.08,0.94,-11.79,0.27,1.5
0.074,0.15,-0.08,0.91,-11.22,-1.01,1.8
0.097,0.17,-0.08,0.88,-14.73,-2.67,1.89
0.12,0.19,-0.11,0.9,-17.34,-1.21,2.32
0.148,0.19,-0.11,0.91,-17.44,-5.02,-0.21
0.17,0.19,-0.1,0.87,-18.64,-3.57,-1.34
0.193,0.18,-0.12,0.86,-26.95,-6.23,-0.84
0.216,0.18,-0.13,0.91,-27.97,-5.19,-0.99
0.238,0.17,-0.12,0.9,-29.08,-2.26,-0.82
0.261,0.17,-0.13,0.92,-30.47,-4.95,-0.95
0.284,0.17,-0.14,0.89,-29.73,-2.79,-1.88
0.311,0.16,-0.16,0.89,-31.92,-4.31,-1.4
0.334,0.17,-0.18,0.92,-31.42,-5.36,-0.99
0.357,0.13,-0.18,0.92,-31.59,-4.98,-0.46
0.379,0.11,-0.2,0.98,-33.28,-9.73,1.94
0.402,0.14,-0.23,0.95,-28.73,-15.65,4.18
0.424,0.17,-0.23,0.91,-29.05,-14.23,6.23
0.447,0.18,-0.25,0.9,-32.37,-9.97,7.21
0.475,0.22,-0.28,0.91,-32.34,-4.18,8.11
0.497,0.21,-0.29,0.9,-30.96,-3.08,7.97
0.52,0.23,-0.29,0.87,-35.34,-4.09,7.83
0.543,0.22,-0.31,0.87,-38.69,1.8,7.47
0.565,0.21,-0.32,0.85,-42.32,2.9,7.05
0.588,0.2,-0.35,0.9,-46.66,1.08,4.49
0.612,0.19,-0.37,0.89,-46.27,7.54,4.41
0.634,0.16,-0.39,0.88,-39.22,-10.34,5.91
0.656,0.23,-0.37,0.86,-50.78,10.56,7.59
0.685,0.24,-0.42,0.88,-38.41,4.06,6.64
0.707,0.25,-0.43,0.85,-40.69,3.13,3.47
0.73,0.25,-0.43,0.8,-43.39,-3.45,2.26
0.753,0.28,-0.47,0.77,-50.67,1.79,0.41
0.775,0.27,-0.48,0.82,-53.59,7.19,-0.9
0.797,0.24,-0.49,0.83,-55.56,9.79,-2.4
0.822,0.2,-0.5,0.82,-56.58,3.57,-2.34
0.844,0.18,-0.52,0.84,-55.92,3.88,0.72
0.871,0.18,-0.53,0.83,-53.21,4.23,3.02
0.895,0.21,-0.56,0.81,-52.03,-3.62,3.37
0.917,0.22,-0.57,0.78,-48.34,-3.15,4.47
0.939,0.21,-0.59,0.79,-42.5,5.66,6.55
0.963,0.21,-0.61,0.75,-43.57,22.46,4.87
0.985,0.2,-0.62,0.72,-47.44,12.21,1.59
1.008,0.21,-0.64,0.69,-50.18,-1.88,-0.84
1.03,0.2,-0.66,0.7,-50.23,4.52,0.67
1.058,0.18,-0.68,0.71,-51.34,14.53,1.79
1.081,0.16,-0.68,0.7,-55.59,15.51,-0.58
1.104,0.14,-0.7,0.69,-53.97,-1.33,-3.02
1.126,0.14,-0.72,0.68,-51.4,-1.01,0.7
1.148,0.17,-0.72,0.62,-48.35,-2.29,5.05
1.172,0.15,-0.75,0.6,-52.43,10.15,6.24
1.194,0.16,-0.76,0.57,-54.98,-1.94,8.75
1.216,0.18,-0.79,0.53,-55.76,-4.02,12.27
1.245,0.22,-0.81,0.54,-64.14,15.33,12.2
1.268,0.2,-0.83,0.56,-68.89,21.86,8.05
1.29,0.14,-0.84,0.59,-71.53,20.52,3.76
1.313,0.11,-0.85,0.6,-62.72,3.69,1.86
1.336,0.11,-0.86,0.58,-52.9,4.73,-0.03
1.358,0.09,-0.87,0.53,-50.0,1.66,2.52
1.385,0.1,-0.87,0.52,-45.85,-0.4,4.52
1.404,0.1,-0.88,0.51,-44.31,-0.79,3.97
1.431,0.1,-0.9,0.5,-41.24,-4.23,4.32
1.457,0.11,-0.89,0.45,-35.57,-5.76,6.08
1.477,0.11,-0.91,0.45,-37.74,0.31,7.74
1.499,0.11,-0.92,0.44,-39.13,-0.7,9.18
1.523,0.13,-0.92,0.42,-39.01,-11.13,8.58
1.545,0.15,-0.95,0.37,-35.4,-10.43,10.73
1.567,0.17,-0.95,0.41,-33.82,-4.18,11.19
1.591,0.21,-0.96,0.39,-33.77,1.89,6.78
1.618,0.18,-0.95,0.41,-31.5,3.4,0.82
1.64,0.17,-0.94,0.37,-29.62,-1.28,-2.56
1.664,0.14,-0.93,0.34,-27.8,-3.04,-4.73
1.687,0.12,-0.94,0.34,-26.93,-2.41,-4.67
1.708,0.11,-0.93,0.32,-24.58,-0.82,-5.59
1.732,0.09,-0.93,0.31,-25.07,-0.38,-3.79
1.758,0.08,-0.94,0.28,-26.43,-0.79,-0.75
1.781,0.08,-0.95,0.29,-26.18,1.1,0.78
1.805,0.08,-0.96,0.26,-26.43,-3.6,2.17
1.827,0.09,-0.95,0.23,-27.74,-5.28,2.53
1.849,0.06,-0.96,0.16,-30.63,-8.18,2.84
1.873,0.08,-0.96,0.21,-30.41,-10.55,5.65
1.895,0.08,-0.98,0.22,-29.95,-9.04,7.83
1.917,0.1,-0.97,0.22,-29.98,-6.47,9.73
1.941,0.12,-0.98,0.22,-29.18,-7.68,10.67
1.968,0.13,-1.0,0.21,-29.19,-9.4,10.15
1.991,0.13,-1.02,0.26,-28.2,-12.98,8.72
2.014,0.14,-1.02,0.27,-21.08,-21.25,6.27
2.036,0.13,-1.01,0.24,-17.08,-24.9,4.96
2.058,0.13,-1.0,0.22,-14.53,-22.89,3.85
2.081,0.13,-1.0,0.18,-14.12,-20.9,1.97
2.107,0.13,-0.99,0.14,-13.88,-20.52,1.66
2.132,0.12,-0.99,0.11,-17.1,-16.5,2.6
2.156,0.12,-0.96,0.09,-19.91,-11.76,3.04
2.177,0.11,-0.96,0.09,-22.73,-5.31,2.95
2.199,0.12,-0.96,0.08,-27.85,-6.93,2.84
2.223,0.1,-0.97,0.1,-30.03,-5.33,3.69
2.245,0.09,-0.97,0.09,-30.27,-4.56,6.29
2.267,0.09,-0.98,0.1,-30.09,-5.79,8.2
2.291,0.11,-0.99,0.08,-31.54,-7.57,9.8
2.318,0.11,-1.01,0.07,-30.84,-6.31,9.45
2.34,0.09,-1.0,0.07,-33.01,-7.66,9.01
2.367,0.08,-1.01,0.07,-32.55,-10.52,9.82
2.386,0.09,-1.02,0.08,-31.76,-12.15,11.3
