timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.21,-0.23,0.93,-3.27,-2.29,2.76
0.003,0.24,-0.24,0.93,-4.21,3.77,9.6
0.005,0.24,-0.23,0.92,-2.98,6.95,10.41
0.006,0.23,-0.22,0.89,-1.89,7.89,8.63
0.008,0.22,-0.24,0.91,-5.16,4.17,7.18
0.009,0.25,-0.25,0.93,-7.92,-1.6,6.21
0.011,0.24,-0.26,0.93,-8.2,-0.44,7.13
0.012,0.25,-0.27,0.92,-2.32,2.99,6.43
0.014,0.24,-0.26,0.92,-4.06,2.29,7.3
0.015,0.21,-0.26,0.92,-6.0,3.83,6.63
0.016,0.23,-0.27,0.91,-9.18,-1.27,8.4
0.017,0.26,-0.3,0.93,-8.44,1.15,10.34
0.019,0.35,-0.31,0.93,-7.19,2.72,10.38
0.02,0.36,-0.31,0.89,-3.05,7.1,5.65
0.021,0.41,-0.31,0.89,-1.66,3.66,-0.11
0.022,0.38,-0.31,0.9,-1.79,8.18,-5.5
0.023,0.44,-0.36,0.92,0.61,7.6,-15.28
0.024,0.5,-0.41,0.95,0.29,7.33,-18.84
0.025,0.58,-0.43,0.98,8.73,17.56,-25.98
0.026,0.57,-0.38,0.97,18.38,19.85,-44.63
0.027,0.48,-0.29,0.93,22.47,29.74,-61.89
0.028,0.48,-0.26,0.91,26.23,27.88,-76.49
0.029,0.42,-0.24,0.98,24.34,39.74,-84.11
0.03,0.46,-0.29,0.93,23.22,46.67,-99.82
0.031,0.56,-0.35,0.88,30.32,46.23,-118.0
0.032,0.53,-0.39,0.9,41.66,69.97,-146.56
0.033,0.6,-0.35,0.78,61.21,69.57,-170.47
0.034,0.49,-0.38,0.76,63.33,65.31,-204.76
0.035,0.31,-0.41,0.87,57.6,65.54,-237.01
0.036,0.19,-0.43,0.99,37.27,51.44,-271.28
0.037,0.31,-0.45,0.95,38.26,54.17,-271.69
0.038,0.29,-0.46,0.86,65.65,60.11,-279.39
0.039,0.04,-0.43,0.9,57.04,63.25,-292.6
0.04,0.02,-0.43,0.81,30.92,63.13,-289.47
0.041,0.09,-0.43,0.85,42.23,59.22,-268.02
0.042,0.02,-0.42,0.87,41.88,45.89,-265.66
0.043,-0.08,-0.37,0.78,33.24,30.75,-265.95
0.043,-0.22,-0.32,0.76,29.07,36.81,-253.6
0.044,-0.36,-0.26,0.88,14.82,17.19,-244.35
0.045,-0.31,-0.27,0.89,-11.28,-5.22,-214.98
0.046,-0.27,-0.25,0.81,-10.43,4.56,-189.63
0.047,-0.3,-0.25,0.8,-5.19,21.54,-160.06
0.048,-0.38,-0.29,0.98,-16.63,27.24,-143.31
0.048,-0.31,-0.34,1.07,-24.56,21.86,-111.98
0.049,-0.2,-0.35,1.0,-17.89,20.09,-94.32
0.05,-0.19,-0.33,0.9,-9.56,11.24,-83.18
0.051,-0.2,-0.32,0.83,-5.22,10.96,-72.89
0.052,-0.18,-0.31,0.86,-4.21,10.37,-58.12
0.053,-0.13,-0.35,0.87,-7.92,8.44,-49.37
0.053,-0.12,-0.33,0.88,-6.93,6.53,-43.08
0.054,-0.12,-0.31,0.85,-8.85,1.86,-38.08
0.055,-0.11,-0.32,0.89,-9.8,10.05,-27.63
0.056,-0.11,-0.33,0.91,-13.37,11.89,-22.99
0.057,-0.07,-0.33,0.93,-11.22,3.66,-15.65
0.057,-0.07,-0.31,0.91,-12.73,1.68,-14.95
0.058,-0.03,-0.32,0.91,-11.18,-0.4,-9.88
0.059,-0.01,-0.32,0.94,-8.29,4.17,-7.15
0.06,-0.0,-0.32,0.94,-9.05,5.56,-2.99
0.061,-0.03,-0.29,0.9,-6.52,1.07,-5.54
0.062,-0.03,-0.26,0.88,-5.45,1.98,-2.21
0.063,-0.03,-0.26,0.86,-6.67,0.84,0.18
0.063,-0.01,-0.26,0.88,-9.57,-3.73,2.55
0.064,-0.02,-0.28,0.92,-6.95,5.95,4.78
0.065,0.02,-0.27,0.92,-6.72,-2.23,7.11
0.066,-0.02,-0.26,0.93,-4.41,-3.16,6.98
0.066,-0.05,-0.26,0.91,-3.5,-7.34,3.98
0.067,-0.06,-0.26,0.93,-3.31,-11.27,6.49
0.068,-0.05,-0.25,0.91,-2.98,-4.2,11.85
0.089,-0.04,-0.28,0.94,-4.7,-8.03,13.94
0.112,-0.08,-0.26,0.92,-1.56,-4.87,14.26
0.14,-0.07,-0.25,0.88,0.23,-8.93,14.98
0.162,-0.06,-0.26,0.89,-3.31,-8.6,22.06
0.19,-0.02,-0.26,0.92,-5.69,-9.54,23.68
0.212,-0.02,-0.26,0.9,-7.04,-10.53,22.75
0.239,-0.01,-0.27,0.89,-4.6,-9.8,21.62
0.262,-0.0,-0.28,0.91,-6.66,-2.41,25.07
0.29,-0.01,-0.28,0.92,-6.31,-1.28,26.21
0.312,-0.01,-0.28,0.9,-6.23,-12.4,27.88
0.34,-0.0,-0.28,0.91,-4.49,-14.21,29.86
0.362,0.0,-0.27,0.89,-3.34,-22.56,30.56
0.389,0.01,-0.27,0.9,-3.25,-19.86,34.23
0.412,0.0,-0.27,0.91,-2.92,-16.17,37.65
0.44,0.0,-0.28,0.95,-3.8,-13.63,42.26
0.462,-0.01,-0.27,0.93,-1.28,-7.27,48.49
0.49,-0.01,-0.26,0.91,-3.05,-10.21,50.0
0.512,0.03,-0.28,0.93,-4.56,-16.43,54.96
0.54,0.05,-0.28,0.96,-5.65,-16.02,56.35
0.562,0.05,-0.27,0.95,-0.67,-12.52,51.48
0.59,0.03,-0.24,0.92,2.85,-20.29,44.92
0.612,0.07,-0.24,0.84,2.9,-13.65,42.6
0.64,0.01,-0.24,0.88,2.38,-8.99,47.11
0.662,0.02,-0.24,0.9,5.28,-13.85,45.62
0.69,0.04,-0.25,0.95,2.61,-16.6,49.86
0.712,0.06,-0.23,0.93,0.81,-13.42,51.68
0.74,0.02,-0.21,0.91,1.5,-10.24,52.26
0.762,0.03,-0.21,0.92,-0.5,-18.75,50.82
0.79,0.07,-0.22,0.95,-3.18,-17.82,57.5
0.812,0.07,-0.23,0.94,-0.66,-3.04,61.79
0.84,0.06,-0.22,0.92,-0.9,-12.84,55.19
0.862,0.08,-0.21,0.93,-3.04,-15.98,59.44
0.89,0.11,-0.19,0.94,-1.42,-5.57,63.34
0.912,0.1,-0.2,0.96,-5.6,-7.05,57.24
0.94,0.09,-0.2,0.98,-6.14,-7.88,50.7
0.963,0.09,-0.18,0.97,-6.0,-7.19,52.26
0.99,0.06,-0.17,0.94,-3.71,-7.91,49.48
1.012,0.04,-0.17,0.94,-3.45,-11.88,50.76
1.04,0.08,-0.18,0.93,-0.85,-9.45,54.32
