timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,-0.11,-0.29,0.88,-1.77,1.02,-1.79
0.002,-0.11,-0.3,0.89,-4.15,2.21,-0.95
0.004,-0.12,-0.3,0.87,-2.2,6.49,0.73
0.006,-0.12,-0.29,0.86,-1.76,-1.25,-0.99
0.007,-0.1,-0.3,0.87,-1.33,-2.23,-1.22
0.009,-0.12,-0.3,0.88,-1.91,1.15,-0.81
0.011,-0.12,-0.29,0.88,-2.75,3.77,0.17
0.012,-0.09,-0.29,0.88,-2.95,3.4,-0.55
0.013,-0.1,-0.3,0.88,-2.92,2.38,-0.18
0.014,-0.11,-0.3,0.88,-1.92,0.5,-0.34
0.016,-0.12,-0.3,0.87,-2.2,0.81,-1.15
0.017,-0.13,-0.29,0.87,-3.22,2.72,-1.01
0.018,-0.13,-0.3,0.87,-2.02,4.55,-1.24
0.02,-0.12,-0.31,0.87,-0.15,6.61,0.73
0.021,-0.16,-0.32,0.86,0.9,7.18,3.27
0.022,-0.15,-0.3,0.85,-0.29,10.9,8.99
0.023,-0.25,-0.31,0.87,1.92,8.02,14.41
0.024,-0.28,-0.32,0.84,4.95,-6.7,19.98
0.025,-0.37,-0.28,0.75,9.86,-24.03,35.33
0.026,-0.5,-0.28,0.65,-5.91,-38.73,51.76
0.027,-0.67,-0.28,0.64,-4.41,-76.87,81.71
0.028,-0.67,-0.33,0.64,-8.02,-64.89,116.21
0.029,-0.6,-0.38,0.6,-20.18,-64.05,163.33
0.03,-0.49,-0.43,0.57,-23.16,-50.67,187.63
0.031,-0.4,-0.49,0.72,-51.44,-64.08,195.74
0.032,-0.34,-0.56,0.87,-46.21,-94.03,204.38
0.033,-0.13,-0.6,0.92,-15.36,-70.96,204.26
0.034,-0.06,-0.55,0.81,-14.78,-74.46,190.32
0.035,0.02,-0.48,0.74,-35.04,-45.79,190.69
0.036,0.02,-0.5,0.85,-47.25,-34.24,199.73
0.037,0.08,-0.55,0.93,-50.34,-46.81,194.41
0.038,0.1,-0.51,0.85,-49.65,-62.78,177.04
0.039,0.13,-0.48,0.78,-55.24,-51.77,172.49
0.04,0.14,-0.48,0.86,-51.05,-42.29,173.92
0.04,0.16,-0.5,0.88,-52.27,-56.44,164.99
0.041,0.17,-0.51,0.9,-43.79,-61.56,151.16
0.042,0.23,-0.49,0.86,-39.65,-30.99,143.97
0.043,0.27,-0.51,0.94,-37.77,-17.31,136.66
0.044,0.26,-0.48,0.98,-35.8,-35.07,112.29
0.044,0.22,-0.44,0.93,-31.37,-39.91,102.21
0.045,0.24,-0.45,0.94,-28.09,-26.66,94.21
0.046,0.26,-0.42,0.94,-25.59,-16.08,88.53
0.047,0.26,-0.42,0.97,-25.45,-19.73,74.24
0.048,0.25,-0.41,0.99,-19.24,-21.22,59.63
0.048,0.21,-0.37,0.93,-13.62,-18.03,45.51
0.049,0.2,-0.34,0.92,-13.82,-14.69,43.44
0.05,0.2,-0.34,0.94,-14.18,-3.94,39.89
0.051,0.18,-0.35,0.97,-10.9,-2.75,33.68
0.052,0.13,-0.32,0.95,-5.95,-6.75,26.17
0.053,0.12,-0.31,0.94,-3.3,-7.4,23.54
0.054,0.11,-0.31,0.95,-1.33,-7.92,20.63
0.054,0.1,-0.31,0.98,1.95,-6.29,16.5
0.055,0.08,-0.31,0.97,6.99,-5.68,12.4
0.056,0.1,-0.3,0.94,9.95,-4.85,11.74
0.057,0.13,-0.29,0.91,10.58,-5.86,6.69
0.058,0.12,-0.28,0.9,8.81,-4.17,2.17
0.058,0.13,-0.27,0.89,7.63,2.05,0.14
0.059,0.13,-0.27,0.89,3.89,3.18,-4.47
0.06,0.1,-0.27,0.92,-0.5,8.43,-6.73
0.061,0.1,-0.28,0.94,0.43,15.42,-8.27
0.062,0.06,-0.27,0.93,-0.32,10.78,-10.98
0.062,0.04,-0.26,0.93,2.64,6.34,-13.25
0.063,0.03,-0.27,0.94,2.46,7.37,-11.34
0.064,0.01,-0.27,0.93,6.26,7.27,-10.99
0.065,0.01,-0.25,0.9,8.73,0.75,-10.85
0.077,0.04,-0.26,0.9,6.21,-0.49,-10.81
0.101,0.07,-0.27,0.91,7.68,2.76,-13.54
0.123,0.05,-0.26,0.9,5.16,5.44,-15.65
0.15,0.06,-0.25,0.9,2.61,8.9,-16.32
0.173,0.04,-0.25,0.91,1.53,10.67,-19.57
0.195,0.03,-0.26,0.91,0.82,8.4,-20.03
0.22,0.02,-0.25,0.93,3.95,9.4,-20.14
0.243,0.02,-0.24,0.92,2.92,6.84,-19.1
0.27,0.02,-0.25,0.92,4.82,5.91,-19.05
0.293,0.06,-0.25,0.92,6.46,2.64,-21.24
0.315,0.08,-0.25,0.9,7.45,2.43,-25.95
0.337,0.09,-0.26,0.92,5.89,1.82,-28.14
0.36,0.09,-0.27,0.91,11.02,9.51,-33.24
0.388,0.08,-0.24,0.9,7.42,6.06,-41.25
0.41,0.04,-0.24,0.91,6.47,10.79,-45.25
0.433,-0.01,-0.24,0.91,8.37,17.28,-41.04
0.46,0.02,-0.26,0.94,5.69,17.48,-38.52
0.483,0.01,-0.24,0.93,5.59,14.0,-38.99
0.51,0.01,-0.25,0.93,5.91,13.69,-39.24
0.534,-0.01,-0.25,0.94,4.18,8.89,-40.96
0.56,0.0,-0.28,0.98,8.43,0.89,-43.18
0.583,0.02,-0.25,0.93,12.44,1.83,-44.99
0.61,0.03,-0.23,0.9,10.34,4.76,-45.56
0.633,0.05,-0.24,0.92,9.76,7.62,-46.37
0.66,0.05,-0.23,0.91,7.77,11.47,-44.38
0.683,0.05,-0.23,0.9,8.03,16.41,-45.19
0.71,0.04,-0.24,0.9,3.95,18.0,-47.01
0.733,0.0,-0.22,0.91,2.9,18.34,-44.37
0.76,0.01,-0.23,0.93,3.59,23.53,-40.27
0.783,0.02,-0.23,0.91,6.11,20.37,-40.64
0.81,0.0,-0.22,0.89,4.63,14.44,-40.17
0.833,0.02,-0.22,0.92,6.0,10.6,-41.19
0.86,0.03,-0.25,0.95,16.29,10.79,-42.89
0.883,-0.0,-0.23,0.91,25.92,3.05,-43.86
0.91,0.04,-0.2,0.87,4.35,13.05,-47.07
0.933,0.01,-0.21,0.9,2.53,22.55,-44.64
0.96,0.01,-0.26,0.96,9.11,24.89,-41.8
0.983,-0.05,-0.21,0.94,3.74,24.72,-41.22
1.01,-0.06,-0.2,0.91,3.4,10.06,-38.12
1.033,-0.06,-0.17,0.9,8.53,6.5,-34.29
1.06,-0.06,-0.21,0.92,3.66,14.35,-32.93
1.083,-0.09,-0.17,0.91,7.16,11.83,-31.65
1.11,-0.04,-0.22,0.91,9.27,10.44,-24.61
1.133,-0.01,-0.18,0.91,7.04,7.82,-25.02
1.16,-0.04,-0.22,0.98,9.08,3.18,-29.04
1.183,0.02,-0.19,0.92,12.96,8.69,-27.68
1.21,0.02,-0.2,0.92,3.13,10.14,-32.81
1.233,0.03,-0.2,0.91,2.26,9.18,-35.45
1.26,-0.0,-0.19,0.89,9.13,7.21,-36.46
1.283,0.01,-0.19,0.91,2.55,9.94,-39.47
1.31,0.03,-0.21,0.9,-0.76,15.28,-41.83
1.333,0.06,-0.24,0.93,3.82,15.68,-48.11
1.36,-0.04,-0.21,0.9,4.12,15.04,-58.41
1.383,-0.07,-0.19,0.86,2.31,12.52,-59.76
1.41,-0.1,-0.17,0.84,0.53,20.53,-48.23
1.433,-0.09,-0.19,0.86,-2.9,15.8,-42.5
1.46,-0.02,-0.22,0.93,-6.34,14.37,-46.84
1.483,-0.03,-0.24,0.96,0.93,20.75,-46.67
1.51,-0.07,-0.2,0.91,0.75,15.95,-44.63
1.533,-0.06,-0.2,0.9,-2.2,9.21,-42.79
1.56,-0.07,-0.22,0.93,-4.9,8.52,-39.22
1.583,-0.07,-0.23,0.96,-2.61,8.84,-36.12
1.61,-0.06,-0.23,0.95,1.89,11.36,-37.05
1.633,-0.07,-0.23,0.94,-0.64,6.5,-35.97
1.66,-0.05,-0.23,0.96,0.43,6.52,-32.34
1.683,-0.05,-0.24,0.94,3.59,6.81,-32.27
1.71,-0.05,-0.23,0.93,5.24,6.46,-30.9
