timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.1,0.98,-0.14,2.53,12.7,3.02
0.003,0.1,0.99,-0.16,2.6,10.9,4.35
0.004,0.09,0.99,-0.17,0.08,7.39,4.29
0.006,0.1,0.98,-0.17,-1.04,3.59,4.81
0.008,0.11,0.98,-0.18,0.56,-4.46,2.34
0.009,0.13,0.98,-0.19,2.4,0.73,3.74
0.011,0.12,0.99,-0.2,1.66,1.34,2.38
0.012,0.14,1.01,-0.19,-5.05,6.29,3.48
0.014,0.14,0.99,-0.16,-5.92,5.42,0.87
0.015,0.14,0.97,-0.14,-1.71,7.6,-0.61
0.016,0.11,0.99,-0.17,0.99,4.95,-1.19
0.018,0.12,1.01,-0.17,-3.22,4.87,-0.02
0.019,0.12,0.98,-0.17,-3.88,-0.73,-1.79
0.02,0.12,0.99,-0.21,-5.95,-3.97,-1.4
0.021,0.12,0.98,-0.22,-5.82,0.23,0.44
0.022,0.09,0.99,-0.25,-8.66,-0.72,1.24
0.023,0.1,0.98,-0.29,-18.37,-5.18,4.99
0.024,0.08,0.96,-0.32,-22.32,-16.2,4.26
0.026,0.1,0.99,-0.4,-27.33,-31.66,5.16
0.027,0.13,0.99,-0.49,-50.14,-51.02,8.58
0.028,0.15,0.97,-0.52,-63.07,-64.73,7.07
0.029,0.16,0.95,-0.54,-78.35,-72.02,9.97
0.03,0.19,0.94,-0.48,-109.44,-63.51,15.01
0.031,0.15,0.89,-0.39,-125.04,-66.61,12.47
0.032,0.13,0.86,-0.33,-136.21,-61.37,23.11
0.033,0.18,0.81,-0.19,-151.74,-67.83,26.02
0.033,0.21,0.81,-0.13,-165.85,-87.16,20.27
0.034,0.28,0.77,-0.1,-172.73,-85.08,22.4
0.035,0.32,0.7,0.08,-193.01,-44.23,45.1
0.036,0.32,0.63,0.15,-202.03,-19.76,47.79
0.037,0.29,0.58,0.2,-210.02,-40.89,29.22
0.038,0.32,0.51,0.24,-210.34,-20.11,31.68
0.039,0.31,0.55,0.24,-219.37,-15.48,35.44
0.04,0.32,0.47,0.31,-251.92,-17.1,29.13
0.041,0.27,0.14,0.54,-255.57,-33.86,25.71
