timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,-0.04,0.09,0.88,-5.37,12.9,-0.82
0.002,-0.03,0.1,0.95,-0.11,23.48,-4.85
0.004,-0.06,0.11,0.91,-4.9,-16.38,-5.4
0.006,-0.08,0.1,0.88,-4.55,-15.77,-16.96
0.008,-0.1,0.11,0.91,-8.72,-18.23,-11.4
0.009,-0.01,0.08,0.94,-2.35,-11.88,-9.97
0.011,-0.02,0.07,0.93,-0.41,0.23,-19.08
0.012,-0.06,0.09,0.9,-2.47,-4.5,-19.88
0.013,-0.09,0.1,0.9,-12.35,-4.82,-16.0
0.015,-0.07,0.06,0.92,-13.13,-4.6,-16.53
0.016,-0.06,0.06,0.93,-10.4,-1.18,-16.67
0.017,-0.14,0.09,0.95,-7.74,-6.58,-14.99
0.018,-0.11,0.09,0.93,-10.29,-9.08,-10.32
0.022,-0.06,0.06,0.94,-9.66,-3.36,-9.01
0.025,-0.07,0.03,0.94,-8.92,-6.69,-13.04
0.032,-0.08,0.04,0.92,-8.75,-19.82,-10.96
0.034,-0.05,0.04,0.93,-6.89,-15.77,-5.31
0.036,0.02,0.05,0.91,-5.69,-3.27,-6.41
0.038,0.01,0.05,0.91,-8.64,-3.92,-11.22
0.041,-0.01,0.06,0.91,-11.65,-6.99,-14.14
0.043,-0.03,0.04,0.94,-13.44,-7.89,-10.02
0.045,-0.01,0.02,0.93,-12.58,-6.31,-8.58
0.048,0.01,0.02,0.93,-11.98,3.05,-13.36
0.049,-0.04,0.04,0.95,-16.43,-12.92,-13.22
0.05,-0.05,0.03,0.97,-16.64,-10.76,-10.79
0.051,-0.06,0.01,0.99,-13.5,-2.82,-7.47
0.052,-0.04,-0.01,0.99,-12.0,-1.08,-5.13
0.052,-0.04,-0.01,0.98,-11.8,2.03,-5.95
0.053,-0.06,-0.01,1.0,-13.83,-0.2,-3.69
0.054,-0.01,-0.04,1.01,-9.16,3.48,2.49
0.056,-0.03,-0.05,1.02,-4.93,5.94,2.96
0.058,-0.03,-0.02,0.99,-6.85,-1.34,2.14
0.059,-0.01,-0.03,0.98,-3.89,-0.7,3.83
0.059,-0.01,-0.03,0.98,-3.28,0.87,3.3
0.06,0.01,-0.02,0.97,-2.09,0.58,3.79
0.061,0.02,-0.01,0.94,0.58,6.41,1.95
0.062,0.0,0.02,0.93,-3.33,6.32,-2.15
0.063,-0.02,0.02,0.93,-2.43,4.52,-1.05
0.063,-0.03,0.02,0.93,-0.72,10.72,2.61
0.064,-0.02,0.03,0.94,-3.83,5.44,2.35
0.065,-0.0,0.01,0.94,-4.09,1.01,-0.96
0.066,-0.01,-0.0,0.94,-3.47,0.63,-0.95
0.067,0.01,-0.0,0.95,-1.4,-0.2,-0.84
0.067,0.01,-0.01,0.93,1.22,1.98,-1.08
0.068,0.01,0.01,0.92,-3.65,-1.71,-3.01
0.069,0.02,-0.01,0.94,-2.4,-1.3,-2.63
0.07,0.02,-0.01,0.95,-0.58,2.0,-2.18
0.071,0.03,0.01,0.94,-1.21,3.33,-6.06
0.072,-0.01,0.01,0.92,-1.3,0.38,-8.46
0.072,-0.0,0.02,0.93,-2.11,-5.34,-4.41
0.073,0.02,0.02,0.94,-3.56,0.14,-3.88
0.074,0.03,0.02,0.93,-5.04,-1.63,-5.21
