timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.29,0.06,0.91,-1.19,5.95,9.82
0.001,0.24,0.06,0.94,-3.51,2.23,8.89
0.002,0.3,0.06,0.94,-3.69,0.24,10.05
0.003,0.32,0.06,0.94,0.75,11.27,4.43
0.004,0.29,0.06,0.94,-3.89,7.85,4.31
0.005,0.27,0.06,0.95,-6.52,5.04,8.14
0.006,0.29,0.07,0.95,-5.89,7.04,5.42
0.007,0.31,0.06,0.94,-3.56,13.94,-2.29
0.008,0.18,0.07,0.95,-3.33,7.79,5.36
0.008,0.25,0.07,0.95,-2.49,0.67,9.71
0.009,0.28,0.05,0.96,-3.04,-4.73,2.26
0.01,0.26,0.06,0.95,-2.38,5.47,-1.45
0.011,0.24,0.05,0.95,-2.38,4.23,2.11
0.012,0.27,0.05,0.95,-2.55,6.98,2.81
0.013,0.29,0.05,0.92,-3.66,13.91,-0.75
0.013,0.3,0.04,0.94,-5.71,16.15,-8.82
0.014,0.26,0.04,0.95,-6.4,19.01,-16.0
0.015,0.21,0.06,0.9,-3.65,7.63,-2.56
0.016,0.25,0.06,0.92,-5.36,0.14,1.74
0.017,0.28,0.04,0.93,-6.56,1.39,-2.5
0.018,0.25,0.04,0.93,-7.98,-0.5,-3.18
0.018,0.25,0.04,0.95,-9.07,-3.24,-0.85
0.019,0.26,0.04,0.95,-8.61,-5.65,0.72
0.02,0.31,0.04,0.94,-8.44,-0.89,-1.51
0.021,0.31,0.01,0.96,-8.73,3.05,-7.83
0.022,0.3,0.02,0.92,-8.92,11.79,-13.24
0.022,0.29,0.07,0.88,-12.64,11.02,-7.48
0.023,0.3,0.02,0.92,-7.63,5.77,-14.75
0.024,0.28,0.04,0.91,-13.4,0.82,-16.4
0.025,0.24,0.01,0.92,-12.92,-1.24,-12.78
0.026,0.25,0.03,0.91,-13.5,4.78,-18.09
0.026,0.25,0.03,0.91,-19.27,2.55,-24.99
0.027,0.21,-0.01,0.92,-7.57,12.87,-27.59
0.028,0.2,0.06,0.85,-12.87,10.53,-14.69
0.029,0.22,0.05,0.88,-18.95,-2.89,-18.53
0.03,0.26,-0.03,0.9,-26.72,-1.97,-33.47
0.03,0.26,-0.0,0.89,-25.22,-2.18,-35.83
0.031,0.24,0.01,0.89,-19.48,10.6,-31.16
0.032,0.21,0.01,0.86,-25.04,-6.26,-24.67
0.033,0.26,-0.02,0.87,-28.75,-15.77,-28.75
0.034,0.26,0.0,0.87,-25.59,-9.73,-36.29
0.035,0.21,0.01,0.86,-19.34,-10.27,-36.15
0.035,0.27,0.0,0.83,-18.47,5.08,-39.3
0.036,0.27,-0.02,0.86,-23.05,-5.15,-51.98
0.037,0.15,-0.1,0.96,-28.85,-18.7,-34.61
0.038,0.19,-0.11,0.97,-20.0,-13.57,-20.15
0.039,0.22,-0.09,0.95,-17.07,-14.81,-20.34
0.04,0.26,-0.05,0.93,-11.53,-9.27,-16.37
0.04,0.26,-0.06,0.93,-13.25,-5.97,-17.71
0.041,0.26,-0.12,0.94,-20.66,-19.56,-22.87
0.042,0.3,-0.13,0.97,-14.53,-17.54,-21.1
0.043,0.29,-0.13,0.96,-10.09,3.13,-11.5
0.044,0.32,-0.13,0.99,-6.11,2.69,-8.47
0.045,0.37,-0.17,1.03,-11.15,-11.11,-8.61
0.045,0.45,-0.16,1.03,-10.92,-10.09,-3.19
0.046,0.43,-0.18,1.06,-8.96,-11.91,-10.61
0.047,0.43,-0.15,1.06,1.74,-11.13,-15.85
0.048,0.38,-0.18,1.04,12.61,-1.8,-11.48
0.049,0.37,-0.09,0.95,12.99,3.22,-19.51
0.049,0.44,-0.11,1.04,0.7,-4.15,-9.73
0.05,0.49,-0.17,1.1,-1.88,5.68,-16.41
0.051,0.43,-0.2,1.12,7.22,5.3,-18.7
0.052,0.34,-0.08,1.01,21.36,3.04,-20.56
0.053,0.31,-0.03,0.94,18.85,-1.28,-24.4
0.053,0.27,-0.05,0.91,20.21,-6.63,-19.66
0.054,0.2,-0.03,0.86,25.42,-9.02,-16.49
0.055,0.21,0.06,0.77,23.1,-13.33,-14.92
0.057,0.04,-0.01,1.02,5.16,-0.82,6.67
0.059,0.05,-0.0,1.0,8.09,-3.15,8.23
0.083,0.05,0.03,0.95,12.4,-3.53,9.71
0.105,0.08,0.04,0.93,13.98,-4.18,16.73
0.128,0.08,0.04,0.92,15.08,-0.38,17.95
0.152,0.16,0.03,0.91,15.89,1.01,17.85
0.179,0.17,0.04,0.91,14.44,2.31,16.87
0.201,0.13,0.04,0.93,12.29,4.69,13.05
0.225,0.16,0.05,0.94,11.39,-0.23,13.19
0.248,0.16,0.06,0.92,13.89,1.74,17.42
0.27,0.15,0.07,0.93,11.69,3.56,17.39
0.293,0.17,0.05,0.93,8.41,-2.7,18.38
0.315,0.19,0.04,0.95,8.53,-3.6,21.54
0.337,0.19,0.05,0.93,11.05,0.53,24.12
0.363,0.21,0.05,0.93,9.82,-3.76,24.72
0.385,0.22,0.05,0.94,8.18,0.82,25.86
0.407,0.19,0.07,0.93,10.11,0.85,20.89
0.433,0.19,0.11,0.89,14.26,-4.17,19.1
0.455,0.2,0.13,0.89,12.79,-1.05,24.87
0.477,0.18,0.11,0.88,10.63,2.56,25.89
0.506,0.15,0.16,0.87,7.82,-1.85,21.47
0.528,0.15,0.14,0.85,0.96,-3.95,21.16
0.551,0.17,0.13,0.86,-11.4,-6.81,19.16
0.574,0.17,0.11,0.88,-17.47,-28.12,5.91
0.598,0.23,0.06,0.88,-15.6,-44.35,13.88
0.619,0.26,0.07,0.86,-5.15,-18.73,30.2
0.645,0.31,0.05,0.9,3.76,1.53,37.68
0.666,0.29,0.05,0.91,3.63,-5.65,28.49
0.688,0.25,0.05,0.9,4.24,-4.0,26.38
0.713,0.3,-0.02,0.93,7.02,-0.44,36.06
0.736,0.29,-0.01,0.95,-0.61,-2.63,34.47
0.757,0.32,0.04,0.89,6.52,-12.67,29.59
0.786,0.31,0.09,0.86,16.32,-8.43,30.38
0.808,0.32,0.11,0.85,23.53,3.15,35.13
0.831,0.3,0.16,0.81,26.29,3.69,32.09
0.853,0.28,0.16,0.86,18.9,2.76,30.29
0.875,0.26,0.18,0.86,14.29,2.43,30.75
0.897,0.24,0.19,0.84,13.04,7.5,31.85
0.923,0.22,0.14,0.89,3.37,13.95,36.46
0.945,0.28,0.12,0.91,-11.42,-3.94,38.52
0.967,0.35,0.09,0.94,-8.92,-6.15,40.75
0.996,0.38,0.05,0.92,-7.28,-7.94,41.4
1.018,0.39,0.04,0.92,-7.3,-10.81,37.28
1.041,0.4,0.06,0.91,-4.43,-3.71,37.45
1.065,0.39,0.04,0.91,-5.8,2.84,39.69
1.086,0.37,0.04,0.9,-3.91,3.45,34.78
1.109,0.34,0.11,0.84,8.29,12.24,31.27
1.133,0.29,0.14,0.8,-2.12,10.63,31.74
1.155,0.28,0.11,0.85,-18.2,12.53,29.68
1.177,0.31,0.07,0.9,-21.02,15.22,32.96
1.206,0.35,0.08,0.88,-22.11,14.12,34.06
1.228,0.37,0.03,0.96,-37.51,3.13,29.13
1.251,0.43,-0.04,1.01,-41.05,-4.76,24.67
1.274,0.37,0.02,0.99,-32.02,4.69,25.18
1.296,0.36,0.05,0.97,-21.19,16.02,21.5
1.319,0.37,0.02,1.0,-24.44,7.13,19.98
1.342,0.44,0.03,0.93,-23.63,-5.74,20.72
1.365,0.46,0.0,0.93,-34.31,-14.56,20.67
1.392,0.44,-0.04,0.94,-35.86,-11.25,15.25
1.416,0.49,-0.05,0.94,-35.53,-4.43,12.09
1.438,0.5,-0.0,0.89,-17.71,-23.24,1.74
1.462,0.41,-0.03,0.94,-39.37,-6.34,-0.58
1.484,0.35,-0.05,1.03,-49.02,3.77,-4.58
1.506,0.33,-0.05,1.01,-36.81,1.53,-7.33
1.528,0.35,-0.07,1.01,-39.33,9.63,-1.98
1.552,0.42,-0.09,0.96,-38.73,-1.97,2.08
1.579,0.42,-0.09,0.95,-28.52,-14.66,0.03
1.601,0.43,-0.11,0.91,-29.97,-17.82,-2.52
1.625,0.5,-0.13,0.88,-32.31,-15.82,-2.38
1.646,0.51,-0.13,0.9,-41.74,-15.07,-12.43
1.669,0.5,-0.17,0.92,-46.78,-14.44,-17.5
1.692,0.54,-0.2,0.89,-46.9,-10.61,-22.47
1.719,0.53,-0.22,0.94,-49.31,-6.26,-22.67
1.742,0.45,-0.23,1.02,-49.85,4.99,-31.37
1.766,0.41,-0.25,0.98,-48.89,1.05,-37.4
1.787,0.43,-0.24,0.94,-38.67,-3.92,-34.4
1.809,0.51,-0.27,0.9,-37.31,-12.7,-31.51
1.832,0.43,-0.3,0.97,-36.61,-11.27,-34.15
1.864,0.4,-0.3,0.99,-32.87,1.47,-39.45
1.882,0.43,-0.29,0.95,-28.73,1.77,-38.61
1.905,0.46,-0.31,1.0,-27.73,-4.05,-36.37
1.927,0.4,-0.36,1.07,-30.23,5.22,-40.93
1.949,0.4,-0.32,1.0,-22.9,-2.0,-42.4
1.972,0.5,-0.28,0.89,-11.51,-13.34,-37.74
1.997,0.53,-0.3,0.86,-12.2,-17.63,-37.51
2.022,0.49,-0.28,0.9,-15.4,-6.03,-44.66
2.045,0.43,-0.25,0.89,-18.81,2.4,-50.35
2.072,0.41,-0.25,0.91,-21.3,16.75,-50.66
2.09,0.44,-0.22,0.91,-24.08,22.23,-43.51
2.113,0.38,-0.33,1.0,-26.69,21.1,-37.39
2.139,0.54,-0.38,1.01,-13.42,19.68,-19.51
2.162,0.57,-0.31,0.92,-9.44,14.27,-28.15
2.186,0.45,-0.31,0.98,-12.03,15.1,-45.68
2.208,0.38,-0.3,0.99,-7.42,32.47,-56.09
2.23,0.35,-0.27,0.98,-2.31,25.02,-53.22
2.254,0.45,-0.27,0.92,3.45,17.94,-45.05
2.276,0.5,-0.32,0.93,4.87,14.93,-36.78
2.298,0.47,-0.33,0.97,1.47,21.98,-39.85
2.321,0.48,-0.3,0.94,7.94,20.03,-42.37
2.349,0.48,-0.29,0.93,14.11,16.27,-42.58
2.371,0.46,-0.28,0.95,13.37,20.11,-39.91
2.394,0.4,-0.25,0.96,13.6,18.03,-42.32
2.417,0.38,-0.26,1.01,13.59,14.27,-44.9
2.439,0.36,-0.23,1.01,15.76,13.98,-45.16
2.462,0.4,-0.2,0.97,16.41,6.18,-43.42
2.485,0.37,-0.2,0.97,17.51,3.22,-44.81
2.512,0.33,-0.19,0.99,18.43,10.84,-43.04
2.536,0.35,-0.18,0.99,16.85,13.28,-39.73
2.558,0.39,-0.2,0.97,16.87,11.08,-35.42
2.58,0.36,-0.2,1.0,18.64,7.83,-37.8
2.603,0.38,-0.15,0.97,16.78,-8.55,-34.95
2.626,0.4,-0.13,0.93,17.39,-9.44,-29.04
2.648,0.41,-0.13,0.9,14.73,3.4,-22.08
2.676,0.33,-0.1,0.89,13.4,22.87,-21.83
2.699,0.29,-0.06,0.86,7.83,7.89,-28.75
2.721,0.3,-0.06,0.87,3.77,-6.11,-22.76
2.744,0.36,-0.11,0.87,-2.27,-7.16,-15.36
2.767,0.35,-0.12,0.89,-0.09,4.47,-9.22
2.789,0.27,-0.13,0.96,-0.55,15.63,-13.73
2.813,0.27,-0.11,0.95,-3.02,-2.79,-9.77
2.835,0.43,-0.04,0.83,11.21,-18.72,31.37
2.863,0.42,-0.05,0.88,7.18,-14.85,24.09
2.886,0.31,-0.08,0.94,13.08,15.04,0.95
2.908,0.38,-0.09,0.93,16.0,21.01,9.82
2.93,0.41,-0.09,0.93,18.87,11.18,3.1
2.954,0.31,-0.02,0.88,28.79,9.4,-10.35
2.976,0.34,-0.02,0.88,28.21,13.69,-7.39
2.999,0.37,0.0,0.87,30.87,14.11,1.83
3.022,0.36,0.01,0.87,29.45,16.92,1.77
3.044,0.4,0.01,0.87,15.51,4.35,0.14
3.067,0.4,0.02,0.86,8.56,1.79,2.96
3.093,0.34,0.02,0.9,7.85,9.4,1.5
