timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.35,-0.03,0.88,-9.27,-2.5,-7.42
0.002,0.33,-0.05,0.88,-3.85,-16.5,-7.25
0.004,0.37,-0.0,0.78,-16.03,-13.4,-0.32
0.006,0.42,0.04,0.8,-35.01,-15.62,2.06
0.007,0.4,-0.07,0.93,-17.42,0.05,-1.37
0.009,0.35,0.01,0.9,-20.55,-2.24,7.98
0.01,0.42,-0.02,0.92,-26.79,-15.5,12.44
0.012,0.49,-0.06,0.96,-14.95,0.27,3.94
0.013,0.46,-0.01,0.92,-16.87,-8.52,0.92
0.014,0.47,-0.03,0.94,-21.44,-6.37,1.48
0.016,0.46,-0.08,0.97,-12.81,-4.44,-0.11
0.017,0.47,-0.06,0.92,-6.63,-5.8,-1.24
0.018,0.46,-0.06,0.92,-9.07,-2.14,0.11
0.019,0.47,-0.07,0.92,-19.18,-6.32,4.26
0.02,0.5,-0.12,1.0,-17.51,-4.34,4.81
0.022,0.5,-0.12,1.05,-11.88,-3.24,2.7
0.023,0.57,-0.12,1.17,-10.35,-12.24,5.89
0.024,0.64,-0.14,1.26,-5.1,-13.53,0.55
0.025,0.7,-0.2,1.34,15.16,-14.26,-15.04
0.026,0.61,-0.08,1.28,12.38,-20.72,-30.24
0.027,0.6,-0.03,1.28,-23.71,-28.79,-28.35
0.028,0.56,-0.09,1.22,-86.55,-35.74,-24.92
0.029,0.67,-0.32,1.38,6.11,-1.88,-44.99
0.03,0.53,-0.14,1.16,23.37,1.69,-49.53
0.031,0.52,-0.09,1.1,12.46,-31.31,-42.46
0.032,0.61,-0.13,1.2,39.76,48.18,-28.53
0.033,0.47,-0.04,1.11,59.4,61.44,-22.46
0.034,0.44,-0.02,1.14,55.71,-11.22,-22.09
0.035,0.53,0.03,1.03,42.47,2.98,-2.69
0.036,0.56,0.1,0.95,27.02,15.05,0.98
0.037,0.5,0.04,0.96,11.86,-26.15,-11.33
0.038,0.58,0.01,0.87,-44.69,-76.96,-27.19
0.039,0.64,-0.07,0.9,-45.24,-36.67,-15.27
0.04,0.59,-0.1,0.98,-33.8,27.83,1.63
0.041,0.49,0.02,0.87,-31.5,51.53,-5.04
0.042,0.31,0.05,0.82,-33.3,-9.07,-20.55
0.042,0.39,-0.09,0.9,-20.58,-62.29,-22.02
0.043,0.6,-0.1,0.82,-1.08,-61.85,-23.53
0.044,0.67,0.05,0.66,-1.92,-48.49,-30.46
0.049,0.67,0.14,0.51,-20.2,-7.76,-15.08
0.051,0.58,0.08,0.55,-21.83,66.63,8.76
0.055,0.52,0.03,0.68,-24.41,64.56,36.26
0.059,0.68,-0.08,0.72,-27.5,61.02,40.49
0.062,0.62,-0.15,0.8,-24.08,82.23,29.44
0.066,0.5,-0.14,0.82,-0.99,73.65,10.53
0.07,0.46,-0.13,0.79,22.47,53.36,9.56
0.072,0.4,-0.02,0.74,44.64,43.3,14.52
0.073,0.37,-0.04,0.76,44.61,20.69,20.98
0.074,0.32,-0.04,0.73,36.26,24.58,25.68
0.075,0.47,-0.07,0.79,20.43,40.05,14.46
0.076,0.43,-0.12,0.86,29.59,47.8,-10.26
0.076,0.32,-0.06,0.84,33.69,48.78,-25.19
0.077,0.21,0.04,0.78,33.8,12.75,-19.51
0.078,0.23,0.04,0.75,31.07,-3.53,-12.66
0.079,0.29,0.03,0.77,22.69,-11.16,-4.99
0.081,0.37,0.0,0.81,16.92,13.92,-5.71
0.082,0.34,-0.02,0.8,16.87,22.78,-8.63
0.082,0.32,-0.02,0.82,14.34,14.5,-6.35
0.083,0.36,-0.04,0.85,18.47,20.7,1.02
0.084,0.37,-0.03,0.89,14.23,26.41,3.95
0.085,0.37,-0.02,0.9,10.17,22.85,3.66
0.086,0.32,-0.0,0.92,9.62,16.38,-3.19
0.086,0.28,0.03,0.9,11.68,17.8,-1.74
0.087,0.25,0.08,0.87,8.76,27.3,6.79
0.088,0.22,0.11,0.85,0.92,38.0,14.5
0.089,0.18,0.11,0.85,-2.02,40.73,16.73
0.09,0.16,0.07,0.9,-0.92,32.72,16.56
0.091,0.26,0.11,0.86,5.22,0.5,2.87
0.092,0.26,0.11,0.85,1.76,3.54,6.09
0.093,0.24,0.09,0.84,1.86,10.53,5.44
0.115,0.24,0.07,0.85,-1.22,11.77,3.97
0.137,0.24,0.09,0.85,-2.38,6.84,0.02
0.16,0.22,0.09,0.85,-1.54,6.24,-6.85
0.184,0.2,0.07,0.86,-3.66,1.88,-9.33
0.211,0.19,0.09,0.87,6.89,6.58,-8.87
0.233,0.15,0.01,0.9,8.0,8.92,-4.08
0.258,0.23,0.15,0.86,14.84,-4.64,-4.46
0.28,0.2,0.15,0.85,8.79,5.62,-6.47
0.302,0.19,0.19,0.88,-0.69,5.53,-4.44
0.326,0.2,0.11,0.95,-11.48,5.22,1.05
0.348,0.19,0.13,0.95,-12.55,3.33,-1.92
0.371,0.18,0.16,0.93,-14.38,-8.18,-9.18
0.394,0.17,0.16,0.89,-17.27,-14.53,-9.42
0.422,0.21,0.17,0.92,-18.98,-9.77,0.84
0.444,0.19,0.12,0.99,-24.78,-0.43,3.77
0.468,0.17,0.1,1.0,-25.33,1.92,3.18
0.49,0.18,0.11,0.97,-20.93,-9.88,2.61
0.512,0.21,0.07,1.01,-22.23,-8.06,7.31
0.536,0.22,0.07,0.99,-21.8,-4.11,11.76
0.558,0.21,0.09,0.95,-13.24,-3.44,8.31
0.581,0.21,0.12,0.91,-11.21,-10.67,5.39
0.604,0.22,0.07,0.97,-15.62,-14.08,5.33
0.631,0.23,0.03,1.01,-18.52,-3.94,10.49
0.654,0.22,0.04,1.0,-10.99,-0.09,8.05
0.678,0.2,0.08,0.97,-10.7,-7.22,4.58
0.7,0.21,0.08,0.96,-11.39,-12.92,5.42
0.722,0.27,0.0,1.0,-14.56,-11.82,9.37
0.746,0.27,0.0,0.98,-7.27,-11.66,4.61
0.768,0.27,0.08,0.93,7.65,-12.46,-6.6
0.79,0.3,0.1,0.92,9.34,-13.08,-6.29
0.814,0.31,0.06,0.95,9.51,1.07,-4.98
0.842,0.21,0.09,0.96,14.67,19.95,-9.74
0.864,0.2,0.12,0.95,19.51,12.17,-8.75
0.888,0.17,0.18,0.9,20.41,5.22,-0.85
0.911,0.16,0.18,0.9,9.63,0.14,0.84
0.932,0.23,0.17,0.89,-3.4,-28.47,-2.32
0.956,0.35,0.09,0.92,-10.89,-41.37,-3.88
0.979,0.35,0.08,0.92,-5.74,-25.08,-7.34
1.001,0.35,0.08,0.93,1.11,-10.24,-3.88
1.024,0.32,0.1,0.92,2.93,-1.66,-1.34
1.046,0.34,0.1,0.91,6.15,-10.03,0.98
1.074,0.36,0.11,0.92,8.15,-10.6,-0.93
1.098,0.37,0.14,0.87,14.44,-10.82,-7.65
1.12,0.38,0.15,0.91,8.2,2.58,7.33
1.142,0.35,0.15,0.9,7.79,10.75,12.03
1.165,0.31,0.11,0.93,2.69,26.73,14.08
1.187,0.29,0.09,0.96,-9.37,34.34,12.0
1.209,0.27,0.13,0.96,-7.91,25.16,3.21
1.238,0.27,0.1,0.98,-8.34,12.15,-0.26
1.261,0.23,0.11,0.97,-1.91,11.25,-0.6
1.283,0.2,0.17,0.94,2.96,14.37,2.96
1.307,0.25,0.09,1.0,-2.78,3.4,6.31
1.33,0.27,0.09,0.97,-2.08,-14.89,2.98
1.352,0.27,0.15,0.91,7.5,-12.56,0.64
1.376,0.3,0.15,0.89,3.18,-12.14,4.09
1.398,0.3,0.14,0.91,-2.35,-4.78,3.77
1.42,0.31,0.12,0.95,-3.82,5.8,7.04
1.444,0.28,0.13,0.93,-3.69,16.81,8.72
1.466,0.27,0.17,0.93,-1.65,25.04,8.05
1.494,0.26,0.13,0.98,-9.79,23.27,8.0
1.518,0.21,0.1,0.99,-13.57,20.75,5.45
1.54,0.23,0.14,0.98,-7.68,15.4,5.73
1.562,0.28,0.06,1.02,-10.43,10.27,4.46
1.586,0.25,0.1,1.0,-7.76,-7.34,5.34
1.609,0.17,0.07,0.96,4.56,6.61,-0.79
1.631,0.25,0.16,0.95,14.21,-17.66,-0.41
1.655,0.26,0.14,1.0,6.24,10.43,7.25
1.678,0.23,0.13,0.97,-1.28,9.76,5.42
1.7,0.19,0.14,0.93,-5.51,-5.6,4.38
1.725,0.26,0.15,0.95,-8.9,-13.79,7.92
1.747,0.32,0.12,1.01,-13.21,-6.35,19.36
1.769,0.29,0.1,0.97,-10.73,0.73,19.71
1.798,0.29,0.09,0.96,-7.07,-4.27,15.37
1.821,0.29,0.12,0.94,-8.78,-6.21,10.82
1.843,0.26,0.12,0.93,-9.07,4.67,10.87
1.867,0.26,0.08,0.95,-12.11,9.94,10.82
1.889,0.26,0.07,0.95,-13.3,4.63,8.76
1.912,0.25,0.08,0.93,-10.0,5.85,10.82
1.935,0.24,0.07,0.91,-5.21,16.32,12.61
1.957,0.24,0.06,0.94,-7.04,10.27,13.37
1.981,0.23,0.07,0.94,-7.79,-0.18,13.13
2.009,0.25,0.08,0.92,-4.95,-1.36,11.36
2.031,0.3,0.05,0.96,-12.12,-3.25,13.86
2.053,0.26,0.05,0.97,-14.15,4.46,13.27
2.077,0.23,0.07,0.95,-11.22,12.53,9.79
2.099,0.25,0.06,0.98,-15.88,5.4,10.96
2.125,0.26,0.03,1.02,-16.12,9.36,13.53
2.145,0.24,0.04,1.0,-15.25,4.76,13.02
2.168,0.24,0.06,0.96,-4.17,-2.15,11.4
2.19,0.28,0.08,0.96,-3.8,-5.85,13.02
2.219,0.32,0.04,1.04,-11.47,-3.85,15.22
2.241,0.3,0.04,1.02,-14.11,2.49,13.13
2.263,0.28,0.04,0.98,-8.61,0.02,11.04
2.288,0.28,0.04,0.97,-3.71,2.18,12.49
2.309,0.27,0.04,0.96,-6.2,5.74,9.82
2.332,0.25,0.03,0.94,-1.51,5.51,7.27
2.355,0.26,0.02,0.94,0.64,2.37,5.04
2.378,0.27,0.04,0.93,-3.94,-5.76,4.11
2.4,0.21,0.04,0.9,-2.7,1.73,2.58
2.423,0.29,0.01,0.92,-2.26,-1.21,1.69
2.451,0.26,0.01,0.98,-10.35,7.36,7.59
2.473,0.24,0.03,0.95,-4.43,4.41,6.61
2.498,0.26,0.03,0.95,-3.95,-3.77,6.92
2.52,0.28,-0.02,1.0,-17.92,-11.24,8.79
2.542,0.25,0.0,0.98,-13.51,1.88,8.24
2.566,0.23,0.02,0.94,-7.24,3.02,6.18
2.588,0.26,-0.0,0.96,-3.68,-6.46,9.76
2.611,0.27,0.01,0.98,-8.82,-1.4,10.7
2.635,0.29,0.01,1.03,-8.58,-2.5,10.53
2.656,0.26,-0.03,0.96,-6.14,-6.26,8.9
2.685,0.25,-0.01,0.99,-13.15,8.76,14.27
2.707,0.3,-0.03,0.97,-12.09,5.3,11.39
2.73,0.3,-0.02,0.98,-9.22,-4.32,8.96
2.752,0.27,-0.02,0.99,-12.38,1.94,6.08
2.776,0.24,-0.03,0.99,-13.71,7.8,3.36
2.798,0.23,-0.01,0.95,0.29,6.46,3.02
2.82,0.24,-0.03,0.93,-3.73,2.41,4.2
2.844,0.24,-0.03,0.92,-11.18,-2.06,6.05
2.867,0.22,-0.03,0.9,-12.02,7.74,4.44
2.894,0.22,-0.04,0.91,-15.1,1.42,4.32
2.918,0.26,-0.06,0.94,-20.26,-9.16,5.45
2.94,0.27,-0.03,0.94,-15.44,-11.98,7.33
2.962,0.25,-0.04,0.95,-15.8,5.88,9.39
2.986,0.26,-0.04,0.95,-17.59,4.0,7.57
3.011,0.29,-0.09,0.96,-23.76,-3.42,8.69
3.032,0.31,-0.1,0.98,-20.9,9.02,8.09
3.056,0.23,-0.06,0.92,-7.86,26.35,9.56
3.082,0.26,-0.09,0.94,-14.93,10.02,10.41
3.104,0.31,-0.11,0.96,-20.34,-6.66,13.37
3.128,0.3,-0.12,1.01,-20.7,6.49,13.31
3.149,0.3,-0.11,0.98,-19.24,15.04,12.32
3.172,0.31,-0.13,0.98,-16.75,3.6,11.85
3.195,0.29,-0.15,1.01,-18.32,4.14,10.89
3.217,0.29,-0.12,0.95,-9.83,4.92,3.66
3.24,0.28,-0.11,0.94,-8.38,-1.36,1.62
3.268,0.25,-0.14,0.95,-12.26,2.34,-0.09
3.291,0.24,-0.15,0.97,-13.45,-1.27,0.87
3.313,0.24,-0.14,0.95,-10.49,-0.11,1.01
3.337,0.2,-0.1,0.92,-4.38,15.89,0.15
3.359,0.26,-0.17,0.99,-15.98,3.36,7.08
3.381,0.24,-0.17,1.0,-17.34,-4.79,12.63
3.405,0.23,-0.13,0.95,-3.15,2.29,11.31
