timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.24,0.09,0.96,-3.92,-11.07,0.15
0.001,0.24,0.08,0.96,-3.18,-6.75,-3.36
0.002,0.23,0.07,0.94,-3.22,-1.71,-3.62
0.003,0.26,0.07,0.92,-9.47,8.24,-6.64
0.004,0.27,0.05,0.95,-6.4,8.84,-16.11
0.005,0.18,0.04,0.98,-6.12,6.5,-9.8
0.005,0.22,0.05,0.98,-7.24,9.11,1.13
0.006,0.26,0.02,0.97,-9.83,-8.72,-6.46
0.007,0.28,0.02,0.95,-5.6,-10.09,-12.52
0.008,0.24,0.06,0.92,-3.71,0.24,-10.72
0.01,0.24,0.06,0.91,-8.38,3.18,-7.36
0.011,0.25,0.05,0.94,-11.5,-0.27,-8.03
0.013,0.3,0.04,0.95,-9.88,2.79,-11.36
0.014,0.28,0.01,0.99,-7.92,9.13,-10.81
0.015,0.24,0.02,0.97,-10.7,-2.64,-5.86
0.016,0.26,0.06,0.9,-9.21,-11.11,-8.67
0.018,0.29,0.06,0.92,-15.44,-8.35,-0.58
0.019,0.31,0.01,0.97,-10.15,4.37,2.18
0.02,0.31,-0.0,0.95,-5.83,-9.25,2.53
0.021,0.33,0.03,0.91,-11.13,-5.44,5.77
0.022,0.38,0.01,0.96,-15.22,7.15,9.51
0.023,0.42,-0.06,1.02,-8.43,4.56,5.94
0.024,0.43,-0.05,1.02,-1.37,-10.72,2.81
0.025,0.47,-0.02,1.0,2.11,-12.15,1.95
0.026,0.52,-0.01,0.99,-4.89,6.5,-8.76
0.027,0.51,-0.01,0.98,-0.4,4.08,-13.42
0.028,0.53,-0.01,0.98,-11.73,14.11,-11.97
0.029,0.56,-0.04,1.02,-13.31,8.84,-32.0
0.03,0.49,-0.05,0.98,-19.28,-3.15,-46.61
0.031,0.49,0.01,0.93,-25.94,-1.25,-40.08
0.032,0.47,0.02,0.9,-30.46,10.4,-27.45
0.033,0.5,0.02,0.89,-27.86,-1.22,-28.81
0.034,0.54,-0.03,0.9,-8.09,-17.45,-56.14
0.035,0.48,0.02,0.82,-10.64,-7.48,-73.65
0.036,0.33,0.05,0.86,-19.5,5.77,-68.53
0.037,0.27,0.05,0.92,-15.05,15.48,-59.82
0.038,0.24,0.05,0.93,-6.98,9.94,-66.21
0.039,0.26,0.07,0.9,-10.27,-22.5,-72.0
0.04,0.29,0.06,0.9,-10.53,-41.94,-75.16
0.041,0.31,0.07,0.86,-4.96,-37.02,-59.74
0.042,0.36,0.1,0.81,-0.05,-40.81,-54.73
0.042,0.42,0.1,0.77,-4.17,-46.82,-53.94
0.043,0.44,0.02,0.77,-5.44,-31.11,-55.44
0.044,0.45,-0.03,0.76,-0.43,-52.24,-64.17
0.045,0.44,0.01,0.73,-2.37,-52.41,-79.31
0.046,0.3,0.03,0.81,-8.34,-34.18,-58.23
0.046,0.33,0.01,0.93,-3.15,-1.42,-40.31
0.047,0.32,-0.02,0.9,-11.62,-12.89,-43.86
0.048,0.44,-0.06,0.95,-11.89,-67.77,-47.13
0.049,0.48,-0.05,0.89,-12.82,-27.48,-36.87
0.05,0.45,0.01,0.83,-23.34,-11.21,-32.75
0.05,0.38,-0.07,0.97,-13.3,-14.17,-37.24
0.052,0.39,-0.11,0.99,-11.34,-13.39,-32.49
0.052,0.41,-0.13,1.0,-22.76,-33.47,-28.27
0.053,0.43,-0.12,0.91,-29.02,-39.54,-25.37
0.054,0.46,-0.09,0.88,-37.6,-22.52,-19.31
0.055,0.49,-0.14,0.9,-45.08,-22.27,-17.92
0.056,0.54,-0.14,0.86,-40.15,-13.88,-19.63
0.056,0.48,-0.1,0.83,-45.21,0.21,-21.51
0.057,0.37,-0.08,0.83,-53.39,12.35,-10.92
0.058,0.38,-0.13,0.9,-54.21,15.08,2.75
0.059,0.38,-0.19,0.94,-50.92,12.61,5.34
0.06,0.44,-0.23,1.01,-34.15,8.9,-1.5
0.061,0.4,-0.2,0.96,-10.84,13.19,-3.37
0.061,0.41,-0.12,0.87,-14.7,32.66,-1.25
0.062,0.36,-0.16,0.95,-15.86,38.9,0.35
0.063,0.32,-0.21,1.02,-5.91,26.93,13.45
0.064,0.36,-0.19,1.03,-1.56,-2.4,1.88
0.065,0.35,-0.14,0.97,-4.24,1.86,2.17
0.065,0.33,-0.14,0.99,-3.02,2.72,0.15
0.086,0.32,-0.13,0.96,-2.72,3.5,-0.11
0.108,0.3,-0.14,0.97,-5.95,5.65,1.16
0.132,0.29,-0.15,0.95,-2.76,6.46,3.34
0.155,0.32,-0.16,0.95,-2.93,11.66,3.33
0.177,0.33,-0.17,0.95,-2.9,11.11,-0.11
0.206,0.32,-0.17,0.98,-0.38,7.18,-3.27
0.229,0.29,-0.16,0.96,-3.83,4.41,-5.45
0.25,0.29,-0.15,0.97,-2.37,4.18,-3.47
0.275,0.28,-0.15,0.98,0.76,8.17,-0.23
0.297,0.27,-0.16,0.98,-1.33,3.85,-0.43
0.319,0.28,-0.15,0.95,-1.62,2.47,-0.79
