timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.002,0.19,-0.14,0.93,1.77,18.23,3.59
0.004,0.19,-0.15,0.94,-1.97,2.6,4.24
0.006,0.22,-0.15,0.92,-3.08,5.05,9.36
0.007,0.23,-0.15,0.96,-7.02,11.8,4.4
0.008,0.18,-0.16,0.95,-2.75,-3.97,1.48
0.01,0.22,-0.13,0.92,-4.9,5.56,1.25
0.012,0.19,-0.15,0.98,0.14,21.16,-0.79
0.013,0.16,-0.15,0.98,-0.46,10.4,-4.26
0.014,0.21,-0.1,0.92,-1.19,12.85,-0.32
0.015,0.19,-0.13,0.96,0.55,21.19,0.29
0.017,0.17,-0.16,0.99,-3.5,14.7,2.15
0.018,0.17,-0.16,0.99,3.68,12.34,4.89
0.019,0.19,-0.15,0.97,7.07,18.11,9.73
0.02,0.27,-0.16,0.98,-2.98,16.12,-1.16
0.021,0.12,-0.14,0.92,-0.06,-1.01,-3.18
0.023,0.16,-0.12,0.91,-2.27,15.56,-7.63
0.024,0.13,-0.14,0.92,-0.76,12.79,0.08
0.025,0.13,-0.16,0.94,-2.66,13.57,1.11
0.026,0.12,-0.14,0.91,-1.71,6.73,2.76
0.027,0.15,-0.13,0.92,-5.02,15.04,3.47
0.028,0.06,-0.15,0.94,-6.9,3.98,-10.24
0.029,0.16,-0.13,0.93,-8.89,-0.27,-3.74
0.03,0.16,-0.12,0.97,-8.17,15.15,-6.66
0.031,0.11,-0.16,1.01,-7.83,5.33,-5.45
0.032,0.15,-0.17,0.98,-4.23,7.56,-6.38
0.033,0.15,-0.17,0.98,-0.92,11.27,-10.26
0.034,0.1,-0.18,0.94,1.34,3.56,-13.82
0.035,0.06,-0.19,0.96,-0.53,-2.52,-11.53
0.036,0.05,-0.2,0.95,5.63,-4.08,-11.13
0.037,-0.03,-0.2,0.96,4.08,-13.45,-12.2
0.038,-0.09,-0.19,1.02,1.24,-20.26,-11.94
0.038,-0.14,-0.17,1.01,3.1,-17.34,-10.81
0.039,-0.13,-0.2,1.04,7.53,-20.96,-4.24
0.04,-0.07,-0.25,1.07,16.29,-14.26,-12.32
0.041,-0.11,-0.27,1.07,28.05,-14.98,-28.96
0.042,-0.4,-0.17,0.98,35.05,-37.47,-8.66
0.043,-0.18,-0.08,0.93,20.69,-73.42,12.92
0.044,-0.01,-0.07,0.98,15.89,-68.27,-7.22
0.044,-0.02,-0.19,1.04,33.16,-25.13,-44.26
0.045,-0.2,-0.23,1.05,36.18,-24.7,-28.47
0.046,-0.21,-0.27,1.05,48.12,-53.13,2.27
0.047,0.04,-0.21,0.98,55.44,-77.94,32.72
0.048,0.17,-0.15,0.88,58.26,-25.95,31.44
0.048,0.22,-0.12,0.88,51.31,21.34,32.14
0.049,0.17,-0.1,0.89,44.49,60.44,27.97
0.05,0.09,-0.08,0.89,38.82,69.91,36.4
0.051,0.06,-0.04,0.89,32.32,59.76,53.19
0.052,0.15,0.03,0.82,3.15,45.63,81.28
0.053,0.24,-0.02,0.93,-11.48,45.74,90.35
0.053,0.32,-0.1,1.05,-5.19,42.52,89.62
0.054,0.32,-0.03,0.94,-5.36,52.47,85.27
0.055,0.32,0.06,0.78,-28.89,59.86,95.92
0.056,0.33,0.04,0.85,-47.51,66.34,98.0
0.057,0.36,-0.04,0.96,-27.3,44.27,86.32
0.057,0.34,-0.06,0.92,-19.37,28.35,76.49
0.058,0.36,-0.0,0.84,-14.23,23.66,67.37
0.059,0.35,0.1,0.81,-21.45,38.81,61.69
0.06,0.35,0.07,0.92,-29.02,34.43,66.41
0.061,0.36,-0.0,1.0,-21.76,32.14,62.89
0.061,0.3,0.02,0.95,-13.47,24.72,48.31
0.062,0.25,0.06,0.9,-19.76,13.5,40.27
0.063,0.22,0.07,0.88,-22.5,17.19,38.66
0.064,0.17,0.04,0.9,-22.96,26.69,44.84
0.065,0.18,-0.02,0.96,-18.7,16.26,42.24
0.066,0.2,-0.01,0.9,1.83,14.55,28.95
0.066,0.1,0.05,0.85,-16.98,10.08,20.72
0.067,0.12,-0.02,0.92,-26.95,7.34,27.02
0.068,0.14,-0.08,1.0,-2.78,-1.57,1.69
0.069,0.07,-0.07,0.95,-4.81,3.34,2.11
0.091,0.05,-0.08,0.97,-4.0,3.71,2.75
0.114,0.07,-0.09,0.97,-0.85,0.15,3.42
0.138,0.09,-0.08,0.98,1.01,0.31,3.42
0.16,0.09,-0.09,0.98,2.76,3.92,3.18
0.182,0.07,-0.08,0.98,4.27,-0.6,3.68
0.206,0.09,-0.07,0.95,4.06,-2.76,4.93
0.229,0.1,-0.05,0.94,3.4,-0.32,2.63
0.251,0.09,-0.05,0.92,1.88,1.04,1.8
0.277,0.06,-0.05,0.93,0.98,0.89,1.76
