timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.16,0.12,0.95,-0.96,-2.53,1.25
0.002,0.17,0.12,0.94,-1.13,1.8,8.11
0.003,0.17,0.11,0.92,-2.63,6.11,10.12
0.004,0.2,0.12,0.92,-4.7,0.4,4.98
0.005,0.22,0.1,0.91,-5.65,-3.27,1.34
0.006,0.19,0.12,0.92,-4.11,4.49,-6.6
0.008,0.2,0.12,0.92,-4.55,2.58,-6.34
0.009,0.18,0.09,0.94,-3.77,5.16,2.24
0.01,0.18,0.1,0.95,-3.02,18.5,7.6
0.011,0.19,0.1,0.94,-2.32,13.1,5.13
0.012,0.16,0.08,0.93,-2.09,8.85,2.53
0.013,0.16,0.09,0.94,-0.99,10.56,1.77
0.014,0.16,0.11,0.95,-2.08,9.82,-1.24
0.015,0.16,0.11,0.92,-1.53,6.75,-1.92
0.016,0.14,0.12,0.94,0.73,15.44,0.66
0.017,0.14,0.1,0.94,-2.05,15.27,0.2
0.018,0.15,0.11,0.94,-2.12,8.87,-1.42
0.018,0.12,0.11,0.94,-0.47,9.51,-2.27
0.019,0.13,0.1,0.92,-0.96,13.37,-2.06
0.02,0.12,0.08,0.91,-1.01,5.94,-2.26
0.021,0.15,0.12,0.9,0.03,0.12,-5.01
0.022,0.14,0.13,0.88,-0.23,0.81,-5.86
0.023,0.06,0.08,0.87,-0.9,5.48,-4.41
0.024,0.07,0.05,0.86,-1.91,3.45,-4.53
0.025,0.12,0.08,0.83,-1.13,-8.11,-5.97
0.026,0.16,0.12,0.77,1.57,-15.02,-8.72
0.027,0.17,0.08,0.74,1.31,-13.11,-12.52
0.027,0.22,0.03,0.75,0.56,-11.98,-10.56
0.028,0.27,0.0,0.76,-0.96,-9.3,-8.82
0.029,0.21,-0.03,0.76,1.42,4.95,-10.32
0.03,0.15,-0.07,0.76,1.04,17.13,-13.1
0.031,0.19,-0.0,0.76,3.11,17.15,-12.37
0.031,0.16,0.06,0.76,8.35,30.09,-16.08
0.032,0.02,0.09,0.78,9.56,32.31,-22.87
0.033,-0.05,0.04,0.81,3.98,25.37,-24.99
0.034,0.1,0.12,0.84,-3.59,7.21,-23.54
0.035,0.12,0.16,0.84,-6.02,5.27,-18.53
0.035,-0.05,0.07,0.83,-5.48,14.21,-16.82
0.036,-0.05,0.08,0.87,-12.67,22.34,-14.02
0.037,0.12,0.13,0.86,-20.15,4.89,-9.45
0.038,0.12,0.12,0.85,-23.82,1.91,-3.74
0.039,0.07,0.08,0.83,-29.56,12.81,-7.79
0.039,0.06,0.14,0.8,-30.14,7.62,-16.49
0.04,0.07,0.12,0.83,-37.79,1.33,-17.83
0.041,-0.04,0.07,0.85,-45.63,10.79,-8.55
0.042,-0.04,0.02,0.89,-35.71,9.3,-12.31
0.043,0.02,0.11,0.84,-20.64,-10.63,-15.08
0.043,-0.09,0.11,0.9,3.31,-2.29,-7.57
0.044,-0.12,0.04,0.92,4.64,-5.3,-1.79
0.045,0.01,0.11,0.86,18.56,-23.94,4.43
0.046,0.19,0.16,0.97,45.21,-42.27,3.62
0.047,0.22,0.21,0.89,53.94,-43.79,-7.28
0.047,0.11,0.16,0.84,54.23,-16.49,-11.53
0.048,0.2,0.3,0.79,55.53,-39.42,-27.98
0.049,0.13,0.47,0.81,61.53,-27.82,-27.13
0.05,0.13,0.2,0.91,15.95,-10.92,-2.85
0.051,0.15,0.12,0.89,10.17,-44.99,-2.09
0.051,0.24,0.21,0.84,13.85,-50.64,-5.92
0.052,0.17,0.22,0.82,-4.0,-55.5,-7.22
0.053,0.19,0.15,0.87,-54.53,-61.3,1.6
0.054,0.31,0.15,0.89,-62.85,-52.87,20.98
0.055,0.49,-0.01,0.97,-67.97,-51.39,29.79
0.056,0.51,-0.19,1.07,-89.31,-66.37,22.14
0.056,0.43,0.05,1.0,-69.42,-50.06,-4.81
0.057,0.26,0.05,1.11,-44.12,-12.14,-14.81
0.058,0.24,-0.14,1.31,-82.87,17.73,11.6
0.059,0.28,-0.12,1.26,-66.09,1.56,8.34
0.06,0.46,-0.26,0.94,-34.47,4.12,6.89
0.061,0.46,-0.27,1.0,-12.98,2.89,-5.39
0.07,0.42,-0.23,1.02,-11.31,3.4,-8.5
0.092,0.44,-0.24,1.04,-12.6,-5.8,-8.43
0.115,0.47,-0.25,1.07,-14.73,-8.2,-4.84
0.138,0.45,-0.25,1.08,-12.4,-5.31,-6.17
0.16,0.45,-0.23,1.04,-3.25,-4.35,-11.05
0.182,0.44,-0.23,1.05,1.91,-3.05,-11.08
0.211,0.44,-0.2,1.0,11.91,4.35,-10.69
0.233,0.47,-0.2,1.0,14.12,6.2,-7.6
0.256,0.46,-0.22,1.0,6.09,4.87,-7.01
0.279,0.39,-0.16,0.91,8.37,5.5,-11.71
0.302,0.42,-0.2,0.92,-0.7,-4.27,-7.92
0.324,0.46,-0.23,0.94,-6.64,2.93,-2.2
0.347,0.39,-0.25,0.94,-5.05,17.42,-3.21
0.37,0.34,-0.2,0.89,6.09,14.14,-8.18
0.392,0.39,-0.22,0.89,5.24,-16.02,-6.03
0.421,0.44,-0.22,0.87,12.64,-16.93,-1.02
0.443,0.45,-0.21,0.85,10.31,-1.01,2.02
0.466,0.43,-0.22,0.86,-7.89,7.51,1.74
0.489,0.36,-0.24,0.92,-14.43,23.31,0.12
0.511,0.4,-0.22,0.9,-5.82,5.73,-1.53
0.534,0.43,-0.21,0.86,-7.89,-9.62,-0.99
0.557,0.42,-0.22,0.86,-19.92,-5.92,-1.59
0.579,0.38,-0.22,0.89,-28.93,11.47,-3.65
0.607,0.38,-0.26,0.92,-27.13,24.75,-1.45
0.63,0.32,-0.25,0.93,-8.93,34.5,-2.92
0.653,0.36,-0.21,0.9,6.67,2.24,-7.57
0.675,0.37,-0.21,0.89,15.74,-15.57,-2.87
0.698,0.37,-0.22,0.89,24.46,-5.63,-3.65
0.721,0.37,-0.22,0.92,20.03,-2.69,-3.44
0.743,0.38,-0.23,0.91,19.24,-3.51,0.23
0.767,0.4,-0.19,0.89,25.66,-0.4,-0.87
0.794,0.39,-0.17,0.89,23.31,-2.05,-6.47
0.816,0.39,-0.15,0.89,16.49,-8.52,-8.03
0.84,0.36,-0.11,0.88,18.49,1.08,-6.98
0.862,0.39,-0.13,0.92,15.11,7.44,-2.67
0.884,0.4,-0.15,0.93,10.27,0.08,1.48
0.908,0.41,-0.14,0.93,7.31,1.15,1.1
0.93,0.41,-0.11,0.92,7.31,4.47,-2.55
0.952,0.39,-0.1,0.93,7.86,8.03,-5.86
0.981,0.38,-0.12,0.96,9.24,14.69,-5.19
1.004,0.39,-0.12,0.96,8.69,7.73,-4.35
1.026,0.41,-0.12,0.95,10.7,6.08,-5.02
1.049,0.38,-0.12,0.96,16.05,15.92,-5.39
1.072,0.35,-0.12,0.99,17.69,16.21,-11.57
1.094,0.32,-0.11,0.97,17.66,13.53,-13.01
1.117,0.37,-0.04,0.93,20.98,15.4,-7.63
1.14,0.32,-0.04,0.94,17.92,14.18,-10.47
1.167,0.26,-0.06,0.98,6.92,7.08,-12.24
1.191,0.39,-0.02,0.92,6.03,-10.14,-0.81
1.213,0.43,-0.04,0.9,15.31,-0.89,7.62
1.235,0.38,-0.03,0.91,10.02,13.92,6.46
1.259,0.27,-0.09,1.02,0.93,11.07,4.32
1.281,0.38,-0.15,1.0,10.64,-27.05,14.82
1.303,0.39,-0.08,0.97,39.77,-23.88,5.39
1.327,0.33,0.03,0.9,45.82,-3.04,0.26
