timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.1,-0.83,-0.64,-41.94,-7.24,-2.84
0.002,0.09,-0.83,-0.65,-28.26,-7.25,-0.11
0.004,0.08,-0.81,-0.67,-20.09,-7.86,5.07
0.006,0.09,-0.82,-0.67,-16.21,-4.5,1.11
0.007,0.11,-0.81,-0.67,-7.56,-0.38,-4.43
0.009,0.06,-0.79,-0.69,4.37,3.98,-3.63
0.011,0.05,-0.79,-0.7,2.64,1.48,1.94
0.012,0.08,-0.8,-0.7,0.72,1.54,1.01
0.013,0.08,-0.79,-0.69,-3.16,0.26,-2.37
0.015,0.08,-0.79,-0.71,-3.53,1.25,-0.99
0.016,0.08,-0.8,-0.69,-0.7,1.56,0.84
0.017,0.09,-0.83,-0.67,0.85,-0.34,0.26
0.019,0.08,-0.84,-0.65,8.96,-0.2,-1.28
0.02,0.13,-0.87,-0.61,23.98,5.98,-3.31
0.021,0.24,-0.99,-0.5,50.82,29.59,-15.89
0.022,0.14,-0.96,-0.54,100.2,39.59,-32.44
0.023,0.1,-1.0,-0.51,125.76,42.55,-20.76
0.024,0.18,-1.09,-0.4,148.78,33.73,-18.93
0.026,0.18,-1.12,-0.38,186.56,39.28,-30.35
0.027,0.19,-1.13,-0.38,229.01,53.79,-29.22
0.028,0.2,-1.12,-0.35,240.93,61.01,-12.9
0.029,0.18,-1.14,-0.24,242.64,110.5,-19.1
0.03,0.13,-1.22,-0.05,258.12,54.92,-8.85
0.031,0.25,-1.34,0.23,284.34,5.8,6.41
0.032,0.21,-1.31,0.21,311.97,26.21,-2.0
0.033,0.1,-1.15,0.19,305.36,-1.36,24.81
0.034,0.19,-0.98,0.12,269.15,10.27,27.21
0.035,0.16,-0.89,0.37,224.09,-11.42,-1.53
0.035,0.23,-0.81,0.44,193.28,-33.31,-14.75
0.036,0.28,-0.81,0.58,179.05,1.69,-35.69
0.037,0.26,-0.76,0.59,179.85,0.47,-44.41
0.038,0.18,-0.55,0.56,161.77,1.86,-32.67
0.039,0.22,-0.58,0.68,173.21,-0.78,-12.93
0.04,0.2,-0.5,0.68,185.69,19.63,-17.19
0.041,0.18,-0.28,0.56,147.05,10.11,-13.05
0.042,0.18,-0.23,0.66,96.06,0.73,-9.42
0.043,0.18,-0.26,0.77,80.58,-4.92,-11.62
0.043,0.21,-0.26,0.81,74.35,5.34,-14.4
0.044,0.15,-0.19,0.75,58.56,12.72,-16.38
0.045,0.14,-0.21,0.88,49.34,-3.53,-11.27
0.046,0.19,-0.18,0.87,46.34,-3.44,-5.88
0.047,0.23,-0.12,0.84,20.64,3.4,-16.81
0.047,0.23,-0.12,0.86,8.73,-13.82,-13.62
0.048,0.17,-0.17,0.93,10.69,-10.61,-0.85
0.049,0.22,-0.14,0.9,11.44,-0.93,9.07
0.05,0.25,-0.12,0.88,0.31,2.66,4.6
0.051,0.22,-0.13,0.9,-5.92,-3.69,-1.89
0.052,0.23,-0.18,0.95,6.81,-16.2,2.6
0.052,0.24,-0.12,0.92,5.73,6.55,6.49
0.053,0.22,-0.1,0.9,-2.55,5.15,9.34
0.054,0.23,-0.16,0.95,-1.18,-2.53,6.14
0.055,0.25,-0.15,0.94,3.62,-0.5,3.83
0.056,0.25,-0.12,0.92,-0.55,4.78,6.2
0.056,0.26,-0.12,0.92,-6.0,1.56,3.37
0.057,0.25,-0.14,0.93,-5.66,0.03,4.03
0.058,0.27,-0.16,0.95,-4.03,7.98,1.98
0.059,0.25,-0.15,0.94,-1.54,5.76,0.35
0.06,0.24,-0.13,0.92,-2.92,2.66,-1.59
0.061,0.22,-0.13,0.94,-1.57,5.59,4.05
0.061,0.22,-0.15,0.96,-2.46,4.96,2.21
0.062,0.21,-0.14,0.95,-4.27,-1.97,0.08
0.063,0.23,-0.15,0.95,-3.34,-0.46,2.46
0.064,0.25,-0.15,0.95,-2.78,5.51,-1.48
0.065,0.23,-0.14,0.94,-1.19,-0.05,-0.96
0.065,0.23,-0.13,0.93,-2.2,3.1,0.95
0.066,0.22,-0.11,0.91,-4.9,0.84,1.59
0.082,0.22,-0.15,0.93,-0.93,1.24,3.22
0.104,0.22,-0.13,0.9,-4.75,9.54,2.7
