timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.002,1.07,-0.01,-0.27,-2.03,-42.03,-0.5
0.003,1.09,-0.01,-0.33,-3.92,-24.34,3.88
0.005,1.11,-0.02,-0.33,-4.29,-12.15,4.29
0.007,1.07,-0.03,-0.32,-0.31,-18.78,3.1
0.008,1.06,-0.02,-0.32,0.38,-39.66,3.28
0.01,1.13,0.0,-0.4,-7.79,-54.98,1.94
0.011,1.16,-0.02,-0.41,-8.49,-48.84,0.38
0.012,1.11,-0.02,-0.42,0.53,-38.09,-1.92
0.014,1.1,-0.0,-0.45,1.42,-32.18,-2.44
0.015,1.11,-0.0,-0.46,-4.64,-27.16,-3.63
0.016,1.09,-0.01,-0.48,-3.4,-31.27,-6.4
0.018,1.06,-0.0,-0.48,1.28,-39.16,-7.05
0.019,1.1,0.02,-0.51,-4.9,-32.96,-7.85
0.02,1.23,0.03,-0.7,-8.2,-1.68,-6.75
0.021,1.29,0.01,-0.74,-17.97,65.63,-7.71
0.022,1.26,-0.08,-0.57,1.01,132.11,-5.82
0.023,1.44,0.01,-0.74,21.3,204.37,-4.93
0.024,1.45,0.0,-0.63,8.4,396.79,-24.72
0.026,1.13,0.0,-0.36,3.56,483.02,-35.22
0.027,0.95,0.03,0.02,22.02,469.62,-25.45
0.028,0.87,0.1,0.11,30.41,441.6,-15.19
0.029,0.73,0.13,0.3,2.6,411.22,-10.63
0.03,0.65,0.17,0.35,-27.66,399.63,-3.85
0.031,0.44,0.1,0.58,-31.79,292.92,2.55
0.032,0.44,0.07,0.71,-42.35,255.39,6.85
0.033,0.36,-0.01,0.87,-38.09,168.99,16.44
0.034,0.41,-0.03,0.9,-27.91,131.95,14.85
0.035,0.4,0.01,0.84,-22.41,112.46,5.86
0.036,0.35,-0.0,0.88,-25.47,91.47,4.11
0.036,0.28,-0.02,0.95,-29.16,74.09,3.56
0.037,0.26,-0.05,0.97,-29.77,61.74,10.49
0.038,0.3,-0.11,1.05,-32.64,34.0,10.75
0.039,0.32,-0.12,1.05,-25.36,30.63,7.4
0.04,0.31,-0.13,1.04,-12.27,17.33,5.69
0.041,0.29,-0.11,1.04,-7.02,5.77,3.8
0.042,0.3,-0.1,1.0,-2.46,-7.28,5.11
0.043,0.33,-0.09,0.96,-1.18,-2.31,4.37
0.043,0.31,-0.09,0.95,-0.67,-5.39,5.47
0.044,0.33,-0.08,0.92,-0.64,-3.3,7.97
0.045,0.34,-0.09,0.94,-1.86,10.15,8.93
0.046,0.33,-0.1,0.95,-0.75,-0.84,7.59
0.047,0.36,-0.09,0.93,0.96,-3.45,6.26
0.048,0.36,-0.09,0.93,2.32,8.2,6.63
0.048,0.33,-0.08,0.94,0.46,1.79,4.55
0.049,0.32,-0.07,0.96,-1.66,-11.83,0.41
0.05,0.34,-0.07,0.92,1.37,-5.53,3.04
0.051,0.34,-0.08,0.94,3.08,-0.61,3.19
0.052,0.33,-0.08,0.95,4.08,-4.26,3.94
0.052,0.36,-0.06,0.92,3.83,4.73,5.53
0.053,0.35,-0.07,0.95,2.23,5.39,4.26
0.054,0.34,-0.08,0.95,3.5,1.21,5.13
0.055,0.35,-0.07,0.93,4.44,10.08,5.18
0.056,0.33,-0.05,0.93,1.56,9.37,2.21
0.059,0.3,-0.06,0.93,-2.99,-0.79,-1.76
0.081,0.3,-0.07,0.96,-3.28,-21.88,-4.12
0.108,0.31,-0.08,0.97,1.5,-30.43,-6.15
0.131,0.24,-0.04,0.97,-4.52,-80.24,-20.02
0.158,0.3,-0.05,0.94,-5.69,-123.25,-17.85
0.18,0.51,-0.07,0.88,3.27,-84.64,-4.47
0.208,0.52,-0.07,0.89,3.48,-64.31,-5.34
0.23,0.49,-0.06,0.92,-1.37,-97.15,-11.53
