timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,-0.66,-0.27,-0.64,-17.51,13.37,-3.6
0.003,-0.61,-0.26,-0.66,-9.98,6.75,1.56
0.005,-0.64,-0.25,-0.7,-0.87,7.19,-5.21
0.007,-0.63,-0.25,-0.66,-2.29,-6.82,-11.79
0.008,-0.63,-0.24,-0.66,0.31,2.81,-3.89
0.01,-0.61,-0.23,-0.7,3.31,4.12,-1.53
0.011,-0.62,-0.23,-0.68,-0.26,-1.3,-5.53
0.013,-0.59,-0.25,-0.66,-1.39,-0.17,-3.07
0.014,-0.59,-0.25,-0.69,0.18,4.2,0.37
0.015,-0.61,-0.25,-0.67,-1.63,3.98,-4.82
0.017,-0.62,-0.25,-0.65,-4.76,1.37,-5.8
0.018,-0.61,-0.26,-0.67,-3.98,0.69,-5.1
0.019,-0.63,-0.26,-0.66,-0.56,2.82,-2.79
0.02,-0.64,-0.26,-0.68,0.72,-0.32,-4.02
0.021,-0.64,-0.25,-0.69,3.1,-7.66,-3.91
0.023,-0.66,-0.25,-0.68,1.76,-7.42,-2.4
0.024,-0.7,-0.25,-0.66,0.21,-16.27,-5.63
0.025,-0.82,-0.26,-0.56,1.16,-31.01,-10.9
0.026,-0.74,-0.27,-0.6,11.01,-59.01,-5.74
0.027,-0.74,-0.3,-0.53,19.18,-58.89,1.76
0.028,-0.85,-0.29,-0.57,31.4,-68.85,-6.52
0.029,-0.83,-0.31,-0.58,40.38,-93.8,-9.74
0.03,-0.82,-0.29,-0.58,48.46,-108.58,8.6
0.031,-0.83,-0.29,-0.56,52.21,-135.66,9.71
0.032,-0.78,-0.3,-0.53,48.6,-174.81,10.75
0.033,-0.78,-0.29,-0.43,51.04,-195.31,12.72
0.034,-0.82,-0.25,-0.29,50.58,-215.73,-1.74
0.035,-0.9,-0.3,-0.09,25.83,-235.71,-8.44
0.036,-0.88,-0.32,-0.07,35.13,-224.64,7.79
0.037,-0.88,-0.31,0.06,50.38,-219.01,6.6
0.038,-0.94,-0.4,0.09,42.66,-260.05,21.83
0.039,-0.75,-0.35,0.3,56.17,-232.67,30.09
0.04,-0.62,-0.35,0.34,48.32,-245.08,23.02
0.041,-0.35,-0.3,0.4,69.57,-273.39,17.11
0.042,-0.33,-0.27,0.49,95.31,-207.66,-0.52
0.042,-0.42,-0.2,0.54,92.44,-151.34,-29.69
0.043,-0.37,-0.2,0.59,48.4,-158.02,-36.47
0.044,-0.19,-0.12,0.6,46.64,-172.05,-35.62
0.045,-0.12,-0.17,0.78,24.64,-168.34,-31.21
0.046,-0.08,-0.14,0.77,10.92,-161.83,-39.05
0.047,-0.1,-0.13,0.82,7.3,-125.24,-33.86
0.047,-0.1,-0.2,0.93,-3.8,-111.15,-20.76
0.048,0.03,-0.19,0.95,-0.81,-130.52,-5.33
0.049,0.08,-0.1,0.88,12.78,-132.6,6.26
0.05,0.1,-0.14,0.91,-7.5,-96.72,12.93
0.051,0.23,-0.21,1.01,-12.49,-91.77,19.1
0.052,0.23,-0.17,0.97,-0.29,-70.08,14.02
0.052,0.23,-0.17,0.98,-3.27,-59.15,10.31
0.053,0.23,-0.17,1.0,-2.18,-22.89,14.08
0.054,0.12,-0.17,1.0,-3.51,-5.59,8.02
0.055,0.15,-0.17,0.99,-4.35,-35.69,0.58
0.056,0.26,-0.18,0.99,0.72,-56.61,7.07
0.057,0.26,-0.17,0.96,4.61,-30.06,7.91
0.057,0.24,-0.17,0.94,2.2,-9.05,6.37
0.058,0.22,-0.16,0.93,0.05,-2.69,1.5
0.059,0.25,-0.16,0.93,7.5,-21.54,-0.47
0.06,0.23,-0.14,0.91,4.7,-4.87,-0.49
0.061,0.2,-0.15,0.92,-5.31,18.26,3.27
0.061,0.2,-0.17,0.94,-11.6,24.56,-2.85
0.062,0.21,-0.16,0.94,-1.28,-2.87,-1.89
0.063,0.17,-0.17,0.94,-2.84,13.11,-1.86
0.064,0.14,-0.17,0.95,-6.66,16.35,2.87
0.065,0.16,-0.17,0.95,-6.24,9.82,0.53
0.065,0.2,-0.16,0.92,-2.02,-12.75,-0.56
0.066,0.19,-0.16,0.93,-1.37,-4.11,0.53
0.067,0.18,-0.16,0.93,-4.52,4.66,1.01
0.068,0.18,-0.19,0.95,-6.72,24.21,2.24
0.068,0.17,-0.19,0.96,-2.66,19.53,0.27
0.073,0.16,-0.18,0.93,-3.85,9.77,-5.71
0.101,0.15,-0.19,0.93,-1.15,12.49,-1.66
0.123,0.14,-0.2,0.96,-2.05,13.83,-0.08
0.148,0.14,-0.19,0.97,0.64,14.78,1.01
