timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.002,0.18,0.91,0.4,-4.15,-1.71,-0.56
0.004,0.21,0.86,0.42,-5.07,-3.4,0.82
0.005,0.22,0.88,0.4,-2.93,1.39,1.02
0.007,0.21,0.88,0.4,-5.18,1.45,0.11
0.008,0.22,0.88,0.41,-1.5,5.28,0.55
0.01,0.21,0.89,0.4,-3.56,2.53,0.49
0.012,0.21,0.88,0.41,-4.95,0.0,-0.76
0.013,0.21,0.88,0.41,-4.46,1.57,-0.7
0.014,0.21,0.87,0.43,-3.15,0.31,-1.19
0.015,0.21,0.89,0.42,-3.73,0.79,1.3
0.017,0.22,0.88,0.4,-3.85,2.23,1.57
0.018,0.23,0.88,0.42,-2.99,2.4,0.87
0.019,0.22,0.89,0.41,-4.7,-0.18,0.12
0.02,0.21,0.88,0.37,-7.11,1.53,1.31
0.021,0.23,0.87,0.4,-11.71,4.08,1.97
0.023,0.22,0.88,0.35,-9.65,3.15,2.15
0.024,0.22,0.86,0.33,-15.25,5.04,3.56
0.025,0.2,0.87,0.31,-21.92,7.21,4.5
0.026,0.19,0.87,0.22,-44.92,10.26,9.01
0.027,0.19,0.84,0.26,-60.12,3.94,6.84
0.028,0.23,0.79,0.31,-71.79,-3.98,2.81
0.029,0.26,0.79,0.4,-82.7,9.62,9.59
0.03,0.28,0.77,0.45,-89.82,4.82,10.4
0.031,0.29,0.83,0.38,-109.94,-2.7,10.05
0.032,0.36,0.76,0.35,-167.34,-2.14,12.26
0.033,0.36,0.65,0.42,-188.9,20.99,26.89
0.034,0.32,0.53,0.68,-180.52,29.13,22.81
0.035,0.24,0.51,0.7,-206.24,-43.71,-25.01
0.036,0.36,0.39,0.74,-160.56,-32.98,-26.78
0.037,0.29,0.38,0.81,-160.11,2.03,-1.47
0.038,0.29,0.36,0.75,-174.52,12.6,13.47
0.039,0.36,0.14,0.88,-197.76,4.32,-0.81
0.04,0.38,-0.11,1.42,-94.49,-40.46,-60.52
0.041,0.41,0.09,1.23,-93.16,18.03,-55.74
0.041,0.18,0.22,1.02,-127.8,13.53,-42.41
0.042,0.2,0.23,0.85,-174.49,-27.21,-21.91
0.043,0.24,0.06,0.81,-220.02,-1.21,10.41
0.044,0.21,-0.3,1.1,-180.0,6.46,-8.41
0.045,0.17,-0.28,1.1,-179.21,-16.64,-51.34
0.046,0.23,-0.24,0.97,-151.92,-40.17,-23.77
0.047,0.22,-0.26,0.87,-142.66,19.82,-7.68
0.047,0.17,-0.39,0.89,-131.05,4.23,1.25
0.048,0.2,-0.49,0.96,-117.68,-52.55,10.89
0.049,0.22,-0.53,0.99,-92.92,-52.46,10.98
0.05,0.38,-0.57,0.92,-58.47,8.4,14.6
0.051,0.3,-0.6,1.0,-22.37,25.31,11.98
0.051,0.3,-0.49,0.86,-6.06,48.98,4.82
0.052,0.25,-0.49,0.88,-27.04,31.42,-5.22
0.053,0.23,-0.5,0.88,-22.53,-4.12,-5.71
0.054,0.22,-0.49,0.88,-15.08,15.19,-1.36
0.055,0.29,-0.53,0.92,-8.27,20.92,5.63
0.056,0.22,-0.52,0.87,-6.7,25.37,-10.95
0.056,0.18,-0.45,0.82,-5.36,12.69,-5.62
0.057,-0.09,-0.42,0.62,-6.64,29.34,-32.72
0.058,0.16,-0.5,0.82,-9.47,-19.44,19.65
0.059,0.18,-0.51,0.79,-0.41,25.79,7.83
0.06,0.19,-0.55,0.93,5.69,37.42,21.42
0.06,0.27,-0.53,0.85,11.05,54.17,10.56
0.061,0.11,-0.53,0.92,-10.52,23.1,-18.92
0.062,0.2,-0.51,0.82,16.37,-34.03,14.12
0.063,0.23,-0.52,0.86,10.67,-32.23,20.41
0.064,0.24,-0.42,0.85,-1.13,-30.38,13.65
0.065,0.25,-0.41,0.79,-12.4,-16.27,8.0
0.065,0.19,-0.47,0.87,5.56,-16.24,11.76
0.066,-0.02,-0.6,0.9,23.45,-11.69,-45.01
0.067,0.15,-0.55,0.85,32.17,-20.35,-24.21
0.068,0.22,-0.17,0.94,-2.63,1.25,-3.73
0.068,0.2,-0.18,0.98,0.46,0.67,-2.82
0.084,0.18,-0.18,1.03,9.62,11.28,1.31
0.106,0.18,-0.16,0.97,10.11,14.2,5.21
0.134,0.22,-0.2,0.98,2.72,-2.98,1.71
0.157,0.2,-0.2,1.08,14.18,-2.93,1.39
0.179,0.23,-0.18,1.04,26.72,14.0,5.01
0.201,0.18,-0.16,0.98,24.02,-4.7,3.62
0.224,0.18,-0.14,1.01,33.1,4.52,9.59
0.251,0.19,-0.13,0.99,37.08,8.64,17.69
0.274,0.23,-0.13,0.96,39.97,-3.15,4.23
0.296,0.21,-0.11,1.0,43.63,-0.52,-0.12
0.321,0.2,-0.06,0.96,47.91,3.63,0.24
0.343,0.2,-0.07,0.99,51.15,-6.41,-5.08
0.371,0.19,-0.04,0.98,64.47,0.61,-3.73
0.394,0.2,0.02,0.94,72.76,-8.49,-1.69
0.415,0.21,0.07,0.85,63.92,-6.7,-0.66
0.438,0.19,0.1,0.84,53.18,-0.64,1.68
0.461,0.19,0.13,0.88,39.92,-5.24,4.12
0.488,0.21,0.15,0.83,24.6,-3.57,7.68
