timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.18,-0.05,1.0,-2.5,4.49,-0.34
0.02,0.17,-0.05,0.98,-1.16,0.89,-1.07
0.05,0.15,-0.06,1.01,4.24,-0.4,-1.28
0.07,0.19,-0.03,0.95,3.19,-1.56,-2.52
0.09,0.21,-0.05,0.97,2.34,1.21,-5.22
0.12,0.17,-0.03,0.95,0.53,1.47,-7.73
0.14,0.18,-0.04,0.97,3.25,-3.91,-6.05
0.16,0.2,-0.03,0.95,6.82,1.66,-9.54
0.19,0.18,-0.01,0.96,9.85,1.28,-11.86
0.21,0.19,0.01,0.93,-0.67,2.38,-15.83
0.24,0.16,-0.0,0.95,-6.15,1.16,-15.5
0.26,0.17,-0.01,0.99,-1.95,-2.52,-14.69
0.29,0.17,0.0,0.94,-4.21,2.12,-15.65
0.31,0.16,-0.01,0.96,-3.6,0.82,-14.26
0.34,0.15,-0.02,0.97,-1.47,5.11,-13.04
0.36,0.14,0.0,0.95,-3.08,1.21,-11.73
0.38,0.16,-0.01,0.96,-4.56,1.18,-9.95
0.41,0.17,0.01,0.92,-6.41,5.01,-10.23
0.43,0.14,-0.02,0.99,-2.41,2.44,-7.42
0.45,0.15,-0.02,0.97,0.46,-3.74,-5.05
0.48,0.19,-0.02,0.94,0.73,3.69,-6.6
0.5,0.19,-0.03,0.94,1.19,0.09,-5.4
0.52,0.18,-0.02,0.94,1.21,0.89,-4.11
0.55,0.19,-0.02,0.94,3.63,3.25,-4.27
0.57,0.17,-0.03,0.95,7.42,1.34,0.81
0.59,0.19,-0.02,0.95,6.52,-1.66,3.69
0.62,0.19,-0.01,0.95,-0.89,-4.93,5.01
0.64,0.2,-0.02,0.96,-5.34,-2.08,5.21
0.66,0.2,-0.05,1.0,-4.89,-6.66,4.5
0.69,0.22,-0.04,0.99,-4.37,-5.15,5.1
0.71,0.22,-0.05,0.99,-2.73,-5.85,2.93
0.73,0.22,-0.04,0.97,-2.79,-3.8,1.92
0.76,0.2,-0.04,0.97,-5.31,-2.27,1.59
0.78,0.24,-0.06,0.99,-5.47,-6.93,-2.41
0.81,0.22,-0.04,0.97,-10.53,-6.03,-4.92
0.83,0.21,-0.06,1.02,-10.87,-5.6,-5.39
0.86,0.2,-0.04,1.05,-9.74,-10.26,-5.4
0.88,0.24,-0.03,1.09,-9.42,-3.33,-6.09
0.91,0.24,-0.03,1.09,-12.29,-5.82,-7.74
0.93,0.23,-0.04,1.18,-8.53,-12.73,-7.44
0.96,0.23,-0.01,1.18,-20.06,-18.05,-5.11
0.98,0.26,-0.09,1.23,-33.44,-14.58,-8.7
1.01,0.19,-0.06,1.22,-77.98,-29.01,-4.92
1.03,0.16,-0.15,1.22,-55.65,-10.29,-7.91
1.06,0.2,-0.27,1.27,-19.86,12.31,-5.45
1.08,0.17,-0.24,1.29,-3.39,-32.58,-5.73
1.11,0.18,-0.17,1.2,5.8,-17.57,-5.53
1.13,0.23,-0.16,1.19,-12.38,-14.87,-0.12
1.16,0.26,-0.18,1.25,-11.68,-17.97,-5.83
1.18,0.27,-0.19,1.3,-2.69,-30.61,-12.32
1.21,0.28,-0.11,1.16,-15.57,-25.05,-12.21
1.23,0.35,-0.1,1.03,-48.69,-24.6,-18.63
1.26,0.4,-0.2,1.03,-56.0,-11.28,-34.29
