timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.13,-0.13,0.91,-7.73,12.79,-4.73
0.03,0.08,-0.1,0.92,-4.64,8.03,5.11
0.05,0.11,-0.12,0.89,-4.98,3.13,3.97
0.07,0.14,-0.15,0.94,-4.32,-2.34,-6.31
0.1,0.09,-0.13,0.94,3.53,7.07,-14.03
0.12,0.01,-0.11,0.93,1.73,9.05,-7.83
0.14,0.0,-0.12,0.96,4.87,10.81,-3.62
0.17,0.0,-0.09,0.93,0.4,-4.4,-5.39
0.19,0.02,-0.13,0.94,-1.05,-0.69,-2.44
0.22,0.07,-0.14,0.99,2.46,-0.02,-8.43
0.24,0.04,-0.12,1.0,12.43,10.06,-14.72
0.27,-0.09,-0.03,0.91,10.5,14.2,-14.11
0.29,-0.11,-0.01,0.9,1.01,9.73,-2.47
0.32,-0.0,-0.11,0.95,-1.77,3.27,1.24
0.34,0.06,-0.15,0.97,4.53,-0.96,-4.12
0.36,0.08,-0.12,0.91,7.63,-5.07,-5.82
0.39,0.13,-0.09,0.87,-2.4,0.82,-2.6
0.41,0.14,-0.12,0.89,-6.67,2.24,-3.57
0.43,0.17,-0.13,0.92,-4.96,1.83,-6.47
0.46,0.15,-0.12,0.91,-4.17,1.74,-10.5
0.48,0.15,-0.12,0.91,-7.11,5.39,-10.05
0.51,0.16,-0.13,0.92,-11.07,3.68,-11.19
0.53,0.16,-0.14,0.93,-9.24,1.89,-12.06
0.56,0.12,-0.13,0.92,-8.95,0.52,-8.89
0.58,0.13,-0.13,0.9,-12.02,-7.73,-8.34
0.61,0.19,-0.11,0.88,-18.63,-15.25,-11.68
0.63,0.15,-0.11,0.92,-17.13,-16.85,-16.27
0.66,0.19,-0.17,0.95,-4.34,-22.93,-21.28
0.68,0.2,-0.14,0.93,-3.1,-18.06,-21.48
0.71,0.18,-0.13,0.91,-12.38,-22.78,-25.77
0.73,0.17,-0.16,0.93,-13.53,-24.34,-26.85
0.76,0.22,-0.18,0.91,-10.12,-19.74,-27.39
0.78,0.2,-0.19,0.94,-9.73,-6.76,-28.41
0.81,0.13,-0.23,0.98,-3.3,4.47,-23.91
0.83,0.08,-0.21,0.95,2.52,-20.35,-24.47
0.86,0.12,-0.17,0.95,-6.63,-28.47,-26.15
0.88,0.1,-0.18,0.99,-3.91,-30.81,-22.56
0.91,0.12,-0.2,0.99,-0.93,-35.56,-16.87
0.93,0.17,-0.17,0.96,-0.96,-30.9,-12.84
0.96,0.16,-0.16,0.97,-1.53,-26.79,-14.89
0.98,0.14,-0.16,0.96,1.71,-25.16,-12.35
1.01,0.17,-0.14,0.96,-0.11,-21.73,-8.12
1.03,0.18,-0.14,0.98,-3.71,-19.33,-8.82
1.06,0.2,-0.14,0.97,-1.42,-29.3,-8.32
1.08,0.23,-0.13,0.96,-4.76,-28.27,-6.64
1.11,0.26,-0.13,0.97,-3.5,-18.47,-4.29
1.13,0.27,-0.13,0.97,-7.19,-14.99,-3.98
1.16,0.3,-0.11,0.99,-5.44,-15.11,-3.56
1.18,0.33,-0.1,0.96,-2.23,-16.56,-3.77
1.21,0.39,-0.09,0.92,0.0,-15.19,-9.02
1.23,0.42,-0.07,0.89,-3.3,-11.71,-9.91
1.26,0.47,-0.04,0.85,-7.05,-10.99,-18.08
1.28,0.48,-0.01,0.8,-12.09,-8.43,-21.11
1.31,0.56,-0.02,0.75,-21.83,3.07,-21.66
1.33,0.59,-0.03,0.74,-31.02,25.07,-24.38
1.36,0.53,-0.1,0.83,-33.18,46.66,-30.0
1.38,0.55,-0.15,0.86,-35.21,36.96,-40.84
1.41,0.53,-0.24,0.87,-30.85,25.95,-78.55
1.43,0.44,-0.24,0.88,-33.92,27.73,-88.14
1.46,0.34,-0.27,0.89,-39.11,32.82,-86.11
1.48,0.26,-0.31,0.9,-38.06,28.81,-76.18
1.51,0.19,-0.33,0.92,-37.65,24.06,-78.05
1.53,0.05,-0.35,0.95,-36.81,8.41,-76.35
1.56,0.01,-0.37,0.96,-27.6,12.02,-49.8
1.58,0.11,-0.37,0.93,-20.56,30.12,-33.37
1.61,0.03,-0.37,0.92,-26.93,31.04,-27.89
4.08,0.19,-0.07,0.96,0.21,-2.7,-1.3
4.1,0.2,-0.06,0.94,-1.37,-0.5,0.18
4.12,0.19,-0.07,0.96,0.26,1.69,0.12
4.15,0.19,-0.06,0.95,-1.1,-2.75,0.31
4.17,0.18,-0.06,0.94,-2.32,-1.53,0.9
4.19,0.16,-0.06,0.95,-0.58,-3.3,1.02
4.22,0.16,-0.05,0.93,-2.63,-7.04,3.16
4.24,0.17,-0.06,0.94,-4.98,-8.24,4.87
