timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.2,-0.22,0.92,-13.88,-1.59,-13.36
0.03,0.2,-0.24,0.95,-10.4,-1.27,-13.82
0.05,0.21,-0.25,0.93,-10.56,-2.32,-11.62
0.08,0.22,-0.26,0.96,-8.47,-0.47,-10.67
0.1,0.21,-0.24,0.94,-5.28,-2.12,-11.1
0.13,0.21,-0.21,0.9,-9.76,-2.64,-6.81
0.15,0.23,-0.24,0.93,-9.21,-3.33,-7.27
0.18,0.27,-0.23,0.91,-5.39,6.6,-7.62
0.2,0.26,-0.23,0.92,-6.81,5.22,-8.76
0.22,0.27,-0.22,0.91,-7.76,-1.16,-11.76
0.25,0.29,-0.24,0.95,-5.74,2.21,-13.88
0.27,0.25,-0.23,0.93,-7.91,-8.73,-18.31
0.3,0.29,-0.24,0.95,-6.6,2.78,-14.34
0.32,0.3,-0.26,0.95,-6.66,0.72,-15.79
0.35,0.29,-0.26,0.94,-2.05,0.89,-18.87
0.37,0.29,-0.25,0.92,-1.97,5.85,-18.79
0.4,0.25,-0.25,0.92,-3.47,3.11,-19.51
0.42,0.24,-0.24,0.91,-3.1,4.46,-17.51
0.45,0.22,-0.27,0.94,-4.96,3.42,-16.69
0.47,0.21,-0.26,0.92,-4.03,2.27,-15.79
0.5,0.16,-0.27,0.94,-4.37,3.42,-13.1
0.52,0.17,-0.27,0.94,-2.17,1.5,-10.37
0.55,0.13,-0.27,0.94,-1.82,-0.9,-8.35
0.57,0.16,-0.29,0.96,-1.88,-2.55,-7.89
0.6,0.15,-0.3,0.97,6.73,2.23,-7.83
0.62,0.21,-0.32,0.95,12.7,5.68,-20.2
0.64,0.19,-0.33,0.94,20.75,14.37,-29.07
0.67,-0.1,-0.26,0.87,22.76,5.88,-11.56
0.69,-0.05,-0.18,0.8,2.09,-13.62,16.06
0.72,0.19,-0.26,0.86,-20.61,-30.85,2.09
0.74,0.28,-0.36,0.91,-5.11,-13.37,-20.15
0.77,0.13,-0.37,0.92,1.18,13.77,-24.95
0.79,-0.09,-0.33,0.91,0.84,6.34,-3.44
0.82,0.06,-0.33,0.91,-11.24,-28.31,26.5
0.84,0.19,-0.34,0.91,-14.67,-35.15,19.31
0.87,0.27,-0.36,0.9,4.92,5.74,10.24
0.89,0.08,-0.33,0.91,4.78,31.47,25.36
0.91,0.05,-0.32,0.94,3.27,15.47,47.07
0.94,0.19,-0.32,0.94,-3.73,-13.56,44.11
0.96,0.27,-0.34,0.94,1.54,-4.93,41.88
0.99,0.25,-0.32,0.92,3.39,25.98,42.67
1.01,0.2,-0.29,0.9,1.48,34.02,48.37
1.03,0.17,-0.28,0.9,-2.99,27.21,53.25
1.06,0.17,-0.3,0.93,-3.54,-1.02,53.45
1.08,0.22,-0.28,0.93,-8.7,-8.66,58.53
1.11,0.26,-0.32,1.0,-5.47,-0.96,75.45
1.13,0.3,-0.34,1.01,2.52,6.7,78.93
1.15,0.3,-0.31,0.97,12.41,7.19,77.77
1.18,0.22,-0.25,0.92,12.93,7.66,72.4
1.2,0.18,-0.27,0.92,6.24,13.36,74.55
1.22,0.17,-0.23,0.93,14.18,5.27,77.42
1.25,0.17,-0.2,0.83,16.85,0.14,75.94
1.27,0.21,-0.18,0.8,6.05,0.21,76.52
1.29,0.26,-0.22,0.88,-6.73,14.14,77.1
1.32,0.25,-0.28,0.98,3.18,14.26,67.5
1.34,0.23,-0.23,0.94,12.34,7.82,55.69
1.36,0.17,-0.16,0.87,13.19,4.89,49.8
1.39,0.17,-0.12,0.85,-2.03,9.71,53.5
1.41,0.19,-0.18,0.94,-10.49,15.89,53.21
1.44,0.21,-0.18,0.95,-0.49,-1.36,31.07
1.46,0.18,-0.14,0.89,1.33,5.57,29.25
1.48,0.15,-0.14,0.86,0.05,24.69,38.02
1.51,0.23,-0.21,0.99,1.51,28.67,37.73
1.53,0.24,-0.21,1.03,6.34,5.89,19.62
1.55,0.19,-0.14,0.95,6.55,1.56,13.5
1.58,0.15,-0.11,0.86,-0.21,12.23,18.58
3.0,0.09,-0.13,0.99,-5.27,2.75,-4.37
3.02,0.11,-0.15,1.01,-6.29,3.02,-4.29
3.05,0.1,-0.13,0.99,-4.27,2.75,-3.44
3.07,0.08,-0.13,0.98,-0.66,4.61,-3.79
3.09,0.08,-0.12,0.95,0.11,3.5,-4.41
3.12,0.09,-0.14,0.95,-1.36,3.36,-2.43
3.14,0.09,-0.15,0.97,-3.04,6.38,-1.02
3.17,0.12,-0.13,0.95,-3.56,14.27,-2.93
3.19,0.05,-0.11,0.93,1.56,8.05,-4.34
3.21,0.06,-0.12,0.93,4.63,6.2,-4.44
3.24,0.03,-0.09,0.94,0.49,5.02,-3.28
3.26,0.05,-0.09,0.94,0.38,5.6,-3.82
3.28,0.03,-0.08,0.95,0.9,6.61,-2.44
3.31,0.04,-0.08,0.93,1.3,8.15,-2.84
3.33,0.04,-0.08,0.91,1.71,1.51,-2.37
3.35,0.07,-0.09,0.92,0.38,1.66,-2.58
3.38,0.08,-0.08,0.92,-0.49,2.27,-1.62
3.4,0.11,-0.08,0.94,-0.49,1.42,-1.98
3.42,0.11,-0.11,0.96,-3.47,3.91,-1.04
3.45,0.09,-0.09,0.96,-0.53,5.88,-2.95
3.47,0.06,-0.08,0.96,0.2,5.47,-4.79
3.49,0.04,-0.07,0.96,1.22,6.64,-4.2
3.52,0.05,-0.08,0.96,2.14,5.25,-1.94
3.54,0.02,-0.07,0.92,5.88,12.26,1.83
3.56,0.03,-0.07,0.93,3.79,7.62,1.22
3.59,0.01,-0.07,0.92,1.53,5.51,3.15
3.61,0.01,-0.06,0.91,3.59,5.51,4.43
3.63,0.01,-0.07,0.91,-0.21,1.34,5.98
3.66,0.03,-0.08,0.91,-0.53,2.87,6.99
3.68,0.02,-0.05,0.88,-0.46,-3.3,3.21
3.7,0.02,-0.07,0.9,-3.62,-0.85,3.24
3.73,0.03,-0.08,0.94,-7.88,2.69,4.58
3.75,0.02,-0.06,0.92,-4.67,3.44,4.64
3.77,0.04,-0.07,0.93,-4.6,1.74,4.44
3.8,0.05,-0.08,0.95,-8.0,1.04,2.79
3.82,0.06,-0.08,0.96,-7.76,-2.56,2.61
3.84,0.05,-0.07,0.96,-4.92,1.74,2.18
3.87,0.06,-0.08,0.95,-5.74,0.05,0.63
3.89,0.06,-0.09,0.96,-6.0,-0.43,-0.26
3.92,0.04,-0.07,0.96,-4.78,1.82,-0.5
3.94,0.04,-0.08,0.94,-2.52,-1.42,-2.06
3.97,0.05,-0.05,0.91,2.79,-3.19,-2.06
3.99,0.07,-0.05,0.92,-1.69,-4.29,1.65
4.01,0.06,-0.07,0.93,-5.79,-3.25,0.82
4.04,0.05,-0.08,0.95,-6.41,-1.31,-0.46
4.06,0.06,-0.06,0.94,-2.73,-2.02,-1.3
4.09,0.06,-0.08,0.96,-4.29,-4.09,-1.85
4.11,0.05,-0.09,0.97,-2.18,-2.47,-3.59
