timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.26,-0.33,0.89,-1.48,2.85,-0.61
0.02,0.25,-0.33,0.89,-1.24,6.84,0.08
0.05,0.21,-0.34,0.91,-1.82,3.22,0.53
0.07,0.23,-0.35,0.91,-1.82,1.8,0.85
0.09,0.23,-0.35,0.91,-5.36,0.84,-1.07
0.12,0.23,-0.35,0.9,-4.58,-1.57,-0.9
0.14,0.24,-0.34,0.89,-3.6,0.31,0.15
0.16,0.24,-0.34,0.87,-2.85,2.09,0.0
0.19,0.26,-0.33,0.86,-7.11,0.06,4.46
0.21,0.22,-0.34,0.87,-6.32,2.4,3.74
0.23,0.22,-0.34,0.89,-5.47,2.6,3.85
0.26,0.23,-0.34,0.88,-5.82,0.99,4.32
0.28,0.25,-0.34,0.9,-5.95,0.58,4.03
0.3,0.24,-0.34,0.9,-5.63,2.27,4.66
0.33,0.25,-0.35,0.9,-5.34,1.48,2.98
0.35,0.26,-0.35,0.9,-5.53,2.31,0.81
0.37,0.26,-0.35,0.9,-4.99,1.56,-0.58
0.4,0.25,-0.35,0.9,-4.58,2.15,-1.44
0.42,0.24,-0.34,0.89,-4.46,1.74,-2.29
0.44,0.23,-0.34,0.89,-4.2,2.02,-2.18
0.47,0.23,-0.34,0.89,-4.7,3.36,-1.4
0.49,0.23,-0.35,0.89,-4.23,4.75,-0.66
0.51,0.22,-0.35,0.89,-4.55,3.36,-1.33
0.54,0.23,-0.36,0.88,-3.69,2.84,-1.39
0.56,0.22,-0.36,0.88,-3.51,3.16,-1.04
0.58,0.23,-0.35,0.88,-3.27,2.79,-0.84
0.61,0.23,-0.36,0.88,-4.63,1.36,-1.18
0.63,0.23,-0.36,0.87,-4.84,1.53,-0.87
0.65,0.23,-0.35,0.87,-4.99,2.61,-0.81
0.68,0.23,-0.36,0.88,-4.9,2.93,-0.08
0.7,0.22,-0.37,0.89,-3.68,2.29,-0.49
0.72,0.22,-0.37,0.89,-1.57,1.88,-0.9
0.75,0.21,-0.37,0.86,-0.08,1.71,-0.09
0.77,0.22,-0.36,0.86,-1.27,0.93,0.67
0.79,0.23,-0.36,0.86,-2.09,3.11,1.74
0.82,0.19,-0.38,0.98,3.27,-0.41,2.9
0.84,0.2,-0.35,0.87,-2.96,2.82,2.81
0.86,0.21,-0.37,0.86,3.59,4.27,2.23
0.89,0.21,-0.37,0.9,-0.79,10.43,5.63
0.91,0.18,-0.35,0.9,-3.92,10.7,6.05
0.93,0.2,-0.36,0.89,-6.67,2.11,4.84
0.96,0.23,-0.35,0.86,-10.18,4.98,3.45
0.98,0.25,-0.36,0.89,-5.6,10.2,2.53
1.0,0.23,-0.36,0.92,-2.89,12.64,0.32
1.03,0.24,-0.39,0.94,4.17,13.02,-1.97
1.05,0.22,-0.37,0.93,3.98,17.11,-2.95
1.07,0.22,-0.38,0.95,8.31,15.53,-3.68
1.1,0.2,-0.35,0.92,5.28,12.38,-6.02
1.12,0.22,-0.34,0.91,15.94,12.18,-7.39
1.15,0.21,-0.32,0.89,7.53,19.08,-10.15
1.17,0.19,-0.33,0.93,9.39,18.53,-11.57
1.2,0.19,-0.31,0.94,19.62,25.34,-12.61
1.22,0.17,-0.31,0.94,15.8,22.76,-15.85
1.25,0.12,-0.3,0.92,0.82,14.55,-16.69
1.27,0.09,-0.32,0.97,3.77,8.82,-15.71
1.3,0.1,-0.3,0.92,16.06,8.46,-15.08
1.32,0.12,-0.3,0.91,11.79,1.1,-17.47
1.35,0.12,-0.3,0.95,25.91,8.89,-11.71
1.37,0.11,-0.28,0.93,33.15,11.44,-4.2
1.4,0.13,-0.28,0.93,46.12,13.68,-4.11
1.42,0.13,-0.26,0.95,50.24,13.48,-5.02
1.45,0.14,-0.24,1.0,83.73,1.02,-14.23
1.47,0.15,-0.18,0.92,85.01,-4.49,-15.18
1.5,0.19,-0.12,0.88,128.55,2.15,-10.76
1.52,0.18,-0.03,0.74,82.11,11.83,-9.21
1.55,0.15,-0.0,0.69,36.99,-2.23,-8.43
2.24,0.2,-0.07,0.96,-7.48,0.18,-0.14
2.27,0.19,-0.07,0.94,-5.97,0.44,-0.08
2.29,0.19,-0.07,0.96,-6.12,2.09,-1.18
2.31,0.19,-0.08,0.94,-5.79,0.06,-1.27
2.34,0.19,-0.07,0.94,-4.03,0.78,-1.27
2.36,0.19,-0.08,0.95,-7.74,1.94,-2.31
2.38,0.18,-0.07,0.95,-8.5,1.33,-1.47
2.41,0.2,-0.08,0.98,-8.99,-0.12,-1.16
2.43,0.19,-0.08,0.97,-7.16,2.79,-1.95
2.45,0.19,-0.09,0.97,-6.43,1.89,-1.68
2.48,0.19,-0.08,0.96,-5.91,-0.34,-1.6
2.5,0.19,-0.1,0.98,-6.34,-0.26,-1.21
2.53,0.2,-0.08,0.97,-3.11,-1.53,-3.08
2.55,0.19,-0.07,0.93,3.48,-4.63,-3.76
2.57,0.21,-0.08,0.91,0.02,-3.57,-2.05
2.6,0.19,-0.09,0.91,-6.96,3.45,-2.41
2.62,0.19,-0.09,0.92,-6.27,2.03,-0.31
2.64,0.19,-0.1,0.93,-7.69,0.98,0.7
2.67,0.2,-0.09,0.94,-7.57,-2.14,1.51
2.69,0.2,-0.1,0.95,-5.56,1.13,1.33
2.71,0.2,-0.1,0.96,-4.82,2.06,0.17
2.74,0.19,-0.09,0.95,-6.24,1.3,0.38
2.76,0.19,-0.09,0.96,-4.66,-2.52,-0.11
2.79,0.19,-0.09,0.95,-3.63,-1.79,1.04
2.81,0.2,-0.1,0.95,-4.09,0.32,0.64
2.83,0.2,-0.09,0.95,-5.11,-0.99,-0.03
2.86,0.2,-0.1,0.94,-5.02,-0.93,0.35
2.88,0.21,-0.1,0.94,-4.6,-0.26,0.98
2.9,0.21,-0.11,0.94,-4.11,1.08,0.52
2.93,0.19,-0.1,0.96,-5.31,3.74,-0.73
2.95,0.2,-0.11,0.94,-5.4,2.32,-0.44
2.97,0.21,-0.1,0.95,-4.34,1.21,-0.53
3.0,0.2,-0.1,0.95,-3.51,3.1,-0.47
