timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.13,-1.02,-0.0,-38.09,5.15,-2.08
0.02,0.13,-1.04,0.01,-35.79,10.56,-3.05
0.05,0.09,-1.0,-0.02,-34.38,8.96,-0.61
0.07,0.11,-1.0,-0.03,-31.36,11.37,-0.55
0.1,0.11,-1.03,-0.02,-22.12,15.98,-4.9
0.12,0.1,-1.02,-0.04,-21.22,14.79,-6.72
0.15,0.1,-1.03,-0.11,-23.01,16.78,-7.44
0.17,0.1,-1.02,-0.06,-24.31,16.31,-9.11
0.2,0.13,-0.99,-0.04,-16.27,21.36,-15.56
0.22,0.1,-1.02,-0.1,-19.79,15.5,-15.79
0.25,0.08,-1.01,-0.1,-23.92,14.63,-11.11
0.27,0.11,-1.0,-0.09,-24.78,10.49,-9.56
0.3,0.14,-1.03,-0.07,-17.19,5.56,-9.4
0.32,0.15,-1.02,-0.12,-15.56,4.38,-11.42
0.35,0.1,-1.02,-0.04,-12.37,-2.41,-7.97
0.37,0.07,-1.01,0.03,-0.72,-3.54,-0.03
0.4,0.12,-1.03,-0.02,14.11,-0.32,7.28
0.42,0.15,-1.05,-0.08,13.37,-4.78,4.53
0.45,0.08,-1.09,-0.0,21.31,-22.35,9.85
0.47,0.09,-1.1,0.08,30.72,-25.37,9.98
0.5,0.04,-1.1,0.14,49.65,-26.21,16.75
0.52,0.04,-1.12,0.26,77.01,-27.31,26.66
0.55,0.15,-1.11,0.24,122.93,-36.78,34.09
0.57,0.14,-1.13,0.24,144.37,-33.5,22.89
0.6,0.09,-1.15,0.23,164.31,-40.17,6.85
0.62,0.05,-1.15,0.37,173.44,-55.05,13.71
0.65,-0.02,-1.13,0.62,207.21,-58.6,29.05
0.67,0.1,-1.13,0.63,240.24,-38.63,25.1
0.7,0.01,-1.1,0.66,256.52,-30.03,26.85
0.72,-0.01,-1.11,0.78,285.74,-43.15,43.34
0.75,0.17,-1.09,0.77,320.66,-10.61,50.85
0.77,0.16,-1.04,0.59,332.34,23.19,40.78
0.8,0.18,-0.83,0.67,311.74,16.67,15.95
0.82,-0.11,-0.72,0.93,325.08,-89.18,33.71
0.85,0.15,-0.49,0.56,270.66,-67.45,23.1
0.87,0.09,-0.4,0.85,257.62,-55.48,21.13
0.9,0.15,-0.17,0.58,209.34,-39.11,-0.4
0.92,0.09,-0.06,0.55,163.95,-40.27,-3.89
0.95,0.17,0.12,0.46,118.76,-22.11,-8.24
0.97,0.18,0.19,0.47,71.98,-24.99,-16.37
1.0,0.26,0.22,0.39,-10.49,12.75,-45.62
1.02,-0.09,0.18,0.88,-8.58,11.62,-32.53
1.05,0.12,0.21,0.74,4.52,-29.11,-12.09
1.07,0.23,0.2,0.73,-9.08,-31.37,-18.2
1.1,0.24,0.2,0.71,-29.24,19.45,-35.68
1.12,0.13,0.17,0.75,-45.95,52.75,-41.22
