timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,1.02,-0.1,-0.58,-10.15,-47.71,2.24
0.03,0.98,-0.09,-0.58,-5.95,-29.33,1.69
0.05,1.01,-0.08,-0.58,-0.63,-9.94,-2.98
0.08,0.98,-0.09,-0.61,8.58,-13.74,-3.57
0.1,1.0,-0.1,-0.65,5.11,-27.76,-3.68
0.13,0.96,-0.12,-0.66,3.37,-32.23,-7.65
0.15,0.98,-0.1,-0.66,1.68,-29.71,-5.8
0.18,0.95,-0.11,-0.65,2.61,-56.66,-5.95
0.2,0.96,-0.1,-0.69,-2.34,-79.56,-7.45
0.23,0.9,-0.1,-0.72,-5.28,-60.84,-7.27
0.25,0.88,-0.1,-0.74,-5.39,-36.4,-7.59
0.28,0.87,-0.09,-0.75,-5.11,-34.15,-4.73
0.3,0.84,-0.09,-0.76,-4.73,-29.92,-1.97
0.33,0.8,-0.09,-0.8,-4.81,-5.79,0.82
0.35,0.81,-0.08,-0.79,-6.34,5.04,6.27
0.38,0.85,-0.08,-0.79,-5.11,19.71,8.46
0.4,0.87,-0.08,-0.76,-2.99,30.05,8.67
0.43,0.93,-0.07,-0.73,2.43,54.08,2.0
0.45,0.96,-0.07,-0.73,11.82,81.77,-1.79
0.48,0.99,-0.08,-0.75,18.52,127.85,-8.53
0.5,1.0,-0.09,-0.74,19.77,151.42,-8.38
0.53,1.03,-0.07,-0.61,25.95,191.98,-8.32
0.55,1.1,-0.04,-0.51,34.43,220.38,-4.38
0.58,1.18,-0.14,-0.53,29.13,226.81,-24.47
0.6,1.12,-0.1,-0.37,11.3,180.46,-18.76
0.63,1.1,-0.08,-0.19,6.66,149.34,-11.82
0.65,1.05,-0.07,-0.06,32.06,147.5,-5.33
0.68,1.24,-0.15,-0.14,42.03,147.47,-9.76
0.7,1.3,-0.12,-0.15,24.27,174.37,-32.4
0.73,1.13,-0.1,-0.01,32.93,258.58,-42.31
0.75,1.07,-0.07,0.05,35.47,328.6,-39.62
0.78,1.04,-0.02,0.3,48.96,434.14,-49.73
0.8,1.03,-0.01,0.42,38.37,484.44,-61.34
0.83,0.75,-0.09,0.59,25.25,475.24,-76.09
0.85,0.67,0.0,0.64,21.25,419.86,-65.34
0.88,0.35,0.05,0.89,3.45,294.76,-54.99
0.9,0.31,0.04,1.0,12.75,161.82,-19.88
0.93,0.37,0.06,0.83,-0.76,69.16,-2.46
0.95,0.38,0.05,0.81,-20.89,67.05,-7.4
0.98,0.28,0.06,0.99,-24.11,45.53,-10.75
1.0,0.29,0.06,1.01,-15.88,7.15,-3.21
1.03,0.23,0.05,0.94,-17.48,-33.53,6.93
1.05,0.31,0.05,0.96,-20.64,-35.76,11.3
1.08,0.38,0.04,0.98,-15.74,-10.14,1.05
1.1,0.34,0.04,0.99,-9.57,-3.71,1.05
1.12,0.36,0.04,0.96,-7.86,-5.08,1.51
1.15,0.38,0.03,0.98,-6.31,-7.66,3.27
1.17,0.4,0.02,0.95,-6.12,-7.91,3.07
1.19,0.41,0.02,0.94,-3.37,-0.38,-0.35
1.22,0.35,0.04,0.78,-2.47,3.3,-3.21
1.24,0.39,0.02,0.89,-2.95,-1.51,-0.69
1.26,0.37,0.02,0.91,-4.03,0.79,0.26
1.29,0.38,0.01,0.93,-3.68,6.73,1.25
1.31,0.35,0.02,0.92,-3.27,16.0,-0.75
1.33,0.38,0.02,0.92,-5.68,8.44,0.06
