timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,-0.83,-0.25,-0.08,-5.54,21.1,-4.55
0.02,-0.86,-0.25,-0.08,-4.12,14.32,-3.85
0.05,-0.83,-0.25,-0.14,-7.45,13.04,-4.79
0.07,-0.83,-0.26,-0.11,-9.6,4.38,0.85
0.1,-0.81,-0.27,-0.1,-12.26,8.9,-2.76
0.12,-0.74,-0.27,-0.13,-9.57,17.63,-7.63
0.15,-0.79,-0.27,-0.11,-6.67,20.84,-7.95
0.17,-0.78,-0.26,-0.16,-3.22,26.47,-7.51
0.2,-0.72,-0.26,-0.22,-10.98,22.87,-17.4
0.22,-0.81,-0.25,-0.19,-16.7,13.56,-21.71
0.25,-0.8,-0.26,-0.14,-7.91,18.34,-21.59
0.27,-0.88,-0.28,-0.16,-7.59,14.12,-17.79
0.3,-0.81,-0.3,-0.12,1.73,6.98,-13.34
0.32,-0.76,-0.3,-0.2,-0.23,24.76,-19.44
0.35,-0.81,-0.3,-0.18,-7.18,15.77,-20.61
0.37,-0.84,-0.29,-0.15,-4.64,13.39,-18.31
0.4,-0.83,-0.31,-0.15,0.31,15.21,-9.44
0.42,-0.84,-0.31,-0.17,4.32,9.86,-7.69
0.45,-0.85,-0.3,-0.22,-0.85,-5.98,-8.46
0.47,-0.9,-0.31,-0.21,-3.08,-22.93,-8.66
0.5,-0.84,-0.31,-0.16,-5.07,-23.11,-4.78
0.52,-0.81,-0.3,-0.12,-8.47,-45.05,-11.05
0.55,-0.9,-0.32,-0.09,2.11,-98.02,-26.0
0.57,-0.93,-0.3,-0.03,15.42,-98.53,-10.52
0.6,-0.72,-0.28,0.12,7.57,-110.09,-4.82
0.62,-0.85,-0.34,0.02,17.76,-171.48,-28.81
0.65,-1.02,-0.34,-0.03,38.76,-202.67,-0.69
0.67,-0.8,-0.32,0.07,17.88,-145.31,23.97
0.7,-0.66,-0.32,0.28,12.92,-205.28,-5.59
0.72,-0.83,-0.38,0.21,28.06,-291.51,-26.92
0.75,-0.83,-0.34,0.18,31.08,-227.76,22.46
0.77,-0.59,-0.41,0.61,-4.23,-159.01,39.5
0.8,-0.39,-0.42,0.69,46.96,-242.72,-3.65
0.82,-0.55,-0.41,0.5,60.46,-262.95,-19.69
0.85,-0.53,-0.31,0.46,25.24,-140.41,52.92
0.87,-0.21,-0.32,0.75,7.15,-71.42,55.47
0.9,-0.25,-0.29,0.71,50.95,-125.28,27.11
0.92,-0.15,-0.24,0.64,40.34,-139.63,11.8
0.95,-0.27,-0.21,0.5,30.7,-101.57,23.05
0.97,-0.21,-0.17,0.68,-6.87,-29.48,36.78
1.0,-0.13,-0.23,0.87,-6.34,-65.53,25.1
1.02,-0.09,-0.2,0.87,3.39,-80.14,18.82
1.05,0.04,-0.19,0.85,-6.44,-44.63,-4.15
1.07,0.02,-0.21,0.92,-0.34,-28.43,-21.47
1.1,-0.27,-0.16,0.91,4.15,-20.66,-12.0
1.12,-0.16,-0.13,0.89,-9.86,-10.79,6.96
1.15,-0.08,-0.16,0.91,-8.67,-32.44,3.83
1.17,-0.08,-0.16,0.98,-4.73,-36.02,-0.78
1.2,0.05,-0.17,0.95,0.84,-29.08,-15.28
1.22,0.05,-0.19,0.96,9.5,-23.77,-26.32
1.25,-0.13,-0.17,0.99,13.57,-4.06,-18.98
1.27,-0.15,-0.16,0.96,0.56,-2.37,-6.06
1.3,-0.01,-0.16,0.93,-1.85,-21.02,-0.52
1.32,0.0,-0.16,0.92,-6.18,-24.2,-4.29
1.35,-0.05,-0.2,1.0,-6.53,-39.69,-6.0
1.37,0.04,-0.19,0.92,-9.11,-13.02,-0.72
1.4,0.02,-0.19,0.95,-2.08,-0.27,-0.4
1.42,0.02,-0.19,0.95,-1.47,-1.8,-0.34
1.45,0.01,-0.18,0.93,-5.92,-3.83,-1.11
1.47,-0.03,-0.16,0.96,-7.51,-10.69,-3.54
1.5,0.0,-0.19,0.95,-1.94,0.98,-2.32
1.52,0.02,-0.21,0.93,1.56,-4.23,-4.0
1.54,0.02,-0.18,0.89,-2.38,1.74,-3.85
1.57,-0.01,-0.19,0.92,-5.37,-0.21,-1.05
1.59,0.05,-0.22,0.92,-3.24,-6.82,0.61
1.81,0.05,-0.14,0.89,-7.74,2.63,1.76
1.83,0.02,-0.19,0.92,-8.41,-1.82,-0.73
1.85,-0.06,-0.21,0.97,-8.24,-3.56,-4.75
1.88,-0.06,-0.25,0.99,-2.5,0.35,4.6
1.9,-0.02,-0.2,0.96,-5.92,4.47,6.69
1.92,0.01,-0.2,0.91,-8.53,4.11,5.88
1.95,-0.05,-0.26,0.96,-3.44,13.66,5.59
1.97,-0.03,-0.21,0.96,-6.89,33.57,17.36
2.0,-0.04,-0.2,0.87,-14.69,27.77,27.92
2.02,-0.03,-0.2,0.86,-14.75,37.59,30.9
2.05,-0.05,-0.22,0.92,-24.14,44.4,30.15
2.07,-0.04,-0.21,0.91,-22.55,47.25,26.43
2.1,-0.04,-0.22,0.92,-16.53,60.5,19.44
2.12,-0.11,-0.23,0.93,-14.79,57.48,16.76
2.15,-0.15,-0.23,0.93,-8.56,44.49,9.45
2.17,-0.18,-0.22,0.87,-7.27,44.99,10.37
2.2,-0.2,-0.22,0.85,-13.05,54.47,21.27
2.22,-0.22,-0.25,0.92,-10.93,46.72,18.81
2.25,-0.21,-0.24,0.9,-1.77,46.67,15.95
2.27,-0.22,-0.23,0.88,0.47,48.5,12.64
2.3,-0.26,-0.23,0.86,3.08,49.85,6.99
2.32,-0.31,-0.22,0.83,7.57,42.87,6.92
2.34,-0.32,-0.2,0.83,2.08,44.44,12.7
2.37,-0.28,-0.21,0.81,0.24,52.24,4.0
2.39,-0.35,-0.22,0.8,6.46,41.88,-1.83
2.42,-0.36,-0.2,0.77,3.08,36.69,1.57
2.44,-0.34,-0.21,0.77,-3.65,44.69,1.89
2.47,-0.37,-0.2,0.77,-3.68,38.75,-1.92
2.49,-0.34,-0.19,0.73,-1.92,43.18,-6.12
2.52,-0.37,-0.2,0.74,3.3,43.5,-7.89
2.54,-0.37,-0.2,0.7,-0.23,50.72,-10.24
2.57,-0.48,-0.2,0.73,2.85,49.21,-11.18
2.59,-0.49,-0.2,0.71,1.65,40.0,-6.34
2.62,-0.44,-0.21,0.72,-2.37,46.35,-5.57
2.64,-0.51,-0.22,0.72,5.11,47.97,-1.97
2.67,-0.5,-0.21,0.7,5.08,37.6,-4.4
2.69,-0.51,-0.2,0.65,4.41,34.84,-7.22
2.72,-0.53,-0.19,0.64,-4.29,39.01,-3.59
2.74,-0.56,-0.2,0.67,-4.17,33.19,-1.63
2.77,-0.5,-0.2,0.61,-5.45,31.36,-7.34
2.79,-0.53,-0.2,0.59,-10.55,35.66,-9.85
2.82,-0.55,-0.23,0.61,-13.86,32.53,-10.08
2.84,-0.58,-0.22,0.63,-9.24,31.44,-11.02
2.87,-0.6,-0.23,0.65,-7.85,38.9,-7.68
2.89,-0.59,-0.24,0.64,-2.35,35.34,-9.89
2.92,-0.6,-0.24,0.61,5.59,46.87,-3.73
2.94,-0.61,-0.26,0.61,8.32,55.21,-5.66
2.97,-0.65,-0.22,0.59,8.11,37.36,-3.11
2.99,-0.59,-0.24,0.55,4.99,36.24,-5.42
3.02,-0.62,-0.23,0.52,5.5,49.16,-7.11
3.04,-0.66,-0.22,0.52,5.31,44.12,-6.63
3.07,-0.64,-0.21,0.46,3.89,42.29,-10.4
3.09,-0.67,-0.19,0.42,-5.69,50.14,-9.69
3.12,-0.71,-0.22,0.45,-15.53,51.74,-16.27
3.14,-0.77,-0.23,0.47,-7.47,30.32,-12.44
3.17,-0.67,-0.23,0.42,-6.81,25.91,-9.19
3.19,-0.69,-0.24,0.41,-6.11,33.77,-9.36
3.22,-0.71,-0.23,0.39,-10.9,34.0,-10.7
3.24,-0.72,-0.25,0.4,-11.02,24.89,-10.64
3.27,-0.71,-0.26,0.39,-9.15,26.67,-9.71
3.29,-0.73,-0.27,0.41,-5.86,24.84,-7.88
3.32,-0.72,-0.28,0.41,0.17,23.56,-8.78
3.34,-0.71,-0.28,0.34,-0.31,26.98,-8.84
3.37,-0.7,-0.28,0.3,-8.35,35.66,-8.89
3.39,-0.69,-0.3,0.31,-17.82,36.67,-15.05
3.42,-0.73,-0.31,0.35,-20.29,36.84,-18.89
3.44,-0.72,-0.34,0.38,-8.89,23.57,-19.77
3.47,-0.78,-0.33,0.34,6.18,18.96,-15.39
3.49,-0.76,-0.33,0.29,7.13,28.15,-9.74
3.52,-0.71,-0.32,0.27,7.51,39.79,-8.27
