timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.25,-0.14,0.96,-5.16,8.0,-34.72
0.02,0.23,-0.14,0.96,-6.98,7.13,-32.47
0.05,0.19,-0.13,0.95,-5.91,-0.26,-32.9
0.07,0.02,0.16,1.04,-5.59,-2.99,-25.91
0.1,0.25,-0.08,0.91,-41.27,179.98,40.18
0.12,-0.03,0.24,1.23,-16.31,21.25,-16.56
0.15,0.2,-0.2,0.99,-60.6,-44.17,4.2
0.17,0.35,-0.13,0.89,-0.87,-38.95,-13.69
0.2,0.36,-0.19,0.86,-12.52,-41.69,-15.73
0.22,0.33,-0.17,0.88,-11.5,-13.48,-19.02
0.25,0.14,-0.3,0.91,0.46,12.55,-14.18
0.27,0.31,-0.11,0.97,-10.5,-35.44,-42.14
0.3,0.21,-0.19,0.97,-19.63,22.12,-5.85
0.32,0.19,-0.2,0.98,-36.66,-36.9,-24.09
0.35,0.21,-0.08,0.75,-15.34,-23.65,-15.01
0.37,0.12,-0.13,0.84,-17.74,-9.71,-13.27
0.4,0.2,-0.24,0.76,-64.87,-32.35,-5.83
0.42,0.15,-0.44,0.91,-111.62,-37.77,7.15
0.45,0.39,-0.35,1.11,-77.83,-78.29,18.09
0.47,0.51,-0.36,1.03,-1.02,-102.75,36.96
0.5,0.68,-0.31,0.9,15.6,-110.98,3.57
0.52,0.61,-0.22,0.85,27.8,-127.94,-25.92
0.55,0.78,-0.17,0.48,0.37,-162.67,-50.37
0.57,0.78,-0.07,0.32,-5.04,-124.78,-37.13
0.6,0.91,-0.23,0.64,-12.58,-58.96,-14.32
0.62,0.8,-0.25,0.64,-51.5,-93.56,0.55
0.65,0.81,-0.22,0.56,-37.74,-59.68,-5.82
0.67,0.67,-0.2,0.61,-8.49,5.18,5.22
0.7,0.57,-0.31,0.79,-10.72,31.36,10.24
0.72,0.55,-0.36,0.88,-8.96,30.26,24.0
0.75,0.65,-0.35,0.8,2.69,24.89,31.44
0.77,0.39,-0.56,1.2,-9.15,18.46,20.95
0.8,0.69,-0.4,0.79,15.68,-41.22,13.6
0.82,0.57,-0.39,0.82,11.44,40.23,36.44
0.85,0.67,-0.27,0.71,35.34,20.64,29.57
0.87,0.54,-0.25,0.8,17.71,-48.21,19.85
0.9,0.71,-0.37,0.49,7.02,-85.82,19.15
0.92,-1.37,-0.34,0.89,19.77,-8.43,1.63
0.95,0.83,-0.34,0.77,5.71,113.92,35.37
0.97,0.49,-0.36,0.88,-1.04,216.56,64.98
1.0,0.61,-0.35,0.71,16.23,75.91,24.34
1.02,0.55,-0.37,0.78,-8.43,142.09,14.38
1.05,0.28,-0.41,0.88,17.57,197.37,22.53
1.07,0.14,-0.33,0.95,45.63,193.8,25.25
1.1,0.36,-0.27,0.83,41.74,144.78,20.2
1.12,0.18,-0.25,0.87,23.6,122.73,18.64
1.15,0.06,-0.28,0.93,13.77,136.78,23.68
1.17,0.09,-0.29,0.95,-2.89,93.74,28.21
1.2,0.14,-0.31,0.99,-10.2,59.47,19.36
1.22,0.07,-0.27,0.96,-10.47,38.24,14.17
