timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.007,0.19,0.45,0.91,0.03,-0.95,0.18
0.015,0.2,0.46,0.92,-4.75,2.47,-2.44
0.024,0.18,0.43,0.9,-1.94,-2.41,-0.76
0.032,0.2,0.43,0.9,-1.25,-4.93,-0.84
0.04,0.22,0.43,0.89,-1.24,0.92,-1.08
0.046,0.22,0.45,0.93,-2.46,4.23,-1.1
0.051,0.19,0.44,0.9,-4.18,-0.23,-0.23
0.055,0.21,0.43,0.88,-0.75,-2.23,-0.5
0.059,0.23,0.44,0.89,-1.05,1.97,0.29
0.061,0.2,0.42,0.86,-0.37,5.34,-0.27
0.063,0.15,0.46,0.94,-2.43,4.14,-1.83
0.065,0.18,0.43,0.9,-3.24,-1.65,-3.28
0.067,0.21,0.43,0.91,-0.05,-2.89,-3.16
0.069,0.23,0.43,0.89,0.2,0.29,-3.37
0.071,0.23,0.45,0.92,-1.02,4.15,-2.49
0.074,0.2,0.45,0.91,-3.65,3.56,-1.56
0.076,0.22,0.46,0.93,-2.66,-0.35,-1.11
0.078,0.25,0.46,0.92,-4.41,-0.93,-0.09
0.08,0.26,0.46,0.94,-7.73,7.69,-0.26
0.082,0.19,0.48,0.95,-8.05,4.53,0.81
0.084,0.19,0.5,1.01,-13.45,2.82,-0.12
0.086,0.19,0.51,1.07,-17.65,-0.69,-0.02
0.089,0.2,0.56,1.18,-22.56,-0.9,-1.65
0.091,0.27,0.64,1.37,-46.87,8.38,-3.8
0.093,0.27,0.57,1.32,-59.63,1.11,2.67
0.095,0.22,0.5,1.22,-61.19,-6.23,4.4
0.097,0.24,0.5,1.26,-71.18,2.98,1.13
0.099,0.32,0.5,1.27,-88.23,27.45,-1.18
0.101,0.27,0.48,1.24,-92.53,46.5,-10.58
0.103,0.18,0.47,1.26,-96.14,42.15,-9.13
0.105,0.16,0.49,1.3,-109.85,32.14,-3.74
0.108,-0.01,0.42,1.23,-119.28,24.92,-11.76
0.11,-0.02,0.38,1.19,-137.37,7.15,-11.33
0.112,0.18,0.35,1.2,-142.0,3.59,-16.09
0.113,0.26,0.27,1.08,-139.44,-0.69,-7.02
0.116,0.32,0.29,1.09,-139.65,-7.37,13.45
0.118,0.22,0.22,1.06,-142.76,-13.62,25.13
0.12,0.26,0.14,0.91,-127.63,-17.16,34.4
0.122,0.26,0.14,1.0,-116.29,-13.28,39.34
0.124,0.2,0.13,1.02,-130.41,8.6,30.58
0.126,0.16,0.07,0.91,-134.95,20.64,16.6
0.128,0.21,0.04,0.86,-140.23,24.02,18.37
0.13,0.19,0.02,0.88,-142.85,25.63,18.4
0.132,0.16,-0.05,0.88,-149.48,27.88,17.31
0.134,0.13,-0.13,0.8,-153.5,30.58,14.89
0.136,0.1,-0.23,0.66,-148.05,30.24,11.25
0.138,0.13,-0.26,0.69,-140.46,23.71,11.54
0.141,0.1,-0.29,0.7,-143.71,28.02,10.02
0.142,0.1,-0.36,0.6,-151.54,44.47,5.04
0.144,0.03,-0.49,0.51,-137.97,35.83,3.01
0.146,0.05,-0.52,0.47,-136.89,18.09,9.89
0.148,0.15,-0.58,0.49,-130.35,66.15,-13.01
0.15,0.12,-0.63,0.39,-135.25,125.01,-32.66
0.152,-0.04,-0.75,0.23,-118.34,128.99,-36.0
0.154,-0.11,-0.8,0.18,-105.19,91.57,-19.57
0.156,-0.11,-0.75,0.32,-90.87,54.35,-6.2
0.158,-0.2,-0.72,0.4,-84.44,39.65,-5.54
0.16,-0.18,-0.73,0.41,-85.31,46.6,-23.1
0.162,-0.18,-0.74,0.47,-82.92,20.98,-24.41
0.164,-0.14,-0.69,0.41,-83.5,10.24,-23.01
0.166,-0.18,-0.68,0.56,-112.95,25.94,-30.89
0.168,-0.04,-0.61,0.53,-129.19,-47.8,-19.04
0.17,-0.04,-0.76,0.37,-145.42,-52.46,-15.62
0.172,-0.28,-0.67,0.25,-174.89,-64.53,-30.75
0.175,-0.38,-0.57,0.3,-233.4,-157.94,-45.02
0.177,0.48,-1.46,-0.74,-181.04,-81.1,-21.02
0.179,0.08,-1.12,-0.19,-73.65,-106.37,20.99
0.18,0.0,-0.98,-0.04,-103.74,-66.49,17.11
0.182,0.09,-1.01,-0.09,-92.61,-23.76,-5.48
0.184,0.27,-0.98,-0.04,-95.57,-12.69,0.55
0.186,0.11,-1.01,-0.07,-87.1,-62.03,36.4
0.188,-0.08,-1.04,-0.16,-83.57,-97.65,58.53
0.191,-0.23,-0.97,-0.06,-78.61,-82.26,41.16
0.192,-0.16,-0.99,-0.12,-76.05,-46.12,26.9
0.194,-0.2,-0.87,-0.01,-90.06,-44.64,27.68
0.196,-0.23,-0.86,-0.1,-112.67,-96.26,53.97
0.199,-0.11,-0.94,-0.22,-115.97,-116.55,67.34
0.201,-0.09,-0.93,-0.34,-108.61,-109.89,68.6
0.202,0.04,-0.77,-0.2,-122.2,-98.52,76.02
0.204,-0.24,-0.94,-0.46,-118.98,-78.73,82.67
0.206,-0.34,-0.85,-0.37,-115.92,-58.95,63.62
0.208,-0.61,-1.13,-0.69,-75.76,-48.81,24.02
0.21,-0.39,-0.98,-0.54,-45.48,-21.97,-24.6
0.212,-0.01,-0.84,-0.37,-47.47,-35.97,-7.5
0.214,0.01,-0.87,-0.39,-55.4,-48.63,23.73
0.216,0.04,-0.8,-0.29,-66.46,-27.01,45.1
0.218,-0.14,-0.99,-0.55,-55.1,-19.5,48.75
0.22,-0.4,-1.09,-0.69,-22.64,-5.82,23.01
0.221,-0.37,-0.91,-0.54,9.21,0.31,8.66
0.224,-0.39,-0.68,-0.31,-10.2,-19.1,23.47
0.225,-0.36,-0.88,-0.48,-21.95,-11.65,23.6
0.227,-0.45,-0.98,-0.52,-4.81,-2.63,13.48
0.229,-0.42,-0.81,-0.31,-2.89,-6.43,5.59
0.231,-0.39,-0.83,-0.39,-7.02,-10.08,7.94
0.233,-0.41,-0.9,-0.49,-1.02,-12.21,5.5
0.235,-0.35,-0.87,-0.43,3.88,-1.89,-0.79
0.237,-0.26,-0.84,-0.36,4.82,-4.64,3.57
0.238,-0.28,-0.83,-0.36,-1.07,-0.27,6.21
0.24,-0.31,-0.85,-0.46,0.29,4.44,6.72
0.242,-0.38,-0.89,-0.53,8.08,7.13,5.11
0.244,-0.4,-0.86,-0.43,14.34,7.02,0.72
0.246,-0.38,-0.82,-0.31,10.58,-1.83,1.24
0.248,-0.29,-0.83,-0.28,4.0,3.86,-0.03
0.25,-0.26,-0.86,-0.34,1.02,9.31,4.27
0.251,-0.32,-0.87,-0.4,4.79,12.47,5.25
0.253,-0.35,-0.88,-0.44,7.76,12.09,4.35
0.255,-0.37,-0.9,-0.44,13.25,14.08,0.44
0.257,-0.41,-0.85,-0.37,17.15,9.45,0.84
0.259,-0.43,-0.81,-0.31,5.63,5.59,0.75
0.261,-0.4,-0.85,-0.34,0.89,-1.8,1.31
0.262,-0.33,-0.87,-0.38,1.36,0.38,-1.05
0.264,-0.27,-0.89,-0.4,6.55,11.1,-0.06
0.266,-0.36,-0.86,-0.37,10.17,14.72,0.67
0.268,-0.42,-0.84,-0.36,7.91,4.06,0.47
0.27,-0.4,-0.81,-0.3,2.53,1.4,-3.24
0.271,-0.4,-0.88,-0.39,2.41,4.05,-6.32
0.274,-0.42,-0.95,-0.5,13.74,4.9,-16.12
0.276,-0.43,-0.91,-0.46,26.18,11.8,-27.31
