timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.003,0.06,-0.12,1.01,-4.38,-6.73,-2.87
0.012,0.08,-0.13,1.0,-3.22,-6.81,-2.14
0.019,0.1,-0.13,0.98,-0.98,-3.65,-1.21
0.024,0.1,-0.12,1.0,-0.23,0.41,-0.37
0.032,0.08,-0.12,1.0,-1.59,-0.05,-0.5
0.039,0.09,-0.11,1.0,-0.15,2.69,-1.21
0.044,0.07,-0.11,1.04,-2.0,-0.03,-1.74
0.049,0.07,-0.12,1.01,-1.34,0.5,-2.58
0.053,0.08,-0.1,1.01,-1.88,1.16,-2.27
0.057,0.06,-0.12,1.0,-1.63,-1.48,-3.5
0.062,0.08,-0.11,1.01,-1.74,0.24,-2.58
0.066,0.06,-0.11,1.0,-2.18,-1.01,-3.1
0.07,0.08,-0.1,1.0,-1.6,-0.05,-2.21
0.075,0.05,-0.12,1.01,-1.79,-1.69,-2.35
0.079,0.07,-0.12,1.0,-2.0,-1.01,-2.72
0.084,0.05,-0.11,1.04,-3.79,-5.73,-3.54
0.088,0.1,-0.13,1.02,-4.38,-6.72,-4.03
0.093,0.09,-0.11,1.01,-4.69,-6.21,-2.69
0.096,0.04,-0.1,1.04,-8.72,-10.46,-5.15
0.098,0.06,-0.1,1.02,-14.23,-9.62,-7.71
0.1,0.04,-0.11,0.97,-14.55,-6.72,-9.24
0.102,0.06,-0.08,1.05,-14.92,-0.4,-10.11
0.105,-0.06,-0.09,1.06,-21.3,5.28,-15.11
0.108,-0.17,-0.1,1.13,-25.1,10.34,-29.92
0.109,-0.2,-0.11,1.15,-38.11,19.44,-53.94
0.112,-0.22,-0.1,1.1,-40.35,10.85,-66.05
0.114,-0.22,-0.07,1.17,-39.8,-3.89,-74.92
0.115,-0.08,0.0,0.98,-31.5,-17.98,-77.19
0.117,0.03,-0.02,0.97,-15.79,-30.58,-61.63
0.119,-0.14,-0.05,1.03,-18.12,-45.98,-61.54
0.121,-0.24,-0.05,1.09,-32.63,-56.84,-87.62
0.123,-0.13,-0.06,1.11,-53.42,-40.85,-111.69
0.125,0.03,-0.04,1.11,-77.91,-30.66,-127.05
0.127,0.16,-0.06,1.09,-84.44,-43.69,-131.74
0.129,0.25,-0.02,1.01,-74.02,-47.98,-130.4
0.13,0.33,-0.02,0.92,-58.14,-68.27,-122.76
0.132,0.3,-0.09,0.82,-52.24,-63.3,-123.31
0.134,0.42,-0.11,0.87,-53.94,-63.01,-128.55
0.136,0.38,-0.14,1.04,-57.5,-102.79,-117.92
0.138,0.58,-0.1,0.79,-62.81,-91.25,-112.4
0.14,0.53,-0.11,0.85,-74.53,-51.02,-102.99
0.142,0.43,-0.11,0.85,-84.92,-44.43,-98.14
0.144,0.45,-0.23,0.78,-76.17,7.79,-97.89
0.146,0.36,-0.25,0.8,-54.15,14.34,-104.03
0.148,0.46,-0.25,0.85,-34.89,19.08,-107.85
0.149,0.58,-0.23,0.93,-35.97,7.33,-106.72
0.151,0.6,-0.21,0.92,-57.95,2.81,-97.5
0.153,0.6,-0.26,0.87,-70.96,5.02,-94.24
0.155,0.56,-0.24,0.94,-70.11,23.44,-106.05
0.157,0.63,-0.23,0.93,-72.34,33.21,-110.53
0.159,0.65,-0.22,0.88,-83.22,40.81,-106.87
0.161,0.66,-0.25,0.75,-86.63,52.24,-98.46
0.163,0.64,-0.27,0.7,-73.51,57.44,-96.44
0.165,0.52,-0.27,0.75,-53.19,62.56,-102.31
0.166,0.5,-0.25,0.77,-33.95,62.66,-113.73
0.168,0.48,-0.24,0.83,-37.48,56.34,-119.63
0.17,0.53,-0.26,0.86,-51.34,41.28,-121.59
0.172,0.53,-0.24,0.84,-60.56,37.69,-120.9
0.174,0.49,-0.18,0.85,-58.03,41.62,-124.38
0.176,0.48,-0.2,0.78,-62.02,78.35,-133.04
0.178,0.56,-0.19,0.8,-48.26,100.9,-135.82
0.18,0.54,-0.16,0.87,-42.76,133.39,-129.05
0.182,0.5,-0.17,0.98,-42.05,127.62,-123.44
0.184,0.48,-0.25,0.92,-42.76,91.63,-117.8
0.19,0.49,-0.18,0.94,-46.6,62.32,-110.49
0.192,0.51,-0.22,0.87,-36.55,69.33,-110.15
0.194,0.44,-0.24,0.99,-38.09,85.34,-105.48
0.195,0.22,-0.24,1.03,-41.47,77.88,-104.5
0.197,0.31,-0.22,0.81,-30.14,28.64,-105.91
0.199,0.36,-0.2,0.85,-46.0,56.12,-110.67
0.201,0.39,-0.2,0.84,-37.8,91.44,-108.15
0.203,0.4,-0.22,0.91,-43.98,80.52,-97.47
0.205,0.47,-0.23,0.92,-3.59,9.16,-78.67
0.207,0.42,-0.22,0.93,-13.56,7.42,-66.7
0.209,0.33,-0.25,0.96,-22.38,10.03,-62.41
0.211,0.2,-0.27,0.95,-15.44,-1.65,-69.44
0.213,0.33,-0.21,0.94,-20.12,10.31,-73.66
0.215,0.4,-0.16,0.97,-21.98,24.11,-71.1
0.217,0.44,-0.12,1.03,-22.26,8.98,-60.26
0.219,0.5,-0.14,0.96,-14.89,-33.57,-53.37
0.221,0.56,-0.14,0.9,-14.14,-32.66,-39.19
0.223,0.54,-0.16,0.76,-9.56,-31.36,-29.94
0.225,0.43,-0.18,0.73,-4.5,-33.28,-28.67
0.227,0.39,-0.21,0.77,2.9,-23.22,-34.82
0.228,0.43,-0.2,0.84,8.67,-5.36,-41.95
0.23,0.44,-0.22,0.9,12.93,-7.02,-42.05
0.232,0.51,-0.2,0.96,5.6,1.8,-35.21
0.234,0.52,-0.17,0.86,-6.29,2.43,-31.3
0.236,0.5,-0.17,0.82,0.78,-7.01,-26.11
0.238,0.54,-0.15,0.76,10.32,-5.15,-22.61
0.24,0.57,-0.12,0.81,18.47,3.53,-20.03
0.241,0.54,-0.14,0.88,22.78,17.33,-14.09
0.243,0.51,-0.15,0.97,18.95,22.6,-7.86
0.245,0.36,-0.16,1.05,9.22,5.66,-7.83
0.247,0.41,-0.18,1.01,1.42,-9.85,-10.15
0.249,0.43,-0.18,0.95,-3.18,-8.23,-7.95
0.251,0.43,-0.2,0.9,-6.12,-1.48,-7.28
0.253,0.44,-0.2,0.91,-5.36,7.62,-6.14
0.254,0.44,-0.2,0.94,-0.09,0.05,-3.39
0.257,0.39,-0.19,0.97,2.53,-13.04,-2.76
0.259,0.37,-0.17,1.0,-1.24,-8.63,-8.46
0.26,0.42,-0.16,0.95,-6.03,3.16,-10.24
0.262,0.42,-0.14,0.96,-5.59,-3.66,-8.55
0.264,0.42,-0.12,0.95,-3.33,-12.84,-6.53
0.266,0.44,-0.15,0.96,-5.11,-17.1,-3.48
0.268,0.45,-0.16,0.92,-7.1,-17.57,-1.62
0.27,0.41,-0.15,0.89,-8.23,-18.72,-1.07
0.272,0.37,-0.17,0.9,-6.58,-11.05,-4.63
0.274,0.38,-0.18,0.89,-4.4,-3.5,-10.12
0.275,0.4,-0.18,0.92,-0.98,-3.42,-11.57
0.277,0.46,-0.18,0.91,1.05,-6.03,-11.05
0.279,0.43,-0.17,0.97,1.13,-5.21,-9.07
0.281,0.4,-0.15,0.96,-2.56,0.56,-12.21
0.283,0.47,-0.15,0.93,-1.39,6.72,-13.25
0.285,0.49,-0.15,0.9,1.02,11.04,-11.97
0.286,0.49,-0.15,0.9,5.02,12.26,-9.48
0.288,0.49,-0.14,0.91,8.72,10.43,-7.44
0.291,0.51,-0.13,0.93,11.07,12.37,-4.56
0.292,0.45,-0.15,0.94,9.8,7.97,-1.89
0.294,0.45,-0.14,0.94,8.7,7.54,-1.57
0.296,0.42,-0.13,0.98,6.06,8.63,-2.67
0.298,0.42,-0.14,0.98,2.5,7.28,-2.9
0.3,0.41,-0.14,0.94,0.7,-3.57,-3.01
0.302,0.44,-0.14,0.92,1.34,-12.38,-2.0
0.304,0.43,-0.13,0.92,2.93,-7.3,-1.07
0.306,0.42,-0.14,0.94,3.53,-1.83,-0.69
0.308,0.41,-0.14,0.96,0.56,-4.37,-3.62
0.31,0.45,-0.13,0.95,-1.62,-4.56,-4.49
0.311,0.47,-0.13,0.95,-1.42,-0.79,-2.15
0.313,0.47,-0.12,0.97,-3.24,-0.27,0.41
0.315,0.47,-0.12,0.96,-6.87,-2.43,2.76
0.317,0.45,-0.14,0.92,-7.11,-6.32,5.69
0.319,0.43,-0.15,0.92,-6.29,-7.86,5.92
0.321,0.44,-0.15,0.91,-7.63,-5.59,4.47
0.323,0.46,-0.14,0.9,-6.95,-4.02,4.75
0.325,0.47,-0.14,0.9,-5.11,-3.68,4.75
0.327,0.49,-0.13,0.9,-2.38,0.55,6.6
0.329,0.53,-0.12,0.91,-2.31,5.94,11.53
0.33,0.48,-0.15,0.91,-1.68,-0.15,14.98
0.344,0.45,-0.17,0.89,-1.13,-11.62,16.98
0.362,0.44,-0.18,0.9,0.09,-12.27,15.42
0.385,0.45,-0.16,0.92,0.95,-0.08,11.77
0.404,0.5,-0.13,0.97,-1.59,16.32,11.73
0.423,0.53,-0.15,0.98,-3.95,17.05,15.6
0.446,0.51,-0.15,1.0,2.21,0.63,20.11
0.464,0.57,-0.14,0.97,0.02,-1.01,25.71
0.483,0.59,-0.16,0.93,-0.14,4.89,34.67
0.506,0.53,-0.15,0.9,0.08,11.08,40.46
0.524,0.49,-0.17,0.91,2.41,13.34,42.44
0.542,0.51,-0.18,0.9,4.99,11.63,45.62
0.566,0.43,-0.18,0.88,7.86,6.24,50.12
0.585,0.37,-0.18,0.95,6.09,-0.63,51.36
0.604,0.3,-0.2,0.96,-2.7,-1.02,43.95
0.627,0.32,-0.22,0.92,-6.93,-0.37,35.71
0.645,0.41,-0.21,0.88,-4.99,0.67,31.11
0.664,0.5,-0.2,0.85,-3.28,3.92,34.44
0.687,0.51,-0.22,0.83,4.23,5.18,42.69
0.706,0.46,-0.22,0.83,11.36,-0.18,47.98
0.724,0.42,-0.21,0.84,14.24,1.59,50.87
0.743,0.36,-0.22,0.87,15.33,6.46,50.64
0.765,0.32,-0.22,0.92,15.62,2.31,50.29
0.784,0.31,-0.22,0.98,14.64,-0.02,48.93
0.804,0.33,-0.22,1.05,7.51,10.31,48.44
0.826,0.32,-0.22,1.05,-2.18,5.05,47.95
0.845,0.28,-0.24,1.0,-1.79,-16.49,49.07
0.864,0.3,-0.23,0.91,0.43,-38.34,50.27
0.886,0.32,-0.22,0.87,0.55,-44.37,49.94
0.905,0.29,-0.24,0.84,4.02,-36.75,45.42
