timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.007,0.18,-0.05,0.99,-2.29,-15.24,-2.98
0.011,0.16,-0.04,0.98,1.71,-7.4,-1.5
0.016,0.14,-0.02,1.02,1.97,6.29,-6.66
0.02,0.13,-0.01,1.06,-0.63,7.47,-10.14
0.024,0.16,-0.03,1.07,-3.15,0.72,-6.06
0.029,0.18,-0.03,1.03,-3.77,-7.54,-3.88
0.033,0.19,-0.03,1.02,-4.63,1.82,-0.78
0.037,0.17,-0.04,0.99,-1.02,2.08,0.32
0.042,0.17,-0.02,1.0,1.05,5.4,1.13
0.046,0.16,-0.04,1.01,3.89,9.19,2.32
0.05,0.15,-0.01,1.11,0.5,22.29,0.81
0.055,0.15,0.0,1.13,-5.76,14.11,2.02
0.059,0.13,-0.02,1.11,-13.11,0.03,2.95
0.063,0.14,-0.05,1.0,-14.75,-2.61,1.54
0.067,0.15,-0.03,0.97,-12.09,6.53,-0.82
0.07,0.15,-0.01,1.02,-10.15,8.79,-0.31
0.072,0.16,-0.02,1.07,-8.06,7.28,-0.75
0.073,0.17,-0.01,1.15,-12.14,-5.57,4.69
0.075,0.17,0.01,1.18,-11.34,-13.37,11.31
0.077,0.13,0.0,1.16,-16.75,-15.25,13.74
0.079,0.06,-0.02,1.07,-18.5,-14.52,7.36
0.081,0.18,-0.05,1.04,-18.99,-12.82,5.13
0.083,0.28,-0.02,1.04,-21.02,-10.85,13.19
0.085,0.26,-0.01,1.17,-24.08,-4.41,24.26
0.087,0.16,-0.07,1.13,-18.79,-6.76,24.84
0.089,0.18,-0.03,1.15,-24.53,-14.99,19.36
0.09,0.22,0.02,1.3,-47.11,20.18,26.89
0.092,0.21,0.01,1.16,-63.59,4.46,31.45
0.094,0.3,-0.07,0.99,-60.96,-42.87,49.21
0.096,0.22,-0.15,0.91,-71.31,-27.83,57.94
0.098,0.22,-0.17,0.9,-62.84,-18.31,54.0
0.1,0.22,-0.18,1.03,-66.52,-28.21,59.25
0.102,0.2,-0.27,0.92,-71.44,-60.44,54.52
0.104,0.46,-0.2,0.83,-52.32,-81.69,68.34
