timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.004,0.09,-0.36,0.91,2.26,-5.79,14.79
0.01,0.03,-0.37,0.93,6.18,-20.32,16.37
0.016,0.08,-0.39,0.94,14.03,-21.44,11.07
0.022,0.06,-0.34,0.88,15.1,-10.46,1.8
0.028,0.15,-0.31,0.95,8.76,-6.52,-2.18
0.032,0.19,-0.3,0.92,5.68,-5.01,-2.99
0.036,0.16,-0.3,0.98,10.05,-1.44,4.47
0.041,0.22,-0.29,0.92,15.68,-12.99,8.26
0.045,0.13,-0.25,0.96,15.1,-13.92,10.7
0.049,0.08,-0.27,1.0,12.47,-18.21,9.13
0.053,0.18,-0.27,1.0,2.7,-13.65,-0.43
0.057,0.26,-0.25,0.94,-5.62,-7.39,-6.69
0.061,0.23,-0.29,0.9,-9.27,4.29,0.31
0.066,0.1,-0.31,0.93,-5.34,5.95,8.32
0.073,0.11,-0.3,0.9,-3.66,-0.87,7.47
0.077,0.06,-0.31,0.99,3.11,-6.85,7.3
0.084,0.09,-0.3,1.01,12.72,-12.17,6.02
0.09,0.02,-0.28,1.08,16.72,-3.45,9.54
0.094,0.05,-0.28,1.07,10.69,-5.89,8.89
0.098,0.05,-0.29,1.03,-0.03,-4.11,1.82
0.1,0.08,-0.3,1.04,-7.98,-8.27,-4.29
0.102,0.08,-0.3,1.06,-10.92,0.76,-7.94
0.104,0.09,-0.32,1.03,-9.51,1.3,-5.57
0.106,0.05,-0.29,1.05,-6.69,1.1,-5.37
0.109,0.07,-0.3,1.03,-5.77,-4.15,-4.96
0.111,0.11,-0.28,1.05,-4.08,-12.2,-7.95
0.113,0.16,-0.28,0.99,-5.88,-14.17,-8.43
0.115,0.18,-0.3,1.01,-8.4,-9.22,-11.45
0.117,0.21,-0.31,0.98,-10.12,-5.57,-12.18
0.119,0.12,-0.29,1.02,-11.07,-0.98,-12.38
0.121,0.18,-0.32,0.97,-13.11,-7.07,-14.03
0.122,0.22,-0.3,0.96,-13.47,-7.48,-20.21
0.124,0.21,-0.3,0.97,-8.98,-1.97,-18.53
0.126,0.25,-0.3,0.96,-7.1,3.48,-17.5
0.128,0.21,-0.32,0.96,-6.87,2.66,-12.52
0.13,0.22,-0.35,0.93,-7.63,-2.14,-10.69
0.132,0.2,-0.31,0.97,-8.27,-0.61,-13.65
0.134,0.22,-0.3,0.89,-7.63,-0.85,-13.53
0.136,0.22,-0.32,0.92,-8.75,4.27,-15.05
0.138,0.2,-0.36,0.93,-7.39,7.71,-11.57
0.139,0.16,-0.38,0.91,-6.11,19.95,-13.25
0.141,0.11,-0.36,0.9,-5.56,19.45,-16.93
