timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.009,0.26,0.17,0.98,0.46,1.01,-2.02
0.016,0.26,0.18,0.97,-2.17,-1.71,-3.21
0.021,0.26,0.18,0.95,0.49,-2.46,-3.42
0.026,0.26,0.19,0.98,-1.89,-2.49,-2.52
0.031,0.27,0.17,0.95,-0.61,-2.24,-1.89
0.036,0.28,0.18,0.98,-0.06,-1.77,-1.4
0.04,0.27,0.18,0.95,0.78,0.12,-0.69
0.045,0.25,0.17,0.95,3.6,-1.47,-1.54
0.049,0.25,0.18,0.99,2.53,-1.01,-3.5
0.054,0.29,0.19,1.02,-2.46,2.18,-2.5
0.058,0.24,0.17,0.97,-1.53,-1.16,-2.61
0.064,0.26,0.18,0.98,-0.73,-3.54,-4.58
0.069,0.27,0.19,0.96,-0.81,-2.21,-4.66
0.074,0.26,0.18,0.93,2.38,-2.89,-4.2
0.078,0.28,0.19,0.97,0.81,-1.88,-4.66
0.082,0.29,0.2,0.98,0.26,-0.06,-1.88
0.087,0.26,0.18,0.99,-0.6,-1.6,-1.47
0.091,0.26,0.18,0.97,-0.67,-3.97,-3.16
0.096,0.28,0.2,1.0,-5.95,-2.81,-3.08
0.1,0.27,0.18,0.97,-5.6,-0.96,-2.72
0.105,0.26,0.18,0.96,-3.98,-2.89,-3.77
0.109,0.28,0.18,0.97,-3.69,-2.2,-4.43
0.112,0.3,0.18,0.97,-4.15,-2.37,-2.31
0.114,0.29,0.19,0.97,-0.4,-1.22,-1.68
0.116,0.31,0.21,1.0,1.31,-4.12,1.82
0.118,0.4,0.25,1.12,6.56,-2.6,11.4
0.12,0.3,0.23,1.11,4.4,-4.12,19.11
0.122,0.26,0.21,1.15,7.36,4.49,16.96
0.124,0.2,0.19,1.15,2.63,5.19,8.67
0.126,0.23,0.2,1.19,5.51,0.56,0.11
0.128,0.36,0.24,1.3,6.37,-8.4,5.28
0.13,0.38,0.21,1.34,2.63,-14.47,13.59
0.132,0.38,0.21,1.34,-6.38,-3.27,17.95
0.134,0.36,0.17,1.3,-9.21,6.24,18.7
0.136,0.31,0.14,1.38,-18.53,8.26,17.3
0.138,0.38,0.17,1.38,-33.25,15.88,16.76
0.14,0.43,0.2,1.36,-26.93,31.59,26.99
0.142,0.4,0.22,1.43,-36.7,46.85,36.24
0.144,0.45,0.19,1.27,-37.42,84.7,34.38
0.146,0.3,0.05,1.27,-34.5,45.74,27.22
0.148,0.32,0.09,1.27,-39.86,30.21,35.27
0.15,0.28,0.17,1.26,-41.68,24.26,42.76
0.152,0.26,0.15,1.36,-37.11,46.79,43.92
0.154,0.18,0.11,1.32,-41.91,54.69,38.09
0.156,0.12,0.05,1.24,-42.79,30.47,31.47
