timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.006,0.14,-0.28,0.93,-3.83,5.86,-7.31
0.015,0.15,-0.28,0.94,-1.44,4.29,-9.1
0.023,0.13,-0.28,0.91,-1.86,4.0,-6.24
0.031,0.14,-0.28,0.92,-0.37,6.5,-5.57
0.038,0.15,-0.29,0.92,-2.02,8.09,-2.29
0.044,0.11,-0.3,0.91,-1.02,8.05,-0.87
0.049,0.06,-0.3,0.97,4.14,8.34,2.56
0.053,0.1,-0.29,0.94,3.51,4.23,-2.98
0.057,0.09,-0.29,0.96,4.06,2.23,-6.09
0.061,0.11,-0.29,0.98,4.9,3.56,-4.87
0.066,0.1,-0.31,0.97,0.89,-2.52,-6.66
0.07,0.08,-0.3,1.01,3.44,-1.28,-3.08
0.075,0.14,-0.3,1.01,0.29,-4.12,-4.23
0.08,0.09,-0.3,1.03,-1.13,-1.31,-1.66
0.085,0.11,-0.29,1.0,-3.44,0.78,1.33
0.089,0.09,-0.29,1.01,-3.65,1.28,1.44
0.094,0.07,-0.32,1.02,-1.59,1.69,4.67
0.1,0.09,-0.32,1.01,-2.89,-2.06,2.69
0.104,0.05,-0.3,1.05,0.95,-3.92,2.56
0.11,0.05,-0.29,1.01,-1.73,-7.63,2.05
0.114,0.04,-0.28,1.03,-2.5,-8.67,-0.56
0.118,0.08,-0.25,0.99,-4.85,-9.36,-0.17
0.121,0.09,-0.21,1.01,-6.82,-12.89,0.6
0.124,0.08,-0.16,0.99,-6.72,-12.21,5.27
0.127,0.12,-0.17,1.02,-5.53,-18.58,7.88
0.13,0.09,-0.21,0.95,-0.82,-22.34,12.7
0.132,0.06,-0.23,0.95,7.56,-25.36,19.56
0.134,-0.04,-0.33,0.94,10.26,-23.88,21.95
0.136,-0.05,-0.56,0.85,21.79,-25.21,18.27
0.138,-0.19,-0.65,0.92,47.83,-22.23,10.46
0.14,-0.14,-0.54,1.0,68.37,-32.49,-7.8
0.142,-0.14,-0.41,1.05,59.42,-36.55,-20.31
0.145,-0.16,-0.29,1.11,36.0,-24.96,-27.71
0.146,0.08,-0.18,1.08,27.11,-25.31,-41.1
0.148,0.29,-0.03,1.15,30.0,-20.67,-52.78
0.15,0.3,0.06,1.14,13.31,-12.06,-38.87
0.152,0.21,0.11,1.09,0.12,4.38,-17.97
0.154,0.14,0.12,1.01,2.49,6.0,-5.54
0.155,0.02,0.06,0.97,11.69,5.8,5.68
0.157,0.02,0.01,0.98,23.21,1.42,8.4
0.159,0.11,0.02,0.97,24.11,-15.01,-2.92
0.161,0.01,0.01,1.13,12.06,-6.11,0.81
