timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.003,0.11,-0.05,1.11,-1.24,4.29,-7.79
0.011,0.1,-0.07,1.06,-8.29,6.0,-3.25
0.017,0.04,-0.04,1.03,-10.2,7.1,-1.69
0.022,0.03,-0.13,1.01,-1.42,-4.2,-6.98
0.027,0.02,-0.12,1.0,4.87,-6.2,-8.73
0.031,0.08,-0.09,1.03,6.21,-3.6,-7.53
0.035,0.04,-0.09,1.07,7.37,-6.2,-5.89
0.038,0.09,-0.08,1.07,2.85,-8.44,-4.14
0.042,0.07,-0.09,1.06,-5.33,2.06,-3.69
0.045,0.1,-0.09,1.04,-11.98,3.65,-4.93
0.047,0.06,-0.11,1.0,-9.6,4.82,-1.33
0.05,0.06,-0.12,0.95,0.14,-8.24,-4.06
0.051,0.08,-0.11,0.94,8.63,-5.91,0.11
0.054,0.0,-0.09,1.03,9.59,-10.09,-5.31
0.056,0.11,-0.08,0.97,6.64,-0.18,-3.22
0.058,0.02,-0.07,1.04,5.66,3.86,-1.63
0.064,0.03,-0.06,1.09,1.71,0.09,-7.53
0.066,0.05,-0.06,1.08,0.82,-3.71,-0.27
0.068,0.0,-0.07,1.05,-4.44,-1.18,1.74
0.07,-0.01,-0.1,1.0,-3.47,-9.44,1.39
0.072,-0.06,-0.08,0.98,-3.37,-5.85,3.07
0.075,-0.1,-0.1,1.02,-1.05,-14.12,-3.94
0.077,-0.05,-0.1,0.99,-0.14,-11.79,-2.73
0.079,-0.04,-0.12,1.02,-3.88,-10.93,-2.41
0.081,-0.07,-0.11,0.98,-0.29,-14.95,-2.29
0.084,-0.1,-0.11,0.96,9.34,-25.77,-7.73
0.086,-0.04,-0.07,0.96,6.47,-23.31,-7.25
0.088,-0.04,-0.08,0.98,4.9,-21.3,-11.04
0.09,0.01,-0.1,0.94,6.03,-22.93,-9.62
0.092,-0.0,-0.12,0.91,9.19,-22.2,-9.54
0.094,-0.03,-0.11,0.9,13.88,-13.19,-11.51
0.096,-0.1,-0.11,0.92,21.53,-13.65,-23.85
0.098,-0.07,-0.07,0.99,27.77,-18.67,-33.13
0.1,0.01,-0.05,1.03,31.3,-20.44,-38.66
0.102,0.09,0.01,1.03,27.08,-21.79,-29.69
0.104,0.07,0.05,1.01,28.15,-28.79,-23.56
0.106,0.12,0.16,0.99,23.11,-26.37,-18.4
0.108,0.08,0.15,1.04,20.08,-23.27,-14.72
0.11,0.15,0.08,1.06,28.7,-29.07,-17.86
0.112,0.17,0.11,1.06,17.05,-26.85,-12.08
0.114,0.15,0.08,1.11,6.53,-34.31,-16.7
0.116,0.29,0.12,1.02,-8.38,-23.97,-7.63
0.118,0.27,0.01,1.01,-13.92,-20.67,-15.24
0.12,0.36,0.01,0.97,-20.03,-5.5,-13.98
0.122,0.35,0.02,0.94,-18.84,6.11,-10.08
0.124,0.4,-0.03,0.91,-8.0,5.42,-7.08
0.126,0.32,-0.09,0.96,-2.64,-13.5,-18.49
0.128,0.47,-0.09,1.0,0.93,-16.49,-25.92
0.13,0.52,-0.01,1.02,-5.98,7.57,-24.06
0.132,0.52,0.02,1.05,-16.79,32.73,-21.11
0.134,0.54,0.05,0.95,-18.18,45.37,-11.31
0.136,0.45,0.12,1.01,-16.35,39.56,-1.53
0.138,0.22,0.13,1.08,-12.29,14.15,-6.67
0.14,0.23,0.1,1.12,-14.14,13.66,-6.72
0.142,0.23,0.11,1.08,-18.34,11.45,-3.37
0.145,0.2,0.12,1.03,-15.01,8.96,5.11
0.146,0.14,0.1,1.05,-9.44,13.53,11.82
0.148,0.09,0.09,1.07,-5.16,9.07,22.46
0.15,-0.01,0.08,0.99,-5.88,1.39,23.74
0.152,-0.06,0.02,0.97,-4.6,-10.5,18.31
0.154,-0.04,-0.01,0.91,-2.14,-46.21,2.47
0.156,0.16,-0.11,0.93,1.5,-49.57,5.59
0.159,0.19,-0.11,0.92,-7.1,-42.03,-2.55
0.161,0.25,-0.06,0.92,-12.5,-21.3,-4.98
0.162,0.31,-0.1,0.91,-7.59,-16.35,0.44
0.164,0.44,-0.17,0.87,-9.6,-12.9,6.02
0.166,0.38,-0.16,0.92,-2.44,-13.62,5.65
0.168,0.36,-0.2,0.94,8.72,-30.15,-11.21
0.17,0.56,-0.15,0.84,-2.6,-17.77,-16.11
0.171,0.58,-0.19,0.82,-0.92,8.12,-16.92
0.173,0.61,-0.14,0.87,12.72,11.3,-14.06
0.175,0.55,-0.05,0.93,18.72,5.48,-11.97
0.177,0.6,0.03,0.97,16.34,17.62,-10.89
0.179,0.62,0.09,1.02,9.42,24.99,-0.63
0.181,0.51,0.08,1.08,10.06,26.99,12.14
0.183,0.44,0.04,1.1,8.64,24.2,16.38
0.185,0.42,0.03,1.08,-1.4,26.44,19.57
0.187,0.38,-0.08,1.03,-8.05,22.55,22.4
0.189,0.41,-0.11,0.99,-3.08,15.54,26.17
0.191,0.42,-0.13,0.98,4.87,15.94,32.79
0.193,0.33,-0.13,1.01,4.7,24.4,30.26
0.194,0.34,-0.17,1.0,0.85,26.89,27.02
0.196,0.3,-0.14,0.99,-2.05,25.88,29.27
0.198,0.17,-0.17,0.98,2.41,27.91,27.98
0.2,0.1,-0.15,1.02,4.11,19.98,21.8
0.202,0.12,-0.09,1.02,-2.29,24.37,13.86
0.204,0.15,-0.07,0.97,-3.83,30.15,14.64
0.206,0.16,-0.07,0.99,-0.09,31.73,22.73
0.208,0.08,-0.05,0.99,8.18,22.63,30.34
0.21,-0.04,-0.07,1.05,11.05,2.7,25.95
0.212,-0.09,-0.07,1.1,5.86,-16.21,9.92
0.213,0.03,-0.06,1.09,-7.74,-12.61,0.73
0.215,0.08,-0.09,1.06,-19.19,-21.13,0.76
0.217,0.13,-0.1,0.99,-12.93,-25.62,6.64
0.219,0.06,-0.01,1.0,-10.24,-12.32,4.43
0.221,0.01,-0.07,1.06,-19.48,-9.97,-5.85
0.223,0.09,-0.08,1.04,-17.13,-14.75,-7.95
0.225,0.22,-0.1,1.0,-13.76,-18.66,-4.27
0.227,0.29,-0.08,1.06,0.69,-19.25,4.17
0.228,0.44,0.08,1.3,-43.45,-99.56,-1.48
0.23,0.06,-0.03,1.19,-55.76,-24.49,-3.39
0.232,0.24,-0.05,1.09,-67.63,5.56,-1.42
