timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.003,0.89,0.38,0.38,-2.58,-0.75,-1.76
0.008,0.88,0.36,0.4,-2.75,0.53,-2.17
0.011,0.91,0.42,0.32,8.56,-3.95,2.37
0.014,0.87,0.38,0.35,41.11,-26.35,19.4
0.016,0.91,0.42,0.24,63.51,-81.86,53.07
0.018,0.93,0.58,0.24,64.53,-80.95,75.21
0.02,0.8,0.79,0.02,-13.07,-22.12,9.22
0.022,0.85,0.33,0.22,-83.92,90.79,113.74
0.024,0.84,0.18,0.23,-139.5,187.95,-63.28
0.026,1.22,-0.75,0.79,-151.74,108.49,63.08
0.028,0.74,0.12,0.63,-26.47,223.31,122.58
0.03,0.47,0.51,0.87,-10.2,404.75,-185.5
0.032,0.68,0.24,0.69,21.22,238.55,-4.61
0.034,0.83,0.12,0.74,1.88,45.04,205.11
0.037,0.47,0.38,0.94,33.54,88.21,-148.02
0.039,0.89,-0.12,1.49,-8.29,-134.03,47.25
0.041,0.33,0.57,1.02,-198.5,-500.27,-97.15
0.042,0.68,0.59,0.69,131.98,132.61,-112.64
0.045,1.02,0.16,0.62,-8.29,128.63,-28.63
0.047,0.82,0.11,0.99,-45.97,-35.3,158.31
0.049,0.58,0.14,0.9,3.63,-50.55,140.58
0.051,0.72,0.5,0.36,125.66,-35.97,92.05
0.053,0.72,0.45,0.52,13.91,-7.85,162.06
0.055,0.93,-0.66,0.47,-56.75,2.24,244.0
0.057,0.86,-0.38,0.41,-57.98,-8.43,-153.08
0.059,-0.97,0.89,1.05,-64.31,-69.19,-500.27
0.061,0.21,0.57,1.01,126.61,221.89,-480.96
0.063,1.06,0.09,0.68,-56.69,-213.13,269.59
0.065,0.65,0.28,0.54,-14.41,-93.42,70.34
0.066,0.84,0.24,0.62,-3.95,-37.45,-11.48
0.069,0.82,0.17,0.51,11.98,-35.76,61.44
0.071,0.59,0.35,0.68,-6.32,40.96,-17.5
0.072,0.72,0.29,0.72,-19.59,36.75,22.0
0.074,0.74,0.53,0.66,-19.28,-3.63,39.25
0.077,0.71,0.42,0.55,-28.9,11.69,8.24
0.078,0.74,0.2,0.74,-57.65,9.8,53.11
0.08,0.9,-0.39,0.89,-74.46,-82.0,87.39
0.082,1.01,0.99,0.75,41.85,-119.53,-303.01
0.084,0.76,0.47,0.66,4.27,-68.15,-197.95
0.087,0.66,0.31,0.64,-84.56,23.66,92.5
0.089,1.14,0.21,0.64,-59.88,-42.37,49.48
0.091,1.3,0.39,0.71,-45.83,-67.36,70.53
0.093,1.3,-0.04,0.55,-64.29,-40.37,178.7
0.095,1.06,0.26,0.47,-49.08,43.45,187.07
0.097,0.21,0.41,0.65,-12.31,221.5,183.25
0.099,0.18,-0.26,0.81,-59.86,233.51,128.5
0.101,1.09,0.09,0.71,-93.33,-1.69,71.83
0.103,0.99,-0.0,0.79,-53.48,-33.63,39.62
0.108,1.29,-0.05,0.87,-90.78,11.24,83.28
0.113,0.42,-0.16,0.97,-19.42,212.0,231.3
0.115,-0.41,-0.44,-0.32,-68.46,273.63,171.31
0.119,0.97,-0.25,0.66,79.54,6.12,-21.16
0.122,0.47,0.16,0.73,70.34,44.73,-108.53
