timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.006,0.3,-0.46,0.83,-1.3,2.6,-6.44
0.014,0.39,-0.5,0.83,-3.73,-8.96,-9.68
0.023,0.37,-0.5,0.81,-0.44,2.53,-9.08
0.03,0.33,-0.45,0.86,3.22,8.72,-4.63
0.035,0.26,-0.44,0.85,4.9,3.73,1.37
0.04,0.3,-0.5,0.8,0.78,-4.38,0.98
0.046,0.37,-0.52,0.82,-0.55,-5.83,-6.5
0.051,0.34,-0.47,0.91,2.79,0.21,-7.19
0.055,0.28,-0.44,0.86,-3.88,11.68,-1.37
0.059,0.34,-0.48,0.85,-8.03,1.69,-2.52
0.064,0.37,-0.5,0.8,-8.64,-10.08,-3.31
0.069,0.34,-0.52,0.8,-7.82,-1.34,-2.29
0.073,0.29,-0.48,0.84,1.66,-4.56,1.4
0.077,0.3,-0.47,0.81,3.31,-5.63,2.06
0.082,0.33,-0.51,0.81,2.93,-6.44,-1.24
0.086,0.33,-0.47,0.83,4.17,-1.33,-5.16
0.091,0.3,-0.45,0.86,6.14,4.52,-4.61
0.095,0.32,-0.46,0.87,7.82,-1.57,-3.28
0.098,0.34,-0.47,0.86,4.08,3.5,-3.98
0.1,0.32,-0.46,0.87,3.08,3.71,-3.42
0.102,0.3,-0.45,0.81,-2.23,4.09,-2.02
0.103,0.3,-0.49,0.82,-3.01,-4.73,-1.69
0.105,0.33,-0.48,0.82,0.95,-8.99,-2.4
0.107,0.3,-0.45,0.81,3.01,0.63,-3.89
0.109,0.32,-0.45,0.81,5.8,1.69,-4.79
0.111,0.33,-0.45,0.79,5.36,-1.05,-5.65
0.113,0.33,-0.44,0.77,7.44,-3.28,-4.95
0.115,0.32,-0.4,0.83,15.34,-1.56,-5.15
0.117,0.34,-0.39,0.81,18.55,-3.6,-4.79
0.119,0.33,-0.3,0.85,23.11,-2.34,-2.56
0.12,0.36,-0.37,0.8,26.09,-14.5,1.83
0.122,0.32,-0.34,0.82,30.18,-3.37,4.37
0.124,0.29,-0.3,0.83,26.35,-2.35,10.37
0.126,0.27,-0.35,0.75,29.21,-1.15,14.37
0.128,0.2,-0.33,0.76,38.0,0.63,14.7
0.13,0.13,-0.32,0.8,39.21,5.69,7.56
0.132,0.24,-0.31,0.85,38.27,10.03,-12.69
0.134,0.25,-0.32,0.94,45.01,26.38,-13.27
0.135,0.23,-0.26,0.89,37.79,32.4,-6.53
0.137,0.26,-0.2,0.84,14.67,34.41,-1.95
0.139,0.28,-0.19,0.76,-5.8,14.26,0.55
0.141,0.16,-0.32,0.72,-16.0,11.65,2.09
0.143,0.08,-0.29,0.8,-5.19,14.29,-4.27
0.144,0.27,-0.17,0.8,2.85,20.93,-22.58
0.146,0.26,-0.15,0.77,-9.6,48.21,-21.77
0.149,0.2,-0.25,0.7,-24.4,41.45,-2.82
0.15,0.12,-0.34,0.71,-15.65,17.86,6.81
0.152,0.08,-0.3,0.78,-7.16,3.88,11.94
0.154,0.11,-0.21,0.73,-6.98,22.34,14.0
0.156,0.09,-0.32,0.66,-15.74,28.95,17.11
0.158,0.09,-0.39,0.83,-3.66,7.54,25.44
0.16,0.15,-0.34,0.93,21.86,-17.15,28.92
0.162,0.11,-0.25,0.87,10.56,4.23,36.93
0.163,0.02,-0.39,0.63,-16.73,18.63,43.13
0.166,0.04,-0.54,0.7,-18.46,-15.53,27.13
0.168,0.09,-0.45,0.86,20.64,-28.96,-4.5
0.169,0.06,-0.32,0.85,30.2,15.83,-14.69
0.171,0.01,-0.26,1.0,31.82,32.2,-1.05
0.173,0.09,-0.34,0.9,14.17,2.31,8.05
0.175,0.36,-0.47,0.79,10.61,-46.31,-0.31
0.177,0.48,-0.39,0.72,35.92,-80.9,-1.57
0.178,0.32,-0.35,0.85,46.38,-44.12,7.57
0.18,0.03,-0.28,0.99,24.12,-41.68,22.46
0.183,-0.02,-0.26,1.02,-11.13,30.34,-8.05
0.185,0.29,-0.16,0.71,-34.4,20.7,-50.49
0.187,0.32,-0.14,0.68,-7.25,16.76,-57.15
0.189,0.33,-0.25,0.96,13.98,-18.46,-23.86
0.191,0.48,-0.28,0.97,21.3,-19.07,-14.34
0.193,0.5,-0.2,0.92,26.73,-23.8,-8.78
0.194,0.28,-0.27,0.82,20.44,-14.37,7.65
0.196,0.23,-0.46,0.69,-1.73,-21.92,14.32
0.198,0.32,-0.36,0.89,-11.59,-37.37,-14.12
0.2,0.35,-0.24,0.95,-22.11,0.35,-41.3
0.202,0.25,-0.32,0.81,-37.31,46.7,-37.74
0.204,0.07,-0.57,0.64,-20.4,27.98,-13.37
0.206,0.32,-0.61,0.77,17.91,-14.82,-26.18
0.208,0.54,-0.43,0.92,41.36,-38.69,-48.87
0.21,0.34,-0.24,1.1,35.83,7.31,-34.58
0.212,0.21,-0.32,1.15,21.56,29.4,-12.79
0.213,0.36,-0.21,1.07,-2.84,16.47,-36.09
0.215,0.44,-0.16,1.03,-1.92,19.4,-67.68
0.217,0.44,-0.22,1.01,8.84,34.05,-67.65
0.219,0.26,-0.45,0.91,1.91,48.76,-35.16
0.221,0.19,-0.78,1.11,18.35,37.89,6.2
0.223,0.07,-0.8,0.94,31.95,22.31,21.76
0.225,0.28,-0.35,0.92,-10.84,98.44,-26.75
0.226,0.65,0.31,1.35,-31.54,89.15,-65.44
0.228,0.12,0.23,1.23,-16.35,50.67,13.98
0.23,-0.24,-0.17,1.0,-5.34,27.95,46.58
0.232,-0.02,-0.56,0.86,53.18,-90.24,36.7
0.234,0.44,-0.04,1.05,67.69,-42.47,-30.38
0.236,0.76,0.42,1.55,50.6,27.94,-76.96
0.238,0.57,0.28,1.37,37.98,41.89,-35.8
0.239,0.35,-0.1,1.25,37.13,10.23,-2.95
0.241,0.2,-0.26,1.02,10.78,-46.26,9.42
0.243,0.16,-0.27,0.86,-1.95,-58.47,8.6
0.245,0.11,-0.21,0.85,-10.81,-45.62,0.49
0.247,0.13,-0.08,0.85,-3.47,-29.91,-7.54
0.249,0.33,-0.01,0.85,15.48,-14.35,-18.21
0.251,0.27,-0.02,1.18,45.24,6.58,-23.45
0.253,0.45,-0.04,1.18,41.42,-18.49,-19.01
0.255,0.32,-0.06,1.07,-2.08,-8.5,-9.08
0.256,0.13,-0.07,1.09,3.6,-15.91,8.12
0.258,0.02,-0.16,1.17,8.11,-33.22,11.02
0.26,0.19,-0.1,0.93,-2.92,-44.21,-8.21
0.262,0.39,0.03,0.89,-5.28,-43.57,-30.98
0.264,0.49,0.03,0.93,16.34,-27.3,-31.1
0.266,0.57,-0.01,0.87,42.31,-34.44,1.24
