timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.002,0.07,0.12,0.97,-7.88,-2.0,0.64
0.012,0.07,0.12,0.95,-2.64,-5.71,-0.15
0.019,0.08,0.11,0.94,2.81,-5.82,-0.05
0.023,0.07,0.12,1.0,3.88,2.08,-3.86
0.027,0.09,0.13,1.03,-1.33,9.01,-3.42
0.03,0.07,0.13,0.97,-1.1,7.27,-2.03
0.032,0.06,0.13,1.0,-0.15,-4.73,-2.21
0.035,0.08,0.12,0.98,1.48,-8.43,-0.81
0.037,0.07,0.13,0.96,4.29,-4.79,-3.42
0.039,0.1,0.14,1.05,-0.15,7.97,-5.76
0.042,0.1,0.15,1.05,-0.7,10.78,-3.25
0.044,0.09,0.15,1.04,-0.89,5.95,-1.3
0.046,0.07,0.13,1.04,-0.92,-8.11,-0.11
0.048,0.05,0.14,1.0,-0.67,-18.29,-1.95
0.05,0.11,0.14,1.0,-2.26,-7.86,-2.15
0.052,0.1,0.15,0.97,-1.69,0.79,0.27
0.054,0.08,0.13,0.99,0.23,7.82,-0.52
0.057,0.06,0.14,1.0,0.05,8.34,-1.31
0.06,0.06,0.15,1.11,-4.34,0.9,0.06
0.064,0.11,0.15,1.13,-15.59,-15.22,5.71
0.066,0.08,0.15,1.03,-17.74,-32.82,9.44
0.068,0.05,0.16,1.15,-20.32,-42.66,8.6
0.07,0.14,0.12,1.11,-30.58,-44.75,7.25
0.075,0.2,0.15,1.08,-25.53,-49.63,15.1
0.077,0.21,0.14,1.18,-22.05,-59.65,25.22
0.079,0.28,0.19,1.17,-25.45,-87.57,38.78
0.081,0.23,0.15,1.25,-26.31,-108.84,47.37
0.083,0.22,0.11,1.31,-35.92,-151.88,52.12
0.085,0.24,0.09,1.33,-59.57,-170.18,53.98
0.088,0.32,0.1,1.13,-73.89,-194.32,54.72
0.09,0.33,0.04,1.18,-69.25,-216.52,68.75
0.093,0.25,-0.01,1.14,-65.71,-275.19,74.35
0.096,0.21,-0.07,0.96,-66.44,-333.63,70.66
0.098,0.3,-0.11,0.77,-58.79,-369.82,55.07
0.101,0.47,-0.14,0.68,-61.83,-361.74,42.9
0.104,0.61,-0.15,0.5,-58.93,-332.5,40.73
0.106,0.63,-0.17,0.58,-84.2,-304.43,40.05
0.109,0.61,-0.17,0.32,-86.87,-301.95,34.87
0.111,0.6,-0.23,0.02,-58.73,-299.11,29.65
0.114,0.7,-0.3,-0.07,-51.25,-309.16,27.85
0.117,0.66,-0.33,-0.03,-41.36,-316.27,28.7
0.12,0.53,-0.26,0.04,-61.3,-376.24,22.03
0.124,0.57,-0.26,-0.39,-58.09,-378.7,7.08
