timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.002,0.16,0.01,1.0,-1.91,4.15,-4.02
0.01,0.16,0.02,1.03,0.81,2.47,-3.89
0.018,0.16,0.03,1.07,-0.76,-1.48,-3.24
0.023,0.17,0.03,1.04,-1.68,0.2,-2.49
0.028,0.18,0.04,1.05,-4.06,0.99,-0.23
0.032,0.16,0.03,1.03,-5.33,-2.27,1.07
0.037,0.13,0.02,1.02,-5.6,-4.87,0.08
0.045,0.11,0.02,1.01,-5.98,-6.52,-1.59
0.05,0.1,0.01,0.99,-6.26,-7.92,-5.82
0.053,0.15,0.01,0.98,-6.02,-2.7,-8.26
0.056,0.15,0.01,0.99,-3.83,-1.02,-9.4
0.058,0.18,0.03,0.98,1.91,5.77,-8.06
0.061,0.18,0.03,1.04,5.19,5.92,-5.8
0.063,0.18,0.03,1.07,-0.15,6.06,-2.64
0.065,0.16,0.02,1.04,-4.99,0.89,-0.96
0.068,0.16,0.02,1.04,-9.16,-8.82,-1.34
0.07,0.18,-0.0,0.98,-6.26,-7.5,-0.18
0.072,0.18,0.01,0.99,-3.88,-5.5,1.13
0.074,0.18,-0.01,0.96,-0.32,0.12,0.84
0.076,0.09,-0.0,1.0,-1.73,1.36,-1.92
0.078,0.13,-0.01,1.01,-3.42,6.18,-4.43
0.079,0.14,-0.01,1.01,-3.6,3.68,-5.01
0.082,0.16,-0.01,1.06,-6.81,-2.46,-4.9
0.084,0.16,-0.02,0.98,-6.85,-8.44,-3.73
0.086,0.19,-0.01,0.96,-5.59,-12.41,-4.23
0.088,0.24,-0.01,0.96,-5.33,-6.31,-2.73
0.09,0.21,-0.02,0.92,-0.76,-1.82,-2.72
0.093,0.21,-0.0,0.98,0.99,5.33,-2.49
0.094,0.2,-0.01,0.98,0.78,8.21,0.18
0.096,0.18,-0.01,1.02,0.92,8.4,0.92
0.098,0.16,-0.01,1.02,-1.85,2.52,0.43
0.101,0.16,-0.01,1.0,-1.07,0.7,0.11
0.103,0.15,-0.01,1.02,0.81,-1.11,-0.12
0.105,0.12,0.0,1.01,0.21,-2.2,-1.8
0.107,0.14,-0.01,1.01,0.87,4.12,-3.94
0.109,0.15,0.01,1.01,-0.84,4.21,-4.43
0.111,0.14,0.0,1.04,-1.04,2.47,-3.4
0.113,0.14,0.01,1.02,-0.79,-1.33,-3.15
0.115,0.15,0.01,1.03,-1.48,-4.02,-3.42
0.117,0.16,0.01,1.02,-1.18,-3.63,-3.15
0.12,0.12,0.01,1.04,-1.27,-0.4,-5.22
0.122,0.12,-0.01,1.03,-3.48,1.83,-10.38
0.124,0.13,0.0,0.99,-3.36,-2.0,-11.62
0.126,0.09,-0.01,0.94,0.98,-12.09,-13.18
0.128,0.15,0.01,1.02,-5.56,-11.34,-16.05
0.13,0.15,0.01,1.05,-9.42,-6.79,-16.55
0.132,0.19,0.02,1.03,-12.7,-9.82,-14.78
0.134,0.18,0.01,1.0,-13.27,-17.02,-13.25
0.136,0.23,0.01,0.94,-11.77,-23.33,-12.03
0.138,0.23,-0.01,0.93,-6.49,-22.78,-9.74
0.14,0.23,-0.01,0.96,-3.04,-14.14,-9.56
0.142,0.23,-0.0,0.95,-1.89,-1.36,-8.73
0.144,0.21,-0.0,1.0,-3.51,6.46,-6.81
0.146,0.17,0.0,1.04,-6.47,5.4,-5.54
0.147,0.17,-0.0,1.01,-6.23,-4.76,-4.23
0.15,0.18,-0.01,0.99,-3.28,-16.52,-2.5
0.152,0.17,-0.01,0.98,0.72,-18.14,-0.76
0.154,0.21,-0.01,0.95,4.84,-8.17,-1.94
0.155,0.19,-0.01,1.0,3.27,4.43,-5.13
0.157,0.21,0.01,1.0,2.66,16.6,-6.43
0.159,0.18,0.01,1.0,5.91,14.5,-5.68
0.161,0.19,0.02,1.02,3.68,5.21,-7.79
0.163,0.2,0.04,1.05,2.46,-3.8,-5.21
0.165,0.23,0.03,1.06,1.04,-4.61,-1.51
0.167,0.18,0.01,1.03,0.4,-8.81,0.08
0.169,0.17,0.0,1.01,-0.55,-10.41,-2.34
0.171,0.2,-0.0,1.0,-2.08,-6.17,-5.73
0.173,0.23,-0.0,0.99,-2.44,3.24,-6.2
0.175,0.24,-0.0,1.03,-4.75,12.58,-4.66
0.177,0.22,0.0,0.97,-1.45,9.74,-2.64
0.179,0.16,-0.01,1.02,-4.6,-8.98,-4.37
0.181,0.2,-0.01,0.98,-6.46,-17.01,-4.46
0.183,0.18,-0.0,0.87,-3.71,-22.31,-6.6
0.185,0.27,-0.01,0.98,-0.93,-10.41,-4.89
0.187,0.24,-0.02,1.03,-1.92,-3.92,-3.45
0.188,0.24,0.01,1.08,-5.88,-5.01,-3.63
0.191,0.26,0.02,1.09,-9.18,-11.28,-1.24
0.193,0.24,0.0,1.03,-9.18,-31.68,3.11
0.195,0.24,-0.02,1.0,-2.78,-45.51,5.88
0.197,0.23,-0.02,1.01,-0.7,-44.24,5.04
0.199,0.27,-0.02,0.97,0.63,-24.31,2.32
0.201,0.23,-0.02,0.98,0.76,-5.24,-2.14
0.204,0.23,-0.0,1.0,2.34,5.8,-6.82
0.206,0.24,-0.01,1.0,-5.6,2.9,-9.27
0.208,0.27,-0.02,0.99,-5.08,-9.22,-8.03
0.211,0.35,-0.01,1.03,-2.7,-10.72,-2.7
0.213,0.3,-0.02,1.05,-6.82,-14.31,0.44
0.215,0.26,-0.01,1.03,-11.88,-18.7,-2.0
0.217,0.29,-0.05,0.98,-13.73,-23.01,-5.68
0.219,0.27,-0.01,0.97,-15.66,-33.28,-6.72
0.221,0.34,-0.03,0.97,-10.41,-32.64,-5.21
0.223,0.31,-0.03,0.92,-8.12,-25.44,-5.98
0.225,0.32,-0.04,0.91,-15.74,-13.1,-8.31
0.227,0.35,-0.06,0.86,-14.58,5.39,-10.02
0.23,0.33,-0.05,0.87,-11.3,20.34,-10.34
0.234,0.31,-0.04,0.88,-6.14,22.72,-9.36
0.237,0.3,-0.04,0.92,0.2,20.37,-8.06
0.239,0.27,-0.02,1.0,5.07,17.08,-5.56
0.243,0.2,-0.01,1.08,-1.13,11.76,-8.12
0.245,0.2,-0.03,1.11,-12.98,16.4,-18.73
0.248,0.24,-0.03,1.06,-19.21,17.19,-22.0
0.25,0.26,-0.04,1.0,-13.53,8.47,-19.13
0.253,0.3,-0.03,0.96,-1.86,-2.96,-13.69
0.255,0.3,-0.03,0.95,8.61,-13.15,-9.73
0.257,0.31,-0.03,1.0,4.47,-12.21,-10.18
0.259,0.3,-0.04,0.99,-6.73,-7.68,-11.74
0.261,0.29,-0.04,0.97,-11.5,-0.17,-13.62
0.263,0.31,-0.05,0.94,-6.02,-2.08,-12.52
0.265,0.34,-0.05,0.94,1.86,-0.03,-9.62
0.268,0.31,-0.03,0.97,4.75,4.37,-7.21
0.27,0.29,-0.03,1.01,4.31,4.6,-7.27
0.272,0.27,-0.03,1.02,-1.63,3.39,-11.91
0.273,0.31,-0.03,1.01,-7.47,0.18,-12.21
0.275,0.33,-0.02,0.99,-4.95,-2.73,-6.03
0.277,0.3,-0.02,0.97,-3.24,-7.5,-3.39
0.279,0.28,-0.04,0.96,-1.68,-9.57,-2.46
0.281,0.29,-0.04,0.97,-1.42,-6.03,-4.44
0.283,0.31,-0.03,0.97,-1.44,1.21,-4.9
0.286,0.32,-0.03,0.99,-2.63,7.95,-5.04
0.288,0.31,-0.03,0.96,-5.16,11.4,-5.62
0.29,0.29,-0.04,0.96,-2.5,1.83,-3.97
0.292,0.33,-0.03,0.95,1.24,-3.27,-3.22
0.294,0.33,-0.02,0.97,3.04,-0.58,0.66
0.296,0.3,-0.02,0.98,2.89,-0.09,1.13
0.297,0.27,-0.04,0.98,2.56,-2.08,0.76
0.299,0.27,-0.04,1.01,-4.06,2.5,-4.09
0.301,0.3,-0.03,0.99,-5.51,7.4,-4.78
0.303,0.29,-0.03,1.0,-2.4,7.79,-3.25
0.305,0.26,-0.04,0.98,-0.11,-0.06,-1.94
0.307,0.26,-0.03,1.02,-1.19,-4.96,-4.11
0.309,0.28,-0.03,1.0,-6.26,-3.56,-4.34
0.311,0.27,-0.03,0.98,-6.67,-3.59,-5.47
0.313,0.28,-0.03,0.98,-2.98,-2.87,-4.35
0.315,0.3,-0.03,0.97,-1.15,0.26,-4.53
0.317,0.31,-0.02,1.0,-2.47,3.27,-4.05
0.32,0.28,-0.01,0.98,-2.35,1.39,-4.06
0.322,0.3,-0.02,0.97,-2.38,-3.44,-3.25
0.325,0.27,-0.02,0.97,-2.87,-3.5,-3.51
0.327,0.31,-0.03,0.97,-4.05,-0.32,-3.33
0.33,0.28,-0.04,0.97,-1.88,2.21,-1.95
0.332,0.27,-0.03,0.97,-0.38,0.26,-1.42
0.334,0.26,-0.04,0.98,-2.87,3.05,-4.27
0.336,0.27,-0.05,0.97,-4.02,5.04,-6.46
