timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.005,0.95,-0.09,0.38,-3.68,2.58,-1.83
0.014,1.0,-0.11,0.34,-6.17,-4.87,-5.11
0.022,0.95,-0.1,0.31,-4.98,0.95,-2.26
0.028,0.93,-0.1,0.35,-0.15,1.02,-0.63
0.035,0.99,-0.11,0.35,2.66,-3.07,-1.57
0.038,0.99,-0.1,0.35,-2.14,4.0,-2.12
0.04,0.99,-0.09,0.35,-1.85,1.57,-2.49
0.042,0.94,-0.1,0.36,0.95,5.66,0.5
0.044,0.95,-0.11,0.39,0.15,2.14,-0.05
0.046,0.93,-0.09,0.41,-0.64,-3.48,-2.6
0.049,0.99,-0.08,0.36,-6.4,-3.68,-5.15
0.051,1.01,-0.09,0.35,-7.13,-7.97,-6.43
0.053,0.99,-0.1,0.33,-5.04,-0.34,-2.85
0.055,0.98,-0.1,0.33,-2.82,0.14,-0.96
0.057,0.97,-0.1,0.36,-0.2,1.85,0.46
0.059,1.0,-0.1,0.33,-2.23,4.23,-0.55
0.061,0.99,-0.11,0.35,-2.64,2.73,-0.58
0.063,0.93,-0.11,0.37,0.95,6.96,2.72
0.065,0.92,-0.11,0.38,1.21,4.02,1.92
0.067,0.92,-0.11,0.41,0.61,-0.27,-0.64
0.069,0.96,-0.09,0.39,-4.5,0.95,-3.97
0.071,1.02,-0.1,0.33,-9.1,-1.79,-6.63
0.073,0.98,-0.1,0.33,-6.35,4.56,-3.42
0.075,0.99,-0.1,0.34,-2.17,4.6,-0.63
0.077,0.96,-0.09,0.37,-0.96,3.54,0.21
0.079,0.98,-0.1,0.35,-1.53,-5.51,-2.38
0.081,0.95,-0.11,0.4,3.44,-3.74,0.92
0.083,0.96,-0.11,0.39,1.79,-2.63,0.87
0.085,0.93,-0.1,0.4,-1.37,-1.39,0.78
0.087,0.93,-0.13,0.4,-4.11,0.5,-0.23
0.089,0.97,-0.12,0.35,-7.97,-10.93,-7.88
0.091,0.97,-0.12,0.35,-8.5,-3.54,-7.18
0.093,0.99,-0.1,0.33,-5.34,0.95,-6.06
0.095,0.99,-0.09,0.34,-4.15,1.57,-4.78
0.097,0.98,-0.09,0.37,0.93,4.72,-1.36
0.099,0.98,-0.1,0.36,0.12,8.06,0.55
0.101,0.97,-0.11,0.39,-0.34,0.96,0.26
0.103,0.96,-0.11,0.38,-2.63,3.74,1.39
0.105,0.93,-0.1,0.38,-4.55,3.88,0.66
0.107,0.97,-0.11,0.38,-4.76,0.27,-1.05
0.109,0.97,-0.11,0.38,-4.9,-0.49,-1.15
0.111,0.96,-0.12,0.37,-3.37,4.0,0.89
0.113,0.95,-0.11,0.36,-5.8,-0.47,-0.95
0.115,0.95,-0.12,0.37,-4.32,-2.2,-0.78
0.117,0.94,-0.12,0.38,-4.0,2.18,-2.09
0.119,0.96,-0.12,0.4,-4.46,-1.37,-4.44
0.121,0.95,-0.12,0.39,-4.9,1.95,-3.71
0.123,0.97,-0.09,0.37,-8.02,3.44,-4.46
0.125,0.98,-0.08,0.39,-7.05,-0.11,-3.59
0.127,0.96,-0.09,0.42,-7.34,-0.6,-1.91
0.129,0.97,-0.11,0.43,-9.53,0.47,-0.38
0.131,1.0,-0.09,0.39,-12.89,2.69,1.45
0.133,0.93,-0.12,0.38,-17.74,2.38,1.31
0.135,0.98,-0.12,0.35,-18.06,2.72,0.67
0.137,0.97,-0.13,0.32,-19.62,3.05,-1.1
0.139,0.99,-0.13,0.32,-18.09,-0.2,-2.87
0.14,0.98,-0.13,0.37,-12.63,-1.89,-0.26
0.142,0.94,-0.13,0.42,-11.65,-2.82,2.58
0.145,0.93,-0.14,0.44,-13.85,-5.31,1.47
0.147,0.94,-0.12,0.47,-21.47,-1.25,-1.74
0.149,0.93,-0.07,0.51,-29.66,2.31,-4.78
0.151,0.91,-0.09,0.55,-38.4,-6.31,-4.09
0.152,0.93,-0.08,0.54,-49.74,-14.34,-6.66
0.154,0.95,-0.07,0.54,-67.22,-17.66,-11.98
0.156,1.03,-0.06,0.51,-84.34,-22.41,-20.56
0.158,0.97,-0.07,0.6,-94.96,-14.27,-18.58
0.16,0.91,-0.07,0.56,-115.31,-18.11,-15.83
0.162,0.89,-0.11,0.5,-128.41,-21.69,-15.53
0.165,0.88,-0.1,0.45,-155.54,-37.79,-20.81
0.167,1.04,-0.08,0.25,-177.22,-40.23,-29.37
0.169,1.07,-0.04,0.25,-180.73,-9.44,-29.01
0.171,1.01,-0.08,0.28,-171.22,-7.13,-24.76
0.173,1.03,-0.08,0.29,-164.08,-7.28,-17.69
0.174,0.9,-0.1,0.33,-181.21,-18.08,-9.59
0.176,0.97,-0.13,0.24,-201.05,-7.6,-8.32
0.178,0.91,-0.11,0.16,-213.24,16.46,-11.53
0.181,0.89,-0.11,0.12,-212.76,39.63,-18.52
0.183,0.9,-0.06,0.19,-205.88,46.69,-29.37
0.185,1.02,-0.09,0.12,-216.9,33.05,-43.4
0.187,0.98,-0.09,0.14,-209.45,24.5,-44.49
0.189,0.97,-0.08,0.17,-210.52,27.3,-41.95
0.191,0.92,-0.09,0.14,-215.94,26.99,-44.11
0.193,0.94,-0.09,0.15,-222.2,43.31,-46.98
0.195,0.97,-0.08,0.17,-228.35,68.44,-54.18
0.197,0.99,-0.07,0.12,-234.4,89.89,-64.09
0.199,0.95,-0.04,0.05,-222.55,90.98,-67.79
0.201,0.97,-0.06,-0.09,-198.35,38.29,-68.46
0.203,1.07,-0.03,-0.07,-155.65,-8.37,-60.64
0.205,1.15,-0.04,0.0,-116.55,-30.52,-55.42
0.206,1.12,-0.09,0.19,-99.68,16.67,-40.09
0.208,1.1,-0.09,0.08,-106.14,46.2,-30.38
0.21,0.96,-0.1,0.22,-105.33,59.77,-21.95
0.212,0.83,-0.08,0.23,-108.92,42.85,-18.03
0.214,1.03,-0.07,0.1,-142.23,-47.27,-37.48
0.216,1.12,-0.07,-0.11,-151.95,-98.95,-28.53
0.218,1.13,-0.09,-0.15,-142.32,-71.92,-18.49
0.219,1.11,-0.13,-0.17,-134.31,-31.98,-7.45
0.221,1.03,-0.16,-0.07,-112.12,8.23,6.26
0.223,1.07,-0.07,-0.29,-95.79,16.37,14.92
0.225,1.01,-0.06,-0.31,-70.78,21.69,30.11
0.227,0.96,-0.16,-0.1,-89.77,-15.94,-24.37
0.229,0.96,0.04,0.01,-64.12,16.41,-150.2
0.231,1.12,-0.02,-0.17,-93.15,-33.04,-67.21
0.233,1.2,-0.06,-0.21,-90.85,-44.18,-56.34
0.235,0.99,-0.02,-0.13,-74.82,-7.47,-23.91
0.236,1.09,-0.01,-0.15,-69.47,-15.92,-30.53
0.238,1.13,0.02,-0.16,-62.95,-15.02,-31.24
0.24,1.17,0.01,-0.2,-55.65,-8.63,-21.63
0.242,1.09,0.02,-0.21,-36.44,15.21,-3.68
0.244,1.11,-0.02,-0.24,-19.36,24.85,-0.76
0.246,0.96,-0.01,-0.03,-4.41,15.76,-10.7
0.248,1.02,0.01,0.04,-11.8,1.45,-18.58
0.25,1.11,0.02,-0.02,-30.66,-21.3,-33.73
0.251,1.21,0.05,-0.1,-35.82,-16.38,-30.82
