timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.007,0.95,0.34,-0.33,2.26,-1.16,-3.77
0.012,0.95,0.33,-0.31,5.25,4.92,-2.02
0.019,0.95,0.33,-0.24,-0.9,-2.84,-3.36
0.024,0.97,0.33,-0.28,-0.31,1.76,-0.46
0.028,0.96,0.33,-0.27,0.03,5.34,1.47
0.032,0.94,0.34,-0.26,-1.76,3.63,-0.02
0.035,0.94,0.32,-0.26,0.66,4.73,0.2
0.038,0.92,0.32,-0.24,-1.1,-0.61,-1.83
0.041,0.93,0.32,-0.28,-1.91,-3.05,-5.48
0.043,0.96,0.33,-0.27,-1.62,-4.46,-5.47
0.045,1.0,0.34,-0.3,-0.63,3.48,-2.75
0.047,0.98,0.35,-0.25,0.02,5.51,1.82
0.049,0.94,0.35,-0.28,-2.61,-0.08,1.31
0.051,0.93,0.33,-0.38,-4.2,8.72,3.44
0.053,0.92,0.35,-0.43,-5.21,19.02,0.12
0.055,1.03,0.34,-0.37,4.41,31.25,0.29
0.058,1.06,0.36,-0.22,8.27,34.81,4.84
0.06,1.12,0.37,-0.11,-4.47,43.11,9.98
0.062,1.34,0.43,-0.21,-31.57,83.57,29.79
0.064,1.53,0.59,-0.21,-59.95,138.18,63.22
0.066,1.61,0.53,-0.33,-76.03,216.55,109.51
0.068,1.33,0.41,-0.28,-67.05,236.49,133.54
0.07,1.12,0.31,-0.25,-55.85,223.65,137.76
0.072,1.02,0.21,-0.22,-32.73,205.4,132.81
0.074,1.01,0.18,-0.31,-0.85,220.38,123.33
0.077,1.04,0.11,-0.25,22.72,280.64,128.24
0.079,0.87,0.07,-0.19,45.79,360.26,127.42
0.081,0.68,0.1,-0.12,69.37,424.18,122.61
0.083,0.62,0.2,0.27,85.11,475.91,128.09
0.085,0.53,0.13,0.69,67.13,500.26,147.27
0.087,0.26,0.03,0.93,12.67,500.26,157.42
0.089,0.11,0.03,0.98,-16.78,441.37,156.52
0.091,0.0,0.0,0.8,-25.54,290.53,154.32
0.093,-0.15,-0.08,0.52,-5.1,263.98,135.88
0.095,-0.3,-0.11,0.62,16.41,307.45,107.89
0.097,-0.44,-0.08,0.75,29.18,340.93,85.77
0.1,-0.37,-0.02,0.84,31.28,341.31,67.44
0.101,-0.19,0.06,0.96,-7.85,259.92,70.6
0.103,-0.09,0.2,0.74,-47.07,216.72,102.99
0.105,-0.34,0.14,0.57,-34.99,198.47,127.82
0.108,-0.57,0.12,0.47,-17.45,203.3,144.14
0.11,-0.76,0.1,0.37,-6.09,197.39,139.6
