timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,-0.05,0.2,-1.01,-2.67,-0.9,-2.9
0.005,-0.05,0.2,-0.99,-3.16,-6.4,-4.73
0.012,-0.08,0.19,-0.99,-0.85,-9.36,-6.21
0.016,-0.05,0.2,-1.0,-0.98,-12.53,-8.73
0.018,-0.02,0.21,-1.01,-1.05,-6.93,-4.87
0.022,-0.05,0.22,-1.01,-4.06,-2.93,-2.46
0.025,-0.09,0.21,-0.99,-5.45,-2.35,-1.6
0.029,-0.11,0.21,-1.0,-4.7,-11.95,-6.58
0.031,-0.05,0.22,-1.03,-2.5,-10.52,-6.53
0.035,-0.03,0.22,-1.06,-1.02,-6.99,-3.53
0.039,-0.11,0.2,-0.98,-2.32,-7.66,-5.31
0.043,-0.1,0.2,-1.01,-1.68,-17.3,-10.5
0.047,-0.06,0.21,-1.02,-2.55,-10.64,-8.18
0.049,-0.05,0.21,-1.02,-2.67,-4.99,-4.69
0.053,-0.11,0.2,-0.99,-2.95,-4.93,-5.33
0.058,-0.09,0.21,-1.02,-1.98,-1.76,-5.59
0.062,-0.12,0.22,-0.99,0.82,-9.27,-7.92
0.066,-0.07,0.21,-1.0,-0.58,0.46,-4.73
0.07,-0.08,0.21,-0.98,-1.68,0.61,-3.66
0.074,-0.06,0.22,-1.02,-1.89,4.66,-1.48
0.081,-0.08,0.21,-1.01,-0.52,1.02,-1.25
0.087,-0.08,0.21,-1.02,0.53,5.62,-0.12
0.092,-0.07,0.22,-1.02,0.93,1.54,-1.31
0.096,-0.08,0.22,-1.04,2.84,3.4,-0.98
0.1,-0.08,0.22,-1.01,4.35,-2.35,-3.11
0.105,-0.05,0.22,-1.03,3.18,2.12,-0.76
0.109,-0.08,0.22,-1.02,3.51,6.52,1.69
0.113,-0.07,0.23,-1.04,5.01,10.67,3.39
0.115,-0.13,0.27,-1.02,3.15,10.2,1.21
0.118,-0.04,0.3,-1.16,3.53,14.9,1.39
0.12,-0.03,0.31,-1.15,6.29,27.74,6.18
0.122,0.07,0.36,-1.33,13.54,57.19,19.28
0.124,0.08,0.36,-1.32,24.53,87.57,35.1
