timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.07,-0.98,-0.25,-2.32,0.55,-1.89
0.003,0.05,-0.98,-0.25,-0.99,2.66,-2.5
0.005,0.06,-0.99,-0.24,-3.24,0.23,-2.08
0.006,0.06,-0.99,-0.23,-3.28,3.13,-1.59
0.008,0.05,-0.99,-0.23,-2.09,5.19,-1.68
0.009,0.06,-0.98,-0.22,-3.37,1.47,-2.55
0.011,0.06,-0.99,-0.21,-3.65,1.63,-2.41
0.012,0.07,-1.0,-0.25,-2.15,1.57,-1.88
0.013,0.08,-1.0,-0.26,-0.35,2.03,-1.51
0.015,0.06,-0.99,-0.24,-1.97,2.66,-2.32
0.016,0.06,-0.99,-0.24,-2.9,2.67,-3.31
0.017,0.05,-0.99,-0.23,-3.6,2.96,-3.44
0.018,0.05,-0.99,-0.21,-3.08,0.63,-2.64
0.019,0.07,-0.99,-0.2,-1.94,0.6,-1.33
0.021,0.05,-1.01,-0.16,-1.44,0.55,-1.25
0.022,0.05,-1.03,-0.08,-0.4,-0.78,-1.89
0.023,0.02,-1.05,0.1,3.94,-1.18,-1.86
0.024,0.02,-1.1,0.2,15.13,-7.18,-0.73
0.025,0.09,-1.16,0.23,29.5,-9.89,1.95
0.026,0.2,-1.22,0.23,49.76,-16.63,5.62
0.027,0.26,-1.21,0.19,76.66,-20.06,-2.92
0.028,0.29,-1.22,0.1,90.96,-22.47,-14.6
0.029,0.3,-1.18,-0.1,108.96,-21.88,-25.73
0.03,0.31,-1.18,-0.08,130.47,-21.15,-32.84
0.031,0.17,-1.2,0.15,109.13,17.48,-51.48
0.032,0.19,-1.25,0.27,97.47,18.5,-56.46
0.033,0.23,-1.27,0.38,113.36,38.44,-49.45
0.034,0.19,-1.3,0.49,128.17,50.27,-46.38
0.035,0.25,-1.33,0.52,144.5,45.59,-48.84
0.036,0.24,-1.32,0.53,161.56,44.41,-48.24
0.037,0.21,-1.24,0.51,176.96,38.78,-49.28
0.037,0.13,-1.13,0.43,191.02,21.42,-55.6
