timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,0.12,-0.15,1.01,1.6,1.6,-5.89
0.003,0.13,-0.15,1.02,3.21,4.29,-4.5
0.004,0.12,-0.15,1.0,2.44,5.08,-4.29
0.005,0.09,-0.13,0.99,4.31,3.42,-4.82
0.007,0.09,-0.13,0.99,4.96,2.32,-3.39
0.008,0.1,-0.13,0.99,5.22,1.94,-1.27
0.009,0.11,-0.12,0.99,5.11,2.9,0.5
0.011,0.11,-0.1,0.97,4.85,1.04,-0.67
0.012,0.1,-0.1,0.97,3.77,0.98,0.03
0.013,0.09,-0.13,0.99,0.0,3.57,-0.18
0.014,0.11,-0.13,0.98,-1.19,-0.03,-1.24
0.016,0.09,-0.13,0.99,-0.41,-0.27,0.49
0.017,0.08,-0.14,0.99,-2.23,4.11,0.96
0.018,0.11,-0.15,1.0,-1.24,-0.08,1.56
0.019,0.12,-0.16,1.02,-1.94,-0.81,3.27
0.02,0.12,-0.14,0.99,-1.28,2.64,2.31
0.021,0.13,-0.15,1.0,0.35,0.06,2.66
0.022,0.14,-0.14,1.0,-1.02,0.66,2.76
0.023,0.13,-0.15,1.01,-2.09,2.95,2.06
0.024,0.12,-0.15,1.0,-0.73,1.89,1.54
0.026,0.12,-0.16,1.01,-1.05,0.58,0.15
0.027,0.12,-0.15,1.0,-0.69,0.81,-0.24
0.028,0.13,-0.15,0.99,0.26,2.06,-0.06
0.029,0.13,-0.14,0.99,-0.85,2.18,-1.37
0.03,0.12,-0.16,1.01,-1.68,-0.43,-1.65
0.031,0.12,-0.16,1.01,-1.98,0.06,-1.73
0.032,0.14,-0.17,1.01,-2.03,1.51,-2.09
0.033,0.16,-0.17,0.99,0.43,0.5,-2.11
0.034,0.16,-0.17,1.0,1.24,3.04,-4.32
0.034,0.16,-0.17,1.01,1.59,3.33,-6.17
0.035,0.16,-0.17,1.01,3.63,2.46,-7.57
0.036,0.18,-0.19,1.01,3.22,5.05,-9.5
0.037,0.2,-0.22,1.04,3.73,4.67,-12.81
0.038,0.23,-0.21,1.02,7.31,2.72,-16.32
0.039,0.25,-0.22,1.01,7.97,6.81,-19.31
0.04,0.27,-0.24,1.01,7.01,9.37,-26.26
0.041,0.28,-0.26,1.0,10.34,4.93,-33.51
0.042,0.27,-0.27,0.99,10.93,4.09,-40.81
0.043,0.27,-0.28,0.98,10.56,8.55,-47.31
0.044,0.28,-0.28,0.96,10.75,9.33,-54.44
0.045,0.27,-0.28,0.96,10.84,8.7,-61.69
0.045,0.28,-0.28,0.96,8.76,9.37,-69.45
0.046,0.3,-0.29,0.95,7.02,7.34,-77.59
0.047,0.31,-0.3,0.97,3.71,5.62,-86.52
0.048,0.3,-0.33,0.98,1.25,6.11,-96.17
0.049,0.27,-0.36,1.0,-0.14,6.55,-105.18
0.05,0.28,-0.35,0.98,1.85,5.37,-113.34
0.05,0.25,-0.35,0.98,1.77,9.18,-119.4
0.051,0.23,-0.35,0.99,0.92,12.31,-126.92
0.052,0.19,-0.34,0.99,0.63,12.11,-134.08
0.053,0.15,-0.34,1.0,-0.55,11.77,-141.44
0.054,0.12,-0.36,1.03,-1.22,13.83,-146.53
0.055,0.13,-0.37,1.05,-2.92,15.89,-150.76
0.055,0.12,-0.34,1.04,2.7,18.08,-152.84
0.056,0.08,-0.29,1.01,6.44,22.17,-158.55
0.057,0.06,-0.26,0.96,9.3,21.98,-160.73
0.058,0.02,-0.24,0.95,7.89,24.41,-161.16
0.059,-0.0,-0.22,0.95,4.58,24.72,-163.3
0.059,-0.01,-0.24,0.99,1.6,20.81,-160.76
0.06,0.0,-0.22,0.98,1.19,17.63,-161.77
0.061,0.0,-0.19,0.96,5.54,17.37,-158.7
0.062,-0.06,-0.15,0.94,6.09,23.53,-155.74
0.063,-0.1,-0.12,0.92,5.73,24.63,-153.57
0.064,-0.13,-0.11,0.93,5.24,18.9,-150.4
0.064,-0.14,-0.11,0.94,3.01,17.25,-145.22
0.065,-0.17,-0.11,0.95,-0.5,21.28,-137.6
0.066,-0.17,-0.14,1.01,-4.4,21.88,-130.37
0.067,-0.17,-0.15,1.02,-3.91,16.27,-126.0
0.068,-0.15,-0.15,1.04,-0.05,13.82,-119.22
0.068,-0.12,-0.15,1.03,3.1,21.27,-112.52
0.069,-0.13,-0.13,1.03,8.17,25.44,-107.19
0.07,-0.11,-0.13,1.02,11.13,22.84,-103.71
0.071,-0.09,-0.11,1.0,12.41,21.82,-97.85
0.071,-0.09,-0.08,0.98,13.69,25.92,-92.11
0.072,-0.11,-0.05,0.94,17.39,26.09,-88.61
0.073,-0.13,-0.05,0.92,12.46,19.54,-85.42
0.073,-0.19,-0.09,0.95,5.53,15.5,-79.36
0.074,-0.22,-0.1,0.98,3.79,10.9,-73.33
0.075,-0.22,-0.08,0.98,5.74,8.61,-62.85
0.076,-0.22,-0.07,0.96,4.03,11.65,-54.27
0.076,-0.2,-0.04,0.98,2.08,4.84,-51.39
0.077,-0.17,-0.04,1.0,1.63,-4.35,-44.61
0.078,-0.17,-0.06,1.03,-1.11,-2.79,-38.7
0.079,0.05,-0.06,1.03,1.79,-4.73,-30.84
0.08,0.06,-0.03,1.01,2.24,-0.85,-1.01
0.081,0.03,-0.05,1.03,-0.85,0.24,-3.02
0.092,0.04,-0.05,1.0,-2.08,-1.74,-5.04
0.11,0.09,-0.02,0.98,0.26,-7.89,-3.07
0.134,0.11,-0.03,0.99,-3.39,-4.18,-3.34
0.152,0.15,-0.04,0.97,-9.31,-2.89,-8.26
0.175,0.18,-0.03,0.95,-12.37,-3.13,-13.22
0.194,0.08,-0.08,0.94,-18.99,3.85,-23.8
0.212,0.03,-0.19,1.04,-26.63,3.37,-25.33
0.235,0.11,-0.16,1.01,-12.53,-9.18,-7.85
0.254,0.09,-0.13,1.0,-0.14,8.08,1.08
0.272,0.08,-0.1,0.99,-0.9,16.43,-4.56
0.29,0.12,-0.09,0.98,3.56,-4.47,-3.82
0.314,0.08,-0.12,1.01,0.08,-0.79,-5.42
0.332,0.06,-0.13,1.03,-2.87,13.42,-7.79
0.351,0.08,-0.11,1.01,2.64,8.32,-8.89
0.374,0.07,-0.12,0.99,4.21,6.17,-8.58
0.393,0.06,-0.13,1.0,2.5,11.86,-10.96
0.411,0.06,-0.12,1.0,4.08,11.18,-11.97
0.434,0.05,-0.08,0.97,5.71,8.75,-12.85
0.453,0.04,-0.07,0.98,4.14,10.69,-11.39
0.471,0.03,-0.09,0.99,-0.89,10.41,-11.68
0.495,0.0,-0.1,1.01,-0.89,6.82,-9.08
0.513,-0.01,-0.09,1.0,-0.11,5.24,-8.76
0.531,0.03,-0.09,0.99,2.84,1.95,-5.65
0.555,0.0,-0.08,0.99,1.47,5.34,-4.09
0.574,0.0,-0.09,1.01,-0.37,5.88,-4.34
0.592,0.01,-0.08,1.0,0.35,3.76,-2.98
0.611,0.01,-0.07,1.0,0.81,4.67,-2.93
0.634,0.0,-0.07,1.02,0.12,6.2,-0.67
0.652,0.02,-0.09,1.0,-1.68,3.94,-3.36
0.671,0.01,-0.1,1.0,0.32,0.98,-1.48
0.694,-0.01,-0.1,1.0,-0.24,5.02,-0.12
0.713,0.0,-0.12,1.02,-1.22,6.09,0.43
0.731,-0.0,-0.11,1.01,-1.07,3.21,1.39
0.755,0.0,-0.12,1.0,-0.47,2.44,1.18
0.773,-0.02,-0.12,1.02,-0.73,2.32,1.59
0.792,0.0,-0.11,1.02,-0.09,-0.08,1.53
0.815,0.03,-0.12,1.02,1.16,-2.14,4.32
0.834,0.03,-0.12,1.01,-0.64,1.44,2.31
0.852,0.04,-0.11,1.0,0.66,0.53,1.57
0.876,0.05,-0.1,1.02,2.27,-1.85,1.19
0.894,0.04,-0.11,1.03,0.64,0.15,-0.76
0.912,0.03,-0.12,1.02,1.21,-0.58,-1.18
0.931,0.03,-0.11,1.0,3.18,-0.35,-2.5
0.954,0.03,-0.1,0.98,4.72,-0.89,-1.86
0.973,0.0,-0.07,0.98,2.66,2.69,-2.03
0.991,0.01,-0.08,0.98,1.11,3.39,-2.02
1.014,0.01,-0.1,1.0,-0.34,-1.04,-2.08
1.033,0.01,-0.08,1.01,0.11,-2.18,-2.17
1.051,0.01,-0.11,1.02,-1.08,0.15,-1.22
1.075,0.01,-0.11,1.02,-2.18,-0.75,-0.78
1.093,0.01,-0.1,1.02,0.55,-0.76,0.24
1.112,0.0,-0.1,1.01,0.69,1.45,0.38
1.135,-0.01,-0.1,1.01,0.38,0.03,-0.61
1.154,-0.01,-0.1,1.01,0.67,-2.46,1.69
1.172,-0.02,-0.1,1.0,0.03,0.58,2.02
1.191,-0.0,-0.1,1.0,0.37,-1.25,3.37
1.214,0.0,-0.09,0.99,0.24,-1.07,4.76
1.233,-0.0,-0.08,0.99,-0.21,0.82,5.5
1.251,-0.0,-0.08,0.98,-0.15,-2.2,5.83
1.274,-0.02,-0.09,0.99,-0.56,-3.66,6.85
1.293,-0.01,-0.09,0.99,-2.6,-2.06,7.85
1.311,0.01,-0.1,1.01,-3.07,-2.66,9.07
1.335,0.01,-0.1,1.01,-2.58,-2.53,9.24
1.353,-0.01,-0.1,1.01,-1.42,-1.4,9.98
1.371,-0.02,-0.09,0.99,0.02,-1.36,10.06
1.395,-0.02,-0.11,0.99,-0.87,-2.14,11.65
1.413,-0.0,-0.11,1.0,-2.58,-4.14,13.08
1.431,0.0,-0.11,1.0,-2.35,-2.98,14.95
1.455,0.01,-0.11,1.02,-1.97,-3.37,14.63
1.473,0.01,-0.13,1.03,-1.16,-5.01,15.45
1.491,0.02,-0.12,1.02,-0.34,-3.53,15.36
1.515,0.02,-0.12,1.02,1.28,-2.76,16.27
1.533,0.01,-0.12,1.0,1.31,-0.29,17.05
1.552,0.0,-0.12,1.0,1.15,-0.58,16.38
1.575,-0.0,-0.11,0.99,2.75,-2.63,18.03
1.593,-0.0,-0.11,0.98,2.18,-1.36,18.31
1.612,-0.0,-0.1,0.97,1.62,-2.9,18.44
1.635,-0.0,-0.1,0.98,1.48,-2.92,20.41
1.653,-0.02,-0.11,0.99,-0.05,-1.28,21.53
1.672,-0.01,-0.1,0.98,0.85,-3.68,22.35
1.695,-0.01,-0.1,0.99,0.61,-5.45,23.76
1.713,0.01,-0.11,1.01,-1.07,-3.94,24.46
1.732,0.01,-0.11,1.01,-1.36,-3.34,25.63
1.755,-0.0,-0.11,1.01,0.5,-5.27,24.9
1.774,-0.01,-0.11,1.01,0.35,-5.21,26.58
1.792,-0.01,-0.11,1.01,-0.52,-3.51,28.0
1.815,-0.02,-0.11,1.02,0.2,-4.72,29.63
1.833,-0.0,-0.11,1.01,1.86,-6.24,30.9
1.852,-0.01,-0.12,1.02,1.18,-5.39,32.0
1.875,-0.01,-0.11,1.01,0.49,-5.86,32.26
1.893,0.0,-0.12,1.02,1.86,-7.44,34.02
1.912,-0.0,-0.12,1.03,1.27,-6.26,35.4
1.936,0.02,-0.12,1.02,2.4,-6.66,36.0
1.954,0.03,-0.11,1.03,3.8,-6.93,37.47
1.972,0.02,-0.12,1.02,2.95,-4.29,37.91
1.991,0.01,-0.11,1.01,3.65,-4.89,38.15
2.014,0.01,-0.11,1.01,4.18,-6.24,38.09
2.033,0.01,-0.12,1.0,2.67,-6.09,39.1
2.051,0.01,-0.11,1.0,3.51,-6.03,39.53
2.075,0.01,-0.11,1.0,4.37,-6.92,41.16
2.093,0.02,-0.11,0.99,2.2,-7.63,40.75
2.111,0.01,-0.12,0.99,2.79,-9.36,41.91
2.135,-0.01,-0.12,1.0,1.85,-7.05,43.62
2.153,0.0,-0.12,1.0,1.6,-7.89,43.88
2.171,0.01,-0.13,1.0,2.67,-11.5,45.36
2.195,-0.01,-0.13,1.0,1.45,-8.79,46.66
2.213,-0.0,-0.12,1.01,2.03,-6.08,47.45
2.232,-0.0,-0.12,0.99,3.28,-8.6,48.34
2.255,-0.0,-0.13,1.0,1.92,-8.61,50.12
2.273,0.0,-0.13,1.0,1.21,-6.73,50.79
2.292,-0.0,-0.13,0.99,2.96,-9.18,51.37
2.315,-0.01,-0.12,0.98,2.95,-8.72,54.06
2.333,-0.01,-0.13,0.99,1.11,-7.3,55.59
2.352,0.0,-0.13,1.0,0.99,-8.23,57.15
2.375,0.02,-0.13,1.0,0.41,-11.22,58.38
2.394,0.03,-0.14,1.0,-0.2,-11.04,59.57
2.412,0.02,-0.15,1.01,-0.14,-8.69,61.1
2.435,0.02,-0.15,1.0,1.07,-8.34,62.05
2.454,0.01,-0.16,1.0,1.16,-7.36,63.13
2.472,-0.01,-0.15,0.99,1.15,-6.52,65.1
2.49,-0.0,-0.15,0.99,0.66,-6.99,66.4
2.514,0.01,-0.17,1.0,-0.03,-8.55,69.3
2.532,0.02,-0.17,0.99,-0.08,-7.08,72.09
2.551,0.03,-0.17,1.0,1.65,-5.02,73.6
2.574,0.02,-0.16,0.99,1.62,-4.06,74.89
2.593,0.02,-0.16,1.0,0.81,-4.78,75.95
2.611,0.02,-0.17,0.99,1.05,-4.43,76.67
2.634,0.01,-0.18,0.99,1.71,-5.01,76.11
2.653,0.03,-0.17,0.99,2.5,-10.02,74.52
2.671,0.03,-0.16,0.99,3.34,-12.49,74.67
2.694,0.02,-0.18,1.0,2.52,-10.63,75.77
2.713,0.04,-0.18,1.01,2.4,-13.19,73.04
2.731,0.06,-0.18,0.99,4.87,-19.15,73.21
2.754,0.03,-0.17,0.99,5.16,-11.91,76.89
2.773,0.02,-0.16,0.99,4.0,-6.78,75.71
2.791,0.05,-0.16,0.99,5.63,-13.91,75.74
2.815,0.05,-0.17,0.97,5.39,-13.68,75.36
2.833,0.02,-0.16,0.99,5.25,-8.96,76.76
2.852,0.01,-0.15,0.98,5.42,-8.5,78.12
2.875,0.03,-0.15,0.98,5.68,-12.12,78.21
2.893,0.03,-0.17,0.98,3.1,-11.51,79.24
2.912,0.06,-0.17,0.97,1.44,-12.15,79.71
2.935,0.04,-0.17,0.97,0.37,-12.89,81.04
2.953,-0.0,-0.18,0.95,-0.5,-9.91,82.21
2.972,-0.01,-0.19,0.95,-1.15,-10.53,83.19
2.995,0.02,-0.18,0.93,-2.32,-15.89,84.31
3.013,0.05,-0.18,0.94,-3.56,-15.71,87.24
3.031,0.04,-0.22,0.97,-8.21,-13.79,86.84
3.055,0.06,-0.22,0.96,-8.05,-20.11,85.76
3.073,0.05,-0.2,0.95,-6.49,-19.92,86.89
3.091,0.06,-0.22,0.97,-10.32,-16.27,86.21
3.114,0.1,-0.24,0.99,-11.34,-23.33,85.28
3.132,0.15,-0.25,0.99,-9.42,-27.51,84.08
3.151,0.16,-0.25,1.01,-9.25,-21.25,81.97
3.174,0.13,-0.24,1.0,-8.4,-16.63,80.08
3.192,0.12,-0.26,0.98,-6.58,-15.74,77.36
3.211,0.12,-0.27,0.98,-6.93,-15.54,74.09
3.234,0.14,-0.27,1.0,-5.13,-12.47,76.14
3.252,0.12,-0.28,1.0,-5.39,-9.91,71.18
3.271,0.2,-0.27,0.98,-2.23,-17.92,69.08
3.294,0.13,-0.26,0.98,-2.95,-7.22,67.53
3.312,0.09,-0.27,0.97,-4.56,1.13,65.88
3.331,0.16,-0.28,0.98,-6.14,-10.15,67.27
3.354,0.25,-0.24,0.97,-3.05,-13.44,68.12
3.372,0.32,-0.23,1.0,-3.4,-4.95,66.5
3.391,0.37,-0.22,1.01,-4.41,-3.33,58.96
3.414,0.4,-0.21,1.03,-2.99,-4.99,51.39
3.433,0.4,-0.21,1.03,-4.85,0.26,39.36
3.451,0.36,-0.19,1.03,-2.7,3.01,30.92
3.474,0.31,-0.22,1.03,-2.27,5.19,21.54
3.493,0.25,-0.24,1.03,-0.78,0.49,10.95
3.511,0.23,-0.24,1.01,3.6,-3.18,6.12
3.532,0.15,-0.24,0.99,3.05,4.02,2.32
3.555,0.1,-0.24,0.99,3.51,5.57,-0.79
3.574,0.08,-0.24,0.98,5.19,-0.76,-1.59
3.592,0.06,-0.23,0.98,5.16,-0.89,-1.5
3.611,0.08,-0.21,0.96,2.96,1.16,-0.24
3.632,0.09,-0.19,0.95,3.56,0.64,1.33
3.652,0.11,-0.19,0.95,1.48,0.56,0.69
3.672,0.13,-0.18,0.95,1.71,0.6,0.7
3.695,0.12,-0.18,0.96,-0.05,1.8,-1.33
3.714,0.1,-0.19,0.97,-0.32,3.63,-2.17
3.732,0.08,-0.19,0.98,-1.59,2.38,-4.02
3.75,0.07,-0.21,0.99,-1.53,3.34,-3.05
3.774,0.05,-0.21,0.99,-1.94,5.47,-3.16
3.793,0.07,-0.21,1.0,0.14,4.08,-2.87
3.811,0.08,-0.2,1.0,0.55,0.02,-2.69
3.834,0.07,-0.2,1.0,1.11,2.92,-2.09
3.853,0.06,-0.2,1.01,0.37,4.67,-2.46
3.871,0.06,-0.2,0.99,2.72,2.23,-2.46
3.895,0.07,-0.19,0.99,3.27,0.87,-2.63
3.914,0.07,-0.19,1.01,3.68,2.64,-1.59
3.932,0.07,-0.19,0.99,2.14,2.78,-1.88
3.951,0.08,-0.19,0.99,3.34,0.18,-2.56
3.974,0.1,-0.18,0.99,2.69,2.21,-2.24
3.993,0.08,-0.18,0.98,2.43,3.98,-2.34
