timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.003,0.02,-0.03,1.03,-1.94,-4.58,-1.31
0.012,0.03,-0.02,1.01,-0.9,-1.73,-2.49
0.018,0.01,-0.04,1.01,-0.29,-2.08,-3.25
0.023,0.06,-0.02,1.03,-3.82,-4.69,-6.21
0.028,0.11,-0.01,1.02,-3.57,-0.98,-2.87
0.033,0.03,-0.02,1.02,-5.28,0.79,-1.98
0.039,0.01,-0.02,1.0,-5.25,-0.05,-2.5
0.046,0.0,-0.04,1.01,-3.42,-5.89,-3.33
0.05,0.07,-0.02,1.02,-3.39,-8.09,-2.47
0.056,0.05,-0.03,1.02,-3.22,-6.75,-1.8
0.06,0.06,-0.02,1.01,-1.3,-3.68,-1.86
0.063,0.04,-0.03,1.02,-1.57,-3.59,-1.59
0.065,0.07,-0.04,0.99,0.02,-3.86,-1.33
0.067,0.06,-0.02,1.02,1.33,-1.48,-0.09
0.069,0.04,-0.03,1.03,0.75,2.18,-0.2
0.072,0.02,-0.01,1.01,-0.98,1.57,-1.54
0.075,0.02,-0.03,1.03,-2.98,-0.79,-2.82
0.078,0.03,-0.06,1.02,-2.41,-2.02,-4.55
0.08,0.06,-0.03,1.02,-3.74,-1.73,-3.91
0.082,0.03,-0.01,1.04,-4.78,-1.47,-3.68
0.084,0.0,0.01,1.06,-13.19,6.73,-5.05
0.086,-0.05,0.01,1.07,-22.26,5.39,-9.51
0.089,-0.1,-0.0,1.05,-22.41,6.81,-17.07
0.091,-0.23,-0.03,1.13,-32.56,6.5,-36.23
0.092,-0.15,0.01,1.06,-33.08,7.88,-47.86
0.094,-0.12,-0.01,1.0,-32.05,6.9,-49.69
0.096,-0.19,-0.03,0.99,-27.02,10.37,-53.25
0.098,-0.28,-0.03,1.02,-21.24,2.4,-61.18
0.1,-0.32,-0.01,1.15,-24.95,3.82,-74.21
0.102,-0.32,0.0,1.18,-38.41,2.4,-89.6
0.104,-0.25,-0.01,1.19,-45.22,-5.56,-102.0
0.106,-0.22,-0.0,1.14,-54.47,-6.49,-109.79
0.108,-0.19,-0.03,1.1,-59.42,-15.28,-117.08
0.11,-0.13,0.01,0.97,-66.69,-34.72,-123.28
0.113,-0.12,-0.01,0.89,-60.73,-53.92,-129.34
0.115,-0.23,0.06,1.19,-63.36,-140.47,-124.09
0.117,0.14,-0.03,0.95,-47.94,-123.77,-133.89
0.119,0.23,-0.0,0.97,-43.62,-93.19,-135.04
0.121,0.33,-0.04,0.9,-60.24,-123.86,-125.76
0.123,0.35,-0.1,0.83,-75.39,-96.31,-117.34
0.125,0.49,-0.15,0.79,-82.27,-68.61,-108.5
0.127,0.43,-0.13,0.85,-60.0,-39.4,-104.49
0.129,0.45,-0.09,0.78,-44.12,-2.93,-103.21
0.131,0.38,-0.11,0.76,-47.47,-7.69,-102.43
0.133,0.44,-0.09,0.71,-56.55,11.5,-107.51
0.135,0.49,-0.13,0.82,-51.69,21.13,-112.9
0.137,0.55,-0.08,0.82,-45.45,22.29,-109.28
0.139,0.55,-0.09,0.81,-39.85,21.25,-102.05
0.141,0.49,-0.12,0.85,-33.11,22.6,-95.22
0.143,0.45,-0.15,0.91,-27.05,5.24,-90.21
0.146,0.38,-0.14,0.89,-28.31,4.11,-89.86
0.148,0.31,-0.16,0.92,-33.92,8.2,-103.5
0.15,0.47,-0.16,0.98,-40.6,14.17,-115.8
0.152,0.53,-0.12,1.02,-49.42,11.85,-117.45
0.154,0.56,-0.1,0.93,-58.98,23.88,-113.95
0.156,0.54,-0.08,0.83,-71.66,8.96,-108.09
0.158,0.54,-0.12,0.8,-70.61,12.9,-106.31
0.16,0.53,-0.13,0.8,-60.4,25.24,-106.58
0.162,0.56,-0.08,0.82,-45.07,32.43,-104.26
0.163,0.61,-0.08,0.92,-40.69,24.37,-99.73
0.165,0.73,-0.11,0.87,-48.34,32.69,-94.47
0.168,0.62,-0.12,0.94,-44.26,16.21,-84.26
0.169,0.66,-0.13,0.88,-56.72,14.21,-75.51
0.171,0.57,-0.17,0.84,-48.56,64.02,-79.36
0.173,0.42,-0.17,1.04,-48.27,9.59,-82.43
0.176,0.54,-0.16,0.98,-41.37,-34.29,-82.05
0.177,0.63,-0.14,0.89,-42.56,-64.11,-72.92
0.179,0.67,-0.18,0.84,-34.89,-70.87,-62.18
0.181,0.67,-0.19,0.77,-18.98,-85.04,-56.53
0.183,0.73,-0.15,0.74,-5.63,-65.57,-56.08
0.185,0.78,-0.18,0.76,8.49,-14.4,-58.79
0.188,0.79,-0.18,0.73,-1.39,-4.09,-50.78
0.19,0.88,-0.25,0.65,3.02,17.97,-44.05
0.192,0.78,-0.2,0.74,-20.85,8.18,-32.34
0.194,0.7,-0.17,0.76,-23.04,-21.59,-22.75
0.196,0.6,-0.15,0.67,-32.81,20.87,-33.92
0.198,0.59,-0.2,0.67,-40.66,66.63,-46.17
0.2,0.58,-0.21,0.66,-28.32,55.37,-51.57
0.202,0.63,-0.2,0.68,-17.71,41.44,-48.2
0.204,0.63,-0.18,0.81,-9.47,42.7,-42.93
0.205,0.56,-0.18,0.89,-7.88,69.76,-42.0
0.208,0.42,-0.14,0.95,-22.75,80.05,-50.02
0.209,0.44,-0.14,0.88,-34.47,79.44,-64.69
