timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.006,0.23,-0.01,1.05,-3.36,3.56,-4.5
0.015,0.26,-0.01,1.0,2.35,-2.44,-2.72
0.023,0.26,0.0,0.99,0.38,0.81,-4.08
0.029,0.28,0.01,0.98,0.24,-1.57,-4.05
0.035,0.27,-0.01,0.99,-0.85,2.29,-3.71
0.04,0.26,-0.01,0.98,-1.6,-1.62,-1.07
0.045,0.27,-0.01,0.97,-0.14,-7.13,-0.38
0.049,0.24,0.01,1.0,-1.42,-2.41,1.22
0.052,0.25,0.01,1.01,-1.13,-1.04,-0.55
0.054,0.27,0.0,0.95,-1.74,1.42,-2.46
0.057,0.26,0.0,0.96,-1.24,0.26,-3.51
0.06,0.26,0.0,0.98,-1.47,0.79,-2.46
0.062,0.25,-0.01,0.97,-0.49,6.44,-2.69
0.064,0.23,-0.0,0.95,-2.29,5.15,-1.82
0.066,0.26,-0.0,0.93,-2.55,-3.82,-2.66
0.068,0.28,-0.0,0.96,2.9,-5.37,-3.73
0.07,0.26,-0.01,1.01,6.7,0.38,-3.54
0.072,0.27,0.05,1.04,-2.08,5.77,-1.07
0.074,0.32,0.04,1.05,6.95,11.74,-3.82
0.076,0.28,0.04,1.04,-6.37,14.09,-4.12
0.078,0.33,0.05,1.03,-0.75,-0.73,0.2
0.08,0.42,0.06,1.0,-4.21,-12.7,3.77
0.083,0.44,0.09,1.06,-1.94,-12.89,11.48
0.085,0.38,0.09,1.13,-2.89,-3.4,20.23
0.088,0.48,0.11,1.11,-8.52,-1.59,25.77
0.09,0.55,0.13,1.13,-11.33,5.45,34.53
0.092,0.65,0.15,1.12,-11.85,7.92,47.98
0.094,0.47,0.11,1.1,-13.01,13.45,72.49
0.096,0.38,0.05,1.08,-16.75,-3.02,85.37
0.098,0.38,0.03,1.04,-24.38,-13.19,85.34
0.1,0.37,0.04,1.07,-29.73,-2.44,79.85
0.103,0.39,0.01,1.07,-34.78,3.73,76.0
0.105,0.41,0.01,1.04,-30.43,-8.4,80.35
0.107,0.39,-0.04,1.06,-21.51,-19.65,89.24
