timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.001,-0.24,-0.03,0.97,1.54,0.52,4.89
0.003,-0.26,-0.0,0.94,2.7,-1.65,5.98
0.004,-0.26,0.01,0.95,0.15,-4.87,6.31
0.005,-0.25,-0.01,0.95,0.21,-6.99,7.34
0.006,-0.22,0.0,0.95,-0.76,-4.93,8.06
0.007,-0.23,-0.0,0.95,-1.18,-6.61,7.71
0.008,-0.22,0.0,0.97,-1.21,-6.4,7.56
0.009,-0.22,-0.01,0.97,-1.11,-3.11,7.59
0.01,-0.25,-0.02,0.97,-0.89,-3.05,7.88
0.011,-0.26,-0.02,0.97,-0.58,-5.07,9.15
0.013,-0.24,-0.02,0.97,0.64,-3.59,9.37
0.014,-0.23,0.0,0.95,-1.07,-2.31,10.52
0.015,-0.22,-0.0,0.96,-1.42,-6.84,10.03
0.016,-0.19,0.0,0.96,-1.57,-7.47,10.5
0.017,-0.18,-0.01,0.98,-0.41,-5.34,8.34
0.018,-0.18,-0.01,0.97,0.76,-5.68,7.6
0.018,-0.18,-0.01,0.98,0.44,-5.08,7.21
0.019,-0.19,-0.01,0.98,1.53,-3.1,7.3
0.02,-0.19,-0.0,0.98,1.63,-3.98,6.84
0.022,-0.17,-0.0,0.98,0.12,-3.42,6.34
0.023,-0.17,-0.01,0.99,1.68,-1.57,5.44
0.024,-0.19,-0.01,0.98,2.75,0.72,5.48
0.025,-0.22,-0.01,0.98,2.93,0.95,5.79
0.026,-0.21,-0.01,0.97,2.49,0.14,6.44
0.026,-0.22,-0.0,0.96,2.12,-1.44,7.42
0.027,-0.21,-0.01,0.97,0.47,-1.08,7.65
0.028,-0.22,-0.01,0.98,1.44,-3.42,7.15
0.029,-0.2,-0.01,0.98,3.11,-6.06,8.18
0.03,-0.18,-0.02,0.98,1.98,-4.23,8.0
0.031,-0.16,-0.01,0.98,3.5,-3.48,7.97
0.032,-0.18,-0.0,0.96,3.36,-2.12,6.89
0.033,-0.19,0.0,0.96,3.27,-3.1,7.15
0.034,-0.17,0.01,0.96,2.43,-3.36,6.98
0.034,-0.19,0.01,0.96,2.61,-3.11,7.28
0.035,-0.21,0.01,0.96,2.41,-4.72,7.1
0.036,-0.21,0.02,0.96,0.73,-5.16,8.53
0.037,-0.22,0.02,0.97,-1.66,-3.94,9.47
0.038,-0.25,-0.0,0.98,0.14,-9.56,9.8
0.039,-0.25,0.01,0.97,0.79,-10.49,13.44
0.04,-0.26,0.01,0.97,-1.68,-7.22,15.15
0.04,-0.27,-0.0,0.98,-0.64,-10.26,17.51
0.041,-0.29,-0.01,0.96,-0.87,-13.36,20.69
0.042,-0.29,-0.01,0.96,-2.75,-13.1,26.89
0.043,-0.28,-0.02,0.98,-3.66,-13.62,29.1
0.044,-0.29,-0.02,0.98,-1.56,-17.01,33.79
0.044,-0.32,-0.02,0.97,-4.52,-17.07,37.97
0.045,-0.32,-0.02,0.97,-4.55,-19.53,42.32
0.046,-0.32,-0.02,0.97,-3.83,-21.11,47.79
0.047,-0.36,-0.03,0.95,-5.24,-21.92,53.76
0.048,-0.37,-0.02,0.94,-6.52,-27.97,60.6
0.048,-0.34,-0.04,0.94,-8.35,-31.18,67.21
0.049,-0.37,-0.04,0.92,-9.3,-30.73,79.33
