timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0,0.43,0.95,-0.04,0.15,0.12,-0.93
0.03,0.44,0.95,-0.02,2.17,-0.79,-0.72
0.05,0.43,0.95,-0.03,4.98,-0.69,-1.8
0.07,0.43,0.96,-0.08,5.74,-1.85,-1.45
0.1,0.44,0.96,-0.09,2.78,-1.18,-1.45
0.12,0.43,0.95,-0.1,0.69,-1.97,-2.05
0.15,0.42,0.94,-0.09,-0.87,-1.42,-1.66
0.17,0.43,0.94,-0.06,-1.98,2.46,-0.79
0.19,0.44,0.94,-0.04,1.01,2.29,-0.92
0.22,0.43,0.95,-0.06,1.47,1.69,-1.4
0.24,0.41,0.94,-0.05,2.17,-0.38,-1.33
0.26,0.42,0.94,-0.06,4.43,-0.23,-0.84
0.29,0.43,0.96,-0.08,4.69,0.53,-0.14
0.31,0.43,0.95,-0.11,0.31,-0.5,-0.32
0.34,0.42,0.96,-0.13,-3.37,-0.55,-0.53
0.36,0.42,0.96,-0.14,-10.53,-4.09,1.13
0.39,0.45,0.94,-0.12,-13.05,-6.78,1.24
0.41,0.46,0.94,-0.09,-13.08,-3.73,1.65
0.44,0.47,0.94,-0.08,-11.53,-3.27,-0.67
0.46,0.47,0.94,-0.09,-8.73,-2.72,-3.22
0.49,0.46,0.95,-0.11,-10.44,-7.13,-4.67
0.51,0.46,0.96,-0.15,-16.11,-11.51,-6.37
0.54,0.47,0.96,-0.15,-17.8,-12.92,-7.34
0.56,0.45,0.95,-0.15,-21.33,-14.23,-9.42
0.59,0.35,1.04,-0.17,-28.0,-12.85,-12.7
0.61,0.42,0.94,-0.14,-28.67,-8.79,-12.26
0.64,0.37,0.95,-0.14,-34.29,-11.33,-11.56
0.66,0.33,0.89,-0.24,-41.08,-25.83,-6.61
0.69,0.36,0.93,-0.29,-58.06,-25.82,-0.89
0.71,0.39,0.89,-0.2,-78.31,-12.87,6.96
0.74,0.37,0.83,-0.13,-88.5,-12.67,10.61
0.76,0.42,0.84,-0.12,-97.69,-9.88,18.92
0.79,0.42,0.84,-0.06,-114.09,-1.33,23.39
0.81,0.44,0.78,0.07,-129.63,15.34,29.08
0.84,0.45,0.73,0.16,-135.31,18.2,26.67
0.86,0.37,0.68,0.21,-122.7,-6.56,21.19
0.89,0.43,0.78,0.15,-128.55,-19.77,29.66
0.91,0.44,0.74,0.21,-159.53,-17.77,32.76
0.94,0.46,0.66,0.26,-159.8,-33.24,29.82
0.96,0.55,0.67,0.3,-171.56,-19.65,33.92
0.99,0.55,0.62,0.39,-189.25,-2.43,34.56
1.01,0.5,0.47,0.53,-190.85,-15.45,25.48
1.04,0.55,0.48,0.5,-185.48,-23.92,28.15
1.06,0.67,0.39,0.56,-187.04,-3.5,22.11
1.09,0.64,0.3,0.65,-188.38,11.73,15.74
1.11,0.7,0.17,0.74,-186.75,30.0,11.88
