timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.004,0.02,-0.95,-0.38,0.56,-0.35,0.6
0.014,0.01,-0.94,-0.37,0.84,-0.69,0.05
0.021,-0.03,-0.95,-0.36,-0.64,1.05,-0.09
0.026,-0.01,-0.94,-0.39,0.52,-0.55,-1.07
0.03,0.0,-0.94,-0.39,-0.09,0.29,-2.93
0.034,-0.07,-0.92,-0.34,1.11,6.5,-2.92
0.037,-0.01,-0.93,-0.38,-1.44,-5.05,-1.07
0.039,0.06,-0.93,-0.39,-1.5,-4.27,-4.47
0.041,0.04,-0.94,-0.45,-0.99,3.11,-3.97
0.043,0.07,-0.96,-0.43,1.83,-2.29,-0.69
0.045,-0.0,-0.95,-0.36,6.11,3.56,0.03
0.047,-0.08,-0.95,-0.31,9.94,8.41,2.02
0.05,-0.02,-0.93,-0.28,4.99,-3.57,0.84
0.052,0.0,-0.93,-0.34,3.13,-0.09,-3.63
0.054,-0.09,-1.0,-0.42,-1.16,4.35,-4.09
0.056,-0.07,-0.97,-0.42,4.26,15.76,-11.47
0.059,-0.02,-0.98,-0.45,2.85,9.24,-14.67
0.06,0.01,-0.95,-0.43,6.0,3.77,-11.36
0.063,0.04,-0.96,-0.47,10.61,7.01,-13.24
0.065,0.02,-0.94,-0.46,14.93,14.72,-15.33
0.067,0.01,-0.96,-0.49,20.32,18.96,-15.59
0.069,0.01,-0.98,-0.56,24.03,25.31,-18.41
0.072,-0.01,-1.01,-0.69,29.97,32.44,-19.68
0.074,0.0,-1.05,-0.81,42.12,45.15,-26.11
0.076,0.0,-0.98,-0.75,59.16,57.82,-33.19
0.078,0.1,-0.9,-0.76,75.77,47.15,-28.98
0.08,0.04,-0.82,-0.68,95.19,62.21,-20.7
0.082,0.03,-0.86,-0.6,115.54,60.52,-11.88
0.084,-0.08,-0.9,-0.5,127.92,68.17,-10.56
0.086,-0.18,-0.9,-0.39,144.89,79.18,-14.37
0.088,-0.13,-0.83,-0.31,158.17,65.82,-17.76
0.09,-0.03,-0.77,-0.28,168.26,41.48,-18.44
0.092,0.06,-0.72,-0.15,180.4,19.91,-16.26
0.094,0.0,-0.7,-0.01,190.03,38.09,-24.58
0.096,-0.05,-0.7,0.09,190.35,67.71,-39.24
0.098,0.03,-0.7,0.04,185.18,79.73,-50.75
0.1,0.15,-0.62,0.15,190.02,57.71,-40.11
0.102,0.18,-0.55,0.31,203.21,23.31,-16.56
0.104,0.06,-0.58,0.33,199.97,22.17,-7.4
0.106,-0.03,-0.57,0.32,195.8,44.27,-16.56
0.108,0.01,-0.46,0.36,197.54,50.06,-32.5
0.11,0.14,-0.38,0.4,204.6,67.28,-53.45
0.112,0.19,-0.19,0.61,214.17,79.6,-52.31
0.114,-0.04,-0.12,0.78,213.94,57.18,-22.85
0.116,-0.61,0.02,0.8,196.06,52.61,-12.09
0.118,-0.18,-0.06,0.62,184.23,24.27,-29.28
0.12,-0.02,0.01,0.69,189.34,67.77,-68.12
0.122,0.1,0.12,0.82,188.75,89.85,-80.78
0.124,0.19,0.15,0.86,186.37,93.19,-68.32
0.126,0.14,0.25,0.95,179.74,59.36,-21.19
0.128,0.08,0.44,1.16,189.68,-42.76,47.86
0.13,-0.01,0.54,1.56,186.0,-75.57,56.11
0.132,0.12,0.35,1.4,137.16,-15.28,-1.92
0.134,0.3,0.18,1.12,91.45,113.74,-66.47
0.136,0.32,0.25,1.12,94.87,113.73,-45.73
0.138,0.08,0.41,1.34,96.5,-2.17,42.46
0.14,-0.2,0.43,1.54,80.5,-48.99,75.02
0.142,-0.03,0.24,1.47,38.56,-66.53,55.15
0.144,-0.0,0.08,0.99,15.73,-34.55,14.44
0.146,-0.11,0.17,0.93,31.05,-47.97,23.51
0.148,-0.05,0.38,1.47,85.77,-126.76,36.72
0.15,0.26,0.36,1.49,66.9,-95.47,6.53
0.152,0.55,0.31,1.51,37.27,-43.44,-25.94
0.154,0.53,0.26,1.29,41.21,-37.86,-12.2
0.156,0.44,0.24,1.06,54.09,-47.69,16.78
0.157,0.18,0.21,1.02,50.31,-30.73,30.75
0.159,0.16,0.28,1.13,55.57,5.71,12.81
0.162,0.21,0.29,1.16,51.36,28.63,-0.09
0.164,0.18,0.29,1.09,40.93,42.66,-0.95
0.166,0.19,0.31,1.0,52.37,27.05,2.73
0.168,0.12,0.33,0.99,54.27,33.63,4.76
0.17,0.06,0.34,0.97,49.05,53.88,0.58
0.172,0.14,0.42,1.09,50.55,45.89,-2.6
0.174,0.19,0.41,1.03,48.47,28.12,-4.67
0.175,0.16,0.44,1.06,37.01,20.18,-0.37
0.177,0.15,0.4,1.01,30.37,11.85,4.18
0.179,0.17,0.38,1.0,25.4,6.38,4.21
0.181,0.17,0.38,0.98,25.15,15.91,-0.72
0.183,0.12,0.41,1.0,26.4,16.27,-0.34
0.185,0.03,0.42,0.99,22.9,8.66,5.6
0.187,0.05,0.43,1.0,17.89,-4.64,4.7
0.189,0.07,0.42,0.98,12.23,-11.19,-2.79
0.191,0.14,0.43,0.97,8.17,-13.63,-4.67
0.192,0.17,0.45,1.05,9.05,-12.56,-5.79
0.194,0.18,0.43,1.02,-1.04,-10.24,-1.82
0.196,0.2,0.42,0.96,-6.66,-17.85,3.71
0.198,0.17,0.39,0.91,-12.14,-14.12,7.98
0.2,0.12,0.38,0.88,-10.17,-12.03,8.06
0.202,0.12,0.39,0.92,-8.11,-0.53,5.53
0.204,0.11,0.4,0.95,-8.26,-1.85,3.04
0.206,0.14,0.41,0.96,-9.08,-6.89,3.19
0.208,0.17,0.4,0.94,-10.32,-8.76,2.98
0.209,0.19,0.4,0.96,-11.05,-7.24,3.22
0.211,0.18,0.4,0.96,-10.15,-9.07,6.41
0.213,0.16,0.41,0.99,-12.34,-8.69,8.85
0.215,0.16,0.41,1.03,-11.6,-12.24,10.21
0.217,0.17,0.41,1.02,-13.31,-11.89,10.64
0.219,0.18,0.42,1.07,-13.01,-11.36,9.82
0.221,0.19,0.42,1.1,-14.06,-10.12,9.39
0.222,0.22,0.42,1.13,-18.29,-12.02,9.37
0.224,0.23,0.41,1.14,-21.6,-9.11,9.65
0.226,0.2,0.43,1.18,-22.78,0.82,6.93
0.228,0.21,0.44,1.24,-26.46,6.41,8.49
0.23,0.24,0.44,1.26,-33.33,7.68,10.55
0.231,0.22,0.43,1.23,-42.73,15.62,12.5
0.234,0.21,0.42,1.26,-46.96,18.24,13.62
0.235,0.21,0.4,1.29,-51.76,18.96,15.59
0.237,0.18,0.38,1.25,-60.78,24.05,18.03
0.239,0.13,0.34,1.21,-70.46,26.2,16.24
0.241,0.19,0.32,1.16,-76.96,23.42,10.15
0.243,0.18,0.31,1.15,-82.06,26.14,7.8
0.245,0.2,0.3,1.14,-83.45,26.67,10.05
0.264,0.15,0.27,1.13,-90.4,30.69,11.88
0.282,0.09,0.23,1.07,-95.13,27.83,10.78
0.301,0.08,0.2,1.03,-98.7,17.65,8.55
0.324,0.14,0.16,1.04,-98.29,6.26,6.64
0.343,0.14,0.12,1.01,-101.63,4.52,10.29
0.362,0.13,0.05,0.89,-110.87,18.08,9.59
0.384,0.15,0.06,0.95,-107.76,10.9,12.76
0.403,0.06,0.02,0.92,-105.28,-4.82,21.89
0.422,-0.0,-0.05,0.87,-103.97,-5.66,19.08
0.444,0.11,-0.06,0.92,-99.74,-5.85,5.33
0.463,0.12,-0.1,0.9,-96.55,-3.63,3.33
0.482,0.13,-0.12,0.93,-98.87,-0.76,7.95
0.504,0.06,-0.13,0.86,-97.18,-0.49,12.05
0.524,0.06,-0.1,1.01,-97.85,3.19,8.56
0.541,0.07,-0.08,1.07,-99.13,31.6,-9.19
0.564,0.07,-0.21,0.87,-124.73,55.05,-24.2
0.582,0.15,-0.27,0.81,-131.21,46.85,-24.64
0.602,0.11,-0.36,0.69,-133.18,24.82,-7.31
0.624,0.07,-0.38,0.76,-121.28,-13.05,13.79
0.642,-0.04,-0.51,0.55,-125.79,1.45,13.66
0.665,-0.0,-0.51,0.67,-113.33,0.95,7.73
0.683,0.06,-0.53,0.69,-99.68,-8.53,4.85
0.702,0.04,-0.56,0.64,-94.43,-0.38,4.69
0.725,0.02,-0.62,0.57,-97.63,-0.32,13.1
0.743,-0.06,-0.71,0.44,-90.29,-3.82,19.28
0.762,-0.05,-0.66,0.55,-73.97,-11.86,21.8
0.784,-0.01,-0.66,0.59,-64.14,-27.02,23.42
0.803,-0.01,-0.68,0.7,-63.5,-6.9,17.08
0.822,0.0,-0.66,0.57,-63.66,-3.37,13.19
0.844,-0.01,-0.72,0.47,-74.27,-3.83,14.85
0.862,-0.05,-0.77,0.47,-74.09,-15.08,15.15
0.883,0.01,-0.72,0.54,-60.67,-18.92,12.89
0.904,0.12,-0.67,0.52,-55.65,-14.21,12.06
0.923,-0.01,-0.77,0.44,-51.91,-7.94,12.7
0.945,0.06,-0.77,0.48,-71.71,58.64,2.14
0.963,-0.09,-0.75,0.53,-58.34,13.3,4.79
0.982,0.01,-0.78,0.47,-67.07,-40.17,5.53
1.005,0.03,-0.83,0.45,-103.68,-28.27,9.27
1.023,-0.06,-0.85,0.37,-88.41,-39.02,22.58
1.041,-0.09,-0.9,0.3,-82.17,-10.27,18.66
1.064,-0.06,-0.91,0.28,-75.6,-10.84,12.43
1.083,-0.02,-0.91,0.32,-75.94,-16.61,7.48
1.101,-0.05,-0.91,0.29,-76.37,-13.86,4.26
1.124,-0.05,-0.9,0.33,-73.42,-6.31,1.04
1.142,-0.1,-0.97,0.26,-76.9,-17.91,6.08
1.161,-0.05,-0.95,0.24,-79.69,-23.59,3.74
1.184,-0.13,-0.84,0.45,-80.64,-25.19,0.63
1.202,-0.23,-0.6,0.75,-85.34,-49.05,10.64
1.224,0.02,-0.62,0.58,-145.62,-104.78,26.78
1.243,0.31,-0.91,-0.12,-218.78,-108.84,40.29
1.262,-0.06,-1.23,-0.63,-242.73,-41.54,59.13
1.284,-0.33,-1.12,-0.44,-188.53,-17.62,68.79
1.302,-0.18,-1.03,-0.28,-112.03,20.43,3.59
1.325,0.05,-0.98,-0.29,-96.14,25.6,-27.54
1.343,-0.03,-1.08,-0.44,-86.31,18.12,-18.38
1.361,-0.11,-1.07,-0.44,-80.02,-24.29,9.27
1.384,-0.04,-1.1,-0.5,-60.17,-11.97,-1.86
1.403,-0.09,-0.99,-0.33,-41.33,16.0,-15.33
1.423,-0.09,-0.96,-0.19,-32.99,20.05,-23.13
1.443,-0.1,-0.9,-0.1,-48.23,-2.2,-12.7
1.461,0.07,-0.92,-0.19,-55.44,-42.76,0.61
1.484,0.1,-0.95,-0.15,-61.63,-58.69,13.83
1.503,-0.09,-0.95,-0.22,-65.4,-36.29,19.86
1.522,-0.18,-0.97,-0.29,-63.76,-11.77,14.6
1.544,-0.04,-0.9,-0.33,-69.42,-7.16,2.47
1.562,0.11,-0.88,-0.38,-70.11,-24.44,7.56
1.582,0.09,-0.77,-0.33,-72.52,-50.78,35.33
1.603,-0.12,-0.84,-0.42,-84.85,-43.33,59.63
1.622,-0.37,-0.94,-0.55,-89.83,-17.91,65.08
1.644,-0.47,-0.92,-0.56,-78.53,-0.09,48.27
1.663,-0.25,-0.85,-0.59,-63.73,-19.88,31.62
1.682,-0.1,-0.83,-0.56,-64.56,-21.8,15.63
1.704,-0.05,-0.72,-0.42,-52.61,-39.07,32.2
1.722,-0.22,-0.71,-0.42,-60.24,-29.31,46.24
1.745,-0.4,-0.79,-0.58,-64.61,-31.31,56.09
1.763,-0.44,-0.77,-0.58,-69.79,-32.99,51.1
1.782,-0.24,-0.63,-0.49,-55.6,-17.16,33.25
1.804,-0.22,-0.66,-0.64,-75.1,-16.32,39.1
1.822,-0.13,-0.66,-0.68,-85.25,-35.07,56.0
1.845,-0.22,-0.55,-0.49,-88.79,-34.32,78.81
1.863,-0.49,-0.65,-0.7,-94.2,-18.56,78.76
1.881,-0.69,-0.8,-0.93,-103.16,-43.53,92.67
1.904,-0.68,-0.93,-1.3,-80.38,-49.54,63.44
1.922,-0.73,-0.77,-1.1,-30.92,-29.15,29.79
1.941,-0.65,-0.59,-0.66,9.34,-21.08,2.17
1.963,-0.5,-0.5,-0.4,27.85,-13.47,-21.36
1.982,-0.46,-0.56,-0.58,3.63,-12.27,-20.78
2.005,-0.31,-0.65,-0.76,-7.31,-25.22,-14.66
2.023,-0.3,-0.72,-0.79,0.5,-16.18,-11.3
2.041,-0.41,-0.64,-0.58,14.95,9.44,-9.8
2.064,-0.4,-0.51,-0.41,21.15,18.85,-14.15
2.083,-0.42,-0.61,-0.59,8.26,10.03,-7.83
2.101,-0.49,-0.74,-0.82,-5.4,-8.6,8.82
2.124,-0.44,-0.74,-0.79,-0.56,-4.7,3.85
2.143,-0.41,-0.63,-0.59,15.59,9.66,-7.07
2.161,-0.42,-0.6,-0.51,17.36,15.11,-8.93
2.184,-0.47,-0.67,-0.63,11.6,14.66,-5.48
2.202,-0.48,-0.68,-0.65,7.04,10.32,-4.66
2.221,-0.45,-0.67,-0.65,13.5,7.91,-8.73
2.244,-0.42,-0.64,-0.57,12.69,-0.15,-8.15
2.262,-0.36,-0.64,-0.55,11.36,-2.56,-7.86
2.285,-0.36,-0.66,-0.59,5.57,-3.59,-4.81
2.303,-0.39,-0.74,-0.7,4.95,-4.06,1.37
2.321,-0.4,-0.73,-0.7,7.95,-0.08,3.1
2.345,-0.37,-0.71,-0.67,17.13,3.66,-2.44
2.363,-0.37,-0.68,-0.6,23.04,20.76,-9.22
2.381,-0.48,-0.64,-0.49,28.56,27.69,-7.62
2.405,-0.53,-0.69,-0.57,18.53,20.63,-4.87
2.423,-0.46,-0.68,-0.58,13.1,8.03,-6.76
2.441,-0.34,-0.74,-0.68,12.24,9.4,-17.11
2.464,-0.32,-0.73,-0.62,15.89,8.14,-15.31
2.482,-0.4,-0.66,-0.51,24.79,23.13,-16.31
2.501,-0.41,-0.72,-0.57,13.68,16.37,-14.15
2.524,-0.37,-0.69,-0.51,11.05,-2.64,-8.29
2.542,-0.28,-0.73,-0.57,8.08,-3.1,-12.96
2.561,-0.3,-0.78,-0.61,1.92,-3.73,-8.56
2.584,-0.3,-0.73,-0.58,7.25,-2.76,-3.63
2.602,-0.27,-0.76,-0.65,3.21,2.78,-2.93
2.621,-0.36,-0.75,-0.62,3.59,2.5,5.02
2.643,-0.44,-0.77,-0.63,11.16,15.54,2.72
2.662,-0.46,-0.78,-0.58,14.18,8.98,-0.05
2.685,-0.49,-0.66,-0.39,19.24,6.84,-4.69
2.71,-0.38,-0.72,-0.5,6.32,-4.43,-12.49
2.722,-0.3,-0.76,-0.56,-2.06,-16.52,-7.37
2.745,-0.31,-0.8,-0.61,-0.34,-1.47,-10.12
2.763,-0.36,-0.78,-0.57,4.47,9.88,-5.25
2.783,-0.38,-0.78,-0.56,4.6,8.12,-4.43
2.804,-0.35,-0.78,-0.58,4.6,2.52,-4.69
2.823,-0.35,-0.75,-0.53,5.59,0.72,-6.05
2.843,-0.36,-0.74,-0.49,6.72,2.21,-5.76
2.864,-0.34,-0.76,-0.52,3.33,1.16,-6.2
2.884,-0.33,-0.76,-0.53,1.86,0.55,-5.04
2.902,-0.31,-0.77,-0.58,1.54,0.93,-6.5
2.925,-0.31,-0.76,-0.56,3.4,2.76,-5.69
2.943,-0.32,-0.77,-0.57,5.37,5.71,-5.45
2.961,-0.35,-0.76,-0.55,7.65,4.44,-2.72
2.985,-0.37,-0.76,-0.55,5.47,-1.19,-0.31
